# Starting date:             2014-10-07 19:13:29
# Cluster job ID:            9051397
# Cluster node:              hnode38
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg
# Data:                      test_set_s15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	zstates	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
1180	480	N	N	2.407	5.386	5.175	0.211	1.0	0.1	s15_t1.0_a0.1_001.gff
643	321	N	N	2.143	4.600	4.418	0.182	1.0	0.1	s15_t1.0_a0.1_002.gff
32	1	N	N	1.306	2.563	2.417	0.146	1.0	0.1	s15_t1.0_a0.1_003.gff
1401	681	N	N	2.670	5.864	5.663	0.201	1.0	0.1	s15_t1.0_a0.1_004.gff
3029	1435	N	N	4.197	8.160	7.905	0.255	1.0	0.1	s15_t1.0_a0.1_005.gff
76	34	N	N	2.666	2.530	2.379	0.151	1.0	0.1	s15_t1.0_a0.1_006.gff
756	647	N	N	2.108	4.572	4.384	0.188	1.0	0.1	s15_t1.0_a0.1_007.gff
101	47	N	N	1.383	2.683	2.564	0.119	1.0	0.1	s15_t1.0_a0.1_008.gff
412	126	N	N	1.876	3.886	3.736	0.150	1.0	0.1	s15_t1.0_a0.1_009.gff
289	151	N	N	1.755	3.535	3.412	0.123	1.0	0.1	s15_t1.0_a0.1_010.gff
59	4	N	N	1.357	2.620	2.462	0.158	1.0	0.1	s15_t1.0_a0.1_011.gff
131	0	N	N	1.592	3.121	2.978	0.143	1.0	0.1	s15_t1.0_a0.1_012.gff
20	4	N	N	1.268	2.500	2.368	0.132	1.0	0.1	s15_t1.0_a0.1_013.gff
438	128	N	N	1.882	3.982	3.832	0.150	1.0	0.1	s15_t1.0_a0.1_014.gff
117	50	N	N	1.588	3.045	2.912	0.133	1.0	0.1	s15_t1.0_a0.1_015.gff
6305	4766	N	N	8.538	12.459	12.192	0.267	1.0	0.1	s15_t1.0_a0.1_016.gff
241	150	N	N	1.674	3.382	3.226	0.156	1.0	0.1	s15_t1.0_a0.1_017.gff
32	0	N	N	1.286	2.521	2.369	0.152	1.0	0.1	s15_t1.0_a0.1_018.gff
35	15	N	N	1.321	2.553	2.425	0.128	1.0	0.1	s15_t1.0_a0.1_019.gff
313	73	N	N	1.887	3.783	3.632	0.151	1.0	0.1	s15_t1.0_a0.1_020.gff
2461	1415	N	N	3.707	7.760	7.519	0.241	1.0	0.1	s15_t1.0_a0.1_021.gff
133	45	N	N	1.652	3.141	3.010	0.131	1.0	0.1	s15_t1.0_a0.1_022.gff
35	13	N	N	1.279	2.524	2.394	0.130	1.0	0.1	s15_t1.0_a0.1_023.gff
490	412	N	N	1.891	4.120	3.953	0.167	1.0	0.1	s15_t1.0_a0.1_024.gff
58	0	N	N	1.350	2.619	2.474	0.145	1.0	0.1	s15_t1.0_a0.1_025.gff
34	1	N	N	1.311	2.550	2.414	0.136	1.0	0.1	s15_t1.0_a0.1_026.gff
170	60	N	N	1.638	3.221	3.072	0.149	1.0	0.1	s15_t1.0_a0.1_027.gff
