# Starting date:             2014-10-07 19:13:29
# Cluster job ID:            9051399
# Cluster node:              hnode38
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg -m -m2
# Data:                      test_set_s15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	zstates	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
867	4	N	N	2.149	4.752	4.572	0.180	1.0	0.1	s15_t1.0_a0.1_001.gff
480	4	N	N	1.903	4.158	3.994	0.164	1.0	0.1	s15_t1.0_a0.1_002.gff
32	1	N	N	1.290	2.538	2.391	0.147	1.0	0.1	s15_t1.0_a0.1_003.gff
1356	38	N	N	2.663	5.791	5.586	0.205	1.0	0.1	s15_t1.0_a0.1_004.gff
2091	1	N	N	3.340	7.348	7.061	0.287	1.0	0.1	s15_t1.0_a0.1_005.gff
81	9	N	N	1.365	2.639	2.499	0.140	1.0	0.1	s15_t1.0_a0.1_006.gff
612	5	N	N	2.364	4.538	4.360	0.178	1.0	0.1	s15_t1.0_a0.1_007.gff
103	2	N	N	1.394	2.693	2.567	0.126	1.0	0.1	s15_t1.0_a0.1_008.gff
397	5	N	N	1.895	3.967	3.807	0.160	1.0	0.1	s15_t1.0_a0.1_009.gff
217	0	N	N	1.592	3.298	3.150	0.148	1.0	0.1	s15_t1.0_a0.1_010.gff
58	4	N	N	1.350	2.635	2.491	0.144	1.0	0.1	s15_t1.0_a0.1_011.gff
127	0	N	N	1.579	3.079	2.938	0.141	1.0	0.1	s15_t1.0_a0.1_012.gff
20	4	N	N	1.268	2.498	2.354	0.144	1.0	0.1	s15_t1.0_a0.1_013.gff
345	0	N	N	1.884	3.845	3.694	0.151	1.0	0.1	s15_t1.0_a0.1_014.gff
102	0	N	N	1.435	2.775	2.633	0.142	1.0	0.1	s15_t1.0_a0.1_015.gff
3018	0	N	N	4.272	7.914	7.691	0.223	1.0	0.1	s15_t1.0_a0.1_016.gff
219	7	N	N	1.657	3.323	3.170	0.153	1.0	0.1	s15_t1.0_a0.1_017.gff
32	0	N	N	1.295	2.478	2.348	0.130	1.0	0.1	s15_t1.0_a0.1_018.gff
38	2	N	N	1.312	2.492	2.347	0.145	1.0	0.1	s15_t1.0_a0.1_019.gff
272	0	N	N	1.657	3.507	3.338	0.169	1.0	0.1	s15_t1.0_a0.1_020.gff
1669	2	N	N	2.945	6.599	6.336	0.263	1.0	0.1	s15_t1.0_a0.1_021.gff
128	2	N	N	1.661	3.138	2.998	0.140	1.0	0.1	s15_t1.0_a0.1_022.gff
35	0	N	N	1.295	2.539	2.411	0.128	1.0	0.1	s15_t1.0_a0.1_023.gff
298	3	N	N	1.896	3.789	3.643	0.146	1.0	0.1	s15_t1.0_a0.1_024.gff
50	0	N	N	1.332	2.600	2.462	0.138	1.0	0.1	s15_t1.0_a0.1_025.gff
34	1	N	N	1.336	2.545	2.403	0.142	1.0	0.1	s15_t1.0_a0.1_026.gff
153	0	N	N	1.653	3.204	3.053	0.151	1.0	0.1	s15_t1.0_a0.1_027.gff
217	0	N	N	1.656	3.346	3.193	0.153	1.0	0.1	s15_t1.0_a0.1_028.gff
828	0	N	N	2.194	4.708	4.519	0.189	1.0	0.1	s15_t1.0_a0.1_029.gff
4145	0	N	N	5.392	9.303	9.033	0.270	1.0	0.1	s15_t1.0_a0.1_030.gff
261	41	N	N	1.655	3.482	3.339	0.143	1.0	0.1	s15_t1.0_a0.1_031.gff
72	0	N	N	1.326	2.584	2.440	0.144	1.0	0.1	s15_t1.0_a0.1_032.gff
222	2	N	N	1.616	3.321	3.170	0.151	1.0	0.1	s15_t1.0_a0.1_033.gff
775	3	N	N	2.143	4.576	4.410	0.166	1.0	0.1	s15_t1.0_a0.1_034.gff
1458	15	N	N	2.736	5.965	5.730	0.235	1.0	0.1	s15_t1.0_a0.1_035.gff
3035	4	N	N	4.304	8.415	8.122	0.293	1.0	0.1	s15_t1.0_a0.1_036.gff
60	24	N	N	1.349	2.638	2.486	0.152	1.0	0.1	s15_t1.0_a0.1_037.gff
