# Starting date:             2014-10-07 19:13:29
# Cluster job ID:            9051400
# Cluster node:              hnode38
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg -macc
# Data:                      test_set_s15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	zstates	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
1197	447	N	N	2.437	5.526	5.348	0.178	1.0	0.1	s15_t1.0_a0.1_001.gff
687	317	N	N	2.189	4.620	4.436	0.184	1.0	0.1	s15_t1.0_a0.1_002.gff
39	1	N	N	1.308	2.544	2.416	0.128	1.0	0.1	s15_t1.0_a0.1_003.gff
1445	604	N	N	2.698	5.982	5.793	0.189	1.0	0.1	s15_t1.0_a0.1_004.gff
3071	1430	N	N	4.254	8.282	8.003	0.279	1.0	0.1	s15_t1.0_a0.1_005.gff
67	26	N	N	1.840	2.501	2.349	0.152	1.0	0.1	s15_t1.0_a0.1_006.gff
728	608	N	N	2.112	4.512	4.340	0.172	1.0	0.1	s15_t1.0_a0.1_007.gff
91	35	N	N	1.375	2.680	2.542	0.138	1.0	0.1	s15_t1.0_a0.1_008.gff
533	172	N	N	2.131	4.438	4.277	0.161	1.0	0.1	s15_t1.0_a0.1_009.gff
298	145	N	N	1.655	3.476	3.323	0.153	1.0	0.1	s15_t1.0_a0.1_010.gff
82	22	N	N	1.363	2.647	2.515	0.132	1.0	0.1	s15_t1.0_a0.1_011.gff
180	2	N	N	1.604	3.246	3.089	0.157	1.0	0.1	s15_t1.0_a0.1_012.gff
22	4	N	N	1.272	2.513	2.369	0.144	1.0	0.1	s15_t1.0_a0.1_013.gff
464	128	N	N	1.856	3.988	3.824	0.164	1.0	0.1	s15_t1.0_a0.1_014.gff
178	101	N	N	1.635	3.240	3.093	0.147	1.0	0.1	s15_t1.0_a0.1_015.gff
6058	4579	N	N	8.118	12.488	12.220	0.268	1.0	0.1	s15_t1.0_a0.1_016.gff
179	93	N	N	1.639	3.248	3.106	0.142	1.0	0.1	s15_t1.0_a0.1_017.gff
48	14	N	N	1.339	2.612	2.460	0.152	1.0	0.1	s15_t1.0_a0.1_018.gff
33	16	N	N	1.317	2.545	2.394	0.151	1.0	0.1	s15_t1.0_a0.1_019.gff
335	73	N	N	1.894	3.837	3.672	0.165	1.0	0.1	s15_t1.0_a0.1_020.gff
2656	1546	N	N	3.981	8.255	7.987	0.268	1.0	0.1	s15_t1.0_a0.1_021.gff
169	48	N	N	1.654	3.260	3.106	0.154	1.0	0.1	s15_t1.0_a0.1_022.gff
34	12	N	N	1.305	2.561	2.434	0.127	1.0	0.1	s15_t1.0_a0.1_023.gff
311	239	N	N	1.893	3.785	3.613	0.172	1.0	0.1	s15_t1.0_a0.1_024.gff
60	0	N	N	1.365	2.658	2.529	0.129	1.0	0.1	s15_t1.0_a0.1_025.gff
36	1	N	N	1.298	2.513	2.380	0.133	1.0	0.1	s15_t1.0_a0.1_026.gff
172	55	N	N	1.669	3.223	3.087	0.136	1.0	0.1	s15_t1.0_a0.1_027.gff
229	67	N	N	1.742	3.491	3.326	0.165	1.0	0.1	s15_t1.0_a0.1_028.gff
148	73	N	N	1.529	3.101	2.957	0.144	1.0	0.1	s15_t1.0_a0.1_029.gff
6973	3420	N	N	9.764	14.328	14.012	0.316	1.0	0.1	s15_t1.0_a0.1_030.gff
277	44	N	N	1.868	3.677	3.545	0.132	1.0	0.1	s15_t1.0_a0.1_031.gff
73	17	N	N	1.382	2.683	2.541	0.142	1.0	0.1	s15_t1.0_a0.1_032.gff
309	106	N	N	1.695	3.527	3.375	0.152	1.0	0.1	s15_t1.0_a0.1_033.gff
893	433	N	N	2.150	4.695	4.501	0.194	1.0	0.1	s15_t1.0_a0.1_034.gff
2044	953	N	N	3.211	6.752	6.527	0.225	1.0	0.1	s15_t1.0_a0.1_035.gff
3652	1399	N	N	4.800	8.943	8.691	0.252	1.0	0.1	s15_t1.0_a0.1_036.gff
88	63	N	N	1.373	2.659	2.503	0.156	1.0	0.1	s15_t1.0_a0.1_037.gff
1020	421	N	N	2.313	5.146	4.958	0.188	1.0	0.1	s15_t1.0_a0.1_038.gff
39	13	N	N	1.318	2.539	2.402	0.137	1.0	0.1	s15_t1.0_a0.1_039.gff
47	30	N	N	1.335	2.601	2.465	0.136	1.0	0.1	s15_t1.0_a0.1_040.gff
82	17	N	N	1.391	2.704	2.569	0.135	1.0	0.1	s15_t1.0_a0.1_041.gff
95	26	N	N	1.410	2.746	2.591	0.155	1.0	0.1	s15_t1.0_a0.1_042.gff
206	5	N	N	1.673	3.363	3.200	0.163	1.0	0.1	s15_t1.0_a0.1_043.gff
3774	1762	N	N	4.837	8.462	8.184	0.278	1.0	0.1	s15_t1.0_a0.1_044.gff
1939	1631	N	N	3.145	7.238	7.012	0.226	1.0	0.1	s15_t1.0_a0.1_045.gff
1157	614	N	N	2.458	5.328	5.159	0.169	1.0	0.1	s15_t1.0_a0.1_046.gff
346	69	N	N	1.924	3.851	3.696	0.155	1.0	0.1	s15_t1.0_a0.1_047.gff
107	11	N	N	1.620	3.074	2.925	0.149	1.0	0.1	s15_t1.0_a0.1_048.gff
624	421	N	N	2.126	4.566	4.378	0.188	1.0	0.1	s15_t1.0_a0.1_049.gff
330	269	N	N	1.909	3.857	3.700	0.157	1.0	0.1	s15_t1.0_a0.1_050.gff
21	0	N	N	1.326	2.538	2.419	0.119	1.0	0.1	s15_t1.0_a0.1_051.gff
106	18	N	N	1.391	2.835	2.685	0.150	1.0	0.1	s15_t1.0_a0.1_052.gff
279	153	N	N	1.679	3.489	3.347	0.142	1.0	0.1	s15_t1.0_a0.1_053.gff
37	12	N	N	1.310	2.557	2.411	0.146	1.0	0.1	s15_t1.0_a0.1_054.gff
288	57	N	N	1.665	3.535	3.410	0.125	1.0	0.1	s15_t1.0_a0.1_055.gff
432	191	N	N	1.892	3.915	3.750	0.165	1.0	0.1	s15_t1.0_a0.1_056.gff
621	308	N	N	2.191	4.551	4.375	0.176	1.0	0.1	s15_t1.0_a0.1_057.gff
5935	2637	N	N	7.840	12.248	11.973	0.275	1.0	0.1	s15_t1.0_a0.1_058.gff
162	69	N	N	1.681	3.282	3.139	0.143	1.0	0.1	s15_t1.0_a0.1_059.gff
97	28	N	N	1.397	2.704	2.572	0.132	1.0	0.1	s15_t1.0_a0.1_060.gff
556	23	N	N	1.965	4.320	4.146	0.174	1.0	0.1	s15_t1.0_a0.1_061.gff
4838	2932	N	N	6.290	10.768	10.459	0.309	1.0	0.1	s15_t1.0_a0.1_062.gff
243	109	N	N	1.645	3.354	3.198	0.156	1.0	0.1	s15_t1.0_a0.1_063.gff
623	271	N	N	1.999	4.364	4.203	0.161	1.0	0.1	s15_t1.0_a0.1_064.gff
1841	703	N	N	2.934	6.318	6.043	0.275	1.0	0.1	s15_t1.0_a0.1_065.gff
4	0	N	N	1.278	2.515	2.383	0.132	1.0	0.1	s15_t1.0_a0.1_066.gff
302	135	N	N	1.915	3.796	3.630	0.166	1.0	0.1	s15_t1.0_a0.1_067.gff
99	61	N	N	1.405	2.727	2.576	0.151	1.0	0.1	s15_t1.0_a0.1_068.gff
965	360	N	N	2.256	4.979	4.799	0.180	1.0	0.1	s15_t1.0_a0.1_069.gff
40	13	N	N	1.331	2.567	2.423	0.144	1.0	0.1	s15_t1.0_a0.1_070.gff
23	11	N	N	1.280	2.544	2.417	0.127	1.0	0.1	s15_t1.0_a0.1_071.gff
90	2	N	N	1.413	2.746	2.608	0.138	1.0	0.1	s15_t1.0_a0.1_072.gff
3181	1666	N	N	4.364	8.546	8.277	0.269	1.0	0.1	s15_t1.0_a0.1_073.gff
115	49	N	N	1.573	3.024	2.896	0.128	1.0	0.1	s15_t1.0_a0.1_074.gff
109	34	N	N	1.698	3.174	3.040	0.134	1.0	0.1	s15_t1.0_a0.1_075.gff
6997	4029	N	N	9.557	14.353	14.067	0.286	1.0	0.1	s15_t1.0_a0.1_076.gff
282	192	N	N	1.840	3.644	3.484	0.160	1.0	0.1	s15_t1.0_a0.1_077.gff
5471	2484	N	N	7.143	11.602	11.320	0.282	1.0	0.1	s15_t1.0_a0.1_078.gff
40	16	N	N	1.315	2.561	2.435	0.126	1.0	0.1	s15_t1.0_a0.1_079.gff
597	356	N	N	2.176	4.518	4.335	0.183	1.0	0.1	s15_t1.0_a0.1_080.gff
321	208	N	N	1.865	3.732	3.563	0.169	1.0	0.1	s15_t1.0_a0.1_081.gff
1900	713	N	N	3.074	6.937	6.686	0.251	1.0	0.1	s15_t1.0_a0.1_082.gff
351	135	N	N	1.808	3.738	3.570	0.168	1.0	0.1	s15_t1.0_a0.1_083.gff
303	152	N	N	1.808	3.597	3.460	0.137	1.0	0.1	s15_t1.0_a0.1_084.gff
4658	3398	N	N	6.277	10.936	10.647	0.289	1.0	0.1	s15_t1.0_a0.1_085.gff
53	21	N	N	1.318	2.556	2.427	0.129	1.0	0.1	s15_t1.0_a0.1_086.gff
64	21	N	N	1.342	2.603	2.457	0.146	1.0	0.1	s15_t1.0_a0.1_087.gff
217	92	N	N	1.659	3.365	3.211	0.154	1.0	0.1	s15_t1.0_a0.1_088.gff
2089	1026	N	N	3.247	7.318	7.041	0.277	1.0	0.1	s15_t1.0_a0.1_089.gff
131	45	N	N	1.658	3.146	3.004	0.142	1.0	0.1	s15_t1.0_a0.1_090.gff
1270	799	N	N	2.625	5.815	5.626	0.189	1.0	0.1	s15_t1.0_a0.1_091.gff
335	165	N	N	1.899	3.774	3.617	0.157	1.0	0.1	s15_t1.0_a0.1_092.gff
555	428	N	N	1.987	4.288	4.124	0.164	1.0	0.1	s15_t1.0_a0.1_093.gff
10988	8660	N	N	18.691	24.283	23.946	0.337	1.0	0.1	s15_t1.0_a0.1_094.gff
1097	557	N	N	2.424	5.288	5.079	0.209	1.0	0.1	s15_t1.0_a0.1_095.gff
89	5	N	N	1.412	2.716	2.573	0.143	1.0	0.1	s15_t1.0_a0.1_096.gff
6	2	N	N	1.263	2.491	2.328	0.163	1.0	0.1	s15_t1.0_a0.1_097.gff
608	300	N	N	2.137	4.476	4.314	0.162	1.0	0.1	s15_t1.0_a0.1_098.gff
74	2	N	N	1.385	2.723	2.588	0.135	1.0	0.1	s15_t1.0_a0.1_099.gff
102	47	N	N	1.385	2.696	2.557	0.139	1.0	0.1	s15_t1.0_a0.1_100.gff
