# Starting date:             2014-10-07 19:13:29
# Cluster job ID:            9051401
# Cluster node:              hnode38
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg -r
# Data:                      test_set_s15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	zstates	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
700	0	N	N	2.349	5.171	4.979	0.192	1.0	0.1	s15_t1.0_a0.1_001.gff
322	0	N	N	1.893	4.156	3.996	0.160	1.0	0.1	s15_t1.0_a0.1_002.gff
31	0	N	N	1.315	2.574	2.441	0.133	1.0	0.1	s15_t1.0_a0.1_003.gff
720	0	N	N	2.661	5.720	5.530	0.190	1.0	0.1	s15_t1.0_a0.1_004.gff
1594	0	N	N	4.288	8.361	8.084	0.277	1.0	0.1	s15_t1.0_a0.1_005.gff
42	0	N	N	1.381	2.612	2.478	0.134	1.0	0.1	s15_t1.0_a0.1_006.gff
109	0	N	N	3.216	3.812	3.668	0.144	1.0	0.1	s15_t1.0_a0.1_007.gff
54	0	N	N	1.394	2.675	2.529	0.146	1.0	0.1	s15_t1.0_a0.1_008.gff
286	0	N	N	1.881	3.906	3.754	0.152	1.0	0.1	s15_t1.0_a0.1_009.gff
138	0	N	N	1.586	3.315	3.166	0.149	1.0	0.1	s15_t1.0_a0.1_010.gff
55	0	N	N	1.394	2.699	2.550	0.149	1.0	0.1	s15_t1.0_a0.1_011.gff
131	0	N	N	1.581	3.155	3.008	0.147	1.0	0.1	s15_t1.0_a0.1_012.gff
16	0	N	N	1.278	2.501	2.369	0.132	1.0	0.1	s15_t1.0_a0.1_013.gff
310	0	N	N	1.886	3.989	3.820	0.169	1.0	0.1	s15_t1.0_a0.1_014.gff
67	0	N	N	1.578	3.008	2.868	0.140	1.0	0.1	s15_t1.0_a0.1_015.gff
1539	0	N	N	8.259	12.636	12.355	0.281	1.0	0.1	s15_t1.0_a0.1_016.gff
91	0	N	N	1.675	3.201	3.072	0.129	1.0	0.1	s15_t1.0_a0.1_017.gff
32	0	N	N	1.296	2.528	2.402	0.126	1.0	0.1	s15_t1.0_a0.1_018.gff
20	0	N	N	1.307	2.514	2.391	0.123	1.0	0.1	s15_t1.0_a0.1_019.gff
240	0	N	N	1.961	3.846	3.690	0.156	1.0	0.1	s15_t1.0_a0.1_020.gff
1046	0	N	N	3.678	7.694	7.420	0.274	1.0	0.1	s15_t1.0_a0.1_021.gff
88	0	N	N	1.673	3.165	3.010	0.155	1.0	0.1	s15_t1.0_a0.1_022.gff
22	0	N	N	1.289	2.529	2.394	0.135	1.0	0.1	s15_t1.0_a0.1_023.gff
78	0	N	N	1.669	3.528	3.381	0.147	1.0	0.1	s15_t1.0_a0.1_024.gff
58	0	N	N	1.419	2.690	2.536	0.154	1.0	0.1	s15_t1.0_a0.1_025.gff
33	0	N	N	1.306	2.510	2.375	0.135	1.0	0.1	s15_t1.0_a0.1_026.gff
110	0	N	N	1.628	3.187	3.047	0.140	1.0	0.1	s15_t1.0_a0.1_027.gff
162	0	N	N	1.669	3.351	3.198	0.153	1.0	0.1	s15_t1.0_a0.1_028.gff
149	0	N	N	2.158	4.444	4.287	0.157	1.0	0.1	s15_t1.0_a0.1_029.gff
3480	0	N	N	8.922	13.584	13.294	0.290	1.0	0.1	s15_t1.0_a0.1_030.gff
220	0	N	N	1.680	3.473	3.313	0.160	1.0	0.1	s15_t1.0_a0.1_031.gff
58	0	N	N	1.373	2.661	2.525	0.136	1.0	0.1	s15_t1.0_a0.1_032.gff
160	0	N	N	1.632	3.346	3.188	0.158	1.0	0.1	s15_t1.0_a0.1_033.gff
504	0	N	N	2.398	4.987	4.798	0.189	1.0	0.1	s15_t1.0_a0.1_034.gff
1104	0	N	N	3.235	7.070	6.823	0.247	1.0	0.1	s15_t1.0_a0.1_035.gff
2162	0	N	N	4.769	8.917	8.648	0.269	1.0	0.1	s15_t1.0_a0.1_036.gff
29	0	N	N	1.383	2.618	2.481	0.137	1.0	0.1	s15_t1.0_a0.1_037.gff
521	0	N	N	2.254	4.826	4.632	0.194	1.0	0.1	s15_t1.0_a0.1_038.gff
25	0	N	N	1.300	2.537	2.406	0.131	1.0	0.1	s15_t1.0_a0.1_039.gff
18	0	N	N	1.352	2.605	2.460	0.145	1.0	0.1	s15_t1.0_a0.1_040.gff
62	0	N	N	1.350	2.634	2.495	0.139	1.0	0.1	s15_t1.0_a0.1_041.gff
68	0	N	N	1.412	2.748	2.601	0.147	1.0	0.1	s15_t1.0_a0.1_042.gff
185	0	N	N	1.656	3.341	3.208	0.133	1.0	0.1	s15_t1.0_a0.1_043.gff
2190	0	N	N	5.355	8.966	8.712	0.254	1.0	0.1	s15_t1.0_a0.1_044.gff
349	0	N	N	3.510	6.927	6.705	0.222	1.0	0.1	s15_t1.0_a0.1_045.gff
511	0	N	N	2.468	5.224	5.036	0.188	1.0	0.1	s15_t1.0_a0.1_046.gff
233	0	N	N	1.883	3.750	3.598	0.152	1.0	0.1	s15_t1.0_a0.1_047.gff
78	0	N	N	1.435	2.760	2.618	0.142	1.0	0.1	s15_t1.0_a0.1_048.gff
244	0	N	N	1.874	4.033	3.873	0.160	1.0	0.1	s15_t1.0_a0.1_049.gff
54	0	N	N	1.659	3.352	3.206	0.146	1.0	0.1	s15_t1.0_a0.1_050.gff
16	0	N	N	1.267	2.502	2.364	0.138	1.0	0.1	s15_t1.0_a0.1_051.gff
69	0	N	N	1.472	2.872	2.732	0.140	1.0	0.1	s15_t1.0_a0.1_052.gff
113	0	N	N	1.665	3.326	3.182	0.144	1.0	0.1	s15_t1.0_a0.1_053.gff
25	0	N	N	1.291	2.501	2.371	0.130	1.0	0.1	s15_t1.0_a0.1_054.gff
202	0	N	N	1.683	3.450	3.273	0.177	1.0	0.1	s15_t1.0_a0.1_055.gff
241	0	N	N	1.913	3.905	3.727	0.178	1.0	0.1	s15_t1.0_a0.1_056.gff
310	0	N	N	1.896	4.110	3.956	0.154	1.0	0.1	s15_t1.0_a0.1_057.gff
3098	0	N	N	7.584	12.235	11.944	0.291	1.0	0.1	s15_t1.0_a0.1_058.gff
89	0	N	N	1.667	3.162	3.014	0.148	1.0	0.1	s15_t1.0_a0.1_059.gff
62	0	N	N	1.388	2.691	2.559	0.132	1.0	0.1	s15_t1.0_a0.1_060.gff
110	0	N	N	1.464	2.974	2.831	0.143	1.0	0.1	s15_t1.0_a0.1_061.gff
1784	0	N	N	6.079	10.299	10.045	0.254	1.0	0.1	s15_t1.0_a0.1_062.gff
137	0	N	N	1.656	3.371	3.219	0.152	1.0	0.1	s15_t1.0_a0.1_063.gff
318	0	N	N	1.983	4.140	3.971	0.169	1.0	0.1	s15_t1.0_a0.1_064.gff
1085	0	N	N	2.984	6.432	6.177	0.255	1.0	0.1	s15_t1.0_a0.1_065.gff
4	0	N	N	1.256	2.455	2.308	0.147	1.0	0.1	s15_t1.0_a0.1_066.gff
236	0	N	N	1.955	3.985	3.843	0.142	1.0	0.1	s15_t1.0_a0.1_067.gff
35	0	N	N	1.389	2.680	2.535	0.145	1.0	0.1	s15_t1.0_a0.1_068.gff
