# Starting date:             2014-10-07 19:13:30
# Cluster job ID:            9051402
# Cluster node:              hnode36
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg -r2ifc
# Data:                      test_set_s15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	zstates	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
1180	480	N	N	2.253	4.997	4.803	0.194	1.0	0.1	s15_t1.0_a0.1_001.gff
643	321	N	N	2.041	4.341	4.167	0.174	1.0	0.1	s15_t1.0_a0.1_002.gff
32	1	N	N	1.222	2.382	2.243	0.139	1.0	0.1	s15_t1.0_a0.1_003.gff
1401	681	N	N	2.500	5.517	5.309	0.208	1.0	0.1	s15_t1.0_a0.1_004.gff
3029	1435	N	N	3.933	7.697	7.484	0.213	1.0	0.1	s15_t1.0_a0.1_005.gff
76	34	N	N	1.250	2.422	2.287	0.135	1.0	0.1	s15_t1.0_a0.1_006.gff
756	647	N	N	1.999	4.245	4.074	0.171	1.0	0.1	s15_t1.0_a0.1_007.gff
101	47	N	N	1.294	2.527	2.412	0.115	1.0	0.1	s15_t1.0_a0.1_008.gff
412	126	N	N	1.767	3.656	3.514	0.142	1.0	0.1	s15_t1.0_a0.1_009.gff
289	151	N	N	1.676	3.343	3.201	0.142	1.0	0.1	s15_t1.0_a0.1_010.gff
59	4	N	N	1.246	2.451	2.326	0.125	1.0	0.1	s15_t1.0_a0.1_011.gff
131	0	N	N	1.474	2.878	2.747	0.131	1.0	0.1	s15_t1.0_a0.1_012.gff
20	4	N	N	1.193	2.340	2.204	0.136	1.0	0.1	s15_t1.0_a0.1_013.gff
438	128	N	N	1.761	3.696	3.548	0.148	1.0	0.1	s15_t1.0_a0.1_014.gff
117	50	N	N	1.460	2.842	2.712	0.130	1.0	0.1	s15_t1.0_a0.1_015.gff
6305	4766	N	N	7.856	11.608	11.344	0.264	1.0	0.1	s15_t1.0_a0.1_016.gff
241	150	N	N	1.533	3.110	2.980	0.130	1.0	0.1	s15_t1.0_a0.1_017.gff
32	0	N	N	1.218	2.332	2.196	0.136	1.0	0.1	s15_t1.0_a0.1_018.gff
35	15	N	N	1.197	2.315	2.189	0.126	1.0	0.1	s15_t1.0_a0.1_019.gff
313	73	N	N	1.764	3.508	3.343	0.165	1.0	0.1	s15_t1.0_a0.1_020.gff
2461	1415	N	N	3.405	7.120	6.898	0.222	1.0	0.1	s15_t1.0_a0.1_021.gff
133	45	N	N	1.521	2.875	2.760	0.115	1.0	0.1	s15_t1.0_a0.1_022.gff
35	13	N	N	1.182	2.309	2.178	0.131	1.0	0.1	s15_t1.0_a0.1_023.gff
490	412	N	N	1.726	3.769	3.626	0.143	1.0	0.1	s15_t1.0_a0.1_024.gff
58	0	N	N	1.240	2.400	2.276	0.124	1.0	0.1	s15_t1.0_a0.1_025.gff
34	1	N	N	1.193	2.321	2.194	0.127	1.0	0.1	s15_t1.0_a0.1_026.gff
170	60	N	N	1.547	3.044	2.889	0.155	1.0	0.1	s15_t1.0_a0.1_027.gff
229	67	N	N	1.533	3.148	2.994	0.154	1.0	0.1	s15_t1.0_a0.1_028.gff
1008	859	N	N	2.254	4.786	4.606	0.180	1.0	0.1	s15_t1.0_a0.1_029.gff
6463	2983	N	N	8.339	12.378	12.070	0.308	1.0	0.1	s15_t1.0_a0.1_030.gff
261	41	N	N	1.565	3.275	3.151	0.124	1.0	0.1	s15_t1.0_a0.1_031.gff
75	17	N	N	1.271	2.481	2.312	0.169	1.0	0.1	s15_t1.0_a0.1_032.gff
272	112	N	N	1.535	3.193	3.071	0.122	1.0	0.1	s15_t1.0_a0.1_033.gff
975	471	N	N	2.263	4.786	4.606	0.180	1.0	0.1	s15_t1.0_a0.1_034.gff
2045	941	N	N	2.978	6.637	6.394	0.243	1.0	0.1	s15_t1.0_a0.1_035.gff
3558	1396	N	N	4.311	8.047	7.803	0.244	1.0	0.1	s15_t1.0_a0.1_036.gff
82	53	N	N	1.273	2.444	2.311	0.133	1.0	0.1	s15_t1.0_a0.1_037.gff
950	429	N	N	2.117	4.626	4.435	0.191	1.0	0.1	s15_t1.0_a0.1_038.gff
30	5	N	N	1.189	2.319	2.195	0.124	1.0	0.1	s15_t1.0_a0.1_039.gff
61	43	N	N	1.246	2.416	2.308	0.108	1.0	0.1	s15_t1.0_a0.1_040.gff
65	3	N	N	1.233	2.427	2.323	0.104	1.0	0.1	s15_t1.0_a0.1_041.gff
97	29	N	N	1.307	2.524	2.389	0.135	1.0	0.1	s15_t1.0_a0.1_042.gff
190	5	N	N	1.527	3.105	2.968	0.137	1.0	0.1	s15_t1.0_a0.1_043.gff
4155	1965	N	N	4.905	8.376	8.128	0.248	1.0	0.1	s15_t1.0_a0.1_044.gff
2563	2214	N	N	3.386	6.771	6.536	0.235	1.0	0.1	s15_t1.0_a0.1_045.gff
1170	659	N	N	2.230	4.889	4.715	0.174	1.0	0.1	s15_t1.0_a0.1_046.gff
305	72	N	N	1.730	3.448	3.290	0.158	1.0	0.1	s15_t1.0_a0.1_047.gff
83	5	N	N	1.276	2.491	2.371	0.120	1.0	0.1	s15_t1.0_a0.1_048.gff
633	389	N	N	1.977	4.216	4.058	0.158	1.0	0.1	s15_t1.0_a0.1_049.gff
359	305	N	N	1.757	3.544	3.389	0.155	1.0	0.1	s15_t1.0_a0.1_050.gff
16	0	N	N	1.177	2.305	2.171	0.134	1.0	0.1	s15_t1.0_a0.1_051.gff
73	4	N	N	1.251	2.431	2.288	0.143	1.0	0.1	s15_t1.0_a0.1_052.gff
266	153	N	N	1.531	3.160	3.042	0.118	1.0	0.1	s15_t1.0_a0.1_053.gff
26	1	N	N	1.176	2.299	2.193	0.106	1.0	0.1	s15_t1.0_a0.1_054.gff
261	59	N	N	1.523	3.156	3.027	0.129	1.0	0.1	s15_t1.0_a0.1_055.gff
430	189	N	N	1.754	3.629	3.491	0.138	1.0	0.1	s15_t1.0_a0.1_056.gff
655	345	N	N	1.978	4.273	4.135	0.138	1.0	0.1	s15_t1.0_a0.1_057.gff
5825	2727	N	N	7.047	11.232	10.985	0.247	1.0	0.1	s15_t1.0_a0.1_058.gff
165	76	N	N	1.546	3.025	2.877	0.148	1.0	0.1	s15_t1.0_a0.1_059.gff
90	28	N	N	1.284	2.464	2.341	0.123	1.0	0.1	s15_t1.0_a0.1_060.gff
118	8	N	N	1.352	2.723	2.602	0.121	1.0	0.1	s15_t1.0_a0.1_061.gff
4736	2952	N	N	5.642	9.852	9.599	0.253	1.0	0.1	s15_t1.0_a0.1_062.gff
284	147	N	N	1.523	3.216	3.086	0.130	1.0	0.1	s15_t1.0_a0.1_063.gff
613	295	N	N	1.841	3.993	3.829	0.164	1.0	0.1	s15_t1.0_a0.1_064.gff
1832	747	N	N	2.725	5.902	5.660	0.242	1.0	0.1	s15_t1.0_a0.1_065.gff
4	0	N	N	1.155	2.247	2.123	0.124	1.0	0.1	s15_t1.0_a0.1_066.gff
482	246	N	N	1.760	3.736	3.577	0.159	1.0	0.1	s15_t1.0_a0.1_067.gff
87	52	N	N	1.279	2.492	2.349	0.143	1.0	0.1	s15_t1.0_a0.1_068.gff
951	367	N	N	2.077	4.517	4.339	0.178	1.0	0.1	s15_t1.0_a0.1_069.gff
47	17	N	N	1.204	2.372	2.234	0.138	1.0	0.1	s15_t1.0_a0.1_070.gff
28	14	N	N	1.209	2.326	2.185	0.141	1.0	0.1	s15_t1.0_a0.1_071.gff
66	1	N	N	1.280	2.454	2.336	0.118	1.0	0.1	s15_t1.0_a0.1_072.gff
3783	1904	N	N	4.691	8.493	8.255	0.238	1.0	0.1	s15_t1.0_a0.1_073.gff
166	85	N	N	1.452	2.872	2.725	0.147	1.0	0.1	s15_t1.0_a0.1_074.gff
91	32	N	N	1.282	2.496	2.368	0.128	1.0	0.1	s15_t1.0_a0.1_075.gff
7147	4137	N	N	9.257	13.688	13.402	0.286	1.0	0.1	s15_t1.0_a0.1_076.gff
255	164	N	N	1.535	3.174	3.061	0.113	1.0	0.1	s15_t1.0_a0.1_077.gff
4044	1948	N	N	4.694	8.461	8.226	0.235	1.0	0.1	s15_t1.0_a0.1_078.gff
44	15	N	N	1.199	2.342	2.224	0.118	1.0	0.1	s15_t1.0_a0.1_079.gff
638	312	N	N	1.853	4.083	3.930	0.153	1.0	0.1	s15_t1.0_a0.1_080.gff
326	213	N	N	1.715	3.464	3.320	0.144	1.0	0.1	s15_t1.0_a0.1_081.gff
1900	713	N	N	2.843	6.365	6.151	0.214	1.0	0.1	s15_t1.0_a0.1_082.gff
317	135	N	N	1.778	3.559	3.385	0.174	1.0	0.1	s15_t1.0_a0.1_083.gff
274	124	N	N	1.634	3.278	3.143	0.135	1.0	0.1	s15_t1.0_a0.1_084.gff
5223	3831	N	N	6.489	10.713	10.459	0.254	1.0	0.1	s15_t1.0_a0.1_085.gff
58	22	N	N	1.239	2.418	2.280	0.138	1.0	0.1	s15_t1.0_a0.1_086.gff
63	21	N	N	1.268	2.439	2.307	0.132	1.0	0.1	s15_t1.0_a0.1_087.gff
223	101	N	N	1.573	3.137	3.016	0.121	1.0	0.1	s15_t1.0_a0.1_088.gff
2084	1039	N	N	3.004	6.733	6.492	0.241	1.0	0.1	s15_t1.0_a0.1_089.gff
136	45	N	N	1.478	2.853	2.709	0.144	1.0	0.1	s15_t1.0_a0.1_090.gff
1473	942	N	N	2.506	5.585	5.377	0.208	1.0	0.1	s15_t1.0_a0.1_091.gff
332	165	N	N	1.747	3.477	3.324	0.153	1.0	0.1	s15_t1.0_a0.1_092.gff
831	719	N	N	1.942	4.286	4.114	0.172	1.0	0.1	s15_t1.0_a0.1_093.gff
9145	7293	N	N	13.102	17.936	17.639	0.297	1.0	0.1	s15_t1.0_a0.1_094.gff
1069	497	N	N	2.311	4.959	4.773	0.186	1.0	0.1	s15_t1.0_a0.1_095.gff
78	3	N	N	1.284	2.495	2.350	0.145	1.0	0.1	s15_t1.0_a0.1_096.gff
6	2	N	N	1.155	2.266	2.146	0.120	1.0	0.1	s15_t1.0_a0.1_097.gff
599	324	N	N	1.838	3.947	3.804	0.143	1.0	0.1	s15_t1.0_a0.1_098.gff
60	1	N	N	1.254	2.439	2.308	0.131	1.0	0.1	s15_t1.0_a0.1_099.gff
100	49	N	N	1.301	2.477	2.334	0.143	1.0	0.1	s15_t1.0_a0.1_100.gff
116	23	N	N	1.454	2.778	2.650	0.128	1.0	0.2	s15_t1.0_a0.2_001.gff
490	190	N	N	1.828	3.880	3.730	0.150	1.0	0.2	s15_t1.0_a0.2_002.gff
17	9	N	N	1.192	2.337	2.199	0.138	1.0	0.2	s15_t1.0_a0.2_003.gff
531	254	N	N	1.985	4.151	4.010	0.141	1.0	0.2	s15_t1.0_a0.2_004.gff
613	534	N	N	1.871	4.073	3.883	0.190	1.0	0.2	s15_t1.0_a0.2_005.gff
68	33	N	N	1.267	2.434	2.295	0.139	1.0	0.2	s15_t1.0_a0.2_006.gff
50	1	N	N	1.235	2.414	2.288	0.126	1.0	0.2	s15_t1.0_a0.2_007.gff
334	251	N	N	1.647	3.407	3.264	0.143	1.0	0.2	s15_t1.0_a0.2_008.gff
97	23	N	N	1.288	2.500	2.351	0.149	1.0	0.2	s15_t1.0_a0.2_009.gff
55	26	N	N	1.223	2.351	2.233	0.118	1.0	0.2	s15_t1.0_a0.2_010.gff
170	44	N	N	1.521	3.017	2.893	0.124	1.0	0.2	s15_t1.0_a0.2_011.gff
9837	5010	N	N	14.689	19.703	19.382	0.321	1.0	0.2	s15_t1.0_a0.2_012.gff
21	9	N	N	1.172	2.286	2.147	0.139	1.0	0.2	s15_t1.0_a0.2_013.gff
38	11	N	N	1.196	2.298	2.169	0.129	1.0	0.2	s15_t1.0_a0.2_014.gff
832	726	N	N	2.008	4.292	4.126	0.166	1.0	0.2	s15_t1.0_a0.2_015.gff
249	159	N	N	1.615	3.207	3.087	0.120	1.0	0.2	s15_t1.0_a0.2_016.gff
291	152	N	N	1.535	3.192	3.053	0.139	1.0	0.2	s15_t1.0_a0.2_017.gff
4598	1958	N	N	5.640	9.765	9.494	0.271	1.0	0.2	s15_t1.0_a0.2_018.gff
94	31	N	N	1.288	2.503	2.377	0.126	1.0	0.2	s15_t1.0_a0.2_019.gff
40	24	N	N	1.199	2.342	2.221	0.121	1.0	0.2	s15_t1.0_a0.2_020.gff
456	248	N	N	1.766	3.697	3.550	0.147	1.0	0.2	s15_t1.0_a0.2_021.gff
962	439	N	N	2.155	4.734	4.550	0.184	1.0	0.2	s15_t1.0_a0.2_022.gff
747	399	N	N	1.949	4.205	4.067	0.138	1.0	0.2	s15_t1.0_a0.2_023.gff
2077	1652	N	N	2.992	6.661	6.425	0.236	1.0	0.2	s15_t1.0_a0.2_024.gff
66	29	N	N	1.226	2.387	2.275	0.112	1.0	0.2	s15_t1.0_a0.2_025.gff
267	216	N	N	1.610	3.189	3.071	0.118	1.0	0.2	s15_t1.0_a0.2_026.gff
431	267	N	N	1.715	3.618	3.481	0.137	1.0	0.2	s15_t1.0_a0.2_027.gff
161	43	N	N	1.530	2.997	2.872	0.125	1.0	0.2	s15_t1.0_a0.2_028.gff
32	11	N	N	1.205	2.351	2.207	0.144	1.0	0.2	s15_t1.0_a0.2_029.gff
8	1	N	N	1.188	2.335	2.215	0.120	1.0	0.2	s15_t1.0_a0.2_030.gff
1367	830	N	N	2.418	5.353	5.153	0.200	1.0	0.2	s15_t1.0_a0.2_031.gff
