# Starting date:             2014-10-09 18:46:46
# Cluster job ID:            9117053
# Cluster node:              hnode35
# Cluster queue:             mpi.q
# Complementation algorithm: piterman -eq -macc -sim -ro
# Data:                      small.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	zstates	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
527	120	N	N	2.698	5.353	5.121	0.232	1.0	0.1	s15_t1.0_a0.1_001.gff
282	64	N	N	2.382	4.747	4.526	0.221	1.0	0.1	s15_t1.0_a0.1_002.gff
45	5	N	N	1.494	2.864	2.724	0.140	1.0	0.1	s15_t1.0_a0.1_003.gff
281	69	N	N	2.645	5.365	5.165	0.200	1.0	0.1	s15_t1.0_a0.1_004.gff
1012	250	N	N	5.610	8.842	8.506	0.336	1.0	0.1	s15_t1.0_a0.1_005.gff
41	12	N	N	1.968	3.070	2.914	0.156	1.0	0.1	s15_t1.0_a0.1_006.gff
99	41	N	N	2.715	4.027	3.853	0.174	1.0	0.1	s15_t1.0_a0.1_007.gff
65	9	N	N	2.375	3.324	3.145	0.179	1.0	0.1	s15_t1.0_a0.1_008.gff
175	51	N	N	2.717	4.178	3.980	0.198	1.0	0.1	s15_t1.0_a0.1_009.gff
140	34	N	N	2.826	3.759	3.562	0.197	1.0	0.1	s15_t1.0_a0.1_010.gff
