# Starting date:             2014-10-09 18:46:47
# Cluster job ID:            9117056
# Cluster node:              hnode26
# Cluster queue:             mpi.q
# Complementation algorithm: safra
# Data:                      small.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	zstates	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
11419	0	N	N	4.943	10.583	10.227	0.356	1.0	0.1	s15_t1.0_a0.1_001.gff
1720	0	N	N	2.568	5.167	4.940	0.227	1.0	0.1	s15_t1.0_a0.1_002.gff
1	0	N	N	1.266	2.431	2.303	0.128	1.0	0.1	s15_t1.0_a0.1_003.gff
5363	0	N	N	3.354	7.400	7.108	0.292	1.0	0.1	s15_t1.0_a0.1_004.gff
71560	71560	N	N	19.291	51.917	50.990	0.927	1.0	0.1	s15_t1.0_a0.1_005.gff
75	0	N	N	1.369	2.641	2.506	0.135	1.0	0.1	s15_t1.0_a0.1_006.gff
471	0	N	N	1.780	3.364	3.208	0.156	1.0	0.1	s15_t1.0_a0.1_007.gff
132	0	N	N	1.440	2.777	2.629	0.148	1.0	0.1	s15_t1.0_a0.1_008.gff
1311	0	N	N	2.191	4.236	4.043	0.193	1.0	0.1	s15_t1.0_a0.1_009.gff
289	0	N	N	1.666	3.233	3.071	0.162	1.0	0.1	s15_t1.0_a0.1_010.gff
