# Starting date:             2014-10-09 19:04:00
# Cluster job ID:            9117284
# Cluster node:              hnode01
# Cluster queue:             mpi.q
# Complementation algorithm: slice -p -ro -macc -madj -eg
# Data:                      small.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	zstates	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
732	0	N	N	2.062	3.823	3.627	0.196	1.0	0.1	s15_t1.0_a0.1_001.gff
384	30	N	N	1.771	3.372	3.179	0.193	1.0	0.1	s15_t1.0_a0.1_002.gff
38	0	N	N	1.264	2.393	2.263	0.130	1.0	0.1	s15_t1.0_a0.1_003.gff
796	0	N	N	2.161	4.179	3.958	0.221	1.0	0.1	s15_t1.0_a0.1_004.gff
1617	25	N	N	2.631	4.885	4.651	0.234	1.0	0.1	s15_t1.0_a0.1_005.gff
41	0	N	N	1.266	2.403	2.272	0.131	1.0	0.1	s15_t1.0_a0.1_006.gff
278	158	N	N	1.662	3.145	2.962	0.183	1.0	0.1	s15_t1.0_a0.1_007.gff
61	5	N	N	1.293	2.459	2.326	0.133	1.0	0.1	s15_t1.0_a0.1_008.gff
364	9	N	N	1.718	3.272	3.088	0.184	1.0	0.1	s15_t1.0_a0.1_009.gff
167	14	N	N	1.488	2.843	2.700	0.143	1.0	0.1	s15_t1.0_a0.1_010.gff
