# Starting date:             2014-11-26 15:31:17
# Cluster job ID:            1186658
# Cluster node:              hnode16
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg
# Data:                      15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	zstates	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
1180	480	N	N	2.403	4.813	4.591	0.222	1.0	0.1	s15_t1.0_a0.1_001.gff
643	321	N	N	1.944	3.655	3.482	0.173	1.0	0.1	s15_t1.0_a0.1_002.gff
32	1	N	N	1.336	2.480	2.348	0.132	1.0	0.1	s15_t1.0_a0.1_003.gff
1401	681	N	N	2.687	5.354	5.119	0.235	1.0	0.1	s15_t1.0_a0.1_004.gff
3029	1435	N	N	4.103	7.281	6.983	0.298	1.0	0.1	s15_t1.0_a0.1_005.gff
76	34	N	N	1.373	2.543	2.408	0.135	1.0	0.1	s15_t1.0_a0.1_006.gff
756	647	N	N	2.007	3.807	3.591	0.216	1.0	0.1	s15_t1.0_a0.1_007.gff
101	47	N	N	1.421	2.615	2.466	0.149	1.0	0.1	s15_t1.0_a0.1_008.gff
412	126	N	N	1.746	3.220	3.063	0.157	1.0	0.1	s15_t1.0_a0.1_009.gff
289	151	N	N	1.651	3.055	2.905	0.150	1.0	0.1	s15_t1.0_a0.1_010.gff
59	4	N	N	1.379	2.537	2.408	0.129	1.0	0.1	s15_t1.0_a0.1_011.gff
131	0	N	N	1.498	2.750	2.591	0.159	1.0	0.1	s15_t1.0_a0.1_012.gff
20	4	N	N	1.367	2.454	2.302	0.152	1.0	0.1	s15_t1.0_a0.1_013.gff
438	128	N	N	1.849	3.378	3.168	0.210	1.0	0.1	s15_t1.0_a0.1_014.gff
117	50	N	N	1.531	2.756	2.610	0.146	1.0	0.1	s15_t1.0_a0.1_015.gff
6305	4766	N	N	8.452	12.160	11.854	0.306	1.0	0.1	s15_t1.0_a0.1_016.gff
241	150	N	N	1.609	2.970	2.803	0.167	1.0	0.1	s15_t1.0_a0.1_017.gff
32	0	N	N	1.342	2.469	2.331	0.138	1.0	0.1	s15_t1.0_a0.1_018.gff
35	15	N	N	1.341	2.435	2.284	0.151	1.0	0.1	s15_t1.0_a0.1_019.gff
313	73	N	N	1.706	3.159	2.993	0.166	1.0	0.1	s15_t1.0_a0.1_020.gff
2461	1415	N	N	3.606	6.968	6.673	0.295	1.0	0.1	s15_t1.0_a0.1_021.gff
133	45	N	N	1.490	2.715	2.568	0.147	1.0	0.1	s15_t1.0_a0.1_022.gff
35	13	N	N	1.337	2.435	2.294	0.141	1.0	0.1	s15_t1.0_a0.1_023.gff
490	412	N	N	1.871	3.525	3.364	0.161	1.0	0.1	s15_t1.0_a0.1_024.gff
58	0	N	N	1.397	2.548	2.403	0.145	1.0	0.1	s15_t1.0_a0.1_025.gff
34	1	N	N	1.355	2.453	2.311	0.142	1.0	0.1	s15_t1.0_a0.1_026.gff
170	60	N	N	1.557	2.875	2.720	0.155	1.0	0.1	s15_t1.0_a0.1_027.gff
229	67	N	N	1.645	3.035	2.881	0.154	1.0	0.1	s15_t1.0_a0.1_028.gff
1008	859	N	N	2.183	4.024	3.832	0.192	1.0	0.1	s15_t1.0_a0.1_029.gff
6463	2983	N	N	9.033	13.713	13.387	0.326	1.0	0.1	s15_t1.0_a0.1_030.gff
261	41	N	N	1.670	3.063	2.901	0.162	1.0	0.1	s15_t1.0_a0.1_031.gff
75	17	N	N	1.524	2.631	2.490	0.141	1.0	0.1	s15_t1.0_a0.1_032.gff
272	112	N	N	1.637	3.016	2.849	0.167	1.0	0.1	s15_t1.0_a0.1_033.gff
975	471	N	N	2.167	4.000	3.809	0.191	1.0	0.1	s15_t1.0_a0.1_034.gff
2045	941	N	N	3.119	6.230	5.952	0.278	1.0	0.1	s15_t1.0_a0.1_035.gff
3558	1396	N	N	4.569	8.940	8.630	0.310	1.0	0.1	s15_t1.0_a0.1_036.gff
82	53	N	N	1.411	2.584	2.427	0.157	1.0	0.1	s15_t1.0_a0.1_037.gff
950	429	N	N	2.168	4.058	3.895	0.163	1.0	0.1	s15_t1.0_a0.1_038.gff
30	5	N	N	1.363	2.422	2.270	0.152	1.0	0.1	s15_t1.0_a0.1_039.gff
61	43	N	N	1.384	2.534	2.384	0.150	1.0	0.1	s15_t1.0_a0.1_040.gff
65	3	N	N	1.403	2.565	2.423	0.142	1.0	0.1	s15_t1.0_a0.1_041.gff
97	29	N	N	1.473	2.681	2.553	0.128	1.0	0.1	s15_t1.0_a0.1_042.gff
190	5	N	N	1.607	2.946	2.797	0.149	1.0	0.1	s15_t1.0_a0.1_043.gff
4155	1965	N	N	5.247	9.591	9.302	0.289	1.0	0.1	s15_t1.0_a0.1_044.gff
2563	2214	N	N	3.617	6.710	6.428	0.282	1.0	0.1	s15_t1.0_a0.1_045.gff
1170	659	N	N	2.275	4.154	3.932	0.222	1.0	0.1	s15_t1.0_a0.1_046.gff
305	72	N	N	1.681	3.138	3.002	0.136	1.0	0.1	s15_t1.0_a0.1_047.gff
83	5	N	N	1.431	2.603	2.453	0.150	1.0	0.1	s15_t1.0_a0.1_048.gff
633	389	N	N	1.957	3.669	3.475	0.194	1.0	0.1	s15_t1.0_a0.1_049.gff
359	305	N	N	1.731	3.200	3.039	0.161	1.0	0.1	s15_t1.0_a0.1_050.gff
16	0	N	N	1.313	2.409	2.287	0.122	1.0	0.1	s15_t1.0_a0.1_051.gff
73	4	N	N	1.399	2.548	2.395	0.153	1.0	0.1	s15_t1.0_a0.1_052.gff
266	153	N	N	1.676	3.070	2.916	0.154	1.0	0.1	s15_t1.0_a0.1_053.gff
26	1	N	N	1.325	2.419	2.282	0.137	1.0	0.1	s15_t1.0_a0.1_054.gff
261	59	N	N	1.635	3.015	2.866	0.149	1.0	0.1	s15_t1.0_a0.1_055.gff
430	189	N	N	1.797	3.302	3.127	0.175	1.0	0.1	s15_t1.0_a0.1_056.gff
655	345	N	N	1.977	3.674	3.500	0.174	1.0	0.1	s15_t1.0_a0.1_057.gff
5825	2727	N	N	7.515	11.394	11.092	0.302	1.0	0.1	s15_t1.0_a0.1_058.gff
165	76	N	N	1.653	2.847	2.725	0.122	1.0	0.1	s15_t1.0_a0.1_059.gff
90	28	N	N	1.430	2.559	2.418	0.141	1.0	0.1	s15_t1.0_a0.1_060.gff
118	8	N	N	1.566	2.701	2.564	0.137	1.0	0.1	s15_t1.0_a0.1_061.gff
4736	2952	N	N	6.068	10.520	10.182	0.338	1.0	0.1	s15_t1.0_a0.1_062.gff
284	147	N	N	1.680	3.103	2.933	0.170	1.0	0.1	s15_t1.0_a0.1_063.gff
613	295	N	N	1.906	3.502	3.356	0.146	1.0	0.1	s15_t1.0_a0.1_064.gff
1832	747	N	N	2.899	5.919	5.673	0.246	1.0	0.1	s15_t1.0_a0.1_065.gff
4	0	N	N	1.419	2.312	2.183	0.129	1.0	0.1	s15_t1.0_a0.1_066.gff
482	246	N	N	1.941	3.317	3.176	0.141	1.0	0.1	s15_t1.0_a0.1_067.gff
87	52	N	N	1.431	2.614	2.465	0.149	1.0	0.1	s15_t1.0_a0.1_068.gff
