# Starting date:             2014-11-27 12:53:15
# Cluster job ID:            1186660
# Cluster node:              hnode42
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg -m1 -m2
# Data:                      15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	zstates	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
805	149	N	N	2.205	3.852	3.674	0.178	1.0	0.1	s15_t1.0_a0.1_001.gff
451	142	N	N	2.015	3.270	3.125	0.145	1.0	0.1	s15_t1.0_a0.1_002.gff
32	1	N	N	2.028	2.413	2.265	0.148	1.0	0.1	s15_t1.0_a0.1_003.gff
1010	342	N	N	3.140	4.147	3.958	0.189	1.0	0.1	s15_t1.0_a0.1_004.gff
1810	353	N	N	3.133	5.641	5.380	0.261	1.0	0.1	s15_t1.0_a0.1_005.gff
74	32	N	N	2.677	2.476	2.325	0.151	1.0	0.1	s15_t1.0_a0.1_006.gff
483	374	N	N	2.010	3.554	3.382	0.172	1.0	0.1	s15_t1.0_a0.1_007.gff
99	45	N	N	2.102	2.577	2.425	0.152	1.0	0.1	s15_t1.0_a0.1_008.gff
328	61	N	N	4.100	3.157	2.984	0.173	1.0	0.1	s15_t1.0_a0.1_009.gff
218	80	N	N	1.864	2.915	2.771	0.144	1.0	0.1	s15_t1.0_a0.1_010.gff
58	4	N	N	2.439	2.537	2.401	0.136	1.0	0.1	s15_t1.0_a0.1_011.gff
127	0	N	N	2.750	2.625	2.497	0.128	1.0	0.1	s15_t1.0_a0.1_012.gff
20	4	N	N	1.530	2.383	2.251	0.132	1.0	0.1	s15_t1.0_a0.1_013.gff
350	62	N	N	1.830	3.220	3.064	0.156	1.0	0.1	s15_t1.0_a0.1_014.gff
104	38	N	N	1.619	2.655	2.521	0.134	1.0	0.1	s15_t1.0_a0.1_015.gff
2672	1184	N	N	4.175	6.596	6.331	0.265	1.0	0.1	s15_t1.0_a0.1_016.gff
