# Starting date:             2014-11-27 12:53:16
# Cluster job ID:            1186661
# Cluster node:              hnode11
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg -macc
# Data:                      15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	zstates	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
1197	447	N	N	2.967	4.929	4.717	0.212	1.0	0.1	s15_t1.0_a0.1_001.gff
687	317	N	N	2.070	3.702	3.518	0.184	1.0	0.1	s15_t1.0_a0.1_002.gff
39	1	N	N	1.407	2.439	2.292	0.147	1.0	0.1	s15_t1.0_a0.1_003.gff
1445	604	N	N	2.606	5.323	5.082	0.241	1.0	0.1	s15_t1.0_a0.1_004.gff
3071	1430	N	N	6.852	7.126	6.823	0.303	1.0	0.1	s15_t1.0_a0.1_005.gff
67	26	N	N	1.654	2.544	2.405	0.139	1.0	0.1	s15_t1.0_a0.1_006.gff
728	608	N	N	2.296	3.775	3.601	0.174	1.0	0.1	s15_t1.0_a0.1_007.gff
91	35	N	N	1.651	2.612	2.450	0.162	1.0	0.1	s15_t1.0_a0.1_008.gff
533	172	N	N	3.162	3.518	3.348	0.170	1.0	0.1	s15_t1.0_a0.1_009.gff
298	145	N	N	2.310	3.105	2.930	0.175	1.0	0.1	s15_t1.0_a0.1_010.gff
82	22	N	N	1.698	2.564	2.427	0.137	1.0	0.1	s15_t1.0_a0.1_011.gff
180	2	N	N	2.750	2.902	2.746	0.156	1.0	0.1	s15_t1.0_a0.1_012.gff
22	4	N	N	1.512	2.416	2.265	0.151	1.0	0.1	s15_t1.0_a0.1_013.gff
464	128	N	N	2.147	3.373	3.208	0.165	1.0	0.1	s15_t1.0_a0.1_014.gff
178	101	N	N	1.823	2.770	2.639	0.131	1.0	0.1	s15_t1.0_a0.1_015.gff
6058	4579	N	N	7.853	12.798	12.506	0.292	1.0	0.1	s15_t1.0_a0.1_016.gff
179	93	N	N	1.650	2.749	2.625	0.124	1.0	0.1	s15_t1.0_a0.1_017.gff
48	14	N	N	1.637	2.506	2.338	0.168	1.0	0.1	s15_t1.0_a0.1_018.gff
33	16	N	N	1.816	2.445	2.303	0.142	1.0	0.1	s15_t1.0_a0.1_019.gff
335	73	N	N	1.990	3.173	3.013	0.160	1.0	0.1	s15_t1.0_a0.1_020.gff
2656	1546	N	N	4.016	6.937	6.657	0.280	1.0	0.1	s15_t1.0_a0.1_021.gff
169	48	N	N	1.710	2.851	2.699	0.152	1.0	0.1	s15_t1.0_a0.1_022.gff
34	12	N	N	1.509	2.459	2.300	0.159	1.0	0.1	s15_t1.0_a0.1_023.gff
311	239	N	N	1.715	3.099	2.937	0.162	1.0	0.1	s15_t1.0_a0.1_024.gff
60	0	N	N	1.487	2.555	2.408	0.147	1.0	0.1	s15_t1.0_a0.1_025.gff
36	1	N	N	1.609	2.379	2.250	0.129	1.0	0.1	s15_t1.0_a0.1_026.gff
172	55	N	N	2.133	2.820	2.675	0.145	1.0	0.1	s15_t1.0_a0.1_027.gff
229	67	N	N	2.446	3.041	2.885	0.156	1.0	0.1	s15_t1.0_a0.1_028.gff
148	73	N	N	1.709	2.863	2.703	0.160	1.0	0.1	s15_t1.0_a0.1_029.gff
6973	3420	N	N	9.952	14.196	13.874	0.322	1.0	0.1	s15_t1.0_a0.1_030.gff
277	44	N	N	1.877	3.137	2.962	0.175	1.0	0.1	s15_t1.0_a0.1_031.gff
73	17	N	N	2.374	2.546	2.395	0.151	1.0	0.1	s15_t1.0_a0.1_032.gff
309	106	N	N	1.776	3.115	2.981	0.134	1.0	0.1	s15_t1.0_a0.1_033.gff
893	433	N	N	2.242	3.886	3.705	0.181	1.0	0.1	s15_t1.0_a0.1_034.gff
2044	953	N	N	3.251	6.479	6.199	0.280	1.0	0.1	s15_t1.0_a0.1_035.gff
3652	1399	N	N	4.934	9.257	8.969	0.288	1.0	0.1	s15_t1.0_a0.1_036.gff
88	63	N	N	1.542	2.591	2.445	0.146	1.0	0.1	s15_t1.0_a0.1_037.gff
1020	421	N	N	2.941	4.720	4.509	0.211	1.0	0.1	s15_t1.0_a0.1_038.gff
39	13	N	N	1.481	2.497	2.358	0.139	1.0	0.1	s15_t1.0_a0.1_039.gff
47	30	N	N	1.543	2.522	2.385	0.137	1.0	0.1	s15_t1.0_a0.1_040.gff
82	17	N	N	1.388	2.518	2.387	0.131	1.0	0.1	s15_t1.0_a0.1_041.gff
95	26	N	N	1.512	2.599	2.482	0.117	1.0	0.1	s15_t1.0_a0.1_042.gff
206	5	N	N	1.826	2.991	2.861	0.130	1.0	0.1	s15_t1.0_a0.1_043.gff
3774	1762	N	N	4.899	7.790	7.521	0.269	1.0	0.1	s15_t1.0_a0.1_044.gff
1939	1631	N	N	4.497	6.184	5.922	0.262	1.0	0.1	s15_t1.0_a0.1_045.gff
1157	614	N	N	2.447	4.291	4.113	0.178	1.0	0.1	s15_t1.0_a0.1_046.gff
346	69	N	N	1.778	3.198	3.031	0.167	1.0	0.1	s15_t1.0_a0.1_047.gff
