# Starting date:             2014-11-27 19:18:15
# Cluster job ID:            1186662
# Cluster node:              hnode15
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg -r
# Data:                      15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	zstates	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
700	0	N	N	2.703	4.895	4.686	0.209	1.0	0.1	s15_t1.0_a0.1_001.gff
322	0	N	N	1.885	3.535	3.380	0.155	1.0	0.1	s15_t1.0_a0.1_002.gff
31	0	N	N	1.347	2.459	2.309	0.150	1.0	0.1	s15_t1.0_a0.1_003.gff
720	0	N	N	2.629	5.213	4.999	0.214	1.0	0.1	s15_t1.0_a0.1_004.gff
1594	0	N	N	4.143	8.599	8.322	0.277	1.0	0.1	s15_t1.0_a0.1_005.gff
42	0	N	N	1.389	2.518	2.383	0.135	1.0	0.1	s15_t1.0_a0.1_006.gff
109	0	N	N	1.819	3.334	3.184	0.150	1.0	0.1	s15_t1.0_a0.1_007.gff
54	0	N	N	1.426	2.560	2.435	0.125	1.0	0.1	s15_t1.0_a0.1_008.gff
286	0	N	N	2.028	3.230	3.074	0.156	1.0	0.1	s15_t1.0_a0.1_009.gff
138	0	N	N	1.797	2.922	2.773	0.149	1.0	0.1	s15_t1.0_a0.1_010.gff
55	0	N	N	1.529	2.532	2.406	0.126	1.0	0.1	s15_t1.0_a0.1_011.gff
131	0	N	N	1.681	2.766	2.613	0.153	1.0	0.1	s15_t1.0_a0.1_012.gff
16	0	N	N	1.408	2.404	2.248	0.156	1.0	0.1	s15_t1.0_a0.1_013.gff
310	0	N	N	1.819	3.363	3.213	0.150	1.0	0.1	s15_t1.0_a0.1_014.gff
67	0	N	N	3.331	2.622	2.475	0.147	1.0	0.1	s15_t1.0_a0.1_015.gff
1539	0	N	N	8.464	12.602	12.305	0.297	1.0	0.1	s15_t1.0_a0.1_016.gff
91	0	N	N	1.634	2.792	2.669	0.123	1.0	0.1	s15_t1.0_a0.1_017.gff
32	0	N	N	1.929	2.374	2.240	0.134	1.0	0.1	s15_t1.0_a0.1_018.gff
20	0	N	N	1.325	2.386	2.246	0.140	1.0	0.1	s15_t1.0_a0.1_019.gff
240	0	N	N	1.683	3.092	2.951	0.141	1.0	0.1	s15_t1.0_a0.1_020.gff
1046	0	N	N	3.431	6.341	6.080	0.261	1.0	0.1	s15_t1.0_a0.1_021.gff
88	0	N	N	1.486	2.716	2.580	0.136	1.0	0.1	s15_t1.0_a0.1_022.gff
22	0	N	N	1.360	2.426	2.280	0.146	1.0	0.1	s15_t1.0_a0.1_023.gff
78	0	N	N	1.676	3.091	2.932	0.159	1.0	0.1	s15_t1.0_a0.1_024.gff
58	0	N	N	1.395	2.547	2.404	0.143	1.0	0.1	s15_t1.0_a0.1_025.gff
33	0	N	N	1.330	2.398	2.251	0.147	1.0	0.1	s15_t1.0_a0.1_026.gff
110	0	N	N	1.512	2.751	2.615	0.136	1.0	0.1	s15_t1.0_a0.1_027.gff
162	0	N	N	1.575	2.851	2.719	0.132	1.0	0.1	s15_t1.0_a0.1_028.gff
149	0	N	N	2.199	3.537	3.379	0.158	1.0	0.1	s15_t1.0_a0.1_029.gff
3480	0	N	N	8.858	13.496	13.174	0.322	1.0	0.1	s15_t1.0_a0.1_030.gff
220	0	N	N	1.782	3.135	2.980	0.155	1.0	0.1	s15_t1.0_a0.1_031.gff
58	0	N	N	1.580	2.610	2.450	0.160	1.0	0.1	s15_t1.0_a0.1_032.gff
160	0	N	N	1.606	2.926	2.776	0.150	1.0	0.1	s15_t1.0_a0.1_033.gff
504	0	N	N	2.096	3.759	3.572	0.187	1.0	0.1	s15_t1.0_a0.1_034.gff
1104	0	N	N	3.273	6.107	5.852	0.255	1.0	0.1	s15_t1.0_a0.1_035.gff
2162	0	N	N	4.696	9.303	9.002	0.301	1.0	0.1	s15_t1.0_a0.1_036.gff
29	0	N	N	1.529	2.519	2.385	0.134	1.0	0.1	s15_t1.0_a0.1_037.gff
521	0	N	N	2.165	3.877	3.690	0.187	1.0	0.1	s15_t1.0_a0.1_038.gff
25	0	N	N	1.416	2.403	2.267	0.136	1.0	0.1	s15_t1.0_a0.1_039.gff
18	0	N	N	1.602	2.441	2.308	0.133	1.0	0.1	s15_t1.0_a0.1_040.gff
62	0	N	N	1.559	2.570	2.421	0.149	1.0	0.1	s15_t1.0_a0.1_041.gff
68	0	N	N	1.647	2.626	2.484	0.142	1.0	0.1	s15_t1.0_a0.1_042.gff
185	0	N	N	2.823	2.989	2.840	0.149	1.0	0.1	s15_t1.0_a0.1_043.gff
2190	0	N	N	5.443	9.374	9.104	0.270	1.0	0.1	s15_t1.0_a0.1_044.gff
349	0	N	N	3.316	5.905	5.671	0.234	1.0	0.1	s15_t1.0_a0.1_045.gff
511	0	N	N	2.247	3.986	3.803	0.183	1.0	0.1	s15_t1.0_a0.1_046.gff
233	0	N	N	1.678	3.054	2.898	0.156	1.0	0.1	s15_t1.0_a0.1_047.gff
78	0	N	N	1.454	2.582	2.448	0.134	1.0	0.1	s15_t1.0_a0.1_048.gff
244	0	N	N	1.959	3.381	3.235	0.146	1.0	0.1	s15_t1.0_a0.1_049.gff
54	0	N	N	1.869	2.849	2.701	0.148	1.0	0.1	s15_t1.0_a0.1_050.gff
16	0	N	N	1.317	2.366	2.230	0.136	1.0	0.1	s15_t1.0_a0.1_051.gff
69	0	N	N	1.408	2.564	2.425	0.139	1.0	0.1	s15_t1.0_a0.1_052.gff
113	0	N	N	1.597	2.866	2.716	0.150	1.0	0.1	s15_t1.0_a0.1_053.gff
25	0	N	N	1.319	2.387	2.256	0.131	1.0	0.1	s15_t1.0_a0.1_054.gff
