# Starting date:             2014-11-27 20:33:06
# Cluster job ID:            1186663
# Cluster node:              hnode07
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg -r2c
# Data:                      15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	zstates	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
1180	480	N	N	2.943	4.979	4.735	0.244	1.0	0.1	s15_t1.0_a0.1_001.gff
643	321	N	N	2.552	3.683	3.508	0.175	1.0	0.1	s15_t1.0_a0.1_002.gff
32	1	N	N	1.636	2.458	2.296	0.162	1.0	0.1	s15_t1.0_a0.1_003.gff
1401	681	N	N	2.884	5.326	5.106	0.220	1.0	0.1	s15_t1.0_a0.1_004.gff
3029	1435	N	N	5.723	6.854	6.584	0.270	1.0	0.1	s15_t1.0_a0.1_005.gff
76	34	N	N	1.517	2.521	2.373	0.148	1.0	0.1	s15_t1.0_a0.1_006.gff
756	647	N	N	7.584	3.862	3.654	0.208	1.0	0.1	s15_t1.0_a0.1_007.gff
101	47	N	N	1.966	2.625	2.483	0.142	1.0	0.1	s15_t1.0_a0.1_008.gff
412	126	N	N	2.005	3.217	3.041	0.176	1.0	0.1	s15_t1.0_a0.1_009.gff
289	151	N	N	1.907	3.016	2.867	0.149	1.0	0.1	s15_t1.0_a0.1_010.gff
59	4	N	N	1.571	2.521	2.369	0.152	1.0	0.1	s15_t1.0_a0.1_011.gff
131	0	N	N	1.724	2.697	2.544	0.153	1.0	0.1	s15_t1.0_a0.1_012.gff
20	4	N	N	1.533	2.386	2.223	0.163	1.0	0.1	s15_t1.0_a0.1_013.gff
438	128	N	N	4.710	3.360	3.179	0.181	1.0	0.1	s15_t1.0_a0.1_014.gff
117	50	N	N	1.604	2.662	2.493	0.169	1.0	0.1	s15_t1.0_a0.1_015.gff
6305	4766	N	N	8.508	11.927	11.646	0.281	1.0	0.1	s15_t1.0_a0.1_016.gff
241	150	N	N	1.948	2.995	2.821	0.174	1.0	0.1	s15_t1.0_a0.1_017.gff
32	0	N	N	3.535	2.453	2.302	0.151	1.0	0.1	s15_t1.0_a0.1_018.gff
35	15	N	N	1.633	2.409	2.249	0.160	1.0	0.1	s15_t1.0_a0.1_019.gff
313	73	N	N	1.947	3.183	3.009	0.174	1.0	0.1	s15_t1.0_a0.1_020.gff
2461	1415	N	N	4.405	6.663	6.386	0.277	1.0	0.1	s15_t1.0_a0.1_021.gff
133	45	N	N	1.612	2.798	2.655	0.143	1.0	0.1	s15_t1.0_a0.1_022.gff
35	13	N	N	1.573	2.413	2.267	0.146	1.0	0.1	s15_t1.0_a0.1_023.gff
490	412	N	N	2.356	3.463	3.286	0.177	1.0	0.1	s15_t1.0_a0.1_024.gff
58	0	N	N	1.693	2.524	2.365	0.159	1.0	0.1	s15_t1.0_a0.1_025.gff
34	1	N	N	3.036	2.472	2.318	0.154	1.0	0.1	s15_t1.0_a0.1_026.gff
170	60	N	N	1.681	2.789	2.629	0.160	1.0	0.1	s15_t1.0_a0.1_027.gff
229	67	N	N	1.582	2.930	2.785	0.145	1.0	0.1	s15_t1.0_a0.1_028.gff
1008	859	N	N	2.375	4.065	3.863	0.202	1.0	0.1	s15_t1.0_a0.1_029.gff
6463	2983	N	N	8.869	13.096	12.748	0.348	1.0	0.1	s15_t1.0_a0.1_030.gff
261	41	N	N	3.010	3.078	2.924	0.154	1.0	0.1	s15_t1.0_a0.1_031.gff
75	17	N	N	1.894	2.570	2.415	0.155	1.0	0.1	s15_t1.0_a0.1_032.gff
272	112	N	N	1.902	2.957	2.800	0.157	1.0	0.1	s15_t1.0_a0.1_033.gff
