# Starting date:             2014-11-28 09:51:56
# Cluster job ID:            1186664
# Cluster node:              hnode42
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg -rr
# Data:                      15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	zstates	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
734	287	N	N	3.123	3.791	3.624	0.167	1.0	0.1	s15_t1.0_a0.1_001.gff
507	248	N	N	2.312	3.458	3.273	0.185	1.0	0.1	s15_t1.0_a0.1_002.gff
2	0	N	N	2.376	2.385	2.236	0.149	1.0	0.1	s15_t1.0_a0.1_003.gff
438	168	N	N	1.733	3.220	3.044	0.176	1.0	0.1	s15_t1.0_a0.1_004.gff
2555	1261	N	N	5.469	7.876	7.571	0.305	1.0	0.1	s15_t1.0_a0.1_005.gff
26	9	N	N	3.174	2.495	2.346	0.149	1.0	0.1	s15_t1.0_a0.1_006.gff
602	513	N	N	4.877	3.634	3.442	0.192	1.0	0.1	s15_t1.0_a0.1_007.gff
80	37	N	N	2.617	2.571	2.401	0.170	1.0	0.1	s15_t1.0_a0.1_008.gff
384	113	N	N	2.281	3.186	3.029	0.157	1.0	0.1	s15_t1.0_a0.1_009.gff
239	121	N	N	2.607	2.905	2.771	0.134	1.0	0.1	s15_t1.0_a0.1_010.gff
55	3	N	N	2.999	2.541	2.384	0.157	1.0	0.1	s15_t1.0_a0.1_011.gff
2	0	N	N	3.654	2.379	2.236	0.143	1.0	0.1	s15_t1.0_a0.1_012.gff
2	0	N	N	2.513	2.322	2.176	0.146	1.0	0.1	s15_t1.0_a0.1_013.gff
438	128	N	N	1.768	3.275	3.109	0.166	1.0	0.1	s15_t1.0_a0.1_014.gff
98	44	N	N	2.071	2.687	2.530	0.157	1.0	0.1	s15_t1.0_a0.1_015.gff
6305	4766	N	N	9.809	11.837	11.522	0.315	1.0	0.1	s15_t1.0_a0.1_016.gff
128	76	N	N	2.687	2.721	2.567	0.154	1.0	0.1	s15_t1.0_a0.1_017.gff
2	0	N	N	1.488	2.429	2.289	0.140	1.0	0.1	s15_t1.0_a0.1_018.gff
21	7	N	N	1.465	2.418	2.293	0.125	1.0	0.1	s15_t1.0_a0.1_019.gff
204	47	N	N	4.313	2.971	2.817	0.154	1.0	0.1	s15_t1.0_a0.1_020.gff
2102	1224	N	N	4.060	6.502	6.239	0.263	1.0	0.1	s15_t1.0_a0.1_021.gff
114	39	N	N	1.537	2.646	2.491	0.155	1.0	0.1	s15_t1.0_a0.1_022.gff
34	12	N	N	1.504	2.480	2.334	0.146	1.0	0.1	s15_t1.0_a0.1_023.gff
437	367	N	N	1.887	3.352	3.163	0.189	1.0	0.1	s15_t1.0_a0.1_024.gff
4	0	N	N	1.559	2.419	2.278	0.141	1.0	0.1	s15_t1.0_a0.1_025.gff
2	0	N	N	1.349	2.341	2.198	0.143	1.0	0.1	s15_t1.0_a0.1_026.gff
145	51	N	N	1.926	2.777	2.639	0.138	1.0	0.1	s15_t1.0_a0.1_027.gff
227	67	N	N	1.913	3.003	2.849	0.154	1.0	0.1	s15_t1.0_a0.1_028.gff
988	841	N	N	2.120	3.865	3.691	0.174	1.0	0.1	s15_t1.0_a0.1_029.gff
6463	2983	N	N	8.912	13.292	12.961	0.331	1.0	0.1	s15_t1.0_a0.1_030.gff
2	0	N	N	2.060	2.357	2.214	0.143	1.0	0.1	s15_t1.0_a0.1_031.gff
70	17	N	N	2.657	2.506	2.361	0.145	1.0	0.1	s15_t1.0_a0.1_032.gff
233	93	N	N	1.714	3.009	2.857	0.152	1.0	0.1	s15_t1.0_a0.1_033.gff
655	336	N	N	2.663	3.725	3.555	0.170	1.0	0.1	s15_t1.0_a0.1_034.gff
1033	716	N	N	2.469	4.220	4.025	0.195	1.0	0.1	s15_t1.0_a0.1_035.gff
3083	1208	N	N	6.610	7.449	7.172	0.277	1.0	0.1	s15_t1.0_a0.1_036.gff
82	53	N	N	1.699	2.531	2.391	0.140	1.0	0.1	s15_t1.0_a0.1_037.gff
741	335	N	N	3.819	3.816	3.629	0.187	1.0	0.1	s15_t1.0_a0.1_038.gff
2	0	N	N	1.450	2.350	2.197	0.153	1.0	0.1	s15_t1.0_a0.1_039.gff
61	43	N	N	1.600	2.580	2.442	0.138	1.0	0.1	s15_t1.0_a0.1_040.gff
2	0	N	N	4.659	2.382	2.227	0.155	1.0	0.1	s15_t1.0_a0.1_041.gff
78	22	N	N	1.594	2.569	2.422	0.147	1.0	0.1	s15_t1.0_a0.1_042.gff
174	4	N	N	2.930	2.898	2.752	0.146	1.0	0.1	s15_t1.0_a0.1_043.gff
3079	1433	N	N	6.538	8.138	7.851	0.287	1.0	0.1	s15_t1.0_a0.1_044.gff
2085	1795	N	N	3.354	6.337	6.087	0.250	1.0	0.1	s15_t1.0_a0.1_045.gff
917	526	N	N	6.018	3.867	3.671	0.196	1.0	0.1	s15_t1.0_a0.1_046.gff
87	20	N	N	3.491	2.667	2.502	0.165	1.0	0.1	s15_t1.0_a0.1_047.gff
2	0	N	N	1.291	2.324	2.185	0.139	1.0	0.1	s15_t1.0_a0.1_048.gff
465	275	N	N	2.900	3.332	3.158	0.174	1.0	0.1	s15_t1.0_a0.1_049.gff
356	303	N	N	2.378	3.190	3.013	0.177	1.0	0.1	s15_t1.0_a0.1_050.gff
2	0	N	N	1.796	2.251	2.111	0.140	1.0	0.1	s15_t1.0_a0.1_051.gff
2	0	N	N	3.706	2.282	2.147	0.135	1.0	0.1	s15_t1.0_a0.1_052.gff
117	62	N	N	8.569	2.677	2.526	0.151	1.0	0.1	s15_t1.0_a0.1_053.gff
2	0	N	N	4.551	2.320	2.174	0.146	1.0	0.1	s15_t1.0_a0.1_054.gff
67	19	N	N	5.134	2.604	2.455	0.149	1.0	0.1	s15_t1.0_a0.1_055.gff
346	163	N	N	1.993	3.139	2.985	0.154	1.0	0.1	s15_t1.0_a0.1_056.gff
171	85	N	N	1.694	2.784	2.645	0.139	1.0	0.1	s15_t1.0_a0.1_057.gff
4725	2165	N	N	10.177	9.401	9.100	0.301	1.0	0.1	s15_t1.0_a0.1_058.gff
115	52	N	N	1.551	2.652	2.506	0.146	1.0	0.1	s15_t1.0_a0.1_059.gff
70	20	N	N	1.604	2.518	2.374	0.144	1.0	0.1	s15_t1.0_a0.1_060.gff
2	0	N	N	1.414	2.306	2.166	0.140	1.0	0.1	s15_t1.0_a0.1_061.gff
4736	2952	N	N	6.154	9.536	9.260	0.276	1.0	0.1	s15_t1.0_a0.1_062.gff
155	83	N	N	1.627	2.762	2.623	0.139	1.0	0.1	s15_t1.0_a0.1_063.gff
412	177	N	N	2.070	3.169	2.997	0.172	1.0	0.1	s15_t1.0_a0.1_064.gff
784	364	N	N	2.057	3.747	3.570	0.177	1.0	0.1	s15_t1.0_a0.1_065.gff
2	0	N	N	2.998	2.341	2.203	0.138	1.0	0.1	s15_t1.0_a0.1_066.gff
268	133	N	N	1.898	3.049	2.885	0.164	1.0	0.1	s15_t1.0_a0.1_067.gff
15	8	N	N	2.142	2.351	2.206	0.145	1.0	0.1	s15_t1.0_a0.1_068.gff
933	367	N	N	2.445	4.502	4.298	0.204	1.0	0.1	s15_t1.0_a0.1_069.gff
15	8	N	N	1.375	2.366	2.223	0.143	1.0	0.1	s15_t1.0_a0.1_070.gff
