# Starting date:             2014-12-02 20:21:50
# Cluster job ID:            1409634
# Cluster node:              hnode38
# Cluster queue:             mpi.q
# Complementation algorithm: piterman -eq -ro
# Data:                      15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
607	N	N	3.630	4.325	4.080	0.245	1.0	0.1	s15_t1.0_a0.1_001.gff
311	N	N	2.403	3.529	3.307	0.222	1.0	0.1	s15_t1.0_a0.1_002.gff
38	N	N	1.548	2.431	2.297	0.134	1.0	0.1	s15_t1.0_a0.1_003.gff
514	N	N	2.867	4.470	4.212	0.258	1.0	0.1	s15_t1.0_a0.1_004.gff
1087	N	N	3.679	6.345	6.053	0.292	1.0	0.1	s15_t1.0_a0.1_005.gff
47	N	N	1.543	2.603	2.452	0.151	1.0	0.1	s15_t1.0_a0.1_006.gff
115	N	N	1.899	3.042	2.864	0.178	1.0	0.1	s15_t1.0_a0.1_007.gff
71	N	N	1.468	2.730	2.588	0.142	1.0	0.1	s15_t1.0_a0.1_008.gff
182	N	N	1.961	3.145	2.965	0.180	1.0	0.1	s15_t1.0_a0.1_009.gff
129	N	N	1.937	2.972	2.795	0.177	1.0	0.1	s15_t1.0_a0.1_010.gff
70	N	N	1.596	2.574	2.431	0.143	1.0	0.1	s15_t1.0_a0.1_011.gff
165	N	N	6.487	3.015	2.837	0.178	1.0	0.1	s15_t1.0_a0.1_012.gff
20	N	N	1.885	2.378	2.235	0.143	1.0	0.1	s15_t1.0_a0.1_013.gff
221	N	N	2.031	3.116	2.959	0.157	1.0	0.1	s15_t1.0_a0.1_014.gff
79	N	N	1.728	2.763	2.616	0.147	1.0	0.1	s15_t1.0_a0.1_015.gff
710	N	N	4.605	5.252	4.962	0.290	1.0	0.1	s15_t1.0_a0.1_016.gff
96	N	N	6.507	2.996	2.820	0.176	1.0	0.1	s15_t1.0_a0.1_017.gff
31	N	N	1.523	2.426	2.276	0.150	1.0	0.1	s15_t1.0_a0.1_018.gff
26	N	N	1.530	2.327	2.181	0.146	1.0	0.1	s15_t1.0_a0.1_019.gff
171	N	N	2.760	3.201	3.038	0.163	1.0	0.1	s15_t1.0_a0.1_020.gff
379	N	N	2.339	4.162	3.918	0.244	1.0	0.1	s15_t1.0_a0.1_021.gff
73	N	N	1.709	2.752	2.606	0.146	1.0	0.1	s15_t1.0_a0.1_022.gff
31	N	N	1.488	2.466	2.323	0.143	1.0	0.1	s15_t1.0_a0.1_023.gff
70	N	N	1.746	2.935	2.775	0.160	1.0	0.1	s15_t1.0_a0.1_024.gff
45	N	N	1.601	2.597	2.450	0.147	1.0	0.1	s15_t1.0_a0.1_025.gff
27	N	N	1.717	2.399	2.262	0.137	1.0	0.1	s15_t1.0_a0.1_026.gff
120	N	N	1.848	2.904	2.749	0.155	1.0	0.1	s15_t1.0_a0.1_027.gff
162	N	N	2.988	3.018	2.845	0.173	1.0	0.1	s15_t1.0_a0.1_028.gff
