# Starting date:             2014-11-29 11:44:50
# Cluster job ID:            1265408
# Cluster node:              hnode16
# Cluster queue:             mpi.q
# Complementation algorithm: piterman -eq -sim -ro
# Data:                      15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
574	N	N	3.220	5.076	4.847	0.229	1.0	0.1	s15_t1.0_a0.1_001.gff
296	N	N	3.631	4.262	4.054	0.208	1.0	0.1	s15_t1.0_a0.1_002.gff
39	N	N	1.972	2.511	2.374	0.137	1.0	0.1	s15_t1.0_a0.1_003.gff
414	N	N	5.237	5.172	4.920	0.252	1.0	0.1	s15_t1.0_a0.1_004.gff
1078	N	N	9.717	8.106	7.785	0.321	1.0	0.1	s15_t1.0_a0.1_005.gff
39	N	N	2.574	2.824	2.672	0.152	1.0	0.1	s15_t1.0_a0.1_006.gff
115	N	N	2.139	3.631	3.455	0.176	1.0	0.1	s15_t1.0_a0.1_007.gff
62	N	N	5.187	2.945	2.780	0.165	1.0	0.1	s15_t1.0_a0.1_008.gff
182	N	N	3.207	3.751	3.554	0.197	1.0	0.1	s15_t1.0_a0.1_009.gff
115	N	N	2.067	3.292	3.111	0.181	1.0	0.1	s15_t1.0_a0.1_010.gff
70	N	N	1.985	2.955	2.811	0.144	1.0	0.1	s15_t1.0_a0.1_011.gff
87	N	N	2.751	3.121	2.967	0.154	1.0	0.1	s15_t1.0_a0.1_012.gff
19	N	N	1.572	2.450	2.270	0.180	1.0	0.1	s15_t1.0_a0.1_013.gff
209	N	N	1.932	3.793	3.597	0.196	1.0	0.1	s15_t1.0_a0.1_014.gff
79	N	N	2.507	2.945	2.797	0.148	1.0	0.1	s15_t1.0_a0.1_015.gff
622	N	N	3.777	6.286	6.011	0.275	1.0	0.1	s15_t1.0_a0.1_016.gff
78	N	N	4.083	3.150	2.991	0.159	1.0	0.1	s15_t1.0_a0.1_017.gff
19	N	N	1.563	2.541	2.401	0.140	1.0	0.1	s15_t1.0_a0.1_018.gff
26	N	N	2.694	2.590	2.445	0.145	1.0	0.1	s15_t1.0_a0.1_019.gff
153	N	N	2.090	3.711	3.500	0.211	1.0	0.1	s15_t1.0_a0.1_020.gff
356	N	N	3.350	5.107	4.835	0.272	1.0	0.1	s15_t1.0_a0.1_021.gff
67	N	N	3.305	3.002	2.811	0.191	1.0	0.1	s15_t1.0_a0.1_022.gff
31	N	N	1.662	2.610	2.471	0.139	1.0	0.1	s15_t1.0_a0.1_023.gff
53	N	N	3.879	2.926	2.782	0.144	1.0	0.1	s15_t1.0_a0.1_024.gff
45	N	N	2.010	2.754	2.607	0.147	1.0	0.1	s15_t1.0_a0.1_025.gff
2	N	N	1.623	2.433	2.309	0.124	1.0	0.1	s15_t1.0_a0.1_026.gff
110	N	N	1.979	3.113	2.943	0.170	1.0	0.1	s15_t1.0_a0.1_027.gff
152	N	N	1.969	3.404	3.240	0.164	1.0	0.1	s15_t1.0_a0.1_028.gff
260	N	N	4.006	5.012	4.772	0.240	1.0	0.1	s15_t1.0_a0.1_029.gff
1882	N	N	7.768	11.640	11.280	0.360	1.0	0.1	s15_t1.0_a0.1_030.gff
254	N	N	4.919	4.080	3.872	0.208	1.0	0.1	s15_t1.0_a0.1_031.gff
63	N	N	1.603	2.788	2.647	0.141	1.0	0.1	s15_t1.0_a0.1_032.gff
130	N	N	2.107	3.615	3.447	0.168	1.0	0.1	s15_t1.0_a0.1_033.gff
241	N	N	3.501	4.140	3.897	0.243	1.0	0.1	s15_t1.0_a0.1_034.gff
372	N	N	4.083	4.957	4.683	0.274	1.0	0.1	s15_t1.0_a0.1_035.gff
1084	N	N	4.273	7.347	7.057	0.290	1.0	0.1	s15_t1.0_a0.1_036.gff
17	N	N	3.651	2.551	2.395	0.156	1.0	0.1	s15_t1.0_a0.1_037.gff
229	N	N	2.653	4.292	4.045	0.247	1.0	0.1	s15_t1.0_a0.1_038.gff
2	N	N	1.543	2.502	2.341	0.161	1.0	0.1	s15_t1.0_a0.1_039.gff
27	N	N	2.033	2.741	2.602	0.139	1.0	0.1	s15_t1.0_a0.1_040.gff
38	N	N	4.583	2.815	2.655	0.160	1.0	0.1	s15_t1.0_a0.1_041.gff
73	N	N	1.831	2.917	2.758	0.159	1.0	0.1	s15_t1.0_a0.1_042.gff
217	N	N	1.909	3.719	3.523	0.196	1.0	0.1	s15_t1.0_a0.1_043.gff
1454	N	N	7.175	10.185	9.891	0.294	1.0	0.1	s15_t1.0_a0.1_044.gff
205	N	N	2.657	4.596	4.355	0.241	1.0	0.1	s15_t1.0_a0.1_045.gff
302	N	N	7.362	4.094	3.869	0.225	1.0	0.1	s15_t1.0_a0.1_046.gff
207	N	N	6.715	3.811	3.617	0.194	1.0	0.1	s15_t1.0_a0.1_047.gff
65	N	N	5.169	2.894	2.727	0.167	1.0	0.1	s15_t1.0_a0.1_048.gff
146	N	N	2.204	3.473	3.316	0.157	1.0	0.1	s15_t1.0_a0.1_049.gff
119	N	N	2.088	3.702	3.518	0.184	1.0	0.1	s15_t1.0_a0.1_050.gff
13	N	N	2.288	2.340	2.192	0.148	1.0	0.1	s15_t1.0_a0.1_051.gff
80	N	N	1.774	2.778	2.631	0.147	1.0	0.1	s15_t1.0_a0.1_052.gff
103	N	N	2.306	3.204	3.037	0.167	1.0	0.1	s15_t1.0_a0.1_053.gff
25	N	N	1.564	2.446	2.311	0.135	1.0	0.1	s15_t1.0_a0.1_054.gff
206	N	N	1.914	3.657	3.476	0.181	1.0	0.1	s15_t1.0_a0.1_055.gff
151	N	N	2.117	3.659	3.457	0.202	1.0	0.1	s15_t1.0_a0.1_056.gff
168	N	N	2.093	3.697	3.502	0.195	1.0	0.1	s15_t1.0_a0.1_057.gff
1566	N	N	6.710	10.424	10.096	0.328	1.0	0.1	s15_t1.0_a0.1_058.gff
95	N	N	3.179	3.232	3.055	0.177	1.0	0.1	s15_t1.0_a0.1_059.gff
66	N	N	1.777	2.889	2.710	0.179	1.0	0.1	s15_t1.0_a0.1_060.gff
12	N	N	3.030	3.024	2.845	0.179	1.0	0.1	s15_t1.0_a0.1_061.gff
730	N	N	3.978	6.848	6.587	0.261	1.0	0.1	s15_t1.0_a0.1_062.gff
141	N	N	2.040	3.423	3.252	0.171	1.0	0.1	s15_t1.0_a0.1_063.gff
258	N	N	2.120	4.159	3.937	0.222	1.0	0.1	s15_t1.0_a0.1_064.gff
681	N	N	3.250	5.788	5.561	0.227	1.0	0.1	s15_t1.0_a0.1_065.gff
2	N	N	1.574	2.332	2.169	0.163	1.0	0.1	s15_t1.0_a0.1_066.gff
130	N	N	2.423	3.756	3.555	0.201	1.0	0.1	s15_t1.0_a0.1_067.gff
58	N	N	2.315	3.034	2.861	0.173	1.0	0.1	s15_t1.0_a0.1_068.gff
462	N	N	3.443	4.943	4.719	0.224	1.0	0.1	s15_t1.0_a0.1_069.gff
27	N	N	14.709	2.619	2.475	0.144	1.0	0.1	s15_t1.0_a0.1_070.gff
16	N	N	1.529	2.549	2.409	0.140	1.0	0.1	s15_t1.0_a0.1_071.gff
71	N	N	4.984	2.995	2.836	0.159	1.0	0.1	s15_t1.0_a0.1_072.gff
786	N	N	8.051	7.260	7.002	0.258	1.0	0.1	s15_t1.0_a0.1_073.gff
83	N	N	2.969	3.054	2.880	0.174	1.0	0.1	s15_t1.0_a0.1_074.gff
48	N	N	2.159	2.858	2.684	0.174	1.0	0.1	s15_t1.0_a0.1_075.gff
1086	N	N	8.292	8.739	8.419	0.320	1.0	0.1	s15_t1.0_a0.1_076.gff
95	N	N	1.945	3.101	2.923	0.178	1.0	0.1	s15_t1.0_a0.1_077.gff
1768	N	N	6.831	10.877	10.502	0.375	1.0	0.1	s15_t1.0_a0.1_078.gff
27	N	N	3.041	2.606	2.450	0.156	1.0	0.1	s15_t1.0_a0.1_079.gff
248	N	N	3.681	4.353	4.131	0.222	1.0	0.1	s15_t1.0_a0.1_080.gff
108	N	N	2.908	3.229	3.071	0.158	1.0	0.1	s15_t1.0_a0.1_081.gff
932	N	N	3.759	6.027	5.792	0.235	1.0	0.1	s15_t1.0_a0.1_082.gff
