# Starting date:             2014-11-30 12:37:58
# Cluster job ID:            1322963
# Cluster node:              hnode31
# Cluster queue:             mpi.q
# Complementation algorithm: slice -p -ro -madj -eg
# Data:                      15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
705	N	N	2.400	4.146	3.881	0.265	1.0	0.1	s15_t1.0_a0.1_001.gff
350	N	N	3.376	3.506	3.342	0.164	1.0	0.1	s15_t1.0_a0.1_002.gff
32	N	N	1.405	2.433	2.279	0.154	1.0	0.1	s15_t1.0_a0.1_003.gff
888	N	N	2.472	4.476	4.252	0.224	1.0	0.1	s15_t1.0_a0.1_004.gff
1577	N	N	2.882	5.270	4.999	0.271	1.0	0.1	s15_t1.0_a0.1_005.gff
54	N	N	1.473	2.489	2.358	0.131	1.0	0.1	s15_t1.0_a0.1_006.gff
378	N	N	2.023	3.447	3.255	0.192	1.0	0.1	s15_t1.0_a0.1_007.gff
70	N	N	1.572	2.569	2.420	0.149	1.0	0.1	s15_t1.0_a0.1_008.gff
291	N	N	3.695	3.350	3.163	0.187	1.0	0.1	s15_t1.0_a0.1_009.gff
157	N	N	1.682	2.941	2.786	0.155	1.0	0.1	s15_t1.0_a0.1_010.gff
57	N	N	3.623	2.533	2.375	0.158	1.0	0.1	s15_t1.0_a0.1_011.gff
131	N	N	3.578	2.880	2.721	0.159	1.0	0.1	s15_t1.0_a0.1_012.gff
19	N	N	1.558	2.372	2.239	0.133	1.0	0.1	s15_t1.0_a0.1_013.gff
291	N	N	5.684	3.389	3.197	0.192	1.0	0.1	s15_t1.0_a0.1_014.gff
82	N	N	2.676	2.682	2.529	0.153	1.0	0.1	s15_t1.0_a0.1_015.gff
2537	N	N	5.100	5.936	5.659	0.277	1.0	0.1	s15_t1.0_a0.1_016.gff
143	N	N	3.084	2.914	2.735	0.179	1.0	0.1	s15_t1.0_a0.1_017.gff
32	N	N	2.029	2.427	2.287	0.140	1.0	0.1	s15_t1.0_a0.1_018.gff
24	N	N	3.128	2.418	2.278	0.140	1.0	0.1	s15_t1.0_a0.1_019.gff
255	N	N	2.060	3.247	3.078	0.169	1.0	0.1	s15_t1.0_a0.1_020.gff
1293	N	N	3.777	5.177	4.941	0.236	1.0	0.1	s15_t1.0_a0.1_021.gff
90	N	N	2.854	2.659	2.515	0.144	1.0	0.1	s15_t1.0_a0.1_022.gff
23	N	N	1.412	2.398	2.269	0.129	1.0	0.1	s15_t1.0_a0.1_023.gff
212	N	N	4.250	3.156	3.006	0.150	1.0	0.1	s15_t1.0_a0.1_024.gff
55	N	N	3.464	2.524	2.383	0.141	1.0	0.1	s15_t1.0_a0.1_025.gff
34	N	N	1.415	2.436	2.296	0.140	1.0	0.1	s15_t1.0_a0.1_026.gff
118	N	N	1.781	2.840	2.690	0.150	1.0	0.1	s15_t1.0_a0.1_027.gff
172	N	N	3.284	3.018	2.862	0.156	1.0	0.1	s15_t1.0_a0.1_028.gff
459	N	N	3.320	3.569	3.389	0.180	1.0	0.1	s15_t1.0_a0.1_029.gff
3851	N	N	5.399	7.676	7.394	0.282	1.0	0.1	s15_t1.0_a0.1_030.gff
258	N	N	2.247	3.154	2.977	0.177	1.0	0.1	s15_t1.0_a0.1_031.gff
58	N	N	2.533	2.562	2.415	0.147	1.0	0.1	s15_t1.0_a0.1_032.gff
171	N	N	2.510	2.913	2.753	0.160	1.0	0.1	s15_t1.0_a0.1_033.gff
588	N	N	2.458	3.805	3.594	0.211	1.0	0.1	s15_t1.0_a0.1_034.gff
1171	N	N	6.071	4.877	4.607	0.270	1.0	0.1	s15_t1.0_a0.1_035.gff
2065	N	N	4.697	5.467	5.188	0.279	1.0	0.1	s15_t1.0_a0.1_036.gff
39	N	N	2.573	2.469	2.323	0.146	1.0	0.1	s15_t1.0_a0.1_037.gff
549	N	N	6.194	3.894	3.666	0.228	1.0	0.1	s15_t1.0_a0.1_038.gff
30	N	N	3.027	2.405	2.242	0.163	1.0	0.1	s15_t1.0_a0.1_039.gff
42	N	N	4.452	2.532	2.383	0.149	1.0	0.1	s15_t1.0_a0.1_040.gff
62	N	N	3.560	2.565	2.411	0.154	1.0	0.1	s15_t1.0_a0.1_041.gff
73	N	N	4.649	2.689	2.540	0.149	1.0	0.1	s15_t1.0_a0.1_042.gff
186	N	N	1.846	2.965	2.806	0.159	1.0	0.1	s15_t1.0_a0.1_043.gff
2236	N	N	3.194	5.627	5.355	0.272	1.0	0.1	s15_t1.0_a0.1_044.gff
1042	N	N	3.932	4.425	4.194	0.231	1.0	0.1	s15_t1.0_a0.1_045.gff
542	N	N	4.178	3.857	3.639	0.218	1.0	0.1	s15_t1.0_a0.1_046.gff
238	N	N	4.435	3.242	3.045	0.197	1.0	0.1	s15_t1.0_a0.1_047.gff
83	N	N	2.189	2.655	2.507	0.148	1.0	0.1	s15_t1.0_a0.1_048.gff
347	N	N	3.966	3.385	3.210	0.175	1.0	0.1	s15_t1.0_a0.1_049.gff
195	N	N	3.568	3.086	2.920	0.166	1.0	0.1	s15_t1.0_a0.1_050.gff
16	N	N	3.357	2.362	2.221	0.141	1.0	0.1	s15_t1.0_a0.1_051.gff
71	N	N	3.907	2.548	2.408	0.140	1.0	0.1	s15_t1.0_a0.1_052.gff
161	N	N	2.147	2.972	2.825	0.147	1.0	0.1	s15_t1.0_a0.1_053.gff
25	N	N	3.361	2.421	2.263	0.158	1.0	0.1	s15_t1.0_a0.1_054.gff
204	N	N	2.812	3.099	2.937	0.162	1.0	0.1	s15_t1.0_a0.1_055.gff
255	N	N	1.910	3.165	2.999	0.166	1.0	0.1	s15_t1.0_a0.1_056.gff
408	N	N	2.102	3.534	3.305	0.229	1.0	0.1	s15_t1.0_a0.1_057.gff
3118	N	N	8.387	6.558	6.308	0.250	1.0	0.1	s15_t1.0_a0.1_058.gff
100	N	N	4.475	2.747	2.572	0.175	1.0	0.1	s15_t1.0_a0.1_059.gff
64	N	N	3.558	2.580	2.438	0.142	1.0	0.1	s15_t1.0_a0.1_060.gff
110	N	N	2.275	2.738	2.559	0.179	1.0	0.1	s15_t1.0_a0.1_061.gff
2097	N	N	4.893	5.575	5.314	0.261	1.0	0.1	s15_t1.0_a0.1_062.gff
162	N	N	5.365	2.952	2.783	0.169	1.0	0.1	s15_t1.0_a0.1_063.gff
347	N	N	2.013	3.403	3.217	0.186	1.0	0.1	s15_t1.0_a0.1_064.gff
1132	N	N	6.093	5.071	4.794	0.277	1.0	0.1	s15_t1.0_a0.1_065.gff
4	N	N	2.188	2.410	2.281	0.129	1.0	0.1	s15_t1.0_a0.1_066.gff
258	N	N	1.985	3.184	3.008	0.176	1.0	0.1	s15_t1.0_a0.1_067.gff
61	N	N	2.667	2.614	2.481	0.133	1.0	0.1	s15_t1.0_a0.1_068.gff
588	N	N	3.934	4.047	3.812	0.235	1.0	0.1	s15_t1.0_a0.1_069.gff
34	N	N	4.435	2.448	2.302	0.146	1.0	0.1	s15_t1.0_a0.1_070.gff
23	N	N	3.403	2.417	2.278	0.139	1.0	0.1	s15_t1.0_a0.1_071.gff
66	N	N	2.604	2.631	2.472	0.159	1.0	0.1	s15_t1.0_a0.1_072.gff
1763	N	N	3.439	5.457	5.207	0.250	1.0	0.1	s15_t1.0_a0.1_073.gff
