# Starting date:             2014-11-29 03:15:00
# Cluster job ID:            1265402
# Cluster node:              hnode15
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg
# Data:                      15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
1180	N	N	4.447	4.908	4.685	0.223	1.0	0.1	s15_t1.0_a0.1_001.gff
643	N	N	2.238	3.596	3.437	0.159	1.0	0.1	s15_t1.0_a0.1_002.gff
32	N	N	3.956	2.419	2.287	0.132	1.0	0.1	s15_t1.0_a0.1_003.gff
1401	N	N	2.509	5.028	4.817	0.211	1.0	0.1	s15_t1.0_a0.1_004.gff
3029	N	N	3.939	6.971	6.697	0.274	1.0	0.1	s15_t1.0_a0.1_005.gff
76	N	N	1.854	2.527	2.392	0.135	1.0	0.1	s15_t1.0_a0.1_006.gff
756	N	N	3.575	3.743	3.592	0.151	1.0	0.1	s15_t1.0_a0.1_007.gff
101	N	N	3.233	2.548	2.427	0.121	1.0	0.1	s15_t1.0_a0.1_008.gff
412	N	N	2.737	3.211	3.040	0.171	1.0	0.1	s15_t1.0_a0.1_009.gff
289	N	N	2.812	3.008	2.841	0.167	1.0	0.1	s15_t1.0_a0.1_010.gff
59	N	N	1.508	2.460	2.321	0.139	1.0	0.1	s15_t1.0_a0.1_011.gff
131	N	N	2.476	2.696	2.548	0.148	1.0	0.1	s15_t1.0_a0.1_012.gff
20	N	N	3.154	2.321	2.177	0.144	1.0	0.1	s15_t1.0_a0.1_013.gff
438	N	N	2.689	3.264	3.108	0.156	1.0	0.1	s15_t1.0_a0.1_014.gff
117	N	N	3.017	2.679	2.529	0.150	1.0	0.1	s15_t1.0_a0.1_015.gff
6305	N	N	8.622	11.730	11.439	0.291	1.0	0.1	s15_t1.0_a0.1_016.gff
241	N	N	1.647	2.967	2.806	0.161	1.0	0.1	s15_t1.0_a0.1_017.gff
32	N	N	1.568	2.447	2.296	0.151	1.0	0.1	s15_t1.0_a0.1_018.gff
35	N	N	1.786	2.349	2.199	0.150	1.0	0.1	s15_t1.0_a0.1_019.gff
313	N	N	1.629	2.994	2.837	0.157	1.0	0.1	s15_t1.0_a0.1_020.gff
2461	N	N	3.674	6.569	6.299	0.270	1.0	0.1	s15_t1.0_a0.1_021.gff
133	N	N	1.670	2.679	2.526	0.153	1.0	0.1	s15_t1.0_a0.1_022.gff
35	N	N	1.284	2.318	2.163	0.155	1.0	0.1	s15_t1.0_a0.1_023.gff
490	N	N	1.787	3.356	3.204	0.152	1.0	0.1	s15_t1.0_a0.1_024.gff
58	N	N	1.613	2.475	2.354	0.121	1.0	0.1	s15_t1.0_a0.1_025.gff
34	N	N	1.722	2.438	2.276	0.162	1.0	0.1	s15_t1.0_a0.1_026.gff
170	N	N	1.501	2.767	2.641	0.126	1.0	0.1	s15_t1.0_a0.1_027.gff
229	N	N	1.837	2.930	2.787	0.143	1.0	0.1	s15_t1.0_a0.1_028.gff
1008	N	N	2.092	3.824	3.635	0.189	1.0	0.1	s15_t1.0_a0.1_029.gff
6463	N	N	8.648	12.847	12.554	0.293	1.0	0.1	s15_t1.0_a0.1_030.gff
261	N	N	1.760	3.038	2.888	0.150	1.0	0.1	s15_t1.0_a0.1_031.gff
75	N	N	1.592	2.482	2.342	0.140	1.0	0.1	s15_t1.0_a0.1_032.gff
272	N	N	1.821	2.910	2.772	0.138	1.0	0.1	s15_t1.0_a0.1_033.gff
975	N	N	2.651	3.935	3.717	0.218	1.0	0.1	s15_t1.0_a0.1_034.gff
2045	N	N	3.993	6.214	5.964	0.250	1.0	0.1	s15_t1.0_a0.1_035.gff
3558	N	N	4.530	8.708	8.413	0.295	1.0	0.1	s15_t1.0_a0.1_036.gff
82	N	N	1.980	2.564	2.435	0.129	1.0	0.1	s15_t1.0_a0.1_037.gff
950	N	N	2.388	3.929	3.740	0.189	1.0	0.1	s15_t1.0_a0.1_038.gff
30	N	N	1.429	2.382	2.228	0.154	1.0	0.1	s15_t1.0_a0.1_039.gff
61	N	N	3.031	2.470	2.318	0.152	1.0	0.1	s15_t1.0_a0.1_040.gff
65	N	N	1.814	2.532	2.379	0.153	1.0	0.1	s15_t1.0_a0.1_041.gff
97	N	N	1.434	2.605	2.458	0.147	1.0	0.1	s15_t1.0_a0.1_042.gff
190	N	N	2.542	2.901	2.749	0.152	1.0	0.1	s15_t1.0_a0.1_043.gff
4155	N	N	5.421	8.198	7.907	0.291	1.0	0.1	s15_t1.0_a0.1_044.gff
2563	N	N	3.385	6.246	5.989	0.257	1.0	0.1	s15_t1.0_a0.1_045.gff
1170	N	N	2.211	4.066	3.877	0.189	1.0	0.1	s15_t1.0_a0.1_046.gff
305	N	N	1.613	3.008	2.843	0.165	1.0	0.1	s15_t1.0_a0.1_047.gff
83	N	N	1.354	2.467	2.340	0.127	1.0	0.1	s15_t1.0_a0.1_048.gff
633	N	N	1.858	3.470	3.321	0.149	1.0	0.1	s15_t1.0_a0.1_049.gff
359	N	N	2.286	3.057	2.924	0.133	1.0	0.1	s15_t1.0_a0.1_050.gff
16	N	N	1.249	2.274	2.140	0.134	1.0	0.1	s15_t1.0_a0.1_051.gff
73	N	N	1.324	2.429	2.281	0.148	1.0	0.1	s15_t1.0_a0.1_052.gff
266	N	N	1.568	2.962	2.835	0.127	1.0	0.1	s15_t1.0_a0.1_053.gff
