# Starting date:             2014-11-29 03:44:05
# Cluster job ID:            1265403
# Cluster node:              hnode11
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg -m1
# Data:                      15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
838	N	N	5.136	3.890	3.710	0.180	1.0	0.1	s15_t1.0_a0.1_001.gff
469	N	N	5.219	3.492	3.314	0.178	1.0	0.1	s15_t1.0_a0.1_002.gff
32	N	N	1.626	2.409	2.258	0.151	1.0	0.1	s15_t1.0_a0.1_003.gff
1072	N	N	5.298	4.173	3.996	0.177	1.0	0.1	s15_t1.0_a0.1_004.gff
1887	N	N	5.215	6.060	5.791	0.269	1.0	0.1	s15_t1.0_a0.1_005.gff
74	N	N	1.603	2.465	2.324	0.141	1.0	0.1	s15_t1.0_a0.1_006.gff
504	N	N	2.807	3.561	3.400	0.161	1.0	0.1	s15_t1.0_a0.1_007.gff
100	N	N	3.971	2.588	2.442	0.146	1.0	0.1	s15_t1.0_a0.1_008.gff
353	N	N	1.914	3.131	2.979	0.152	1.0	0.1	s15_t1.0_a0.1_009.gff
225	N	N	1.707	2.933	2.775	0.158	1.0	0.1	s15_t1.0_a0.1_010.gff
59	N	N	1.367	2.487	2.349	0.138	1.0	0.1	s15_t1.0_a0.1_011.gff
131	N	N	1.614	2.654	2.507	0.147	1.0	0.1	s15_t1.0_a0.1_012.gff
20	N	N	1.460	2.326	2.194	0.132	1.0	0.1	s15_t1.0_a0.1_013.gff
356	N	N	2.155	3.142	2.990	0.152	1.0	0.1	s15_t1.0_a0.1_014.gff
105	N	N	3.365	2.638	2.499	0.139	1.0	0.1	s15_t1.0_a0.1_015.gff
2775	N	N	5.264	6.830	6.556	0.274	1.0	0.1	s15_t1.0_a0.1_016.gff
213	N	N	1.759	2.869	2.726	0.143	1.0	0.1	s15_t1.0_a0.1_017.gff
32	N	N	1.295	2.381	2.249	0.132	1.0	0.1	s15_t1.0_a0.1_018.gff
35	N	N	1.763	2.408	2.289	0.119	1.0	0.1	s15_t1.0_a0.1_019.gff
280	N	N	1.899	3.108	2.947	0.161	1.0	0.1	s15_t1.0_a0.1_020.gff
1435	N	N	4.352	5.436	5.190	0.246	1.0	0.1	s15_t1.0_a0.1_021.gff
122	N	N	2.786	2.659	2.508	0.151	1.0	0.1	s15_t1.0_a0.1_022.gff
35	N	N	1.884	2.383	2.261	0.122	1.0	0.1	s15_t1.0_a0.1_023.gff
305	N	N	1.848	3.131	2.974	0.157	1.0	0.1	s15_t1.0_a0.1_024.gff
55	N	N	1.674	2.467	2.316	0.151	1.0	0.1	s15_t1.0_a0.1_025.gff
34	N	N	1.626	2.398	2.251	0.147	1.0	0.1	s15_t1.0_a0.1_026.gff
148	N	N	1.481	2.732	2.582	0.150	1.0	0.1	s15_t1.0_a0.1_027.gff
204	N	N	4.952	2.963	2.813	0.150	1.0	0.1	s15_t1.0_a0.1_028.gff
688	N	N	4.542	3.799	3.617	0.182	1.0	0.1	s15_t1.0_a0.1_029.gff
3879	N	N	10.596	9.271	8.985	0.286	1.0	0.1	s15_t1.0_a0.1_030.gff
261	N	N	1.780	3.049	2.886	0.163	1.0	0.1	s15_t1.0_a0.1_031.gff
70	N	N	1.648	2.502	2.379	0.123	1.0	0.1	s15_t1.0_a0.1_032.gff
244	N	N	1.812	2.925	2.756	0.169	1.0	0.1	s15_t1.0_a0.1_033.gff
772	N	N	3.255	3.844	3.673	0.171	1.0	0.1	s15_t1.0_a0.1_034.gff
1339	N	N	2.763	5.351	5.145	0.206	1.0	0.1	s15_t1.0_a0.1_035.gff
2308	N	N	3.656	7.435	7.182	0.253	1.0	0.1	s15_t1.0_a0.1_036.gff
65	N	N	1.594	2.505	2.377	0.128	1.0	0.1	s15_t1.0_a0.1_037.gff
668	N	N	1.959	3.716	3.518	0.198	1.0	0.1	s15_t1.0_a0.1_038.gff
30	N	N	1.306	2.378	2.223	0.155	1.0	0.1	s15_t1.0_a0.1_039.gff
60	N	N	1.644	2.509	2.366	0.143	1.0	0.1	s15_t1.0_a0.1_040.gff
65	N	N	1.354	2.442	2.298	0.144	1.0	0.1	s15_t1.0_a0.1_041.gff
89	N	N	1.401	2.572	2.428	0.144	1.0	0.1	s15_t1.0_a0.1_042.gff
190	N	N	1.557	2.885	2.742	0.143	1.0	0.1	s15_t1.0_a0.1_043.gff
2541	N	N	4.894	6.190	5.912	0.278	1.0	0.1	s15_t1.0_a0.1_044.gff
1366	N	N	2.813	5.267	5.060	0.207	1.0	0.1	s15_t1.0_a0.1_045.gff
682	N	N	2.807	3.815	3.626	0.189	1.0	0.1	s15_t1.0_a0.1_046.gff
266	N	N	1.715	3.087	2.941	0.146	1.0	0.1	s15_t1.0_a0.1_047.gff
83	N	N	1.595	2.630	2.497	0.133	1.0	0.1	s15_t1.0_a0.1_048.gff
465	N	N	1.764	3.252	3.097	0.155	1.0	0.1	s15_t1.0_a0.1_049.gff
266	N	N	4.100	3.025	2.852	0.173	1.0	0.1	s15_t1.0_a0.1_050.gff
16	N	N	1.907	2.384	2.265	0.119	1.0	0.1	s15_t1.0_a0.1_051.gff
73	N	N	6.175	2.574	2.431	0.143	1.0	0.1	s15_t1.0_a0.1_052.gff
196	N	N	2.428	2.923	2.779	0.144	1.0	0.1	s15_t1.0_a0.1_053.gff
26	N	N	4.950	2.459	2.304	0.155	1.0	0.1	s15_t1.0_a0.1_054.gff
225	N	N	2.710	2.988	2.849	0.139	1.0	0.1	s15_t1.0_a0.1_055.gff
348	N	N	3.278	3.203	3.053	0.150	1.0	0.1	s15_t1.0_a0.1_056.gff
526	N	N	2.591	3.535	3.348	0.187	1.0	0.1	s15_t1.0_a0.1_057.gff
3545	N	N	5.013	7.875	7.602	0.273	1.0	0.1	s15_t1.0_a0.1_058.gff
137	N	N	2.746	2.705	2.576	0.129	1.0	0.1	s15_t1.0_a0.1_059.gff
89	N	N	2.053	2.536	2.419	0.117	1.0	0.1	s15_t1.0_a0.1_060.gff
118	N	N	1.751	2.661	2.527	0.134	1.0	0.1	s15_t1.0_a0.1_061.gff
2352	N	N	9.560	7.482	7.193	0.289	1.0	0.1	s15_t1.0_a0.1_062.gff
223	N	N	4.350	2.969	2.817	0.152	1.0	0.1	s15_t1.0_a0.1_063.gff
445	N	N	3.919	3.244	3.070	0.174	1.0	0.1	s15_t1.0_a0.1_064.gff
1233	N	N	2.754	5.194	4.938	0.256	1.0	0.1	s15_t1.0_a0.1_065.gff
4	N	N	3.304	2.332	2.204	0.128	1.0	0.1	s15_t1.0_a0.1_066.gff
329	N	N	2.165	3.132	2.976	0.156	1.0	0.1	s15_t1.0_a0.1_067.gff
85	N	N	1.361	2.515	2.386	0.129	1.0	0.1	s15_t1.0_a0.1_068.gff
686	N	N	2.429	3.822	3.629	0.193	1.0	0.1	s15_t1.0_a0.1_069.gff
