# Starting date:             2014-11-29 06:03:13
# Cluster job ID:            1265404
# Cluster node:              hnode27
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg -m1 -m2
# Data:                      15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
805	N	N	2.043	3.806	3.626	0.180	1.0	0.1	s15_t1.0_a0.1_001.gff
451	N	N	2.135	3.367	3.177	0.190	1.0	0.1	s15_t1.0_a0.1_002.gff
32	N	N	1.721	2.444	2.300	0.144	1.0	0.1	s15_t1.0_a0.1_003.gff
1010	N	N	2.171	4.069	3.866	0.203	1.0	0.1	s15_t1.0_a0.1_004.gff
1810	N	N	2.950	5.743	5.499	0.244	1.0	0.1	s15_t1.0_a0.1_005.gff
74	N	N	1.675	2.575	2.410	0.165	1.0	0.1	s15_t1.0_a0.1_006.gff
483	N	N	2.256	3.567	3.384	0.183	1.0	0.1	s15_t1.0_a0.1_007.gff
99	N	N	1.921	2.672	2.518	0.154	1.0	0.1	s15_t1.0_a0.1_008.gff
328	N	N	1.719	3.186	3.004	0.182	1.0	0.1	s15_t1.0_a0.1_009.gff
218	N	N	1.603	2.947	2.789	0.158	1.0	0.1	s15_t1.0_a0.1_010.gff
58	N	N	1.386	2.545	2.412	0.133	1.0	0.1	s15_t1.0_a0.1_011.gff
127	N	N	2.025	2.828	2.680	0.148	1.0	0.1	s15_t1.0_a0.1_012.gff
20	N	N	11.111	2.439	2.300	0.139	1.0	0.1	s15_t1.0_a0.1_013.gff
350	N	N	1.851	3.243	3.092	0.151	1.0	0.1	s15_t1.0_a0.1_014.gff
104	N	N	2.359	2.722	2.563	0.159	1.0	0.1	s15_t1.0_a0.1_015.gff
2672	N	N	10.209	6.773	6.480	0.293	1.0	0.1	s15_t1.0_a0.1_016.gff
205	N	N	6.285	2.946	2.748	0.198	1.0	0.1	s15_t1.0_a0.1_017.gff
32	N	N	1.777	2.541	2.344	0.197	1.0	0.1	s15_t1.0_a0.1_018.gff
35	N	N	1.432	2.519	2.286	0.233	1.0	0.1	s15_t1.0_a0.1_019.gff
260	N	N	2.999	3.209	2.946	0.263	1.0	0.1	s15_t1.0_a0.1_020.gff
