# Starting date:             2014-12-18 06:37:06
# Cluster job name:          fribourg.m1.macc.15
# Cluster job ID:            398526
# Cluster node:              hnode31
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg -m1 -macc
# Data:                      15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
857	N	N	2.140	3.830	3.668	0.162	1.0	0.1	s15_t1.0_a0.1_001.gff
503	N	N	2.109	3.537	3.370	0.167	1.0	0.1	s15_t1.0_a0.1_002.gff
39	N	N	1.568	2.422	2.285	0.137	1.0	0.1	s15_t1.0_a0.1_003.gff
1010	N	N	2.312	4.184	3.986	0.198	1.0	0.1	s15_t1.0_a0.1_004.gff
1928	N	N	3.936	6.160	5.916	0.244	1.0	0.1	s15_t1.0_a0.1_005.gff
66	N	N	1.936	2.525	2.400	0.125	1.0	0.1	s15_t1.0_a0.1_006.gff
421	N	N	1.799	3.349	3.187	0.162	1.0	0.1	s15_t1.0_a0.1_007.gff
90	N	N	1.768	2.599	2.447	0.152	1.0	0.1	s15_t1.0_a0.1_008.gff
426	N	N	1.976	3.324	3.166	0.158	1.0	0.1	s15_t1.0_a0.1_009.gff
236	N	N	2.667	2.984	2.850	0.134	1.0	0.1	s15_t1.0_a0.1_010.gff
82	N	N	1.930	2.583	2.452	0.131	1.0	0.1	s15_t1.0_a0.1_011.gff
174	N	N	2.782	2.853	2.711	0.142	1.0	0.1	s15_t1.0_a0.1_012.gff
22	N	N	2.467	2.388	2.247	0.141	1.0	0.1	s15_t1.0_a0.1_013.gff
382	N	N	4.645	3.285	3.123	0.162	1.0	0.1	s15_t1.0_a0.1_014.gff
134	N	N	2.796	2.762	2.622	0.140	1.0	0.1	s15_t1.0_a0.1_015.gff
2613	N	N	3.872	7.099	6.852	0.247	1.0	0.1	s15_t1.0_a0.1_016.gff
162	N	N	3.036	2.850	2.701	0.149	1.0	0.1	s15_t1.0_a0.1_017.gff
48	N	N	1.512	2.478	2.348	0.130	1.0	0.1	s15_t1.0_a0.1_018.gff
33	N	N	1.524	2.403	2.278	0.125	1.0	0.1	s15_t1.0_a0.1_019.gff
280	N	N	1.791	3.129	3.012	0.117	1.0	0.1	s15_t1.0_a0.1_020.gff
1531	N	N	2.907	5.559	5.307	0.252	1.0	0.1	s15_t1.0_a0.1_021.gff
152	N	N	4.907	2.800	2.657	0.143	1.0	0.1	s15_t1.0_a0.1_022.gff
34	N	N	1.476	2.388	2.254	0.134	1.0	0.1	s15_t1.0_a0.1_023.gff
193	N	N	1.853	2.978	2.824	0.154	1.0	0.1	s15_t1.0_a0.1_024.gff
57	N	N	2.683	2.497	2.358	0.139	1.0	0.1	s15_t1.0_a0.1_025.gff
36	N	N	2.193	2.448	2.316	0.132	1.0	0.1	s15_t1.0_a0.1_026.gff
151	N	N	3.184	2.833	2.692	0.141	1.0	0.1	s15_t1.0_a0.1_027.gff
