# Starting date:             2014-12-18 06:37:04
# Cluster job name:          fribourg.m1.r.15
# Cluster job ID:            398520
# Cluster node:              hnode41
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg -m1 -r
# Data:                      15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
678	N	N	1.974	3.642	3.443	0.199	1.0	0.1	s15_t1.0_a0.1_001.gff
316	N	N	1.853	3.132	2.962	0.170	1.0	0.1	s15_t1.0_a0.1_002.gff
31	N	N	1.237	2.198	2.087	0.111	1.0	0.1	s15_t1.0_a0.1_003.gff
696	N	N	2.266	3.791	3.603	0.188	1.0	0.1	s15_t1.0_a0.1_004.gff
1507	N	N	3.848	5.979	5.735	0.244	1.0	0.1	s15_t1.0_a0.1_005.gff
42	N	N	1.824	2.381	2.241	0.140	1.0	0.1	s15_t1.0_a0.1_006.gff
109	N	N	2.709	3.185	2.992	0.193	1.0	0.1	s15_t1.0_a0.1_007.gff
54	N	N	2.610	2.584	2.461	0.123	1.0	0.1	s15_t1.0_a0.1_008.gff
282	N	N	1.766	3.161	2.996	0.165	1.0	0.1	s15_t1.0_a0.1_009.gff
138	N	N	2.135	2.852	2.704	0.148	1.0	0.1	s15_t1.0_a0.1_010.gff
55	N	N	2.320	2.647	2.481	0.166	1.0	0.1	s15_t1.0_a0.1_011.gff
131	N	N	2.046	2.867	2.711	0.156	1.0	0.1	s15_t1.0_a0.1_012.gff
16	N	N	2.393	2.502	2.348	0.154	1.0	0.1	s15_t1.0_a0.1_013.gff
289	N	N	2.556	3.426	3.272	0.154	1.0	0.1	s15_t1.0_a0.1_014.gff
67	N	N	1.528	2.828	2.654	0.174	1.0	0.1	s15_t1.0_a0.1_015.gff
1494	N	N	6.267	7.745	7.443	0.302	1.0	0.1	s15_t1.0_a0.1_016.gff
91	N	N	1.767	3.048	2.884	0.164	1.0	0.1	s15_t1.0_a0.1_017.gff
32	N	N	1.440	2.667	2.495	0.172	1.0	0.1	s15_t1.0_a0.1_018.gff
20	N	N	2.906	2.679	2.515	0.164	1.0	0.1	s15_t1.0_a0.1_019.gff
227	N	N	3.980	3.454	3.269	0.185	1.0	0.1	s15_t1.0_a0.1_020.gff
972	N	N	2.922	6.017	5.723	0.294	1.0	0.1	s15_t1.0_a0.1_021.gff
88	N	N	1.678	2.924	2.757	0.167	1.0	0.1	s15_t1.0_a0.1_022.gff
22	N	N	3.988	2.667	2.520	0.147	1.0	0.1	s15_t1.0_a0.1_023.gff
78	N	N	1.927	3.211	3.054	0.157	1.0	0.1	s15_t1.0_a0.1_024.gff
55	N	N	1.666	2.746	2.589	0.157	1.0	0.1	s15_t1.0_a0.1_025.gff
33	N	N	2.479	2.733	2.588	0.145	1.0	0.1	s15_t1.0_a0.1_026.gff
110	N	N	2.280	3.070	2.900	0.170	1.0	0.1	s15_t1.0_a0.1_027.gff
162	N	N	2.338	3.162	3.005	0.157	1.0	0.1	s15_t1.0_a0.1_028.gff
149	N	N	2.183	3.712	3.525	0.187	1.0	0.1	s15_t1.0_a0.1_029.gff
3039	N	N	7.074	9.472	9.147	0.325	1.0	0.1	s15_t1.0_a0.1_030.gff
220	N	N	2.010	3.372	3.217	0.155	1.0	0.1	s15_t1.0_a0.1_031.gff
58	N	N	1.481	2.753	2.592	0.161	1.0	0.1	s15_t1.0_a0.1_032.gff
160	N	N	1.647	3.119	2.961	0.158	1.0	0.1	s15_t1.0_a0.1_033.gff
502	N	N	2.255	4.164	3.969	0.195	1.0	0.1	s15_t1.0_a0.1_034.gff
1034	N	N	2.969	5.872	5.609	0.263	1.0	0.1	s15_t1.0_a0.1_035.gff
1935	N	N	4.332	8.437	8.149	0.288	1.0	0.1	s15_t1.0_a0.1_036.gff
29	N	N	3.130	2.687	2.520	0.167	1.0	0.1	s15_t1.0_a0.1_037.gff
482	N	N	2.154	3.957	3.765	0.192	1.0	0.1	s15_t1.0_a0.1_038.gff
25	N	N	1.635	2.638	2.474	0.164	1.0	0.1	s15_t1.0_a0.1_039.gff
18	N	N	1.500	2.692	2.553	0.139	1.0	0.1	s15_t1.0_a0.1_040.gff
