# Starting date:             2014-12-24 13:39:35
# Cluster job name:          fribourg.m1.r2c.15
# Cluster job ID:            723620
# Cluster node:              hnode21
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg -m1 -r2c
# Data:                      15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
838	N	N	2.609	4.027	3.841	0.186	1.0	0.1	s15_t1.0_a0.1_001.gff
469	N	N	2.113	3.570	3.396	0.174	1.0	0.1	s15_t1.0_a0.1_002.gff
32	N	N	1.579	2.509	2.361	0.148	1.0	0.1	s15_t1.0_a0.1_003.gff
1072	N	N	2.519	4.262	4.046	0.216	1.0	0.1	s15_t1.0_a0.1_004.gff
1887	N	N	3.281	6.266	6.004	0.262	1.0	0.1	s15_t1.0_a0.1_005.gff
74	N	N	1.988	2.585	2.442	0.143	1.0	0.1	s15_t1.0_a0.1_006.gff
504	N	N	2.116	3.612	3.424	0.188	1.0	0.1	s15_t1.0_a0.1_007.gff
100	N	N	1.486	2.682	2.516	0.166	1.0	0.1	s15_t1.0_a0.1_008.gff
353	N	N	1.778	3.283	3.115	0.168	1.0	0.1	s15_t1.0_a0.1_009.gff
225	N	N	1.929	3.006	2.852	0.154	1.0	0.1	s15_t1.0_a0.1_010.gff
59	N	N	1.466	2.630	2.487	0.143	1.0	0.1	s15_t1.0_a0.1_011.gff
131	N	N	2.079	2.852	2.694	0.158	1.0	0.1	s15_t1.0_a0.1_012.gff
20	N	N	1.461	2.450	2.321	0.129	1.0	0.1	s15_t1.0_a0.1_013.gff
356	N	N	1.979	3.236	3.068	0.168	1.0	0.1	s15_t1.0_a0.1_014.gff
105	N	N	1.579	2.705	2.550	0.155	1.0	0.1	s15_t1.0_a0.1_015.gff
2775	N	N	4.138	7.009	6.738	0.271	1.0	0.1	s15_t1.0_a0.1_016.gff
213	N	N	1.657	3.006	2.858	0.148	1.0	0.1	s15_t1.0_a0.1_017.gff
32	N	N	1.418	2.483	2.356	0.127	1.0	0.1	s15_t1.0_a0.1_018.gff
35	N	N	1.448	2.506	2.351	0.155	1.0	0.1	s15_t1.0_a0.1_019.gff
280	N	N	1.675	3.174	3.020	0.154	1.0	0.1	s15_t1.0_a0.1_020.gff
1435	N	N	3.069	5.558	5.300	0.258	1.0	0.1	s15_t1.0_a0.1_021.gff
122	N	N	1.598	2.760	2.616	0.144	1.0	0.1	s15_t1.0_a0.1_022.gff
35	N	N	1.644	2.454	2.303	0.151	1.0	0.1	s15_t1.0_a0.1_023.gff
305	N	N	2.077	3.205	3.055	0.150	1.0	0.1	s15_t1.0_a0.1_024.gff
55	N	N	1.592	2.577	2.428	0.149	1.0	0.1	s15_t1.0_a0.1_025.gff
34	N	N	1.488	2.437	2.297	0.140	1.0	0.1	s15_t1.0_a0.1_026.gff
148	N	N	1.604	2.835	2.658	0.177	1.0	0.1	s15_t1.0_a0.1_027.gff
204	N	N	1.664	2.989	2.826	0.163	1.0	0.1	s15_t1.0_a0.1_028.gff
688	N	N	2.103	3.798	3.632	0.166	1.0	0.1	s15_t1.0_a0.1_029.gff
3879	N	N	5.345	9.030	8.704	0.326	1.0	0.1	s15_t1.0_a0.1_030.gff
261	N	N	1.751	3.113	2.942	0.171	1.0	0.1	s15_t1.0_a0.1_031.gff
70	N	N	1.476	2.586	2.446	0.140	1.0	0.1	s15_t1.0_a0.1_032.gff
244	N	N	1.693	2.989	2.838	0.151	1.0	0.1	s15_t1.0_a0.1_033.gff
772	N	N	2.116	3.821	3.637	0.184	1.0	0.1	s15_t1.0_a0.1_034.gff
1339	N	N	2.862	5.175	4.905	0.270	1.0	0.1	s15_t1.0_a0.1_035.gff
2308	N	N	5.195	6.672	6.407	0.265	1.0	0.1	s15_t1.0_a0.1_036.gff
65	N	N	1.556	2.567	2.426	0.141	1.0	0.1	s15_t1.0_a0.1_037.gff
668	N	N	2.237	3.889	3.691	0.198	1.0	0.1	s15_t1.0_a0.1_038.gff
30	N	N	1.426	2.466	2.332	0.134	1.0	0.1	s15_t1.0_a0.1_039.gff
60	N	N	1.558	2.549	2.406	0.143	1.0	0.1	s15_t1.0_a0.1_040.gff
65	N	N	1.512	2.565	2.422	0.143	1.0	0.1	s15_t1.0_a0.1_041.gff
89	N	N	1.480	2.648	2.502	0.146	1.0	0.1	s15_t1.0_a0.1_042.gff
190	N	N	1.679	3.020	2.854	0.166	1.0	0.1	s15_t1.0_a0.1_043.gff
2541	N	N	3.789	6.406	6.143	0.263	1.0	0.1	s15_t1.0_a0.1_044.gff
1366	N	N	2.774	5.349	5.091	0.258	1.0	0.1	s15_t1.0_a0.1_045.gff
682	N	N	2.356	3.844	3.666	0.178	1.0	0.1	s15_t1.0_a0.1_046.gff
266	N	N	1.752	3.214	3.044	0.170	1.0	0.1	s15_t1.0_a0.1_047.gff
83	N	N	1.504	2.678	2.546	0.132	1.0	0.1	s15_t1.0_a0.1_048.gff
465	N	N	1.886	3.395	3.254	0.141	1.0	0.1	s15_t1.0_a0.1_049.gff
266	N	N	1.919	3.057	2.890	0.167	1.0	0.1	s15_t1.0_a0.1_050.gff
16	N	N	1.493	2.415	2.272	0.143	1.0	0.1	s15_t1.0_a0.1_051.gff
73	N	N	1.601	2.547	2.410	0.137	1.0	0.1	s15_t1.0_a0.1_052.gff
196	N	N	1.766	3.031	2.873	0.158	1.0	0.1	s15_t1.0_a0.1_053.gff
26	N	N	1.604	2.481	2.330	0.151	1.0	0.1	s15_t1.0_a0.1_054.gff
225	N	N	1.883	3.013	2.857	0.156	1.0	0.1	s15_t1.0_a0.1_055.gff
348	N	N	1.735	3.180	3.026	0.154	1.0	0.1	s15_t1.0_a0.1_056.gff
526	N	N	2.125	3.632	3.452	0.180	1.0	0.1	s15_t1.0_a0.1_057.gff
3545	N	N	5.646	8.007	7.732	0.275	1.0	0.1	s15_t1.0_a0.1_058.gff
137	N	N	1.587	2.838	2.695	0.143	1.0	0.1	s15_t1.0_a0.1_059.gff
89	N	N	1.491	2.645	2.516	0.129	1.0	0.1	s15_t1.0_a0.1_060.gff
118	N	N	1.671	2.731	2.588	0.143	1.0	0.1	s15_t1.0_a0.1_061.gff
2352	N	N	3.857	6.528	6.251	0.277	1.0	0.1	s15_t1.0_a0.1_062.gff
223	N	N	1.902	3.012	2.856	0.156	1.0	0.1	s15_t1.0_a0.1_063.gff
445	N	N	2.099	3.230	3.057	0.173	1.0	0.1	s15_t1.0_a0.1_064.gff
1233	N	N	2.727	5.319	5.073	0.246	1.0	0.1	s15_t1.0_a0.1_065.gff
4	N	N	1.465	2.345	2.202	0.143	1.0	0.1	s15_t1.0_a0.1_066.gff
329	N	N	1.790	3.237	3.076	0.161	1.0	0.1	s15_t1.0_a0.1_067.gff
85	N	N	1.499	2.671	2.533	0.138	1.0	0.1	s15_t1.0_a0.1_068.gff
686	N	N	2.059	3.866	3.668	0.198	1.0	0.1	s15_t1.0_a0.1_069.gff
47	N	N	1.418	2.518	2.373	0.145	1.0	0.1	s15_t1.0_a0.1_070.gff
28	N	N	1.457	2.460	2.322	0.138	1.0	0.1	s15_t1.0_a0.1_071.gff
66	N	N	1.480	2.603	2.460	0.143	1.0	0.1	s15_t1.0_a0.1_072.gff
1969	N	N	3.323	6.365	6.085	0.280	1.0	0.1	s15_t1.0_a0.1_073.gff
144	N	N	1.601	2.802	2.662	0.140	1.0	0.1	s15_t1.0_a0.1_074.gff
82	N	N	1.910	2.708	2.564	0.144	1.0	0.1	s15_t1.0_a0.1_075.gff
4045	N	N	5.507	9.261	8.928	0.333	1.0	0.1	s15_t1.0_a0.1_076.gff
183	N	N	1.571	2.952	2.810	0.142	1.0	0.1	s15_t1.0_a0.1_077.gff
1885	N	N	3.164	6.030	5.770	0.260	1.0	0.1	s15_t1.0_a0.1_078.gff
44	N	N	1.608	2.489	2.364	0.125	1.0	0.1	s15_t1.0_a0.1_079.gff
495	N	N	2.034	3.565	3.394	0.171	1.0	0.1	s15_t1.0_a0.1_080.gff
247	N	N	1.893	3.065	2.930	0.135	1.0	0.1	s15_t1.0_a0.1_081.gff
1218	N	N	2.887	5.046	4.805	0.241	1.0	0.1	s15_t1.0_a0.1_082.gff
245	N	N	1.830	3.084	2.929	0.155	1.0	0.1	s15_t1.0_a0.1_083.gff
232	N	N	1.766	3.013	2.872	0.141	1.0	0.1	s15_t1.0_a0.1_084.gff
2589	N	N	4.073	7.596	7.306	0.290	1.0	0.1	s15_t1.0_a0.1_085.gff
58	N	N	1.643	2.548	2.408	0.140	1.0	0.1	s15_t1.0_a0.1_086.gff
57	N	N	1.576	2.528	2.375	0.153	1.0	0.1	s15_t1.0_a0.1_087.gff
192	N	N	1.645	2.941	2.804	0.137	1.0	0.1	s15_t1.0_a0.1_088.gff
1373	N	N	2.746	5.402	5.144	0.258	1.0	0.1	s15_t1.0_a0.1_089.gff
131	N	N	1.593	2.728	2.589	0.139	1.0	0.1	s15_t1.0_a0.1_090.gff
1242	N	N	2.745	5.191	4.948	0.243	1.0	0.1	s15_t1.0_a0.1_091.gff
261	N	N	1.772	3.089	2.935	0.154	1.0	0.1	s15_t1.0_a0.1_092.gff
521	N	N	2.065	3.682	3.492	0.190	1.0	0.1	s15_t1.0_a0.1_093.gff
3229	N	N	4.604	8.024	7.766	0.258	1.0	0.1	s15_t1.0_a0.1_094.gff
725	N	N	2.269	3.950	3.758	0.192	1.0	0.1	s15_t1.0_a0.1_095.gff
78	N	N	1.558	2.654	2.495	0.159	1.0	0.1	s15_t1.0_a0.1_096.gff
6	N	N	1.345	2.387	2.232	0.155	1.0	0.1	s15_t1.0_a0.1_097.gff
