# Starting date:             2014-12-18 05:02:35
# Cluster job name:          fribourg.macc.15
# Cluster job ID:            398468
# Cluster node:              hnode14
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg -macc
# Data:                      15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
1197	N	N	2.476	4.952	4.726	0.226	1.0	0.1	s15_t1.0_a0.1_001.gff
687	N	N	1.867	3.605	3.436	0.169	1.0	0.1	s15_t1.0_a0.1_002.gff
39	N	N	1.298	2.381	2.231	0.150	1.0	0.1	s15_t1.0_a0.1_003.gff
1445	N	N	2.584	5.212	4.987	0.225	1.0	0.1	s15_t1.0_a0.1_004.gff
3071	N	N	3.872	6.813	6.559	0.254	1.0	0.1	s15_t1.0_a0.1_005.gff
67	N	N	1.307	2.409	2.287	0.122	1.0	0.1	s15_t1.0_a0.1_006.gff
728	N	N	1.987	3.729	3.557	0.172	1.0	0.1	s15_t1.0_a0.1_007.gff
91	N	N	1.417	2.555	2.428	0.127	1.0	0.1	s15_t1.0_a0.1_008.gff
533	N	N	1.777	3.326	3.169	0.157	1.0	0.1	s15_t1.0_a0.1_009.gff
298	N	N	1.628	3.006	2.851	0.155	1.0	0.1	s15_t1.0_a0.1_010.gff
82	N	N	1.422	2.523	2.398	0.125	1.0	0.1	s15_t1.0_a0.1_011.gff
180	N	N	1.565	2.846	2.688	0.158	1.0	0.1	s15_t1.0_a0.1_012.gff
22	N	N	1.324	2.370	2.235	0.135	1.0	0.1	s15_t1.0_a0.1_013.gff
464	N	N	1.930	3.219	3.057	0.162	1.0	0.1	s15_t1.0_a0.1_014.gff
178	N	N	1.464	2.741	2.604	0.137	1.0	0.1	s15_t1.0_a0.1_015.gff
6058	N	N	7.906	11.626	11.362	0.264	1.0	0.1	s15_t1.0_a0.1_016.gff
179	N	N	1.488	2.715	2.590	0.125	1.0	0.1	s15_t1.0_a0.1_017.gff
48	N	N	1.372	2.452	2.317	0.135	1.0	0.1	s15_t1.0_a0.1_018.gff
33	N	N	1.334	2.393	2.249	0.144	1.0	0.1	s15_t1.0_a0.1_019.gff
335	N	N	1.714	3.108	2.949	0.159	1.0	0.1	s15_t1.0_a0.1_020.gff
2656	N	N	3.974	7.919	7.644	0.275	1.0	0.1	s15_t1.0_a0.1_021.gff
169	N	N	1.476	2.736	2.595	0.141	1.0	0.1	s15_t1.0_a0.1_022.gff
34	N	N	1.322	2.386	2.236	0.150	1.0	0.1	s15_t1.0_a0.1_023.gff
311	N	N	1.615	3.012	2.865	0.147	1.0	0.1	s15_t1.0_a0.1_024.gff
