# Starting date:             2014-12-17 21:55:14
# Cluster job name:          fribourg.r.15
# Cluster job ID:            398441
# Cluster node:              hnode30
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg -r
# Data:                      15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
700	N	N	2.548	5.033	4.808	0.225	1.0	0.1	s15_t1.0_a0.1_001.gff
322	N	N	1.916	3.603	3.445	0.158	1.0	0.1	s15_t1.0_a0.1_002.gff
31	N	N	1.356	2.483	2.363	0.120	1.0	0.1	s15_t1.0_a0.1_003.gff
720	N	N	2.597	5.015	4.818	0.197	1.0	0.1	s15_t1.0_a0.1_004.gff
1594	N	N	4.290	9.043	8.746	0.297	1.0	0.1	s15_t1.0_a0.1_005.gff
42	N	N	1.412	2.604	2.463	0.141	1.0	0.1	s15_t1.0_a0.1_006.gff
109	N	N	1.852	3.314	3.159	0.155	1.0	0.1	s15_t1.0_a0.1_007.gff
54	N	N	1.414	2.615	2.483	0.132	1.0	0.1	s15_t1.0_a0.1_008.gff
286	N	N	1.757	3.231	3.074	0.157	1.0	0.1	s15_t1.0_a0.1_009.gff
138	N	N	1.632	2.951	2.793	0.158	1.0	0.1	s15_t1.0_a0.1_010.gff
55	N	N	1.407	2.565	2.440	0.125	1.0	0.1	s15_t1.0_a0.1_011.gff
131	N	N	1.514	2.783	2.623	0.160	1.0	0.1	s15_t1.0_a0.1_012.gff
16	N	N	1.307	2.363	2.226	0.137	1.0	0.1	s15_t1.0_a0.1_013.gff
310	N	N	1.847	3.362	3.235	0.127	1.0	0.1	s15_t1.0_a0.1_014.gff
67	N	N	1.463	2.671	2.539	0.132	1.0	0.1	s15_t1.0_a0.1_015.gff
1539	N	N	8.833	12.784	12.474	0.310	1.0	0.1	s15_t1.0_a0.1_016.gff
91	N	N	1.553	2.771	2.619	0.152	1.0	0.1	s15_t1.0_a0.1_017.gff
32	N	N	1.341	2.424	2.265	0.159	1.0	0.1	s15_t1.0_a0.1_018.gff
20	N	N	1.338	2.435	2.283	0.152	1.0	0.1	s15_t1.0_a0.1_019.gff
240	N	N	1.717	3.169	3.029	0.140	1.0	0.1	s15_t1.0_a0.1_020.gff
1046	N	N	3.554	6.647	6.402	0.245	1.0	0.1	s15_t1.0_a0.1_021.gff
88	N	N	1.493	2.684	2.555	0.129	1.0	0.1	s15_t1.0_a0.1_022.gff
22	N	N	1.326	2.380	2.242	0.138	1.0	0.1	s15_t1.0_a0.1_023.gff
78	N	N	1.695	3.123	2.962	0.161	1.0	0.1	s15_t1.0_a0.1_024.gff
58	N	N	1.407	2.532	2.401	0.131	1.0	0.1	s15_t1.0_a0.1_025.gff
33	N	N	1.353	2.422	2.283	0.139	1.0	0.1	s15_t1.0_a0.1_026.gff
110	N	N	1.531	2.803	2.693	0.110	1.0	0.1	s15_t1.0_a0.1_027.gff
162	N	N	1.595	2.925	2.778	0.147	1.0	0.1	s15_t1.0_a0.1_028.gff
149	N	N	2.004	3.586	3.404	0.182	1.0	0.1	s15_t1.0_a0.1_029.gff
3480	N	N	9.217	14.099	13.785	0.314	1.0	0.1	s15_t1.0_a0.1_030.gff
220	N	N	1.651	3.036	2.878	0.158	1.0	0.1	s15_t1.0_a0.1_031.gff
58	N	N	1.393	2.503	2.356	0.147	1.0	0.1	s15_t1.0_a0.1_032.gff
160	N	N	1.595	3.006	2.852	0.154	1.0	0.1	s15_t1.0_a0.1_033.gff
504	N	N	2.144	3.923	3.742	0.181	1.0	0.1	s15_t1.0_a0.1_034.gff
1104	N	N	3.202	6.388	6.133	0.255	1.0	0.1	s15_t1.0_a0.1_035.gff
2162	N	N	4.640	9.223	8.928	0.295	1.0	0.1	s15_t1.0_a0.1_036.gff
29	N	N	1.403	2.611	2.476	0.135	1.0	0.1	s15_t1.0_a0.1_037.gff
521	N	N	2.119	3.912	3.738	0.174	1.0	0.1	s15_t1.0_a0.1_038.gff
25	N	N	1.343	2.436	2.317	0.119	1.0	0.1	s15_t1.0_a0.1_039.gff
18	N	N	1.389	2.484	2.337	0.147	1.0	0.1	s15_t1.0_a0.1_040.gff
62	N	N	1.412	2.540	2.395	0.145	1.0	0.1	s15_t1.0_a0.1_041.gff
68	N	N	1.448	2.651	2.510	0.141	1.0	0.1	s15_t1.0_a0.1_042.gff
185	N	N	1.597	2.943	2.796	0.147	1.0	0.1	s15_t1.0_a0.1_043.gff
2190	N	N	5.213	8.528	8.267	0.261	1.0	0.1	s15_t1.0_a0.1_044.gff
349	N	N	3.366	6.188	5.958	0.230	1.0	0.1	s15_t1.0_a0.1_045.gff
511	N	N	2.284	4.144	3.956	0.188	1.0	0.1	s15_t1.0_a0.1_046.gff
233	N	N	1.698	3.183	3.020	0.163	1.0	0.1	s15_t1.0_a0.1_047.gff
78	N	N	1.449	2.637	2.477	0.160	1.0	0.1	s15_t1.0_a0.1_048.gff
244	N	N	1.821	3.315	3.161	0.154	1.0	0.1	s15_t1.0_a0.1_049.gff
54	N	N	1.610	2.974	2.828	0.146	1.0	0.1	s15_t1.0_a0.1_050.gff
16	N	N	1.316	2.415	2.279	0.136	1.0	0.1	s15_t1.0_a0.1_051.gff
69	N	N	1.407	2.566	2.431	0.135	1.0	0.1	s15_t1.0_a0.1_052.gff
113	N	N	1.577	2.892	2.747	0.145	1.0	0.1	s15_t1.0_a0.1_053.gff
25	N	N	1.324	2.413	2.284	0.129	1.0	0.1	s15_t1.0_a0.1_054.gff
202	N	N	1.640	3.005	2.867	0.138	1.0	0.1	s15_t1.0_a0.1_055.gff
241	N	N	1.740	3.278	3.110	0.168	1.0	0.1	s15_t1.0_a0.1_056.gff
310	N	N	1.884	3.506	3.350	0.156	1.0	0.1	s15_t1.0_a0.1_057.gff
3098	N	N	7.732	11.809	11.505	0.304	1.0	0.1	s15_t1.0_a0.1_058.gff
89	N	N	1.512	2.768	2.605	0.163	1.0	0.1	s15_t1.0_a0.1_059.gff
62	N	N	1.410	2.508	2.378	0.130	1.0	0.1	s15_t1.0_a0.1_060.gff
110	N	N	1.459	2.633	2.494	0.139	1.0	0.1	s15_t1.0_a0.1_061.gff
1784	N	N	6.112	10.524	10.217	0.307	1.0	0.1	s15_t1.0_a0.1_062.gff
137	N	N	1.820	3.006	2.869	0.137	1.0	0.1	s15_t1.0_a0.1_063.gff
318	N	N	1.855	3.424	3.257	0.167	1.0	0.1	s15_t1.0_a0.1_064.gff
1085	N	N	3.007	6.393	6.135	0.258	1.0	0.1	s15_t1.0_a0.1_065.gff
4	N	N	1.322	2.420	2.278	0.142	1.0	0.1	s15_t1.0_a0.1_066.gff
236	N	N	1.771	3.282	3.142	0.140	1.0	0.1	s15_t1.0_a0.1_067.gff
35	N	N	1.416	2.552	2.384	0.168	1.0	0.1	s15_t1.0_a0.1_068.gff
584	N	N	2.815	4.611	4.414	0.197	1.0	0.1	s15_t1.0_a0.1_069.gff
30	N	N	1.356	2.432	2.310	0.122	1.0	0.1	s15_t1.0_a0.1_070.gff
14	N	N	1.314	2.362	2.234	0.128	1.0	0.1	s15_t1.0_a0.1_071.gff
65	N	N	1.405	2.578	2.465	0.113	1.0	0.1	s15_t1.0_a0.1_072.gff
1879	N	N	4.946	8.592	8.306	0.286	1.0	0.1	s15_t1.0_a0.1_073.gff
81	N	N	1.494	2.693	2.554	0.139	1.0	0.1	s15_t1.0_a0.1_074.gff
59	N	N	1.416	2.541	2.419	0.122	1.0	0.1	s15_t1.0_a0.1_075.gff
3010	N	N	9.864	14.778	14.460	0.318	1.0	0.1	s15_t1.0_a0.1_076.gff
91	N	N	1.562	2.873	2.741	0.132	1.0	0.1	s15_t1.0_a0.1_077.gff
2096	N	N	5.081	8.386	8.109	0.277	1.0	0.1	s15_t1.0_a0.1_078.gff
29	N	N	1.380	2.503	2.363	0.140	1.0	0.1	s15_t1.0_a0.1_079.gff
326	N	N	1.892	3.476	3.289	0.187	1.0	0.1	s15_t1.0_a0.1_080.gff
113	N	N	1.640	3.075	2.924	0.151	1.0	0.1	s15_t1.0_a0.1_081.gff
1187	N	N	3.059	6.376	6.098	0.278	1.0	0.1	s15_t1.0_a0.1_082.gff
182	N	N	1.657	3.057	2.914	0.143	1.0	0.1	s15_t1.0_a0.1_083.gff
150	N	N	1.597	2.960	2.817	0.143	1.0	0.1	s15_t1.0_a0.1_084.gff
1392	N	N	6.658	10.972	10.705	0.267	1.0	0.1	s15_t1.0_a0.1_085.gff
36	N	N	1.772	2.494	2.340	0.154	1.0	0.1	s15_t1.0_a0.1_086.gff
42	N	N	1.388	2.574	2.432	0.142	1.0	0.1	s15_t1.0_a0.1_087.gff
122	N	N	1.614	2.924	2.771	0.153	1.0	0.1	s15_t1.0_a0.1_088.gff
1045	N	N	3.635	6.343	6.080	0.263	1.0	0.1	s15_t1.0_a0.1_089.gff
91	N	N	1.535	2.831	2.674	0.157	1.0	0.1	s15_t1.0_a0.1_090.gff
531	N	N	2.688	5.380	5.156	0.224	1.0	0.1	s15_t1.0_a0.1_091.gff
167	N	N	1.670	3.044	2.914	0.130	1.0	0.1	s15_t1.0_a0.1_092.gff
112	N	N	1.911	3.418	3.248	0.170	1.0	0.1	s15_t1.0_a0.1_093.gff
1852	N	N	14.561	21.221	20.874	0.347	1.0	0.1	s15_t1.0_a0.1_094.gff
572	N	N	2.198	4.048	3.858	0.190	1.0	0.1	s15_t1.0_a0.1_095.gff
75	N	N	1.448	2.636	2.501	0.135	1.0	0.1	s15_t1.0_a0.1_096.gff
4	N	N	1.293	2.340	2.210	0.130	1.0	0.1	s15_t1.0_a0.1_097.gff
275	N	N	1.862	3.410	3.267	0.143	1.0	0.1	s15_t1.0_a0.1_098.gff
59	N	N	1.402	2.524	2.381	0.143	1.0	0.1	s15_t1.0_a0.1_099.gff
51	N	N	1.439	2.585	2.431	0.154	1.0	0.1	s15_t1.0_a0.1_100.gff
93	N	N	1.466	2.656	2.520	0.136	1.0	0.2	s15_t1.0_a0.2_001.gff
300	N	N	1.812	3.363	3.208	0.155	1.0	0.2	s15_t1.0_a0.2_002.gff
8	N	N	1.317	2.375	2.260	0.115	1.0	0.2	s15_t1.0_a0.2_003.gff
277	N	N	1.833	3.360	3.201	0.159	1.0	0.2	s15_t1.0_a0.2_004.gff
79	N	N	1.749	3.193	3.041	0.152	1.0	0.2	s15_t1.0_a0.2_005.gff
35	N	N	1.392	2.508	2.370	0.138	1.0	0.2	s15_t1.0_a0.2_006.gff
49	N	N	1.405	2.514	2.383	0.131	1.0	0.2	s15_t1.0_a0.2_007.gff
83	N	N	1.580	2.857	2.718	0.139	1.0	0.2	s15_t1.0_a0.2_008.gff
74	N	N	1.458	2.669	2.526	0.143	1.0	0.2	s15_t1.0_a0.2_009.gff
29	N	N	1.357	2.462	2.336	0.126	1.0	0.2	s15_t1.0_a0.2_010.gff
126	N	N	1.548	2.830	2.683	0.147	1.0	0.2	s15_t1.0_a0.2_011.gff
4827	N	N	15.888	21.373	21.024	0.349	1.0	0.2	s15_t1.0_a0.2_012.gff
12	N	N	1.941	2.479	2.349	0.130	1.0	0.2	s15_t1.0_a0.2_013.gff
27	N	N	1.380	2.467	2.348	0.119	1.0	0.2	s15_t1.0_a0.2_014.gff
106	N	N	1.895	3.387	3.217	0.170	1.0	0.2	s15_t1.0_a0.2_015.gff
90	N	N	1.561	2.861	2.696	0.165	1.0	0.2	s15_t1.0_a0.2_016.gff
139	N	N	1.688	2.990	2.856	0.134	1.0	0.2	s15_t1.0_a0.2_017.gff
2640	N	N	5.950	9.778	9.486	0.292	1.0	0.2	s15_t1.0_a0.2_018.gff
63	N	N	1.492	2.716	2.547	0.169	1.0	0.2	s15_t1.0_a0.2_019.gff
16	N	N	1.346	2.438	2.302	0.136	1.0	0.2	s15_t1.0_a0.2_020.gff
208	N	N	1.743	3.239	3.086	0.153	1.0	0.2	s15_t1.0_a0.2_021.gff
523	N	N	2.237	4.505	4.338	0.167	1.0	0.2	s15_t1.0_a0.2_022.gff
348	N	N	1.975	3.559	3.385	0.174	1.0	0.2	s15_t1.0_a0.2_023.gff
425	N	N	3.025	5.785	5.538	0.247	1.0	0.2	s15_t1.0_a0.2_024.gff
