# Starting date:             2014-11-29 06:29:13
# Cluster job ID:            1265405
# Cluster node:              hnode09
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg -r2c
# Data:                      15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
1180	N	N	3.403	4.907	4.704	0.203	1.0	0.1	s15_t1.0_a0.1_001.gff
643	N	N	2.448	3.597	3.422	0.175	1.0	0.1	s15_t1.0_a0.1_002.gff
32	N	N	1.764	2.380	2.233	0.147	1.0	0.1	s15_t1.0_a0.1_003.gff
1401	N	N	6.795	5.257	5.046	0.211	1.0	0.1	s15_t1.0_a0.1_004.gff
3029	N	N	9.819	6.943	6.669	0.274	1.0	0.1	s15_t1.0_a0.1_005.gff
76	N	N	6.447	2.511	2.378	0.133	1.0	0.1	s15_t1.0_a0.1_006.gff
756	N	N	3.414	3.746	3.556	0.190	1.0	0.1	s15_t1.0_a0.1_007.gff
101	N	N	5.433	2.532	2.382	0.150	1.0	0.1	s15_t1.0_a0.1_008.gff
412	N	N	1.809	3.197	3.034	0.163	1.0	0.1	s15_t1.0_a0.1_009.gff
289	N	N	1.983	3.019	2.871	0.148	1.0	0.1	s15_t1.0_a0.1_010.gff
59	N	N	1.531	2.463	2.320	0.143	1.0	0.1	s15_t1.0_a0.1_011.gff
131	N	N	4.101	2.722	2.574	0.148	1.0	0.1	s15_t1.0_a0.1_012.gff
20	N	N	8.520	2.371	2.237	0.134	1.0	0.1	s15_t1.0_a0.1_013.gff
438	N	N	5.700	3.307	3.129	0.178	1.0	0.1	s15_t1.0_a0.1_014.gff
117	N	N	3.101	2.682	2.528	0.154	1.0	0.1	s15_t1.0_a0.1_015.gff
6305	N	N	8.499	11.554	11.255	0.299	1.0	0.1	s15_t1.0_a0.1_016.gff
241	N	N	1.787	2.886	2.750	0.136	1.0	0.1	s15_t1.0_a0.1_017.gff
32	N	N	1.446	2.426	2.280	0.146	1.0	0.1	s15_t1.0_a0.1_018.gff
35	N	N	1.278	2.315	2.177	0.138	1.0	0.1	s15_t1.0_a0.1_019.gff
313	N	N	2.112	3.100	2.947	0.153	1.0	0.1	s15_t1.0_a0.1_020.gff
2461	N	N	4.128	6.449	6.208	0.241	1.0	0.1	s15_t1.0_a0.1_021.gff
133	N	N	2.636	2.659	2.529	0.130	1.0	0.1	s15_t1.0_a0.1_022.gff
35	N	N	2.175	2.391	2.272	0.119	1.0	0.1	s15_t1.0_a0.1_023.gff
490	N	N	1.797	3.412	3.263	0.149	1.0	0.1	s15_t1.0_a0.1_024.gff
58	N	N	2.191	2.462	2.315	0.147	1.0	0.1	s15_t1.0_a0.1_025.gff
34	N	N	1.468	2.378	2.263	0.115	1.0	0.1	s15_t1.0_a0.1_026.gff
170	N	N	1.597	2.743	2.612	0.131	1.0	0.1	s15_t1.0_a0.1_027.gff
229	N	N	1.807	2.872	2.727	0.145	1.0	0.1	s15_t1.0_a0.1_028.gff
1008	N	N	4.208	3.959	3.782	0.177	1.0	0.1	s15_t1.0_a0.1_029.gff
6463	N	N	14.101	12.454	12.119	0.335	1.0	0.1	s15_t1.0_a0.1_030.gff
261	N	N	2.169	3.037	2.884	0.153	1.0	0.1	s15_t1.0_a0.1_031.gff
