# Starting date:             2014-11-30 12:30:12
# Cluster job ID:            1322410
# Cluster node:              hnode38
# Cluster queue:             mpi.q
# Complementation algorithm: piterman -eq -sim -ro
# Data:                      20.tar.gz
# Memory limit (Java heap):  2G
# Timeout (CPU time):        1200s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
211	N	N	2.386	4.197	3.971	0.226	1.0	0.1	s20_t1.0_a0.1_001.gff
565	N	N	3.062	5.403	5.071	0.332	1.0	0.1	s20_t1.0_a0.1_002.gff
5691	N	N	97.916	115.090	113.937	1.153	1.0	0.1	s20_t1.0_a0.1_003.gff
1720	N	N	8.189	12.121	11.657	0.464	1.0	0.1	s20_t1.0_a0.1_004.gff
1076	N	N	5.982	8.380	7.983	0.397	1.0	0.1	s20_t1.0_a0.1_005.gff
160	N	N	2.167	3.711	3.514	0.197	1.0	0.1	s20_t1.0_a0.1_006.gff
173	N	N	2.314	3.667	3.480	0.187	1.0	0.1	s20_t1.0_a0.1_007.gff
18	N	N	1.813	2.704	2.555	0.149	1.0	0.1	s20_t1.0_a0.1_008.gff
2	N	N	1.745	2.630	2.489	0.141	1.0	0.1	s20_t1.0_a0.1_009.gff
87	N	N	3.597	3.072	2.915	0.157	1.0	0.1	s20_t1.0_a0.1_010.gff
313	N	N	2.347	4.307	4.080	0.227	1.0	0.1	s20_t1.0_a0.1_011.gff
2	N	N	1.726	2.898	2.733	0.165	1.0	0.1	s20_t1.0_a0.1_012.gff
2	N	N	1.517	2.577	2.417	0.160	1.0	0.1	s20_t1.0_a0.1_013.gff
316	N	N	2.227	4.701	4.464	0.237	1.0	0.1	s20_t1.0_a0.1_014.gff
157	N	N	1.830	3.228	3.070	0.158	1.0	0.1	s20_t1.0_a0.1_015.gff
2462	N	N	13.697	18.107	17.628	0.479	1.0	0.1	s20_t1.0_a0.1_016.gff
47	N	N	4.894	2.953	2.774	0.179	1.0	0.1	s20_t1.0_a0.1_017.gff
3583	N	N	23.872	28.093	27.531	0.562	1.0	0.1	s20_t1.0_a0.1_018.gff
639	N	N	3.581	5.599	5.259	0.340	1.0	0.1	s20_t1.0_a0.1_019.gff
3	N	N	1.622	2.336	2.207	0.129	1.0	0.1	s20_t1.0_a0.1_020.gff
324	N	N	2.727	4.703	4.405	0.298	1.0	0.1	s20_t1.0_a0.1_021.gff
652	N	N	5.248	7.244	6.855	0.389	1.0	0.1	s20_t1.0_a0.1_022.gff
3314	N	N	18.237	23.516	22.928	0.588	1.0	0.1	s20_t1.0_a0.1_023.gff
35	N	N	1.759	2.745	2.604	0.141	1.0	0.1	s20_t1.0_a0.1_024.gff
1314	N	N	6.949	10.136	9.741	0.395	1.0	0.1	s20_t1.0_a0.1_025.gff
268	N	N	3.000	3.933	3.711	0.222	1.0	0.1	s20_t1.0_a0.1_026.gff
2	N	N	3.517	3.656	3.415	0.241	1.0	0.1	s20_t1.0_a0.1_027.gff
55	N	N	2.529	2.891	2.728	0.163	1.0	0.1	s20_t1.0_a0.1_028.gff
