# Starting date:             2014-11-30 12:30:12
# Cluster job ID:            1322412
# Cluster node:              hnode21
# Cluster queue:             mpi.q
# Complementation algorithm: slice -p -ro -madj -eg
# Data:                      20.tar.gz
# Memory limit (Java heap):  2G
# Timeout (CPU time):        1200s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
372	N	N	1.795	3.277	3.108	0.169	1.0	0.1	s20_t1.0_a0.1_001.gff
672	N	N	2.481	3.884	3.679	0.205	1.0	0.1	s20_t1.0_a0.1_002.gff
29296	N	N	19.888	26.604	25.966	0.638	1.0	0.1	s20_t1.0_a0.1_003.gff
4209	N	N	4.594	7.243	6.856	0.387	1.0	0.1	s20_t1.0_a0.1_004.gff
2455	N	N	4.396	5.799	5.424	0.375	1.0	0.1	s20_t1.0_a0.1_005.gff
372	N	N	1.875	3.280	3.111	0.169	1.0	0.1	s20_t1.0_a0.1_006.gff
196	N	N	1.813	3.056	2.918	0.138	1.0	0.1	s20_t1.0_a0.1_007.gff
54	N	N	1.498	2.402	2.276	0.126	1.0	0.1	s20_t1.0_a0.1_008.gff
54	N	N	1.322	2.379	2.244	0.135	1.0	0.1	s20_t1.0_a0.1_009.gff
86	N	N	1.413	2.541	2.390	0.151	1.0	0.1	s20_t1.0_a0.1_010.gff
344	N	N	1.791	3.248	3.071	0.177	1.0	0.1	s20_t1.0_a0.1_011.gff
95	N	N	1.849	2.627	2.486	0.141	1.0	0.1	s20_t1.0_a0.1_012.gff
48	N	N	1.541	2.430	2.285	0.145	1.0	0.1	s20_t1.0_a0.1_013.gff
333	N	N	1.748	3.197	3.010	0.187	1.0	0.1	s20_t1.0_a0.1_014.gff
119	N	N	1.459	2.629	2.477	0.152	1.0	0.1	s20_t1.0_a0.1_015.gff
5238	N	N	5.216	8.129	7.741	0.388	1.0	0.1	s20_t1.0_a0.1_016.gff
70	N	N	1.473	2.569	2.431	0.138	1.0	0.1	s20_t1.0_a0.1_017.gff
7802	N	N	9.079	11.879	11.319	0.560	1.0	0.1	s20_t1.0_a0.1_018.gff
