# Starting date:             2014-11-30 12:29:45
# Cluster job ID:            1322399
# Cluster node:              hnode20
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg -m1
# Data:                      20.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
495	N	N	2.206	3.658	3.464	0.194	1.0	0.1	s20_t1.0_a0.1_001.gff
813	N	N	2.600	4.007	3.841	0.166	1.0	0.1	s20_t1.0_a0.1_002.gff
27568	N	N	162.704	170.994	170.384	0.610	1.0	0.1	s20_t1.0_a0.1_003.gff
4151	N	N	7.396	9.438	9.148	0.290	1.0	0.1	s20_t1.0_a0.1_004.gff
3133	N	N	4.453	8.165	7.898	0.267	1.0	0.1	s20_t1.0_a0.1_005.gff
478	N	N	4.522	3.455	3.275	0.180	1.0	0.1	s20_t1.0_a0.1_006.gff
244	N	N	2.430	3.136	2.986	0.150	1.0	0.1	s20_t1.0_a0.1_007.gff
54	N	N	3.003	2.586	2.429	0.157	1.0	0.1	s20_t1.0_a0.1_008.gff
54	N	N	1.663	2.556	2.409	0.147	1.0	0.1	s20_t1.0_a0.1_009.gff
86	N	N	1.577	2.704	2.557	0.147	1.0	0.1	s20_t1.0_a0.1_010.gff
411	N	N	2.044	3.297	3.126	0.171	1.0	0.1	s20_t1.0_a0.1_011.gff
95	N	N	1.631	2.659	2.511	0.148	1.0	0.1	s20_t1.0_a0.1_012.gff
48	N	N	2.101	2.545	2.394	0.151	1.0	0.1	s20_t1.0_a0.1_013.gff
483	N	N	2.031	3.603	3.414	0.189	1.0	0.1	s20_t1.0_a0.1_014.gff
120	N	N	1.715	2.758	2.625	0.133	1.0	0.1	s20_t1.0_a0.1_015.gff
5529	N	N	7.612	11.435	11.163	0.272	1.0	0.1	s20_t1.0_a0.1_016.gff
71	N	N	1.671	2.569	2.411	0.158	1.0	0.1	s20_t1.0_a0.1_017.gff
7836	N	N	13.080	16.842	16.490	0.352	1.0	0.1	s20_t1.0_a0.1_018.gff
1479	N	N	3.258	5.360	5.130	0.230	1.0	0.1	s20_t1.0_a0.1_019.gff
6	N	N	1.407	2.454	2.319	0.135	1.0	0.1	s20_t1.0_a0.1_020.gff
898	N	N	2.377	4.055	3.840	0.215	1.0	0.1	s20_t1.0_a0.1_021.gff
1526	N	N	2.804	5.658	5.370	0.288	1.0	0.1	s20_t1.0_a0.1_022.gff
6598	N	N	10.427	13.538	13.194	0.344	1.0	0.1	s20_t1.0_a0.1_023.gff
82	N	N	4.841	2.698	2.539	0.159	1.0	0.1	s20_t1.0_a0.1_024.gff
2517	N	N	4.501	7.192	6.922	0.270	1.0	0.1	s20_t1.0_a0.1_025.gff
303	N	N	2.504	3.162	2.991	0.171	1.0	0.1	s20_t1.0_a0.1_026.gff
223	N	N	1.895	3.076	2.915	0.161	1.0	0.1	s20_t1.0_a0.1_027.gff
91	N	N	4.836	2.725	2.571	0.154	1.0	0.1	s20_t1.0_a0.1_028.gff
111	N	N	3.391	2.736	2.596	0.140	1.0	0.1	s20_t1.0_a0.1_029.gff
2540	N	N	5.636	7.191	6.882	0.309	1.0	0.1	s20_t1.0_a0.1_030.gff
4778	N	N	7.856	10.462	10.152	0.310	1.0	0.1	s20_t1.0_a0.1_031.gff
61	N	N	4.517	2.668	2.500	0.168	1.0	0.1	s20_t1.0_a0.1_032.gff
128	N	N	3.563	2.845	2.682	0.163	1.0	0.1	s20_t1.0_a0.1_033.gff
506	N	N	2.653	3.593	3.418	0.175	1.0	0.1	s20_t1.0_a0.1_034.gff
479	N	N	4.183	3.616	3.437	0.179	1.0	0.1	s20_t1.0_a0.1_035.gff
106	N	N	5.690	2.858	2.714	0.144	1.0	0.1	s20_t1.0_a0.1_036.gff
3657	N	N	7.138	8.789	8.512	0.277	1.0	0.1	s20_t1.0_a0.1_037.gff
531	N	N	3.259	3.678	3.492	0.186	1.0	0.1	s20_t1.0_a0.1_038.gff
813	N	N	2.399	4.073	3.894	0.179	1.0	0.1	s20_t1.0_a0.1_039.gff
132	N	N	4.346	2.914	2.767	0.147	1.0	0.1	s20_t1.0_a0.1_040.gff
935	N	N	3.423	4.270	4.031	0.239	1.0	0.1	s20_t1.0_a0.1_041.gff
318	N	N	2.621	3.273	3.116	0.157	1.0	0.1	s20_t1.0_a0.1_042.gff
4645	N	N	6.760	10.149	9.829	0.320	1.0	0.1	s20_t1.0_a0.1_043.gff
903	N	N	2.393	4.083	3.886	0.197	1.0	0.1	s20_t1.0_a0.1_044.gff
11767	N	N	23.458	29.435	29.046	0.389	1.0	0.1	s20_t1.0_a0.1_045.gff
11347	N	N	22.547	26.569	26.161	0.408	1.0	0.1	s20_t1.0_a0.1_046.gff
2795	N	N	5.634	8.151	7.872	0.279	1.0	0.1	s20_t1.0_a0.1_047.gff
523	N	N	5.558	3.645	3.459	0.186	1.0	0.1	s20_t1.0_a0.1_048.gff
2883	N	N	8.830	7.535	7.257	0.278	1.0	0.1	s20_t1.0_a0.1_049.gff
238	N	N	7.613	3.155	2.973	0.182	1.0	0.1	s20_t1.0_a0.1_050.gff
3449	N	N	4.896	9.140	8.861	0.279	1.0	0.1	s20_t1.0_a0.1_051.gff
59	N	N	3.987	2.697	2.543	0.154	1.0	0.1	s20_t1.0_a0.1_052.gff
620	N	N	2.276	3.855	3.683	0.172	1.0	0.1	s20_t1.0_a0.1_053.gff
17	N	N	4.003	2.499	2.334	0.165	1.0	0.1	s20_t1.0_a0.1_054.gff
25	N	N	1.761	2.488	2.346	0.142	1.0	0.1	s20_t1.0_a0.1_055.gff
224	N	N	4.036	3.096	2.959	0.137	1.0	0.1	s20_t1.0_a0.1_056.gff
870	N	N	2.514	4.611	4.406	0.205	1.0	0.1	s20_t1.0_a0.1_057.gff
246	N	N	3.010	3.106	2.944	0.162	1.0	0.1	s20_t1.0_a0.1_058.gff
1586	N	N	3.292	5.729	5.469	0.260	1.0	0.1	s20_t1.0_a0.1_059.gff
1035	N	N	4.571	4.312	4.102	0.210	1.0	0.1	s20_t1.0_a0.1_060.gff
3668	N	N	5.176	9.161	8.838	0.323	1.0	0.1	s20_t1.0_a0.1_061.gff
82	N	N	1.624	2.722	2.565	0.157	1.0	0.1	s20_t1.0_a0.1_062.gff
250	N	N	1.910	3.170	3.014	0.156	1.0	0.1	s20_t1.0_a0.1_063.gff
4272	N	N	7.116	10.126	9.820	0.306	1.0	0.1	s20_t1.0_a0.1_064.gff
314	N	N	1.963	3.207	3.046	0.161	1.0	0.1	s20_t1.0_a0.1_065.gff
1021	N	N	3.339	4.361	4.141	0.220	1.0	0.1	s20_t1.0_a0.1_066.gff
756	N	N	2.573	3.915	3.714	0.201	1.0	0.1	s20_t1.0_a0.1_067.gff
