# Starting date:             2014-12-03 14:21:08
# Cluster job ID:            1442961
# Cluster node:              hnode15
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg
# Data:                      20.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
592	N	N	1.827	3.412	3.237	0.175	1.0	0.1	s20_t1.0_a0.1_001.gff
1006	N	N	2.280	4.564	4.356	0.208	1.0	0.1	s20_t1.0_a0.1_002.gff
NA	Y	N	604.467	601.380	600.601	0.779	1.0	0.1	s20_t1.0_a0.1_003.gff
7772	N	N	10.909	14.905	14.557	0.348	1.0	0.1	s20_t1.0_a0.1_004.gff
5300	N	N	6.464	10.299	10.029	0.270	1.0	0.1	s20_t1.0_a0.1_005.gff
655	N	N	1.818	3.356	3.167	0.189	1.0	0.1	s20_t1.0_a0.1_006.gff
285	N	N	1.582	2.981	2.839	0.142	1.0	0.1	s20_t1.0_a0.1_007.gff
54	N	N	1.277	2.325	2.212	0.113	1.0	0.1	s20_t1.0_a0.1_008.gff
54	N	N	1.318	2.318	2.177	0.141	1.0	0.1	s20_t1.0_a0.1_009.gff
86	N	N	1.885	2.471	2.325	0.146	1.0	0.1	s20_t1.0_a0.1_010.gff
472	N	N	1.940	3.302	3.137	0.165	1.0	0.1	s20_t1.0_a0.1_011.gff
95	N	N	1.378	2.453	2.295	0.158	1.0	0.1	s20_t1.0_a0.1_012.gff
48	N	N	1.300	2.369	2.217	0.152	1.0	0.1	s20_t1.0_a0.1_013.gff
618	N	N	2.109	3.281	3.114	0.167	1.0	0.1	s20_t1.0_a0.1_014.gff
120	N	N	1.397	2.523	2.393	0.130	1.0	0.1	s20_t1.0_a0.1_015.gff
9592	N	N	14.551	18.874	18.568	0.306	1.0	0.1	s20_t1.0_a0.1_016.gff
71	N	N	1.761	2.491	2.345	0.146	1.0	0.1	s20_t1.0_a0.1_017.gff
12711	N	N	21.837	28.291	27.927	0.364	1.0	0.1	s20_t1.0_a0.1_018.gff
2231	N	N	3.099	6.223	5.960	0.263	1.0	0.1	s20_t1.0_a0.1_019.gff
6	N	N	1.240	2.218	2.087	0.131	1.0	0.1	s20_t1.0_a0.1_020.gff
1259	N	N	2.351	4.787	4.579	0.208	1.0	0.1	s20_t1.0_a0.1_021.gff
2559	N	N	3.386	6.347	6.081	0.266	1.0	0.1	s20_t1.0_a0.1_022.gff
11367	N	N	16.913	22.202	21.867	0.335	1.0	0.1	s20_t1.0_a0.1_023.gff
82	N	N	1.703	2.472	2.351	0.121	1.0	0.1	s20_t1.0_a0.1_024.gff
3859	N	N	4.642	8.796	8.536	0.260	1.0	0.1	s20_t1.0_a0.1_025.gff
326	N	N	1.567	2.825	2.688	0.137	1.0	0.1	s20_t1.0_a0.1_026.gff
223	N	N	1.518	2.803	2.655	0.148	1.0	0.1	s20_t1.0_a0.1_027.gff
92	N	N	1.338	2.376	2.240	0.136	1.0	0.1	s20_t1.0_a0.1_028.gff
111	N	N	1.413	2.601	2.449	0.152	1.0	0.1	s20_t1.0_a0.1_029.gff
4426	N	N	5.307	9.056	8.768	0.288	1.0	0.1	s20_t1.0_a0.1_030.gff
7468	N	N	10.220	14.562	14.252	0.310	1.0	0.1	s20_t1.0_a0.1_031.gff
62	N	N	1.460	2.393	2.263	0.130	1.0	0.1	s20_t1.0_a0.1_032.gff
128	N	N	1.439	2.653	2.518	0.135	1.0	0.1	s20_t1.0_a0.1_033.gff
584	N	N	1.816	3.364	3.217	0.147	1.0	0.1	s20_t1.0_a0.1_034.gff
627	N	N	1.867	3.486	3.316	0.170	1.0	0.1	s20_t1.0_a0.1_035.gff
106	N	N	1.396	2.573	2.444	0.129	1.0	0.1	s20_t1.0_a0.1_036.gff
4893	N	N	6.233	10.338	10.045	0.293	1.0	0.1	s20_t1.0_a0.1_037.gff
670	N	N	1.868	3.519	3.346	0.173	1.0	0.1	s20_t1.0_a0.1_038.gff
1155	N	N	2.330	4.769	4.568	0.201	1.0	0.1	s20_t1.0_a0.1_039.gff
132	N	N	1.417	2.590	2.468	0.122	1.0	0.1	s20_t1.0_a0.1_040.gff
1234	N	N	2.377	4.967	4.758	0.209	1.0	0.1	s20_t1.0_a0.1_041.gff
