# Starting date:             2014-12-03 13:29:53
# Cluster job ID:            1442955
# Cluster node:              hnode19
# Cluster queue:             mpi.q
# Complementation algorithm: rank
# Data:                      15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
NA	Y	N	147.658	604.649	602.226	2.423	1.0	0.1	s15_t1.0_a0.1_001.gff
NA	Y	N	153.513	604.827	602.212	2.615	1.0	0.1	s15_t1.0_a0.1_002.gff
23715	N	N	24.109	35.850	35.080	0.770	1.0	0.1	s15_t1.0_a0.1_003.gff
NA	Y	N	147.631	604.674	602.135	2.539	1.0	0.1	s15_t1.0_a0.1_004.gff
NA	Y	N	141.152	604.806	602.195	2.611	1.0	0.1	s15_t1.0_a0.1_005.gff
4691	N	N	6.039	10.065	9.727	0.338	1.0	0.1	s15_t1.0_a0.1_006.gff
NA	Y	N	173.362	604.384	601.946	2.438	1.0	0.1	s15_t1.0_a0.1_007.gff
15601	N	N	11.148	18.608	18.112	0.496	1.0	0.1	s15_t1.0_a0.1_008.gff
NA	Y	N	165.197	604.696	602.039	2.657	1.0	0.1	s15_t1.0_a0.1_009.gff
NA	Y	N	166.132	604.477	602.035	2.442	1.0	0.1	s15_t1.0_a0.1_010.gff
9851	N	N	8.983	14.697	14.278	0.419	1.0	0.1	s15_t1.0_a0.1_011.gff
NA	Y	N	144.940	602.844	600.806	2.038	1.0	0.1	s15_t1.0_a0.1_012.gff
910	N	N	2.563	5.120	4.844	0.276	1.0	0.1	s15_t1.0_a0.1_013.gff
NA	Y	N	167.138	604.608	601.881	2.727	1.0	0.1	s15_t1.0_a0.1_014.gff
NA	Y	N	140.273	602.752	600.023	2.729	1.0	0.1	s15_t1.0_a0.1_015.gff
NA	Y	N	147.108	605.051	602.596	2.455	1.0	0.1	s15_t1.0_a0.1_016.gff
NA	Y	N	168.820	603.286	601.546	1.740	1.0	0.1	s15_t1.0_a0.1_017.gff
1401	N	N	3.178	5.582	5.313	0.269	1.0	0.1	s15_t1.0_a0.1_018.gff
2487	N	N	3.381	6.742	6.437	0.305	1.0	0.1	s15_t1.0_a0.1_019.gff
NA	Y	N	165.384	604.469	601.990	2.479	1.0	0.1	s15_t1.0_a0.1_020.gff
NA	Y	N	164.612	604.542	601.926	2.616	1.0	0.1	s15_t1.0_a0.1_021.gff
NA	N	Y	109.837	426.447	423.897	2.550	1.0	0.1	s15_t1.0_a0.1_022.gff
4490	N	N	5.950	8.137	7.831	0.306	1.0	0.1	s15_t1.0_a0.1_023.gff
NA	Y	N	165.856	604.343	601.951	2.392	1.0	0.1	s15_t1.0_a0.1_024.gff
NA	Y	N	148.704	603.389	601.584	1.805	1.0	0.1	s15_t1.0_a0.1_025.gff
NA	Y	N	158.010	603.666	601.559	2.107	1.0	0.1	s15_t1.0_a0.1_026.gff
NA	Y	N	158.779	604.115	601.794	2.321	1.0	0.1	s15_t1.0_a0.1_027.gff
NA	Y	N	155.636	604.864	602.283	2.581	1.0	0.1	s15_t1.0_a0.1_028.gff
NA	Y	N	150.526	603.983	601.826	2.157	1.0	0.1	s15_t1.0_a0.1_029.gff
NA	Y	N	152.914	604.738	602.115	2.623	1.0	0.1	s15_t1.0_a0.1_030.gff
NA	Y	N	162.971	604.829	602.248	2.581	1.0	0.1	s15_t1.0_a0.1_031.gff
16849	N	N	19.420	28.438	27.843	0.595	1.0	0.1	s15_t1.0_a0.1_032.gff
NA	Y	N	160.981	604.522	602.070	2.452	1.0	0.1	s15_t1.0_a0.1_033.gff
NA	Y	N	153.723	604.934	602.362	2.572	1.0	0.1	s15_t1.0_a0.1_034.gff
NA	Y	N	164.263	604.845	602.124	2.721	1.0	0.1	s15_t1.0_a0.1_035.gff
NA	Y	N	144.619	604.959	602.324	2.635	1.0	0.1	s15_t1.0_a0.1_036.gff
NA	N	Y	74.032	263.005	261.290	1.715	1.0	0.1	s15_t1.0_a0.1_037.gff
NA	Y	N	168.358	604.715	602.151	2.564	1.0	0.1	s15_t1.0_a0.1_038.gff
1974	N	N	3.545	6.525	6.224	0.301	1.0	0.1	s15_t1.0_a0.1_039.gff
30042	N	N	51.199	78.211	77.283	0.928	1.0	0.1	s15_t1.0_a0.1_040.gff
3402	N	N	4.919	8.775	8.449	0.326	1.0	0.1	s15_t1.0_a0.1_041.gff
NA	Y	N	172.926	603.766	601.476	2.290	1.0	0.1	s15_t1.0_a0.1_042.gff
NA	Y	N	156.465	604.887	602.192	2.695	1.0	0.1	s15_t1.0_a0.1_043.gff
NA	Y	N	137.752	604.800	602.393	2.407	1.0	0.1	s15_t1.0_a0.1_044.gff
NA	Y	N	141.546	604.712	602.229	2.483	1.0	0.1	s15_t1.0_a0.1_045.gff
NA	Y	N	166.872	604.871	602.261	2.610	1.0	0.1	s15_t1.0_a0.1_046.gff
NA	Y	N	160.966	604.591	601.977	2.614	1.0	0.1	s15_t1.0_a0.1_047.gff
NA	Y	N	169.448	604.845	602.321	2.524	1.0	0.1	s15_t1.0_a0.1_048.gff
NA	Y	N	154.937	604.230	602.000	2.230	1.0	0.1	s15_t1.0_a0.1_049.gff
NA	Y	N	173.059	604.686	602.183	2.503	1.0	0.1	s15_t1.0_a0.1_050.gff
2252	N	N	3.430	6.263	5.960	0.303	1.0	0.1	s15_t1.0_a0.1_051.gff
NA	N	Y	50.183	106.693	105.765	0.928	1.0	0.1	s15_t1.0_a0.1_052.gff
NA	Y	N	170.142	604.009	601.743	2.266	1.0	0.1	s15_t1.0_a0.1_053.gff
8081	N	N	6.381	11.137	10.764	0.373	1.0	0.1	s15_t1.0_a0.1_054.gff
NA	Y	N	163.546	604.111	601.727	2.384	1.0	0.1	s15_t1.0_a0.1_055.gff
NA	Y	N	166.859	603.864	601.671	2.193	1.0	0.1	s15_t1.0_a0.1_056.gff
NA	Y	N	159.759	604.612	602.063	2.549	1.0	0.1	s15_t1.0_a0.1_057.gff
NA	Y	N	146.705	605.007	602.542	2.465	1.0	0.1	s15_t1.0_a0.1_058.gff
NA	Y	N	185.757	602.636	601.067	1.569	1.0	0.1	s15_t1.0_a0.1_059.gff
23107	N	N	20.776	30.408	29.655	0.753	1.0	0.1	s15_t1.0_a0.1_060.gff
NA	Y	N	151.096	604.114	601.653	2.461	1.0	0.1	s15_t1.0_a0.1_061.gff
NA	Y	N	153.347	604.799	602.243	2.556	1.0	0.1	s15_t1.0_a0.1_062.gff
NA	Y	N	178.893	604.237	602.047	2.190	1.0	0.1	s15_t1.0_a0.1_063.gff
NA	Y	N	149.266	604.337	601.888	2.449	1.0	0.1	s15_t1.0_a0.1_064.gff
NA	Y	N	146.752	604.534	601.926	2.608	1.0	0.1	s15_t1.0_a0.1_065.gff
861	N	N	2.579	4.902	4.621	0.281	1.0	0.1	s15_t1.0_a0.1_066.gff
NA	Y	N	167.043	604.619	602.357	2.262	1.0	0.1	s15_t1.0_a0.1_067.gff
NA	Y	N	170.647	603.747	601.603	2.144	1.0	0.1	s15_t1.0_a0.1_068.gff
NA	Y	N	169.269	604.651	602.013	2.638	1.0	0.1	s15_t1.0_a0.1_069.gff
2085	N	N	3.648	7.075	6.768	0.307	1.0	0.1	s15_t1.0_a0.1_070.gff
258	N	N	2.451	3.545	3.352	0.193	1.0	0.1	s15_t1.0_a0.1_071.gff
NA	Y	N	158.321	604.280	601.993	2.287	1.0	0.1	s15_t1.0_a0.1_072.gff
