# Starting date:             2014-12-03 13:29:53
# Cluster job ID:            1442938
# Cluster node:              hnode39
# Cluster queue:             mpi.q
# Complementation algorithm: rank -tr -ro
# Data:                      15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
104653	N	N	112.640	138.055	137.156	0.899	1.0	0.1	s15_t1.0_a0.1_001.gff
98505	N	N	137.514	183.279	181.288	1.991	1.0	0.1	s15_t1.0_a0.1_002.gff
180	N	N	1.805	3.018	2.860	0.158	1.0	0.1	s15_t1.0_a0.1_003.gff
NA	Y	N	350.340	602.108	600.862	1.246	1.0	0.1	s15_t1.0_a0.1_004.gff
NA	Y	N	467.533	602.103	600.798	1.305	1.0	0.1	s15_t1.0_a0.1_005.gff
152	N	N	1.702	2.941	2.782	0.159	1.0	0.1	s15_t1.0_a0.1_006.gff
23923	N	N	22.160	28.680	28.212	0.468	1.0	0.1	s15_t1.0_a0.1_007.gff
213	N	N	1.617	3.025	2.880	0.145	1.0	0.1	s15_t1.0_a0.1_008.gff
NA	Y	N	595.653	601.749	600.595	1.154	1.0	0.1	s15_t1.0_a0.1_009.gff
100407	N	N	132.463	170.647	169.667	0.980	1.0	0.1	s15_t1.0_a0.1_010.gff
134	N	N	1.683	2.835	2.672	0.163	1.0	0.1	s15_t1.0_a0.1_011.gff
1446	N	N	2.868	5.914	5.614	0.300	1.0	0.1	s15_t1.0_a0.1_012.gff
38	N	N	1.353	2.487	2.335	0.152	1.0	0.1	s15_t1.0_a0.1_013.gff
NA	Y	N	584.365	602.101	600.828	1.273	1.0	0.1	s15_t1.0_a0.1_014.gff
251	N	N	1.927	3.094	2.924	0.170	1.0	0.1	s15_t1.0_a0.1_015.gff
9074	N	N	8.245	14.673	14.310	0.363	1.0	0.1	s15_t1.0_a0.1_016.gff
3977	N	N	4.306	9.546	9.205	0.341	1.0	0.1	s15_t1.0_a0.1_017.gff
115	N	N	1.664	2.944	2.817	0.127	1.0	0.1	s15_t1.0_a0.1_018.gff
37	N	N	1.308	2.357	2.219	0.138	1.0	0.1	s15_t1.0_a0.1_019.gff
NA	Y	N	316.385	602.245	600.748	1.497	1.0	0.1	s15_t1.0_a0.1_020.gff
NA	Y	N	590.679	601.981	600.677	1.304	1.0	0.1	s15_t1.0_a0.1_021.gff
908	N	N	2.518	5.072	4.817	0.255	1.0	0.1	s15_t1.0_a0.1_022.gff
41	N	N	1.377	2.484	2.334	0.150	1.0	0.1	s15_t1.0_a0.1_023.gff
2214	N	N	3.192	6.276	6.007	0.269	1.0	0.1	s15_t1.0_a0.1_024.gff
168	N	N	1.634	2.993	2.841	0.152	1.0	0.1	s15_t1.0_a0.1_025.gff
1527	N	N	2.866	5.526	5.250	0.276	1.0	0.1	s15_t1.0_a0.1_026.gff
2323	N	N	3.634	6.656	6.375	0.281	1.0	0.1	s15_t1.0_a0.1_027.gff
25134	N	N	22.655	29.943	29.486	0.457	1.0	0.1	s15_t1.0_a0.1_028.gff
14615	N	N	8.766	14.735	14.381	0.354	1.0	0.1	s15_t1.0_a0.1_029.gff
NA	Y	N	485.535	602.242	600.997	1.245	1.0	0.1	s15_t1.0_a0.1_030.gff
NA	N	Y	193.797	426.426	425.145	1.281	1.0	0.1	s15_t1.0_a0.1_031.gff
158	N	N	2.157	3.133	2.962	0.171	1.0	0.1	s15_t1.0_a0.1_032.gff
41698	N	N	31.942	42.111	41.462	0.649	1.0	0.1	s15_t1.0_a0.1_033.gff
NA	Y	N	292.768	603.348	601.396	1.952	1.0	0.1	s15_t1.0_a0.1_034.gff
NA	Y	N	564.881	601.791	599.342	2.449	1.0	0.1	s15_t1.0_a0.1_035.gff
