# Starting date:             2014-12-15 14:58:41
# Cluster job name:          fribourg.20t1200m2_2_of_5_1
# Cluster job ID:            181597
# Cluster node:              hnode37
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg
# Data:                      20.03_of_10.tar.gz
# Memory limit (Java heap):  2G
# Timeout (CPU time):        1200s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
25919	N	N	90.160	98.982	98.378	0.604	1.4	0.3	s20_t1.4_a0.3_001.gff
1895	N	N	3.061	5.786	5.528	0.258	1.4	0.3	s20_t1.4_a0.3_002.gff
27846	N	N	105.840	115.666	114.981	0.685	1.4	0.3	s20_t1.4_a0.3_003.gff
22393	N	N	70.792	79.013	78.455	0.558	1.4	0.3	s20_t1.4_a0.3_004.gff
23120	N	N	71.240	79.412	78.810	0.602	1.4	0.3	s20_t1.4_a0.3_005.gff
18489	N	N	53.448	60.047	59.501	0.546	1.4	0.3	s20_t1.4_a0.3_006.gff
12865	N	N	27.576	33.338	32.831	0.507	1.4	0.3	s20_t1.4_a0.3_007.gff
22827	N	N	82.816	90.330	89.760	0.570	1.4	0.3	s20_t1.4_a0.3_008.gff
11357	N	N	22.562	27.133	26.686	0.447	1.4	0.3	s20_t1.4_a0.3_009.gff
7209	N	N	11.432	15.624	15.200	0.424	1.4	0.3	s20_t1.4_a0.3_010.gff
2569	N	N	3.989	6.903	6.613	0.290	1.4	0.3	s20_t1.4_a0.3_011.gff
6903	N	N	10.794	15.088	14.706	0.382	1.4	0.3	s20_t1.4_a0.3_012.gff
NA	Y	N	1207.734	1202.598	1201.332	1.266	1.4	0.3	s20_t1.4_a0.3_013.gff
NA	Y	N	1203.162	1202.521	1201.291	1.230	1.4	0.3	s20_t1.4_a0.3_014.gff
12643	N	N	27.464	33.542	33.025	0.517	1.4	0.3	s20_t1.4_a0.3_015.gff
7621	N	N	12.866	16.759	16.338	0.421	1.4	0.3	s20_t1.4_a0.3_016.gff
13555	N	N	30.851	35.967	35.419	0.548	1.4	0.3	s20_t1.4_a0.3_017.gff
2164	N	N	3.599	6.882	6.601	0.281	1.4	0.3	s20_t1.4_a0.3_018.gff
6828	N	N	10.804	15.137	14.708	0.429	1.4	0.3	s20_t1.4_a0.3_019.gff
4866	N	N	7.192	11.134	10.763	0.371	1.4	0.3	s20_t1.4_a0.3_020.gff
6858	N	N	10.819	14.775	14.330	0.445	1.4	0.3	s20_t1.4_a0.3_021.gff
4130	N	N	6.395	10.501	10.116	0.385	1.4	0.3	s20_t1.4_a0.3_022.gff
59123	N	N	1103.181	1119.469	1117.805	1.664	1.4	0.3	s20_t1.4_a0.3_023.gff
43603	N	N	449.362	462.019	461.149	0.870	1.4	0.3	s20_t1.4_a0.3_024.gff
7071	N	N	11.310	15.510	15.098	0.412	1.4	0.3	s20_t1.4_a0.3_025.gff
16222	N	N	41.789	47.496	46.962	0.534	1.4	0.3	s20_t1.4_a0.3_026.gff
2229	N	N	3.530	7.465	7.177	0.288	1.4	0.3	s20_t1.4_a0.3_027.gff
14552	N	N	33.536	38.640	38.149	0.491	1.4	0.3	s20_t1.4_a0.3_028.gff
2716	N	N	4.235	8.408	8.124	0.284	1.4	0.3	s20_t1.4_a0.3_029.gff
3993	N	N	6.059	9.571	9.199	0.372	1.4	0.3	s20_t1.4_a0.3_030.gff
28235	N	N	136.373	144.713	144.078	0.635	1.4	0.3	s20_t1.4_a0.3_031.gff
7750	N	N	13.005	17.461	16.995	0.466	1.4	0.3	s20_t1.4_a0.3_032.gff
32345	N	N	235.907	245.540	244.806	0.734	1.4	0.3	s20_t1.4_a0.3_033.gff
15430	N	N	37.820	43.279	42.763	0.516	1.4	0.3	s20_t1.4_a0.3_034.gff
15017	N	N	36.735	42.162	41.668	0.494	1.4	0.3	s20_t1.4_a0.3_035.gff
13701	N	N	30.718	36.464	35.989	0.475	1.4	0.3	s20_t1.4_a0.3_036.gff
997	N	N	2.411	4.284	4.101	0.183	1.4	0.3	s20_t1.4_a0.3_037.gff
NA	Y	N	1204.674	1202.610	1201.565	1.045	1.4	0.3	s20_t1.4_a0.3_038.gff
4668	N	N	7.055	12.374	11.993	0.381	1.4	0.3	s20_t1.4_a0.3_039.gff
NA	Y	N	1204.772	1202.537	1201.294	1.243	1.4	0.3	s20_t1.4_a0.3_040.gff
6946	N	N	11.433	15.557	15.163	0.394	1.4	0.3	s20_t1.4_a0.3_041.gff
31810	N	N	156.158	164.438	163.756	0.682	1.4	0.3	s20_t1.4_a0.3_042.gff
9901	N	N	18.527	23.103	22.602	0.501	1.4	0.3	s20_t1.4_a0.3_043.gff
9546	N	N	17.394	21.837	21.388	0.449	1.4	0.3	s20_t1.4_a0.3_044.gff
6174	N	N	9.170	14.524	14.131	0.393	1.4	0.3	s20_t1.4_a0.3_045.gff
33446	N	N	175.526	184.330	183.697	0.633	1.4	0.3	s20_t1.4_a0.3_046.gff
NA	Y	N	1203.634	1202.573	1201.303	1.270	1.4	0.3	s20_t1.4_a0.3_047.gff
5971	N	N	9.199	13.360	12.968	0.392	1.4	0.3	s20_t1.4_a0.3_048.gff
46437	N	N	542.967	555.117	554.191	0.926	1.4	0.3	s20_t1.4_a0.3_049.gff
20763	N	N	72.333	80.478	79.902	0.576	1.4	0.3	s20_t1.4_a0.3_050.gff
37324	N	N	285.474	297.721	296.978	0.743	1.4	0.3	s20_t1.4_a0.3_051.gff
9299	N	N	16.227	20.467	20.049	0.418	1.4	0.3	s20_t1.4_a0.3_052.gff
7869	N	N	12.328	16.700	16.274	0.426	1.4	0.3	s20_t1.4_a0.3_053.gff
48851	N	N	688.176	701.973	700.903	1.070	1.4	0.3	s20_t1.4_a0.3_054.gff
5024	N	N	7.531	11.691	11.306	0.385	1.4	0.3	s20_t1.4_a0.3_055.gff
5167	N	N	7.929	11.881	11.478	0.403	1.4	0.3	s20_t1.4_a0.3_056.gff
NA	Y	N	1206.120	1202.561	1201.604	0.957	1.4	0.3	s20_t1.4_a0.3_057.gff
6112	N	N	9.351	13.478	13.052	0.426	1.4	0.3	s20_t1.4_a0.3_058.gff
10284	N	N	19.651	24.357	23.862	0.495	1.4	0.3	s20_t1.4_a0.3_059.gff
5473	N	N	8.161	12.440	12.050	0.390	1.4	0.3	s20_t1.4_a0.3_060.gff
3645	N	N	5.541	9.855	9.438	0.417	1.4	0.3	s20_t1.4_a0.3_061.gff
25365	N	N	149.611	157.570	156.926	0.644	1.4	0.3	s20_t1.4_a0.3_062.gff
NA	Y	N	1202.859	1202.589	1201.199	1.390	1.4	0.3	s20_t1.4_a0.3_063.gff
7382	N	N	12.094	16.211	15.737	0.474	1.4	0.3	s20_t1.4_a0.3_064.gff
NA	Y	N	1203.121	1202.568	1201.247	1.321	1.4	0.3	s20_t1.4_a0.3_065.gff
5988	N	N	8.941	14.109	13.703	0.406	1.4	0.3	s20_t1.4_a0.3_066.gff
10604	N	N	20.276	24.758	24.311	0.447	1.4	0.3	s20_t1.4_a0.3_067.gff
26193	N	N	130.429	138.657	138.057	0.600	1.4	0.3	s20_t1.4_a0.3_068.gff
NA	Y	N	1202.271	1202.598	1201.566	1.032	1.4	0.3	s20_t1.4_a0.3_069.gff
24886	N	N	88.279	94.713	94.097	0.616	1.4	0.3	s20_t1.4_a0.3_070.gff
