# Starting date:             2014-12-08 01:22:14
# Cluster job name:          fribourg.20t1200m2_4_of_5
# Cluster job ID:            1616737
# Cluster node:              hnode29
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg
# Data:                      20.4_of_5.tar.gz
# Memory limit (Java heap):  2G
# Timeout (CPU time):        1200s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
297	N	N	2.921	3.319	3.156	0.163	2.2	0.7	s20_t2.2_a0.7_001.gff
17501	N	N	47.535	54.171	53.621	0.550	2.2	0.7	s20_t2.2_a0.7_002.gff
6118	N	N	9.686	12.809	12.401	0.408	2.2	0.7	s20_t2.2_a0.7_003.gff
915	N	N	2.586	5.027	4.808	0.219	2.2	0.7	s20_t2.2_a0.7_004.gff
1397	N	N	3.998	6.031	5.739	0.292	2.2	0.7	s20_t2.2_a0.7_005.gff
2394	N	N	4.718	7.239	6.868	0.371	2.2	0.7	s20_t2.2_a0.7_006.gff
1199	N	N	2.845	5.701	5.448	0.253	2.2	0.7	s20_t2.2_a0.7_007.gff
221	N	N	1.828	3.202	3.037	0.165	2.2	0.7	s20_t2.2_a0.7_008.gff
1744	N	N	3.266	6.504	6.214	0.290	2.2	0.7	s20_t2.2_a0.7_009.gff
4129	N	N	6.304	9.627	9.200	0.427	2.2	0.7	s20_t2.2_a0.7_010.gff
21975	N	N	72.636	78.413	77.786	0.627	2.2	0.7	s20_t2.2_a0.7_011.gff
551	N	N	2.172	4.341	4.127	0.214	2.2	0.7	s20_t2.2_a0.7_012.gff
2220	N	N	4.285	6.833	6.508	0.325	2.2	0.7	s20_t2.2_a0.7_013.gff
1383	N	N	3.990	6.054	5.795	0.259	2.2	0.7	s20_t2.2_a0.7_014.gff
7188	N	N	12.279	15.379	14.956	0.423	2.2	0.7	s20_t2.2_a0.7_015.gff
3473	N	N	6.452	8.832	8.403	0.429	2.2	0.7	s20_t2.2_a0.7_016.gff
4495	N	N	7.730	10.054	9.672	0.382	2.2	0.7	s20_t2.2_a0.7_017.gff
1642	N	N	3.135	6.007	5.721	0.286	2.2	0.7	s20_t2.2_a0.7_018.gff
2440	N	N	3.985	7.401	7.028	0.373	2.2	0.7	s20_t2.2_a0.7_019.gff
871	N	N	2.554	4.897	4.651	0.246	2.2	0.7	s20_t2.2_a0.7_020.gff
10696	N	N	20.521	24.773	24.327	0.446	2.2	0.7	s20_t2.2_a0.7_021.gff
19665	N	N	57.879	64.684	64.053	0.631	2.2	0.7	s20_t2.2_a0.7_022.gff
490	N	N	2.303	4.287	4.097	0.190	2.2	0.7	s20_t2.2_a0.7_023.gff
4023	N	N	6.215	9.418	9.013	0.405	2.2	0.7	s20_t2.2_a0.7_024.gff
1965	N	N	3.449	6.998	6.660	0.338	2.2	0.7	s20_t2.2_a0.7_025.gff
1338	N	N	2.776	5.879	5.627	0.252	2.2	0.7	s20_t2.2_a0.7_026.gff
2199	N	N	5.886	8.084	7.717	0.367	2.2	0.7	s20_t2.2_a0.7_027.gff
4408	N	N	6.682	10.207	9.840	0.367	2.2	0.7	s20_t2.2_a0.7_028.gff
4368	N	N	7.657	9.558	9.150	0.408	2.2	0.7	s20_t2.2_a0.7_029.gff
278	N	N	2.465	3.239	3.064	0.175	2.2	0.7	s20_t2.2_a0.7_030.gff
