# Starting date:             2014-12-08 01:22:14
# Cluster job name:          fribourg.m1.20t600m1
# Cluster job ID:            1616918
# Cluster node:              hnode12
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg -m1
# Data:                      20.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
495	N	N	2.902	3.504	3.324	0.180	1.0	0.1	s20_t1.0_a0.1_001.gff
813	N	N	2.921	3.916	3.735	0.181	1.0	0.1	s20_t1.0_a0.1_002.gff
27568	N	N	116.818	124.154	123.639	0.515	1.0	0.1	s20_t1.0_a0.1_003.gff
4151	N	N	5.989	9.804	9.475	0.329	1.0	0.1	s20_t1.0_a0.1_004.gff
3133	N	N	5.398	8.677	8.396	0.281	1.0	0.1	s20_t1.0_a0.1_005.gff
478	N	N	2.872	3.333	3.158	0.175	1.0	0.1	s20_t1.0_a0.1_006.gff
244	N	N	2.424	3.043	2.901	0.142	1.0	0.1	s20_t1.0_a0.1_007.gff
54	N	N	1.444	2.491	2.353	0.138	1.0	0.1	s20_t1.0_a0.1_008.gff
54	N	N	1.477	2.471	2.338	0.133	1.0	0.1	s20_t1.0_a0.1_009.gff
86	N	N	1.588	2.593	2.449	0.144	1.0	0.1	s20_t1.0_a0.1_010.gff
411	N	N	3.776	3.285	3.125	0.160	1.0	0.1	s20_t1.0_a0.1_011.gff
95	N	N	1.628	2.685	2.530	0.155	1.0	0.1	s20_t1.0_a0.1_012.gff
48	N	N	1.664	2.510	2.356	0.154	1.0	0.1	s20_t1.0_a0.1_013.gff
483	N	N	2.280	3.515	3.341	0.174	1.0	0.1	s20_t1.0_a0.1_014.gff
120	N	N	1.602	2.634	2.490	0.144	1.0	0.1	s20_t1.0_a0.1_015.gff
5529	N	N	8.558	11.998	11.697	0.301	1.0	0.1	s20_t1.0_a0.1_016.gff
71	N	N	1.530	2.545	2.407	0.138	1.0	0.1	s20_t1.0_a0.1_017.gff
7836	N	N	12.391	16.641	16.278	0.363	1.0	0.1	s20_t1.0_a0.1_018.gff
