# Starting date:             2014-12-08 01:28:17
# Cluster job name:          fribourg.m1.m2.20t1200m2
# Cluster job ID:            1617220
# Cluster node:              hnode01
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg -m1 -m2
# Data:                      20.tar.gz
# Memory limit (Java heap):  2G
# Timeout (CPU time):        1200s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
467	N	N	3.384	3.282	3.126	0.156	1.0	0.1	s20_t1.0_a0.1_001.gff
769	N	N	3.756	3.759	3.578	0.181	1.0	0.1	s20_t1.0_a0.1_002.gff
25296	N	N	82.754	88.122	87.494	0.628	1.0	0.1	s20_t1.0_a0.1_003.gff
3859	N	N	5.752	9.998	9.574	0.424	1.0	0.1	s20_t1.0_a0.1_004.gff
3115	N	N	5.560	7.702	7.374	0.328	1.0	0.1	s20_t1.0_a0.1_005.gff
439	N	N	3.046	3.192	3.046	0.146	1.0	0.1	s20_t1.0_a0.1_006.gff
238	N	N	2.238	2.947	2.799	0.148	1.0	0.1	s20_t1.0_a0.1_007.gff
54	N	N	2.047	2.423	2.284	0.139	1.0	0.1	s20_t1.0_a0.1_008.gff
54	N	N	2.578	2.381	2.228	0.153	1.0	0.1	s20_t1.0_a0.1_009.gff
86	N	N	4.381	2.555	2.424	0.131	1.0	0.1	s20_t1.0_a0.1_010.gff
397	N	N	2.625	3.205	3.045	0.160	1.0	0.1	s20_t1.0_a0.1_011.gff
95	N	N	4.124	2.560	2.406	0.154	1.0	0.1	s20_t1.0_a0.1_012.gff
48	N	N	2.237	2.349	2.205	0.144	1.0	0.1	s20_t1.0_a0.1_013.gff
466	N	N	3.003	3.330	3.174	0.156	1.0	0.1	s20_t1.0_a0.1_014.gff
120	N	N	2.407	2.591	2.450	0.141	1.0	0.1	s20_t1.0_a0.1_015.gff
4990	N	N	7.881	11.936	11.486	0.450	1.0	0.1	s20_t1.0_a0.1_016.gff
71	N	N	1.542	2.430	2.320	0.110	1.0	0.1	s20_t1.0_a0.1_017.gff
7325	N	N	13.280	16.067	15.631	0.436	1.0	0.1	s20_t1.0_a0.1_018.gff
1445	N	N	3.650	5.035	4.791	0.244	1.0	0.1	s20_t1.0_a0.1_019.gff
6	N	N	2.883	2.268	2.137	0.131	1.0	0.1	s20_t1.0_a0.1_020.gff
832	N	N	2.648	3.795	3.642	0.153	1.0	0.1	s20_t1.0_a0.1_021.gff
1511	N	N	6.936	5.098	4.829	0.269	1.0	0.1	s20_t1.0_a0.1_022.gff
6209	N	N	11.765	13.733	13.301	0.432	1.0	0.1	s20_t1.0_a0.1_023.gff
73	N	N	2.524	2.431	2.281	0.150	1.0	0.1	s20_t1.0_a0.1_024.gff
2473	N	N	3.566	6.574	6.310	0.264	1.0	0.1	s20_t1.0_a0.1_025.gff
301	N	N	5.415	2.979	2.814	0.165	1.0	0.1	s20_t1.0_a0.1_026.gff
223	N	N	6.034	2.916	2.762	0.154	1.0	0.1	s20_t1.0_a0.1_027.gff
91	N	N	1.673	2.483	2.349	0.134	1.0	0.1	s20_t1.0_a0.1_028.gff
111	N	N	2.806	2.621	2.480	0.141	1.0	0.1	s20_t1.0_a0.1_029.gff
2399	N	N	3.908	6.388	6.114	0.274	1.0	0.1	s20_t1.0_a0.1_030.gff
4312	N	N	7.095	11.167	10.741	0.426	1.0	0.1	s20_t1.0_a0.1_031.gff
61	N	N	3.409	2.465	2.320	0.145	1.0	0.1	s20_t1.0_a0.1_032.gff
127	N	N	1.583	2.692	2.557	0.135	1.0	0.1	s20_t1.0_a0.1_033.gff
496	N	N	3.023	3.388	3.240	0.148	1.0	0.1	s20_t1.0_a0.1_034.gff
467	N	N	3.791	3.352	3.173	0.179	1.0	0.1	s20_t1.0_a0.1_035.gff
106	N	N	4.600	2.691	2.552	0.139	1.0	0.1	s20_t1.0_a0.1_036.gff
3556	N	N	9.727	9.005	8.620	0.385	1.0	0.1	s20_t1.0_a0.1_037.gff
