# Starting date:             2014-12-15 13:46:56
# Cluster job name:          rank.tr.ro.15_01_of_10
# Cluster job ID:            181153
# Cluster node:              hnode26
# Cluster queue:             mpi.q
# Complementation algorithm: rank -tr -ro
# Data:                      15.01_of_10.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
104653	N	N	116.053	150.023	149.019	1.004	1.0	0.1	s15_t1.0_a0.1_001.gff
NA	N	Y	138.610	187.973	186.931	1.042	1.0	0.1	s15_t1.0_a0.1_002.gff
180	N	N	3.127	3.006	2.846	0.160	1.0	0.1	s15_t1.0_a0.1_003.gff
NA	Y	N	334.901	601.869	600.432	1.437	1.0	0.1	s15_t1.0_a0.1_004.gff
NA	Y	N	515.330	601.731	600.142	1.589	1.0	0.1	s15_t1.0_a0.1_005.gff
152	N	N	1.611	2.838	2.707	0.131	1.0	0.1	s15_t1.0_a0.1_006.gff
23923	N	N	21.969	28.461	28.033	0.428	1.0	0.1	s15_t1.0_a0.1_007.gff
213	N	N	1.669	2.972	2.818	0.154	1.0	0.1	s15_t1.0_a0.1_008.gff
NA	Y	N	596.012	601.851	600.468	1.383	1.0	0.1	s15_t1.0_a0.1_009.gff
100407	N	N	126.849	171.799	170.764	1.035	1.0	0.1	s15_t1.0_a0.1_010.gff
134	N	N	1.704	2.909	2.765	0.144	1.0	0.1	s15_t1.0_a0.1_011.gff
1446	N	N	2.842	6.008	5.730	0.278	1.0	0.1	s15_t1.0_a0.1_012.gff
38	N	N	1.347	2.472	2.330	0.142	1.0	0.1	s15_t1.0_a0.1_013.gff
NA	Y	N	579.213	602.465	600.886	1.579	1.0	0.1	s15_t1.0_a0.1_014.gff
251	N	N	1.706	3.090	2.951	0.139	1.0	0.1	s15_t1.0_a0.1_015.gff
9074	N	N	8.383	14.396	14.002	0.394	1.0	0.1	s15_t1.0_a0.1_016.gff
3977	N	N	5.337	8.386	8.090	0.296	1.0	0.1	s15_t1.0_a0.1_017.gff
115	N	N	2.579	3.153	2.953	0.200	1.0	0.1	s15_t1.0_a0.1_018.gff
37	N	N	1.607	2.452	2.311	0.141	1.0	0.1	s15_t1.0_a0.1_019.gff
NA	Y	N	405.239	601.812	600.070	1.742	1.0	0.1	s15_t1.0_a0.1_020.gff
NA	Y	N	589.202	602.197	600.738	1.459	1.0	0.1	s15_t1.0_a0.1_021.gff
908	N	N	2.301	5.043	4.802	0.241	1.0	0.1	s15_t1.0_a0.1_022.gff
41	N	N	1.326	2.428	2.285	0.143	1.0	0.1	s15_t1.0_a0.1_023.gff
2214	N	N	3.185	6.581	6.307	0.274	1.0	0.1	s15_t1.0_a0.1_024.gff
168	N	N	1.850	2.969	2.815	0.154	1.0	0.1	s15_t1.0_a0.1_025.gff
1527	N	N	2.839	5.663	5.408	0.255	1.0	0.1	s15_t1.0_a0.1_026.gff
2323	N	N	3.616	7.053	6.774	0.279	1.0	0.1	s15_t1.0_a0.1_027.gff
25134	N	N	22.660	31.320	30.848	0.472	1.0	0.1	s15_t1.0_a0.1_028.gff
14615	N	N	8.191	14.610	14.228	0.382	1.0	0.1	s15_t1.0_a0.1_029.gff
NA	Y	N	559.316	601.629	600.315	1.314	1.0	0.1	s15_t1.0_a0.1_030.gff
NA	N	Y	194.763	439.653	437.785	1.868	1.0	0.1	s15_t1.0_a0.1_031.gff
158	N	N	1.699	3.097	2.932	0.165	1.0	0.1	s15_t1.0_a0.1_032.gff
41698	N	N	31.225	44.684	43.977	0.707	1.0	0.1	s15_t1.0_a0.1_033.gff
