# Starting date:             2014-12-15 13:50:48
# Cluster job name:          rank.tr.ro.15_07_of_10
# Cluster job ID:            181159
# Cluster node:              hnode28
# Cluster queue:             mpi.q
# Complementation algorithm: rank -tr -ro
# Data:                      15.07_of_10.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
395	N	N	2.802	4.622	4.379	0.243	2.2	0.7	s15_t2.2_a0.7_001.gff
488	N	N	3.499	5.451	5.191	0.260	2.2	0.7	s15_t2.2_a0.7_002.gff
440	N	N	2.659	4.471	4.255	0.216	2.2	0.7	s15_t2.2_a0.7_003.gff
675	N	N	2.666	4.974	4.726	0.248	2.2	0.7	s15_t2.2_a0.7_004.gff
467	N	N	2.424	4.600	4.385	0.215	2.2	0.7	s15_t2.2_a0.7_005.gff
658	N	N	2.948	5.391	5.141	0.250	2.2	0.7	s15_t2.2_a0.7_006.gff
912	N	N	3.127	6.192	5.909	0.283	2.2	0.7	s15_t2.2_a0.7_007.gff
485	N	N	2.463	4.693	4.462	0.231	2.2	0.7	s15_t2.2_a0.7_008.gff
137	N	N	3.053	3.533	3.348	0.185	2.2	0.7	s15_t2.2_a0.7_009.gff
566	N	N	2.732	4.811	4.546	0.265	2.2	0.7	s15_t2.2_a0.7_010.gff
314	N	N	2.134	4.127	3.899	0.228	2.2	0.7	s15_t2.2_a0.7_011.gff
393	N	N	2.472	4.905	4.643	0.262	2.2	0.7	s15_t2.2_a0.7_012.gff
616	N	N	2.790	5.326	5.089	0.237	2.2	0.7	s15_t2.2_a0.7_013.gff
676	N	N	2.823	5.157	4.912	0.245	2.2	0.7	s15_t2.2_a0.7_014.gff
365	N	N	2.558	4.450	4.213	0.237	2.2	0.7	s15_t2.2_a0.7_015.gff
978	N	N	3.280	5.930	5.683	0.247	2.2	0.7	s15_t2.2_a0.7_016.gff
205	N	N	1.913	3.811	3.612	0.199	2.2	0.7	s15_t2.2_a0.7_017.gff
641	N	N	2.560	5.031	4.800	0.231	2.2	0.7	s15_t2.2_a0.7_018.gff
770	N	N	3.036	5.954	5.677	0.277	2.2	0.7	s15_t2.2_a0.7_019.gff
492	N	N	2.458	4.708	4.451	0.257	2.2	0.7	s15_t2.2_a0.7_020.gff
764	N	N	2.959	5.504	5.244	0.260	2.2	0.7	s15_t2.2_a0.7_021.gff
492	N	N	2.564	5.063	4.834	0.229	2.2	0.7	s15_t2.2_a0.7_022.gff
533	N	N	2.576	5.059	4.787	0.272	2.2	0.7	s15_t2.2_a0.7_023.gff
348	N	N	2.452	4.656	4.450	0.206	2.2	0.7	s15_t2.2_a0.7_024.gff
519	N	N	2.771	4.931	4.700	0.231	2.2	0.7	s15_t2.2_a0.7_025.gff
642	N	N	2.816	5.280	5.029	0.251	2.2	0.7	s15_t2.2_a0.7_026.gff
632	N	N	3.026	5.451	5.213	0.238	2.2	0.7	s15_t2.2_a0.7_027.gff
407	N	N	2.504	4.938	4.676	0.262	2.2	0.7	s15_t2.2_a0.7_028.gff
489	N	N	2.510	4.832	4.574	0.258	2.2	0.7	s15_t2.2_a0.7_029.gff
310	N	N	2.213	4.388	4.153	0.235	2.2	0.7	s15_t2.2_a0.7_030.gff
463	N	N	3.073	5.156	4.884	0.272	2.2	0.7	s15_t2.2_a0.7_031.gff
317	N	N	2.087	4.248	4.048	0.200	2.2	0.7	s15_t2.2_a0.7_032.gff
190	N	N	2.004	3.789	3.602	0.187	2.2	0.7	s15_t2.2_a0.7_033.gff
207	N	N	1.917	3.858	3.664	0.194	2.2	0.7	s15_t2.2_a0.7_034.gff
440	N	N	2.437	4.711	4.470	0.241	2.2	0.7	s15_t2.2_a0.7_035.gff
689	N	N	2.901	5.305	5.018	0.287	2.2	0.7	s15_t2.2_a0.7_036.gff
195	N	N	1.915	3.821	3.636	0.185	2.2	0.7	s15_t2.2_a0.7_037.gff
360	N	N	1.968	3.896	3.702	0.194	2.2	0.7	s15_t2.2_a0.7_038.gff
297	N	N	2.507	4.304	4.075	0.229	2.2	0.7	s15_t2.2_a0.7_039.gff
673	N	N	2.696	5.082	4.845	0.237	2.2	0.7	s15_t2.2_a0.7_040.gff
1167	N	N	2.976	5.634	5.369	0.265	2.2	0.7	s15_t2.2_a0.7_041.gff
564	N	N	2.669	4.934	4.695	0.239	2.2	0.7	s15_t2.2_a0.7_042.gff
564	N	N	2.548	4.819	4.581	0.238	2.2	0.7	s15_t2.2_a0.7_043.gff
448	N	N	2.300	4.287	4.040	0.247	2.2	0.7	s15_t2.2_a0.7_044.gff
382	N	N	2.374	4.464	4.219	0.245	2.2	0.7	s15_t2.2_a0.7_045.gff
406	N	N	2.337	4.649	4.389	0.260	2.2	0.7	s15_t2.2_a0.7_046.gff
395	N	N	2.413	4.853	4.570	0.283	2.2	0.7	s15_t2.2_a0.7_047.gff
1334	N	N	4.151	7.014	6.758	0.256	2.2	0.7	s15_t2.2_a0.7_048.gff
128	N	N	1.783	3.519	3.345	0.174	2.2	0.7	s15_t2.2_a0.7_049.gff
708	N	N	2.678	5.207	4.946	0.261	2.2	0.7	s15_t2.2_a0.7_050.gff
1055	N	N	3.723	6.856	6.554	0.302	2.2	0.7	s15_t2.2_a0.7_051.gff
158	N	N	1.784	3.462	3.273	0.189	2.2	0.7	s15_t2.2_a0.7_052.gff
698	N	N	2.731	5.299	5.080	0.219	2.2	0.7	s15_t2.2_a0.7_053.gff
552	N	N	2.680	5.156	4.893	0.263	2.2	0.7	s15_t2.2_a0.7_054.gff
381	N	N	2.165	4.139	3.909	0.230	2.2	0.7	s15_t2.2_a0.7_055.gff
308	N	N	2.305	4.344	4.106	0.238	2.2	0.7	s15_t2.2_a0.7_056.gff
419	N	N	2.481	4.861	4.599	0.262	2.2	0.7	s15_t2.2_a0.7_057.gff
627	N	N	2.806	5.314	5.048	0.266	2.2	0.7	s15_t2.2_a0.7_058.gff
1018	N	N	3.153	5.765	5.490	0.275	2.2	0.7	s15_t2.2_a0.7_059.gff
1412	N	N	3.763	6.807	6.549	0.258	2.2	0.7	s15_t2.2_a0.7_060.gff
115	N	N	1.746	3.454	3.262	0.192	2.2	0.7	s15_t2.2_a0.7_061.gff
477	N	N	2.536	4.909	4.644	0.265	2.2	0.7	s15_t2.2_a0.7_062.gff
625	N	N	3.138	5.857	5.596	0.261	2.2	0.7	s15_t2.2_a0.7_063.gff
229	N	N	1.924	3.880	3.676	0.204	2.2	0.7	s15_t2.2_a0.7_064.gff
382	N	N	2.231	4.259	4.019	0.240	2.2	0.7	s15_t2.2_a0.7_065.gff
758	N	N	3.170	5.727	5.472	0.255	2.2	0.7	s15_t2.2_a0.7_066.gff
1417	N	N	3.564	6.118	5.848	0.270	2.2	0.7	s15_t2.2_a0.7_067.gff
502	N	N	2.323	4.730	4.475	0.255	2.2	0.7	s15_t2.2_a0.7_068.gff
1383	N	N	3.592	6.647	6.377	0.270	2.2	0.7	s15_t2.2_a0.7_069.gff
344	N	N	2.177	4.350	4.139	0.211	2.2	0.7	s15_t2.2_a0.7_070.gff
599	N	N	2.667	4.960	4.723	0.237	2.2	0.7	s15_t2.2_a0.7_071.gff
414	N	N	2.553	5.075	4.810	0.265	2.2	0.7	s15_t2.2_a0.7_072.gff
566	N	N	2.749	4.975	4.725	0.250	2.2	0.7	s15_t2.2_a0.7_073.gff
130	N	N	1.748	3.440	3.262	0.178	2.2	0.7	s15_t2.2_a0.7_074.gff
276	N	N	2.128	4.269	4.035	0.234	2.2	0.7	s15_t2.2_a0.7_075.gff
128	N	N	2.064	3.475	3.281	0.194	2.2	0.7	s15_t2.2_a0.7_076.gff
700	N	N	2.696	5.298	5.042	0.256	2.2	0.7	s15_t2.2_a0.7_077.gff
1009	N	N	3.436	6.064	5.832	0.232	2.2	0.7	s15_t2.2_a0.7_078.gff
409	N	N	2.467	4.772	4.529	0.243	2.2	0.7	s15_t2.2_a0.7_079.gff
425	N	N	2.317	4.401	4.154	0.247	2.2	0.7	s15_t2.2_a0.7_080.gff
1273	N	N	3.891	6.694	6.407	0.287	2.2	0.7	s15_t2.2_a0.7_081.gff
767	N	N	3.340	5.518	5.255	0.263	2.2	0.7	s15_t2.2_a0.7_082.gff
