# Starting date:             2015-05-15 17:47:41
# Cluster job name:          fribourg.goal
# Cluster job ID:            7348680
# Cluster node:              hnode40
# Cluster queue:             mpi.q
# Algorithm:                 fribourg
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states,t_out,m_out,real_t,cpu_t,dt,da,file
1180,N,N,2.264,4.517,1.0,0.1,s15_t1.0_a0.1_001.gff
643,N,N,1.832,3.481,1.0,0.1,s15_t1.0_a0.1_002.gff
32,N,N,1.374,2.316,1.0,0.1,s15_t1.0_a0.1_003.gff
1401,N,N,2.526,4.895,1.0,0.1,s15_t1.0_a0.1_004.gff
3029,N,N,3.849,7.975,1.0,0.1,s15_t1.0_a0.1_005.gff
76,N,N,2.044,2.401,1.0,0.1,s15_t1.0_a0.1_006.gff
756,N,N,1.937,3.578,1.0,0.1,s15_t1.0_a0.1_007.gff
101,N,N,2.077,2.433,1.0,0.1,s15_t1.0_a0.1_008.gff
412,N,N,1.661,3.041,1.0,0.1,s15_t1.0_a0.1_009.gff
289,N,N,1.562,2.878,1.0,0.1,s15_t1.0_a0.1_010.gff
59,N,N,1.365,2.364,1.0,0.1,s15_t1.0_a0.1_011.gff
131,N,N,1.464,2.606,1.0,0.1,s15_t1.0_a0.1_012.gff
20,N,N,1.259,2.297,1.0,0.1,s15_t1.0_a0.1_013.gff
438,N,N,1.755,3.089,1.0,0.1,s15_t1.0_a0.1_014.gff
117,N,N,1.553,2.584,1.0,0.1,s15_t1.0_a0.1_015.gff
6305,N,N,7.939,12.282,1.0,0.1,s15_t1.0_a0.1_016.gff
241,N,N,1.668,2.778,1.0,0.1,s15_t1.0_a0.1_017.gff
32,N,N,1.574,2.357,1.0,0.1,s15_t1.0_a0.1_018.gff
35,N,N,1.501,2.292,1.0,0.1,s15_t1.0_a0.1_019.gff
313,N,N,1.676,2.941,1.0,0.1,s15_t1.0_a0.1_020.gff
2461,N,N,3.310,6.359,1.0,0.1,s15_t1.0_a0.1_021.gff
