# Starting date:             2015-05-15 17:47:41
# Cluster job name:          fribourg.m1.goal
# Cluster job ID:            7348681
# Cluster node:              hnode40
# Cluster queue:             mpi.q
# Algorithm:                 fribourg -m1
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states,t_out,m_out,real_t,cpu_t,dt,da,file
838,N,N,2.011,3.686,1.0,0.1,s15_t1.0_a0.1_001.gff
469,N,N,1.970,3.326,1.0,0.1,s15_t1.0_a0.1_002.gff
32,N,N,1.350,2.322,1.0,0.1,s15_t1.0_a0.1_003.gff
1072,N,N,2.287,4.001,1.0,0.1,s15_t1.0_a0.1_004.gff
1887,N,N,2.992,5.672,1.0,0.1,s15_t1.0_a0.1_005.gff
74,N,N,1.984,2.430,1.0,0.1,s15_t1.0_a0.1_006.gff
504,N,N,1.739,3.251,1.0,0.1,s15_t1.0_a0.1_007.gff
100,N,N,1.445,2.517,1.0,0.1,s15_t1.0_a0.1_008.gff
353,N,N,2.380,3.074,1.0,0.1,s15_t1.0_a0.1_009.gff
225,N,N,1.505,2.783,1.0,0.1,s15_t1.0_a0.1_010.gff
59,N,N,1.298,2.406,1.0,0.1,s15_t1.0_a0.1_011.gff
131,N,N,1.535,2.637,1.0,0.1,s15_t1.0_a0.1_012.gff
20,N,N,1.233,2.266,1.0,0.1,s15_t1.0_a0.1_013.gff
356,N,N,1.811,3.102,1.0,0.1,s15_t1.0_a0.1_014.gff
105,N,N,1.383,2.518,1.0,0.1,s15_t1.0_a0.1_015.gff
2775,N,N,3.990,6.663,1.0,0.1,s15_t1.0_a0.1_016.gff
213,N,N,1.637,2.736,1.0,0.1,s15_t1.0_a0.1_017.gff
32,N,N,1.514,2.250,1.0,0.1,s15_t1.0_a0.1_018.gff
35,N,N,1.284,2.251,1.0,0.1,s15_t1.0_a0.1_019.gff
280,N,N,1.707,2.984,1.0,0.1,s15_t1.0_a0.1_020.gff
1435,N,N,2.491,5.133,1.0,0.1,s15_t1.0_a0.1_021.gff
122,N,N,1.777,2.587,1.0,0.1,s15_t1.0_a0.1_022.gff
35,N,N,1.223,2.268,1.0,0.1,s15_t1.0_a0.1_023.gff
305,N,N,1.669,2.963,1.0,0.1,s15_t1.0_a0.1_024.gff
55,N,N,1.496,2.384,1.0,0.1,s15_t1.0_a0.1_025.gff
34,N,N,1.368,2.362,1.0,0.1,s15_t1.0_a0.1_026.gff
148,N,N,1.440,2.626,1.0,0.1,s15_t1.0_a0.1_027.gff
204,N,N,1.467,2.709,1.0,0.1,s15_t1.0_a0.1_028.gff
688,N,N,2.014,3.564,1.0,0.1,s15_t1.0_a0.1_029.gff
3879,N,N,4.968,9.129,1.0,0.1,s15_t1.0_a0.1_030.gff
261,N,N,1.571,2.920,1.0,0.1,s15_t1.0_a0.1_031.gff
70,N,N,1.396,2.421,1.0,0.1,s15_t1.0_a0.1_032.gff
244,N,N,1.700,2.852,1.0,0.1,s15_t1.0_a0.1_033.gff
772,N,N,2.137,3.599,1.0,0.1,s15_t1.0_a0.1_034.gff
1339,N,N,2.598,5.009,1.0,0.1,s15_t1.0_a0.1_035.gff
2308,N,N,3.922,6.329,1.0,0.1,s15_t1.0_a0.1_036.gff
65,N,N,1.468,2.415,1.0,0.1,s15_t1.0_a0.1_037.gff
668,N,N,2.054,3.667,1.0,0.1,s15_t1.0_a0.1_038.gff
30,N,N,1.376,2.328,1.0,0.1,s15_t1.0_a0.1_039.gff
60,N,N,1.395,2.426,1.0,0.1,s15_t1.0_a0.1_040.gff
65,N,N,1.451,2.399,1.0,0.1,s15_t1.0_a0.1_041.gff
89,N,N,1.621,2.448,1.0,0.1,s15_t1.0_a0.1_042.gff
190,N,N,2.503,2.801,1.0,0.1,s15_t1.0_a0.1_043.gff
2541,N,N,3.624,6.055,1.0,0.1,s15_t1.0_a0.1_044.gff
1366,N,N,2.535,5.033,1.0,0.1,s15_t1.0_a0.1_045.gff
682,N,N,1.968,3.586,1.0,0.1,s15_t1.0_a0.1_046.gff
266,N,N,2.322,2.966,1.0,0.1,s15_t1.0_a0.1_047.gff
83,N,N,1.348,2.472,1.0,0.1,s15_t1.0_a0.1_048.gff
465,N,N,2.362,3.105,1.0,0.1,s15_t1.0_a0.1_049.gff
266,N,N,1.801,2.813,1.0,0.1,s15_t1.0_a0.1_050.gff
16,N,N,1.227,2.276,1.0,0.1,s15_t1.0_a0.1_051.gff
73,N,N,1.529,2.442,1.0,0.1,s15_t1.0_a0.1_052.gff
196,N,N,1.508,2.811,1.0,0.1,s15_t1.0_a0.1_053.gff
26,N,N,1.376,2.303,1.0,0.1,s15_t1.0_a0.1_054.gff
225,N,N,1.621,2.808,1.0,0.1,s15_t1.0_a0.1_055.gff
348,N,N,1.765,2.990,1.0,0.1,s15_t1.0_a0.1_056.gff
526,N,N,1.764,3.346,1.0,0.1,s15_t1.0_a0.1_057.gff
3545,N,N,4.540,7.435,1.0,0.1,s15_t1.0_a0.1_058.gff
137,N,N,1.536,2.570,1.0,0.1,s15_t1.0_a0.1_059.gff
89,N,N,1.446,2.460,1.0,0.1,s15_t1.0_a0.1_060.gff
118,N,N,1.502,2.563,1.0,0.1,s15_t1.0_a0.1_061.gff
2352,N,N,3.817,6.195,1.0,0.1,s15_t1.0_a0.1_062.gff
223,N,N,1.752,2.813,1.0,0.1,s15_t1.0_a0.1_063.gff
445,N,N,1.806,3.083,1.0,0.1,s15_t1.0_a0.1_064.gff
1233,N,N,2.586,4.887,1.0,0.1,s15_t1.0_a0.1_065.gff
4,N,N,1.308,2.227,1.0,0.1,s15_t1.0_a0.1_066.gff
329,N,N,1.728,2.983,1.0,0.1,s15_t1.0_a0.1_067.gff
85,N,N,1.366,2.438,1.0,0.1,s15_t1.0_a0.1_068.gff
686,N,N,1.950,3.657,1.0,0.1,s15_t1.0_a0.1_069.gff
47,N,N,1.430,2.366,1.0,0.1,s15_t1.0_a0.1_070.gff
28,N,N,1.347,2.277,1.0,0.1,s15_t1.0_a0.1_071.gff
66,N,N,1.753,2.412,1.0,0.1,s15_t1.0_a0.1_072.gff
1969,N,N,3.256,5.894,1.0,0.1,s15_t1.0_a0.1_073.gff
144,N,N,1.444,2.564,1.0,0.1,s15_t1.0_a0.1_074.gff
82,N,N,1.954,2.460,1.0,0.1,s15_t1.0_a0.1_075.gff
4045,N,N,5.167,8.628,1.0,0.1,s15_t1.0_a0.1_076.gff
183,N,N,1.636,2.745,1.0,0.1,s15_t1.0_a0.1_077.gff
1885,N,N,3.061,5.612,1.0,0.1,s15_t1.0_a0.1_078.gff
44,N,N,1.377,2.370,1.0,0.1,s15_t1.0_a0.1_079.gff
495,N,N,1.814,3.309,1.0,0.1,s15_t1.0_a0.1_080.gff
247,N,N,1.523,2.819,1.0,0.1,s15_t1.0_a0.1_081.gff
1218,N,N,2.438,4.776,1.0,0.1,s15_t1.0_a0.1_082.gff
245,N,N,1.744,2.863,1.0,0.1,s15_t1.0_a0.1_083.gff
232,N,N,1.774,2.851,1.0,0.1,s15_t1.0_a0.1_084.gff
2589,N,N,4.691,6.893,1.0,0.1,s15_t1.0_a0.1_085.gff
58,N,N,1.459,2.339,1.0,0.1,s15_t1.0_a0.1_086.gff
57,N,N,1.530,2.334,1.0,0.1,s15_t1.0_a0.1_087.gff
192,N,N,1.526,2.689,1.0,0.1,s15_t1.0_a0.1_088.gff
1373,N,N,2.721,5.002,1.0,0.1,s15_t1.0_a0.1_089.gff
131,N,N,1.385,2.560,1.0,0.1,s15_t1.0_a0.1_090.gff
1242,N,N,2.797,4.853,1.0,0.1,s15_t1.0_a0.1_091.gff
261,N,N,1.653,2.899,1.0,0.1,s15_t1.0_a0.1_092.gff
521,N,N,1.813,3.366,1.0,0.1,s15_t1.0_a0.1_093.gff
3229,N,N,4.376,7.509,1.0,0.1,s15_t1.0_a0.1_094.gff
725,N,N,2.036,3.646,1.0,0.1,s15_t1.0_a0.1_095.gff
78,N,N,1.508,2.462,1.0,0.1,s15_t1.0_a0.1_096.gff
6,N,N,1.206,2.219,1.0,0.1,s15_t1.0_a0.1_097.gff
428,N,N,1.744,3.083,1.0,0.1,s15_t1.0_a0.1_098.gff
60,N,N,1.535,2.357,1.0,0.1,s15_t1.0_a0.1_099.gff
85,N,N,1.482,2.417,1.0,0.1,s15_t1.0_a0.1_100.gff
116,N,N,1.775,2.593,1.0,0.2,s15_t1.0_a0.2_001.gff
392,N,N,1.677,3.039,1.0,0.2,s15_t1.0_a0.2_002.gff
17,N,N,1.217,2.239,1.0,0.2,s15_t1.0_a0.2_003.gff
426,N,N,1.775,3.123,1.0,0.2,s15_t1.0_a0.2_004.gff
369,N,N,1.934,3.071,1.0,0.2,s15_t1.0_a0.2_005.gff
62,N,N,1.301,2.369,1.0,0.2,s15_t1.0_a0.2_006.gff
50,N,N,1.301,2.374,1.0,0.2,s15_t1.0_a0.2_007.gff
275,N,N,1.792,2.839,1.0,0.2,s15_t1.0_a0.2_008.gff
90,N,N,1.355,2.470,1.0,0.2,s15_t1.0_a0.2_009.gff
54,N,N,1.972,2.311,1.0,0.2,s15_t1.0_a0.2_010.gff
155,N,N,1.749,2.670,1.0,0.2,s15_t1.0_a0.2_011.gff
5026,N,N,6.544,10.708,1.0,0.2,s15_t1.0_a0.2_012.gff
21,N,N,1.500,2.222,1.0,0.2,s15_t1.0_a0.2_013.gff
