# Starting date:             2015-05-15 17:47:41
# Cluster job name:          fribourg.m1.m2.goal
# Cluster job ID:            7348682
# Cluster node:              hnode17
# Cluster queue:             mpi.q
# Algorithm:                 fribourg -m1 -m2
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states,t_out,m_out,real_t,cpu_t,dt,da,file
805,N,N,2.096,3.716,1.0,0.1,s15_t1.0_a0.1_001.gff
451,N,N,2.127,3.229,1.0,0.1,s15_t1.0_a0.1_002.gff
32,N,N,1.423,2.385,1.0,0.1,s15_t1.0_a0.1_003.gff
1010,N,N,2.135,3.953,1.0,0.1,s15_t1.0_a0.1_004.gff
1810,N,N,3.104,5.477,1.0,0.1,s15_t1.0_a0.1_005.gff
74,N,N,1.312,2.391,1.0,0.1,s15_t1.0_a0.1_006.gff
483,N,N,1.786,3.370,1.0,0.1,s15_t1.0_a0.1_007.gff
99,N,N,1.432,2.504,1.0,0.1,s15_t1.0_a0.1_008.gff
328,N,N,1.640,3.034,1.0,0.1,s15_t1.0_a0.1_009.gff
218,N,N,1.529,2.841,1.0,0.1,s15_t1.0_a0.1_010.gff
58,N,N,1.322,2.444,1.0,0.1,s15_t1.0_a0.1_011.gff
127,N,N,1.499,2.636,1.0,0.1,s15_t1.0_a0.1_012.gff
20,N,N,1.287,2.345,1.0,0.1,s15_t1.0_a0.1_013.gff
350,N,N,1.714,3.114,1.0,0.1,s15_t1.0_a0.1_014.gff
104,N,N,1.523,2.588,1.0,0.1,s15_t1.0_a0.1_015.gff
2672,N,N,3.818,6.438,1.0,0.1,s15_t1.0_a0.1_016.gff
205,N,N,1.495,2.737,1.0,0.1,s15_t1.0_a0.1_017.gff
32,N,N,1.390,2.393,1.0,0.1,s15_t1.0_a0.1_018.gff
35,N,N,1.389,2.367,1.0,0.1,s15_t1.0_a0.1_019.gff
260,N,N,1.750,3.026,1.0,0.1,s15_t1.0_a0.1_020.gff
1377,N,N,2.491,4.884,1.0,0.1,s15_t1.0_a0.1_021.gff
118,N,N,1.545,2.588,1.0,0.1,s15_t1.0_a0.1_022.gff
34,N,N,1.373,2.350,1.0,0.1,s15_t1.0_a0.1_023.gff
305,N,N,1.760,2.939,1.0,0.1,s15_t1.0_a0.1_024.gff
50,N,N,1.418,2.440,1.0,0.1,s15_t1.0_a0.1_025.gff
34,N,N,1.370,2.321,1.0,0.1,s15_t1.0_a0.1_026.gff
147,N,N,1.564,2.666,1.0,0.1,s15_t1.0_a0.1_027.gff
192,N,N,1.548,2.867,1.0,0.1,s15_t1.0_a0.1_028.gff
669,N,N,1.999,3.601,1.0,0.1,s15_t1.0_a0.1_029.gff
3507,N,N,4.589,8.956,1.0,0.1,s15_t1.0_a0.1_030.gff
261,N,N,1.777,2.978,1.0,0.1,s15_t1.0_a0.1_031.gff
69,N,N,1.549,2.469,1.0,0.1,s15_t1.0_a0.1_032.gff
236,N,N,1.672,2.874,1.0,0.1,s15_t1.0_a0.1_033.gff
705,N,N,2.435,3.695,1.0,0.1,s15_t1.0_a0.1_034.gff
1233,N,N,2.369,4.877,1.0,0.1,s15_t1.0_a0.1_035.gff
2281,N,N,3.274,6.010,1.0,0.1,s15_t1.0_a0.1_036.gff
63,N,N,1.330,2.403,1.0,0.1,s15_t1.0_a0.1_037.gff
636,N,N,1.900,3.640,1.0,0.1,s15_t1.0_a0.1_038.gff
30,N,N,1.425,2.363,1.0,0.1,s15_t1.0_a0.1_039.gff
59,N,N,1.326,2.406,1.0,0.1,s15_t1.0_a0.1_040.gff
65,N,N,1.330,2.437,1.0,0.1,s15_t1.0_a0.1_041.gff
89,N,N,1.357,2.500,1.0,0.1,s15_t1.0_a0.1_042.gff
190,N,N,1.527,2.864,1.0,0.1,s15_t1.0_a0.1_043.gff
2411,N,N,3.373,5.946,1.0,0.1,s15_t1.0_a0.1_044.gff
1354,N,N,2.562,4.767,1.0,0.1,s15_t1.0_a0.1_045.gff
672,N,N,1.958,3.663,1.0,0.1,s15_t1.0_a0.1_046.gff
266,N,N,1.702,2.961,1.0,0.1,s15_t1.0_a0.1_047.gff
83,N,N,1.756,2.521,1.0,0.1,s15_t1.0_a0.1_048.gff
456,N,N,2.170,3.175,1.0,0.1,s15_t1.0_a0.1_049.gff
252,N,N,1.569,2.917,1.0,0.1,s15_t1.0_a0.1_050.gff
16,N,N,1.240,2.329,1.0,0.1,s15_t1.0_a0.1_051.gff
72,N,N,1.492,2.475,1.0,0.1,s15_t1.0_a0.1_052.gff
182,N,N,1.658,2.737,1.0,0.1,s15_t1.0_a0.1_053.gff
26,N,N,1.507,2.378,1.0,0.1,s15_t1.0_a0.1_054.gff
215,N,N,1.652,2.924,1.0,0.1,s15_t1.0_a0.1_055.gff
327,N,N,1.701,2.996,1.0,0.1,s15_t1.0_a0.1_056.gff
468,N,N,1.751,3.240,1.0,0.1,s15_t1.0_a0.1_057.gff
3241,N,N,4.223,7.297,1.0,0.1,s15_t1.0_a0.1_058.gff
129,N,N,1.617,2.645,1.0,0.1,s15_t1.0_a0.1_059.gff
89,N,N,1.807,2.466,1.0,0.1,s15_t1.0_a0.1_060.gff
118,N,N,1.423,2.584,1.0,0.1,s15_t1.0_a0.1_061.gff
2183,N,N,3.798,5.990,1.0,0.1,s15_t1.0_a0.1_062.gff
210,N,N,1.607,2.777,1.0,0.1,s15_t1.0_a0.1_063.gff
432,N,N,1.691,3.106,1.0,0.1,s15_t1.0_a0.1_064.gff
1174,N,N,2.257,4.520,1.0,0.1,s15_t1.0_a0.1_065.gff
4,N,N,1.235,2.302,1.0,0.1,s15_t1.0_a0.1_066.gff
321,N,N,1.739,2.962,1.0,0.1,s15_t1.0_a0.1_067.gff
83,N,N,1.341,2.465,1.0,0.1,s15_t1.0_a0.1_068.gff
677,N,N,1.930,3.642,1.0,0.1,s15_t1.0_a0.1_069.gff
47,N,N,2.272,2.390,1.0,0.1,s15_t1.0_a0.1_070.gff
28,N,N,1.256,2.308,1.0,0.1,s15_t1.0_a0.1_071.gff
66,N,N,1.325,2.439,1.0,0.1,s15_t1.0_a0.1_072.gff
1943,N,N,3.188,5.800,1.0,0.1,s15_t1.0_a0.1_073.gff
141,N,N,1.556,2.565,1.0,0.1,s15_t1.0_a0.1_074.gff
82,N,N,1.640,2.453,1.0,0.1,s15_t1.0_a0.1_075.gff
3630,N,N,5.995,9.338,1.0,0.1,s15_t1.0_a0.1_076.gff
166,N,N,1.598,2.720,1.0,0.1,s15_t1.0_a0.1_077.gff
1698,N,N,2.813,5.306,1.0,0.1,s15_t1.0_a0.1_078.gff
42,N,N,1.765,2.351,1.0,0.1,s15_t1.0_a0.1_079.gff
481,N,N,1.737,3.123,1.0,0.1,s15_t1.0_a0.1_080.gff
233,N,N,1.558,2.925,1.0,0.1,s15_t1.0_a0.1_081.gff
1189,N,N,2.271,4.588,1.0,0.1,s15_t1.0_a0.1_082.gff
242,N,N,1.562,2.898,1.0,0.1,s15_t1.0_a0.1_083.gff
216,N,N,1.761,2.818,1.0,0.1,s15_t1.0_a0.1_084.gff
2545,N,N,3.718,6.646,1.0,0.1,s15_t1.0_a0.1_085.gff
53,N,N,1.298,2.404,1.0,0.1,s15_t1.0_a0.1_086.gff
57,N,N,1.449,2.421,1.0,0.1,s15_t1.0_a0.1_087.gff
171,N,N,1.475,2.719,1.0,0.1,s15_t1.0_a0.1_088.gff
1302,N,N,2.345,4.631,1.0,0.1,s15_t1.0_a0.1_089.gff
130,N,N,1.591,2.643,1.0,0.1,s15_t1.0_a0.1_090.gff
1244,N,N,2.554,4.824,1.0,0.1,s15_t1.0_a0.1_091.gff
250,N,N,1.663,2.930,1.0,0.1,s15_t1.0_a0.1_092.gff
520,N,N,1.912,3.520,1.0,0.1,s15_t1.0_a0.1_093.gff
3256,N,N,4.663,8.667,1.0,0.1,s15_t1.0_a0.1_094.gff
682,N,N,1.892,3.556,1.0,0.1,s15_t1.0_a0.1_095.gff
78,N,N,1.446,2.439,1.0,0.1,s15_t1.0_a0.1_096.gff
6,N,N,1.382,2.307,1.0,0.1,s15_t1.0_a0.1_097.gff
406,N,N,1.702,3.110,1.0,0.1,s15_t1.0_a0.1_098.gff
60,N,N,1.358,2.444,1.0,0.1,s15_t1.0_a0.1_099.gff
82,N,N,1.372,2.519,1.0,0.1,s15_t1.0_a0.1_100.gff
112,N,N,1.464,2.587,1.0,0.2,s15_t1.0_a0.2_001.gff
386,N,N,1.694,3.128,1.0,0.2,s15_t1.0_a0.2_002.gff
17,N,N,1.304,2.319,1.0,0.2,s15_t1.0_a0.2_003.gff
403,N,N,1.740,3.107,1.0,0.2,s15_t1.0_a0.2_004.gff
354,N,N,2.543,3.025,1.0,0.2,s15_t1.0_a0.2_005.gff
58,N,N,2.003,2.441,1.0,0.2,s15_t1.0_a0.2_006.gff
50,N,N,2.016,2.395,1.0,0.2,s15_t1.0_a0.2_007.gff
263,N,N,1.838,2.871,1.0,0.2,s15_t1.0_a0.2_008.gff
90,N,N,1.343,2.472,1.0,0.2,s15_t1.0_a0.2_009.gff
51,N,N,1.478,2.374,1.0,0.2,s15_t1.0_a0.2_010.gff
155,N,N,1.576,2.646,1.0,0.2,s15_t1.0_a0.2_011.gff
4857,N,N,6.402,11.134,1.0,0.2,s15_t1.0_a0.2_012.gff
21,N,N,1.318,2.334,1.0,0.2,s15_t1.0_a0.2_013.gff
35,N,N,1.247,2.294,1.0,0.2,s15_t1.0_a0.2_014.gff
450,N,N,1.707,3.140,1.0,0.2,s15_t1.0_a0.2_015.gff
185,N,N,1.497,2.734,1.0,0.2,s15_t1.0_a0.2_016.gff
198,N,N,1.508,2.782,1.0,0.2,s15_t1.0_a0.2_017.gff
2525,N,N,3.519,5.984,1.0,0.2,s15_t1.0_a0.2_018.gff
88,N,N,2.243,2.500,1.0,0.2,s15_t1.0_a0.2_019.gff
40,N,N,1.447,2.401,1.0,0.2,s15_t1.0_a0.2_020.gff
300,N,N,1.603,2.987,1.0,0.2,s15_t1.0_a0.2_021.gff
701,N,N,1.947,3.703,1.0,0.2,s15_t1.0_a0.2_022.gff
509,N,N,2.523,3.534,1.0,0.2,s15_t1.0_a0.2_023.gff
1102,N,N,3.854,4.589,1.0,0.2,s15_t1.0_a0.2_024.gff
62,N,N,1.561,2.398,1.0,0.2,s15_t1.0_a0.2_025.gff
199,N,N,1.768,2.788,1.0,0.2,s15_t1.0_a0.2_026.gff
302,N,N,1.605,2.973,1.0,0.2,s15_t1.0_a0.2_027.gff
149,N,N,1.563,2.710,1.0,0.2,s15_t1.0_a0.2_028.gff
32,N,N,1.307,2.321,1.0,0.2,s15_t1.0_a0.2_029.gff
8,N,N,2.617,2.339,1.0,0.2,s15_t1.0_a0.2_030.gff
858,N,N,2.060,4.178,1.0,0.2,s15_t1.0_a0.2_031.gff
256,N,N,1.683,2.921,1.0,0.2,s15_t1.0_a0.2_032.gff
263,N,N,1.722,2.928,1.0,0.2,s15_t1.0_a0.2_033.gff
365,N,N,2.015,3.013,1.0,0.2,s15_t1.0_a0.2_034.gff
2561,N,N,3.814,7.156,1.0,0.2,s15_t1.0_a0.2_035.gff
63,N,N,1.295,2.377,1.0,0.2,s15_t1.0_a0.2_036.gff
113,N,N,1.631,2.549,1.0,0.2,s15_t1.0_a0.2_037.gff
355,N,N,1.631,3.028,1.0,0.2,s15_t1.0_a0.2_038.gff
112,N,N,4.554,2.577,1.0,0.2,s15_t1.0_a0.2_039.gff
749,N,N,1.915,3.694,1.0,0.2,s15_t1.0_a0.2_040.gff
311,N,N,1.680,2.999,1.0,0.2,s15_t1.0_a0.2_041.gff
20,N,N,1.415,2.367,1.0,0.2,s15_t1.0_a0.2_042.gff
133,N,N,1.475,2.722,1.0,0.2,s15_t1.0_a0.2_043.gff
