# Starting date:             2015-05-15 17:47:41
# Cluster job name:          fribourg.m1.r2c.goal
# Cluster job ID:            7348683
# Cluster node:              hnode17
# Cluster queue:             mpi.q
# Algorithm:                 fribourg -m1 -r2c
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states,t_out,m_out,real_t,cpu_t,dt,da,file
838,N,N,2.132,3.744,1.0,0.1,s15_t1.0_a0.1_001.gff
469,N,N,2.145,3.375,1.0,0.1,s15_t1.0_a0.1_002.gff
32,N,N,1.392,2.377,1.0,0.1,s15_t1.0_a0.1_003.gff
1072,N,N,2.195,4.085,1.0,0.1,s15_t1.0_a0.1_004.gff
1887,N,N,3.079,5.644,1.0,0.1,s15_t1.0_a0.1_005.gff
74,N,N,1.339,2.453,1.0,0.1,s15_t1.0_a0.1_006.gff
504,N,N,1.779,3.365,1.0,0.1,s15_t1.0_a0.1_007.gff
100,N,N,1.369,2.521,1.0,0.1,s15_t1.0_a0.1_008.gff
353,N,N,1.642,3.055,1.0,0.1,s15_t1.0_a0.1_009.gff
225,N,N,1.512,2.835,1.0,0.1,s15_t1.0_a0.1_010.gff
59,N,N,1.327,2.472,1.0,0.1,s15_t1.0_a0.1_011.gff
131,N,N,1.501,2.677,1.0,0.1,s15_t1.0_a0.1_012.gff
20,N,N,1.305,2.318,1.0,0.1,s15_t1.0_a0.1_013.gff
356,N,N,1.742,3.132,1.0,0.1,s15_t1.0_a0.1_014.gff
105,N,N,1.465,2.583,1.0,0.1,s15_t1.0_a0.1_015.gff
2775,N,N,3.874,6.684,1.0,0.1,s15_t1.0_a0.1_016.gff
213,N,N,1.514,2.764,1.0,0.1,s15_t1.0_a0.1_017.gff
32,N,N,1.305,2.307,1.0,0.1,s15_t1.0_a0.1_018.gff
35,N,N,1.477,2.369,1.0,0.1,s15_t1.0_a0.1_019.gff
280,N,N,1.673,3.010,1.0,0.1,s15_t1.0_a0.1_020.gff
1435,N,N,2.650,5.193,1.0,0.1,s15_t1.0_a0.1_021.gff
122,N,N,1.381,2.558,1.0,0.1,s15_t1.0_a0.1_022.gff
35,N,N,1.364,2.346,1.0,0.1,s15_t1.0_a0.1_023.gff
305,N,N,1.767,2.999,1.0,0.1,s15_t1.0_a0.1_024.gff
55,N,N,1.390,2.434,1.0,0.1,s15_t1.0_a0.1_025.gff
34,N,N,1.418,2.339,1.0,0.1,s15_t1.0_a0.1_026.gff
148,N,N,1.545,2.691,1.0,0.1,s15_t1.0_a0.1_027.gff
204,N,N,1.558,2.854,1.0,0.1,s15_t1.0_a0.1_028.gff
688,N,N,1.979,3.607,1.0,0.1,s15_t1.0_a0.1_029.gff
3879,N,N,4.957,8.409,1.0,0.1,s15_t1.0_a0.1_030.gff
261,N,N,1.639,2.951,1.0,0.1,s15_t1.0_a0.1_031.gff
70,N,N,1.343,2.441,1.0,0.1,s15_t1.0_a0.1_032.gff
244,N,N,1.638,2.852,1.0,0.1,s15_t1.0_a0.1_033.gff
772,N,N,2.509,3.721,1.0,0.1,s15_t1.0_a0.1_034.gff
1339,N,N,2.467,5.170,1.0,0.1,s15_t1.0_a0.1_035.gff
2308,N,N,3.303,6.409,1.0,0.1,s15_t1.0_a0.1_036.gff
65,N,N,1.328,2.439,1.0,0.1,s15_t1.0_a0.1_037.gff
668,N,N,1.923,3.694,1.0,0.1,s15_t1.0_a0.1_038.gff
30,N,N,1.250,2.323,1.0,0.1,s15_t1.0_a0.1_039.gff
60,N,N,1.325,2.427,1.0,0.1,s15_t1.0_a0.1_040.gff
65,N,N,1.319,2.392,1.0,0.1,s15_t1.0_a0.1_041.gff
89,N,N,1.353,2.470,1.0,0.1,s15_t1.0_a0.1_042.gff
190,N,N,1.537,2.798,1.0,0.1,s15_t1.0_a0.1_043.gff
2541,N,N,3.467,6.089,1.0,0.1,s15_t1.0_a0.1_044.gff
1366,N,N,2.487,4.990,1.0,0.1,s15_t1.0_a0.1_045.gff
682,N,N,1.926,3.638,1.0,0.1,s15_t1.0_a0.1_046.gff
266,N,N,1.685,2.946,1.0,0.1,s15_t1.0_a0.1_047.gff
83,N,N,1.783,2.539,1.0,0.1,s15_t1.0_a0.1_048.gff
465,N,N,2.383,3.198,1.0,0.1,s15_t1.0_a0.1_049.gff
266,N,N,1.721,2.923,1.0,0.1,s15_t1.0_a0.1_050.gff
16,N,N,1.247,2.327,1.0,0.1,s15_t1.0_a0.1_051.gff
73,N,N,1.380,2.491,1.0,0.1,s15_t1.0_a0.1_052.gff
196,N,N,1.510,2.812,1.0,0.1,s15_t1.0_a0.1_053.gff
26,N,N,1.402,2.370,1.0,0.1,s15_t1.0_a0.1_054.gff
225,N,N,1.643,2.909,1.0,0.1,s15_t1.0_a0.1_055.gff
348,N,N,1.712,3.060,1.0,0.1,s15_t1.0_a0.1_056.gff
526,N,N,1.791,3.416,1.0,0.1,s15_t1.0_a0.1_057.gff
3545,N,N,4.377,8.273,1.0,0.1,s15_t1.0_a0.1_058.gff
137,N,N,1.385,2.553,1.0,0.1,s15_t1.0_a0.1_059.gff
89,N,N,1.786,2.443,1.0,0.1,s15_t1.0_a0.1_060.gff
118,N,N,1.405,2.590,1.0,0.1,s15_t1.0_a0.1_061.gff
2352,N,N,3.773,6.388,1.0,0.1,s15_t1.0_a0.1_062.gff
223,N,N,1.699,2.869,1.0,0.1,s15_t1.0_a0.1_063.gff
445,N,N,1.706,3.105,1.0,0.1,s15_t1.0_a0.1_064.gff
1233,N,N,2.410,5.125,1.0,0.1,s15_t1.0_a0.1_065.gff
4,N,N,2.419,2.305,1.0,0.1,s15_t1.0_a0.1_066.gff
329,N,N,1.747,3.112,1.0,0.1,s15_t1.0_a0.1_067.gff
85,N,N,1.351,2.474,1.0,0.1,s15_t1.0_a0.1_068.gff
686,N,N,2.007,3.605,1.0,0.1,s15_t1.0_a0.1_069.gff
47,N,N,1.374,2.380,1.0,0.1,s15_t1.0_a0.1_070.gff
28,N,N,1.463,2.361,1.0,0.1,s15_t1.0_a0.1_071.gff
66,N,N,1.439,2.505,1.0,0.1,s15_t1.0_a0.1_072.gff
1969,N,N,3.051,5.979,1.0,0.1,s15_t1.0_a0.1_073.gff
144,N,N,1.404,2.571,1.0,0.1,s15_t1.0_a0.1_074.gff
