# Starting date:             2015-05-15 17:47:41
# Cluster job name:          fribourg.r2c.c.goal
# Cluster job ID:            7348685
# Cluster node:              hnode17
# Cluster queue:             mpi.q
# Algorithm:                 fribourg -r2c -c
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states,t_out,m_out,real_t,cpu_t,dt,da,file
2297,N,N,3.236,6.124,1.0,0.1,s15_t1.0_a0.1_001.gff
1101,N,N,2.239,4.723,1.0,0.1,s15_t1.0_a0.1_002.gff
49,N,N,1.436,2.452,1.0,0.1,s15_t1.0_a0.1_003.gff
2729,N,N,3.523,6.632,1.0,0.1,s15_t1.0_a0.1_004.gff
4160,N,N,4.933,8.400,1.0,0.1,s15_t1.0_a0.1_005.gff
114,N,N,1.419,2.564,1.0,0.1,s15_t1.0_a0.1_006.gff
1279,N,N,2.437,4.991,1.0,0.1,s15_t1.0_a0.1_007.gff
175,N,N,1.487,2.751,1.0,0.1,s15_t1.0_a0.1_008.gff
711,N,N,1.878,3.562,1.0,0.1,s15_t1.0_a0.1_009.gff
517,N,N,2.009,3.417,1.0,0.1,s15_t1.0_a0.1_010.gff
79,N,N,1.359,2.504,1.0,0.1,s15_t1.0_a0.1_011.gff
129,N,N,1.523,2.711,1.0,0.1,s15_t1.0_a0.1_012.gff
25,N,N,1.479,2.328,1.0,0.1,s15_t1.0_a0.1_013.gff
500,N,N,2.221,3.461,1.0,0.1,s15_t1.0_a0.1_014.gff
147,N,N,1.602,2.727,1.0,0.1,s15_t1.0_a0.1_015.gff
10667,N,N,16.412,20.937,1.0,0.1,s15_t1.0_a0.1_016.gff
426,N,N,1.688,3.137,1.0,0.1,s15_t1.0_a0.1_017.gff
43,N,N,1.437,2.424,1.0,0.1,s15_t1.0_a0.1_018.gff
42,N,N,1.593,2.426,1.0,0.1,s15_t1.0_a0.1_019.gff
402,N,N,1.898,3.165,1.0,0.1,s15_t1.0_a0.1_020.gff
4021,N,N,4.927,9.873,1.0,0.1,s15_t1.0_a0.1_021.gff
253,N,N,2.004,2.908,1.0,0.1,s15_t1.0_a0.1_022.gff
57,N,N,1.418,2.458,1.0,0.1,s15_t1.0_a0.1_023.gff
896,N,N,2.311,3.771,1.0,0.1,s15_t1.0_a0.1_024.gff
90,N,N,1.942,2.508,1.0,0.1,s15_t1.0_a0.1_025.gff
37,N,N,1.300,2.380,1.0,0.1,s15_t1.0_a0.1_026.gff
219,N,N,1.660,2.892,1.0,0.1,s15_t1.0_a0.1_027.gff
337,N,N,1.672,3.102,1.0,0.1,s15_t1.0_a0.1_028.gff
1937,N,N,2.798,5.519,1.0,0.1,s15_t1.0_a0.1_029.gff
9771,N,N,14.755,19.587,1.0,0.1,s15_t1.0_a0.1_030.gff
457,N,N,2.633,3.447,1.0,0.1,s15_t1.0_a0.1_031.gff
86,N,N,1.369,2.528,1.0,0.1,s15_t1.0_a0.1_032.gff
350,N,N,1.695,3.088,1.0,0.1,s15_t1.0_a0.1_033.gff
1763,N,N,2.682,5.476,1.0,0.1,s15_t1.0_a0.1_034.gff
3535,N,N,4.275,7.610,1.0,0.1,s15_t1.0_a0.1_035.gff
7779,N,N,10.169,15.303,1.0,0.1,s15_t1.0_a0.1_036.gff
166,N,N,1.521,2.725,1.0,0.1,s15_t1.0_a0.1_037.gff
1280,N,N,2.599,5.036,1.0,0.1,s15_t1.0_a0.1_038.gff
39,N,N,1.467,2.443,1.0,0.1,s15_t1.0_a0.1_039.gff
80,N,N,1.500,2.532,1.0,0.1,s15_t1.0_a0.1_040.gff
80,N,N,1.565,2.515,1.0,0.1,s15_t1.0_a0.1_041.gff
172,N,N,2.013,2.781,1.0,0.1,s15_t1.0_a0.1_042.gff
312,N,N,2.706,3.101,1.0,0.1,s15_t1.0_a0.1_043.gff
10329,N,N,15.474,20.007,1.0,0.1,s15_t1.0_a0.1_044.gff
5987,N,N,7.939,11.086,1.0,0.1,s15_t1.0_a0.1_045.gff
2118,N,N,2.975,5.925,1.0,0.1,s15_t1.0_a0.1_046.gff
420,N,N,1.905,3.279,1.0,0.1,s15_t1.0_a0.1_047.gff
83,N,N,1.488,2.605,1.0,0.1,s15_t1.0_a0.1_048.gff
1328,N,N,2.392,4.916,1.0,0.1,s15_t1.0_a0.1_049.gff
556,N,N,1.998,3.484,1.0,0.1,s15_t1.0_a0.1_050.gff
29,N,N,1.392,2.369,1.0,0.1,s15_t1.0_a0.1_051.gff
97,N,N,1.393,2.533,1.0,0.1,s15_t1.0_a0.1_052.gff
528,N,N,1.790,3.476,1.0,0.1,s15_t1.0_a0.1_053.gff
32,N,N,1.274,2.352,1.0,0.1,s15_t1.0_a0.1_054.gff
379,N,N,1.698,3.139,1.0,0.1,s15_t1.0_a0.1_055.gff
773,N,N,1.923,3.625,1.0,0.1,s15_t1.0_a0.1_056.gff
736,N,N,1.931,3.634,1.0,0.1,s15_t1.0_a0.1_057.gff
12151,N,N,19.143,23.934,1.0,0.1,s15_t1.0_a0.1_058.gff
259,N,N,1.579,2.915,1.0,0.1,s15_t1.0_a0.1_059.gff
