# Starting date:             2015-05-15 17:47:41
# Cluster job name:          fribourg.r2c.goal
# Cluster job ID:            7348686
# Cluster node:              hnode40
# Cluster queue:             mpi.q
# Algorithm:                 fribourg -r2c
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states,t_out,m_out,real_t,cpu_t,dt,da,file
1180,N,N,2.285,4.570,1.0,0.1,s15_t1.0_a0.1_001.gff
643,N,N,1.871,3.500,1.0,0.1,s15_t1.0_a0.1_002.gff
32,N,N,1.248,2.312,1.0,0.1,s15_t1.0_a0.1_003.gff
1401,N,N,2.584,5.063,1.0,0.1,s15_t1.0_a0.1_004.gff
3029,N,N,3.789,6.760,1.0,0.1,s15_t1.0_a0.1_005.gff
76,N,N,2.041,2.405,1.0,0.1,s15_t1.0_a0.1_006.gff
756,N,N,1.940,3.555,1.0,0.1,s15_t1.0_a0.1_007.gff
101,N,N,1.747,2.468,1.0,0.1,s15_t1.0_a0.1_008.gff
412,N,N,1.812,3.042,1.0,0.1,s15_t1.0_a0.1_009.gff
289,N,N,1.619,2.850,1.0,0.1,s15_t1.0_a0.1_010.gff
59,N,N,1.426,2.385,1.0,0.1,s15_t1.0_a0.1_011.gff
131,N,N,1.493,2.582,1.0,0.1,s15_t1.0_a0.1_012.gff
20,N,N,1.241,2.277,1.0,0.1,s15_t1.0_a0.1_013.gff
438,N,N,1.748,3.136,1.0,0.1,s15_t1.0_a0.1_014.gff
117,N,N,1.519,2.571,1.0,0.1,s15_t1.0_a0.1_015.gff
6305,N,N,8.015,11.314,1.0,0.1,s15_t1.0_a0.1_016.gff
241,N,N,1.630,2.791,1.0,0.1,s15_t1.0_a0.1_017.gff
32,N,N,1.592,2.342,1.0,0.1,s15_t1.0_a0.1_018.gff
35,N,N,1.517,2.380,1.0,0.1,s15_t1.0_a0.1_019.gff
313,N,N,1.665,2.973,1.0,0.1,s15_t1.0_a0.1_020.gff
2461,N,N,3.408,7.151,1.0,0.1,s15_t1.0_a0.1_021.gff
133,N,N,1.436,2.608,1.0,0.1,s15_t1.0_a0.1_022.gff
35,N,N,1.399,2.344,1.0,0.1,s15_t1.0_a0.1_023.gff
490,N,N,1.725,3.264,1.0,0.1,s15_t1.0_a0.1_024.gff
58,N,N,1.411,2.378,1.0,0.1,s15_t1.0_a0.1_025.gff
34,N,N,1.252,2.297,1.0,0.1,s15_t1.0_a0.1_026.gff
170,N,N,1.679,2.683,1.0,0.1,s15_t1.0_a0.1_027.gff
229,N,N,1.495,2.762,1.0,0.1,s15_t1.0_a0.1_028.gff
1008,N,N,2.168,3.794,1.0,0.1,s15_t1.0_a0.1_029.gff
6463,N,N,8.279,13.483,1.0,0.1,s15_t1.0_a0.1_030.gff
261,N,N,1.658,2.917,1.0,0.1,s15_t1.0_a0.1_031.gff
75,N,N,1.628,2.431,1.0,0.1,s15_t1.0_a0.1_032.gff
272,N,N,1.647,2.840,1.0,0.1,s15_t1.0_a0.1_033.gff
975,N,N,2.050,3.814,1.0,0.1,s15_t1.0_a0.1_034.gff
2045,N,N,2.959,5.944,1.0,0.1,s15_t1.0_a0.1_035.gff
3558,N,N,4.229,8.328,1.0,0.1,s15_t1.0_a0.1_036.gff
82,N,N,1.285,2.381,1.0,0.1,s15_t1.0_a0.1_037.gff
950,N,N,2.106,3.947,1.0,0.1,s15_t1.0_a0.1_038.gff
30,N,N,1.239,2.282,1.0,0.1,s15_t1.0_a0.1_039.gff
61,N,N,1.331,2.410,1.0,0.1,s15_t1.0_a0.1_040.gff
65,N,N,1.656,2.448,1.0,0.1,s15_t1.0_a0.1_041.gff
97,N,N,1.320,2.417,1.0,0.1,s15_t1.0_a0.1_042.gff
190,N,N,2.348,2.801,1.0,0.1,s15_t1.0_a0.1_043.gff
4155,N,N,4.908,7.681,1.0,0.1,s15_t1.0_a0.1_044.gff
2563,N,N,3.545,6.329,1.0,0.1,s15_t1.0_a0.1_045.gff
1170,N,N,2.188,4.012,1.0,0.1,s15_t1.0_a0.1_046.gff
305,N,N,1.565,2.913,1.0,0.1,s15_t1.0_a0.1_047.gff
83,N,N,1.339,2.466,1.0,0.1,s15_t1.0_a0.1_048.gff
