# Starting date:             2015-05-16 16:32:58
# Cluster job name:          piterman.eq.sim.ro.goal
# Cluster job ID:            7369719
# Cluster node:              hnode20
# Cluster queue:             mpi.q
# GOAL command:              complement -m piterman -eq -sim -ro
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
id,states,timeout,memout,cpu_time,real_time,dt,da,file
1,574,N,N,5.020,7.543,1.0,0.1,s15_t1.0_a0.1_001.gff
2,296,N,N,4.228,8.064,1.0,0.1,s15_t1.0_a0.1_002.gff
3,39,N,N,2.491,5.301,1.0,0.1,s15_t1.0_a0.1_003.gff
4,414,N,N,5.038,8.245,1.0,0.1,s15_t1.0_a0.1_004.gff
5,1078,N,N,7.666,11.019,1.0,0.1,s15_t1.0_a0.1_005.gff
6,39,N,N,2.789,10.777,1.0,0.1,s15_t1.0_a0.1_006.gff
7,115,N,N,3.555,6.566,1.0,0.1,s15_t1.0_a0.1_007.gff
8,62,N,N,2.821,16.351,1.0,0.1,s15_t1.0_a0.1_008.gff
9,182,N,N,3.594,8.182,1.0,0.1,s15_t1.0_a0.1_009.gff
10,115,N,N,3.219,4.111,1.0,0.1,s15_t1.0_a0.1_010.gff
11,70,N,N,2.905,7.245,1.0,0.1,s15_t1.0_a0.1_011.gff
12,87,N,N,3.085,9.212,1.0,0.1,s15_t1.0_a0.1_012.gff
13,19,N,N,2.394,7.982,1.0,0.1,s15_t1.0_a0.1_013.gff
14,209,N,N,3.703,8.075,1.0,0.1,s15_t1.0_a0.1_014.gff
15,79,N,N,2.811,4.176,1.0,0.1,s15_t1.0_a0.1_015.gff
16,622,N,N,5.935,12.965,1.0,0.1,s15_t1.0_a0.1_016.gff
17,78,N,N,3.036,11.684,1.0,0.1,s15_t1.0_a0.1_017.gff
18,19,N,N,2.418,12.485,1.0,0.1,s15_t1.0_a0.1_018.gff
19,26,N,N,2.427,7.741,1.0,0.1,s15_t1.0_a0.1_019.gff
20,153,N,N,3.477,7.972,1.0,0.1,s15_t1.0_a0.1_020.gff
21,356,N,N,4.642,5.829,1.0,0.1,s15_t1.0_a0.1_021.gff
22,67,N,N,2.725,3.414,1.0,0.1,s15_t1.0_a0.1_022.gff
23,31,N,N,2.443,18.895,1.0,0.1,s15_t1.0_a0.1_023.gff
24,53,N,N,2.857,2.605,1.0,0.1,s15_t1.0_a0.1_024.gff
25,45,N,N,2.757,11.080,1.0,0.1,s15_t1.0_a0.1_025.gff
26,2,N,N,2.368,2.932,1.0,0.1,s15_t1.0_a0.1_026.gff
27,110,N,N,3.126,2.216,1.0,0.1,s15_t1.0_a0.1_027.gff
28,152,N,N,3.241,3.766,1.0,0.1,s15_t1.0_a0.1_028.gff
29,260,N,N,4.773,12.459,1.0,0.1,s15_t1.0_a0.1_029.gff
30,1882,N,N,11.505,14.353,1.0,0.1,s15_t1.0_a0.1_030.gff
31,254,N,N,3.836,5.858,1.0,0.1,s15_t1.0_a0.1_031.gff
32,63,N,N,2.770,1.491,1.0,0.1,s15_t1.0_a0.1_032.gff
33,130,N,N,3.519,1.793,1.0,0.1,s15_t1.0_a0.1_033.gff
