# Starting date:             2015-05-16 16:32:57
# Cluster job name:          slice.p.ro.madj.eg.goal
# Cluster job ID:            7369720
# Cluster node:              hnode20
# Cluster queue:             mpi.q
# GOAL command:              complement -m slice -p -ro -madj -eg
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
id,states,timeout,memout,cpu_time,real_time,dt,da,file
1,705,N,N,3.942,2.134,1.0,0.1,s15_t1.0_a0.1_001.gff
2,350,N,N,3.328,5.796,1.0,0.1,s15_t1.0_a0.1_002.gff
3,32,N,N,2.420,7.305,1.0,0.1,s15_t1.0_a0.1_003.gff
4,888,N,N,4.368,7.933,1.0,0.1,s15_t1.0_a0.1_004.gff
5,1577,N,N,5.147,7.400,1.0,0.1,s15_t1.0_a0.1_005.gff
6,54,N,N,2.426,9.137,1.0,0.1,s15_t1.0_a0.1_006.gff
7,378,N,N,3.464,2.352,1.0,0.1,s15_t1.0_a0.1_007.gff
8,70,N,N,2.453,10.151,1.0,0.1,s15_t1.0_a0.1_008.gff
9,291,N,N,3.184,6.300,1.0,0.1,s15_t1.0_a0.1_009.gff
10,157,N,N,2.830,16.726,1.0,0.1,s15_t1.0_a0.1_010.gff
11,57,N,N,2.432,7.193,1.0,0.1,s15_t1.0_a0.1_011.gff
12,131,N,N,2.771,4.830,1.0,0.1,s15_t1.0_a0.1_012.gff
13,19,N,N,2.366,6.949,1.0,0.1,s15_t1.0_a0.1_013.gff
14,291,N,N,3.245,9.856,1.0,0.1,s15_t1.0_a0.1_014.gff
15,82,N,N,2.614,7.906,1.0,0.1,s15_t1.0_a0.1_015.gff
16,2537,N,N,5.855,9.471,1.0,0.1,s15_t1.0_a0.1_016.gff
17,143,N,N,2.760,5.601,1.0,0.1,s15_t1.0_a0.1_017.gff
18,32,N,N,2.350,9.766,1.0,0.1,s15_t1.0_a0.1_018.gff
19,24,N,N,2.331,9.674,1.0,0.1,s15_t1.0_a0.1_019.gff
20,255,N,N,3.105,13.727,1.0,0.1,s15_t1.0_a0.1_020.gff
21,1293,N,N,5.017,9.474,1.0,0.1,s15_t1.0_a0.1_021.gff
22,90,N,N,2.550,9.367,1.0,0.1,s15_t1.0_a0.1_022.gff
23,23,N,N,2.277,6.958,1.0,0.1,s15_t1.0_a0.1_023.gff
24,212,N,N,3.048,19.161,1.0,0.1,s15_t1.0_a0.1_024.gff
25,55,N,N,2.490,2.494,1.0,0.1,s15_t1.0_a0.1_025.gff
26,34,N,N,2.383,10.963,1.0,0.1,s15_t1.0_a0.1_026.gff
27,118,N,N,2.746,3.701,1.0,0.1,s15_t1.0_a0.1_027.gff
28,172,N,N,2.896,5.301,1.0,0.1,s15_t1.0_a0.1_028.gff
29,459,N,N,3.379,12.278,1.0,0.1,s15_t1.0_a0.1_029.gff
30,3851,N,N,7.617,12.102,1.0,0.1,s15_t1.0_a0.1_030.gff
31,258,N,N,3.104,6.131,1.0,0.1,s15_t1.0_a0.1_031.gff
32,58,N,N,2.390,2.972,1.0,0.1,s15_t1.0_a0.1_032.gff
33,171,N,N,2.844,1.547,1.0,0.1,s15_t1.0_a0.1_033.gff
34,588,N,N,3.793,5.217,1.0,0.1,s15_t1.0_a0.1_034.gff
35,1171,N,N,4.801,9.138,1.0,0.1,s15_t1.0_a0.1_035.gff
36,2065,N,N,5.300,7.113,1.0,0.1,s15_t1.0_a0.1_036.gff
37,39,N,N,2.348,8.120,1.0,0.1,s15_t1.0_a0.1_037.gff
38,549,N,N,3.785,5.890,1.0,0.1,s15_t1.0_a0.1_038.gff
39,30,N,N,2.329,6.778,1.0,0.1,s15_t1.0_a0.1_039.gff
40,42,N,N,2.421,6.253,1.0,0.1,s15_t1.0_a0.1_040.gff
41,62,N,N,2.488,9.833,1.0,0.1,s15_t1.0_a0.1_041.gff
42,73,N,N,2.570,3.384,1.0,0.1,s15_t1.0_a0.1_042.gff
43,186,N,N,2.931,13.511,1.0,0.1,s15_t1.0_a0.1_043.gff
44,2236,N,N,5.124,8.863,1.0,0.1,s15_t1.0_a0.1_044.gff
45,1042,N,N,4.325,6.036,1.0,0.1,s15_t1.0_a0.1_045.gff
46,542,N,N,3.629,11.183,1.0,0.1,s15_t1.0_a0.1_046.gff
47,238,N,N,3.033,15.618,1.0,0.1,s15_t1.0_a0.1_047.gff
48,83,N,N,2.602,2.278,1.0,0.1,s15_t1.0_a0.1_048.gff
49,347,N,N,3.334,8.894,1.0,0.1,s15_t1.0_a0.1_049.gff
50,195,N,N,2.958,4.762,1.0,0.1,s15_t1.0_a0.1_050.gff
51,16,N,N,2.302,8.823,1.0,0.1,s15_t1.0_a0.1_051.gff
52,71,N,N,2.533,10.379,1.0,0.1,s15_t1.0_a0.1_052.gff
53,161,N,N,2.948,13.489,1.0,0.1,s15_t1.0_a0.1_053.gff
54,25,N,N,2.345,8.271,1.0,0.1,s15_t1.0_a0.1_054.gff
55,204,N,N,2.953,1.601,1.0,0.1,s15_t1.0_a0.1_055.gff
56,255,N,N,3.033,6.689,1.0,0.1,s15_t1.0_a0.1_056.gff
57,408,N,N,3.434,2.567,1.0,0.1,s15_t1.0_a0.1_057.gff
58,3118,N,N,6.185,12.068,1.0,0.1,s15_t1.0_a0.1_058.gff
59,100,N,N,2.586,5.516,1.0,0.1,s15_t1.0_a0.1_059.gff
