# Starting date:             2015-05-16 16:33:12
# Cluster job name:          rank.tr.ro.goal_01_of_10
# Cluster job ID:            7369721
# Cluster node:              hnode27
# Cluster queue:             mpi.q
# GOAL command:              complement -m rank -tr -ro
# Input data:                goal.01_of_10.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
id,states,timeout,memout,cpu_time,real_time,dt,da,file
1,104653,N,N,136.800,114.750,1.0,0.1,s15_t1.0_a0.1_001.gff
2,NA,N,Y,182.250,142.419,1.0,0.1,s15_t1.0_a0.1_002.gff
3,180,N,N,3.104,8.527,1.0,0.1,s15_t1.0_a0.1_003.gff
4,NA,Y,N,602.374,345.831,1.0,0.1,s15_t1.0_a0.1_004.gff
5,NA,Y,N,602.229,441.150,1.0,0.1,s15_t1.0_a0.1_005.gff
6,152,N,N,2.972,1.636,1.0,0.1,s15_t1.0_a0.1_006.gff
7,23923,N,N,27.685,22.498,1.0,0.1,s15_t1.0_a0.1_007.gff
8,213,N,N,3.094,3.662,1.0,0.1,s15_t1.0_a0.1_008.gff
9,NA,Y,N,601.803,610.995,1.0,0.1,s15_t1.0_a0.1_009.gff
10,100407,N,N,172.778,144.205,1.0,0.1,s15_t1.0_a0.1_010.gff
11,134,N,N,2.871,2.662,1.0,0.1,s15_t1.0_a0.1_011.gff
12,1446,N,N,5.883,3.995,1.0,0.1,s15_t1.0_a0.1_012.gff
13,38,N,N,2.521,3.880,1.0,0.1,s15_t1.0_a0.1_013.gff
14,NA,Y,N,602.562,589.481,1.0,0.1,s15_t1.0_a0.1_014.gff
15,251,N,N,3.146,4.665,1.0,0.1,s15_t1.0_a0.1_015.gff
16,9074,N,N,14.485,12.819,1.0,0.1,s15_t1.0_a0.1_016.gff
17,3977,N,N,8.451,11.735,1.0,0.1,s15_t1.0_a0.1_017.gff
18,115,N,N,2.852,2.131,1.0,0.1,s15_t1.0_a0.1_018.gff
19,37,N,N,2.458,5.188,1.0,0.1,s15_t1.0_a0.1_019.gff
20,NA,Y,N,602.359,330.737,1.0,0.1,s15_t1.0_a0.1_020.gff
21,NA,Y,N,602.172,599.663,1.0,0.1,s15_t1.0_a0.1_021.gff
22,908,N,N,4.749,2.393,1.0,0.1,s15_t1.0_a0.1_022.gff
23,41,N,N,2.610,6.254,1.0,0.1,s15_t1.0_a0.1_023.gff
24,2214,N,N,6.508,10.155,1.0,0.1,s15_t1.0_a0.1_024.gff
25,168,N,N,3.018,2.537,1.0,0.1,s15_t1.0_a0.1_025.gff
26,1527,N,N,5.408,8.734,1.0,0.1,s15_t1.0_a0.1_026.gff
27,2323,N,N,7.347,13.643,1.0,0.1,s15_t1.0_a0.1_027.gff
28,25134,N,N,30.047,25.592,1.0,0.1,s15_t1.0_a0.1_028.gff
29,14615,N,N,14.883,17.562,1.0,0.1,s15_t1.0_a0.1_029.gff
30,NA,Y,N,601.653,572.114,1.0,0.1,s15_t1.0_a0.1_030.gff
31,NA,N,Y,421.382,205.272,1.0,0.1,s15_t1.0_a0.1_031.gff
32,158,N,N,3.069,4.496,1.0,0.1,s15_t1.0_a0.1_032.gff
33,41698,N,N,44.319,34.191,1.0,0.1,s15_t1.0_a0.1_033.gff
34,NA,Y,N,603.227,298.781,1.0,0.1,s15_t1.0_a0.1_034.gff
35,NA,Y,N,601.744,574.384,1.0,0.1,s15_t1.0_a0.1_035.gff
36,NA,Y,N,602.347,382.587,1.0,0.1,s15_t1.0_a0.1_036.gff
37,55,N,N,2.577,1.783,1.0,0.1,s15_t1.0_a0.1_037.gff
38,32909,N,N,39.258,32.887,1.0,0.1,s15_t1.0_a0.1_038.gff
39,104,N,N,2.866,2.314,1.0,0.1,s15_t1.0_a0.1_039.gff
40,378,N,N,4.164,11.371,1.0,0.1,s15_t1.0_a0.1_040.gff
41,318,N,N,3.294,2.463,1.0,0.1,s15_t1.0_a0.1_041.gff
42,2763,N,N,8.030,5.019,1.0,0.1,s15_t1.0_a0.1_042.gff
43,NA,Y,N,601.839,550.939,1.0,0.1,s15_t1.0_a0.1_043.gff
44,15528,N,N,25.337,17.723,1.0,0.1,s15_t1.0_a0.1_044.gff
45,7168,N,N,11.249,6.495,1.0,0.1,s15_t1.0_a0.1_045.gff
46,92557,N,N,221.666,187.241,1.0,0.1,s15_t1.0_a0.1_046.gff
47,NA,Y,N,601.620,589.396,1.0,0.1,s15_t1.0_a0.1_047.gff
48,NA,Y,N,601.818,587.509,1.0,0.1,s15_t1.0_a0.1_048.gff
49,7178,N,N,10.199,15.264,1.0,0.1,s15_t1.0_a0.1_049.gff
50,80933,N,N,183.075,162.861,1.0,0.1,s15_t1.0_a0.1_050.gff
51,256,N,N,3.791,5.672,1.0,0.1,s15_t1.0_a0.1_051.gff
52,684,N,N,4.580,7.036,1.0,0.1,s15_t1.0_a0.1_052.gff
53,1988,N,N,6.789,10.724,1.0,0.1,s15_t1.0_a0.1_053.gff
54,65,N,N,2.581,1.505,1.0,0.1,s15_t1.0_a0.1_054.gff
55,4125,N,N,8.996,11.733,1.0,0.1,s15_t1.0_a0.1_055.gff
56,91668,N,N,137.300,121.165,1.0,0.1,s15_t1.0_a0.1_056.gff
57,NA,Y,N,601.885,534.138,1.0,0.1,s15_t1.0_a0.1_057.gff
58,NA,Y,N,601.808,472.730,1.0,0.1,s15_t1.0_a0.1_058.gff
59,17809,N,N,30.085,23.063,1.0,0.1,s15_t1.0_a0.1_059.gff
60,309,N,N,3.373,2.721,1.0,0.1,s15_t1.0_a0.1_060.gff
61,13275,N,N,20.252,13.787,1.0,0.1,s15_t1.0_a0.1_061.gff
62,NA,Y,N,601.776,502.026,1.0,0.1,s15_t1.0_a0.1_062.gff
63,NA,N,Y,205.192,143.503,1.0,0.1,s15_t1.0_a0.1_063.gff
64,4457,N,N,8.049,4.653,1.0,0.1,s15_t1.0_a0.1_064.gff
65,NA,Y,N,601.463,602.605,1.0,0.1,s15_t1.0_a0.1_065.gff
66,6,N,N,2.447,1.638,1.0,0.1,s15_t1.0_a0.1_066.gff
67,34002,N,N,40.842,33.921,1.0,0.1,s15_t1.0_a0.1_067.gff
68,2177,N,N,7.000,3.966,1.0,0.1,s15_t1.0_a0.1_068.gff
69,NA,Y,N,602.200,343.389,1.0,0.1,s15_t1.0_a0.1_069.gff
70,122,N,N,2.753,2.605,1.0,0.1,s15_t1.0_a0.1_070.gff
71,52,N,N,2.608,2.002,1.0,0.1,s15_t1.0_a0.1_071.gff
72,3913,N,N,7.819,4.268,1.0,0.1,s15_t1.0_a0.1_072.gff
73,NA,Y,N,601.549,602.818,1.0,0.1,s15_t1.0_a0.1_073.gff
74,212,N,N,3.129,1.826,1.0,0.1,s15_t1.0_a0.1_074.gff
75,11177,N,N,16.109,12.830,1.0,0.1,s15_t1.0_a0.1_075.gff
76,NA,Y,N,602.185,597.224,1.0,0.1,s15_t1.0_a0.1_076.gff
77,22128,N,N,27.161,20.074,1.0,0.1,s15_t1.0_a0.1_077.gff
78,98094,N,N,211.048,177.470,1.0,0.1,s15_t1.0_a0.1_078.gff
79,87,N,N,2.611,1.938,1.0,0.1,s15_t1.0_a0.1_079.gff
80,2988,N,N,7.075,3.444,1.0,0.1,s15_t1.0_a0.1_080.gff
81,558,N,N,4.155,2.915,1.0,0.1,s15_t1.0_a0.1_081.gff
82,26402,N,N,30.898,24.451,1.0,0.1,s15_t1.0_a0.1_082.gff
83,81739,N,N,138.161,109.119,1.0,0.1,s15_t1.0_a0.1_083.gff
84,1114,N,N,5.053,3.414,1.0,0.1,s15_t1.0_a0.1_084.gff
85,NA,Y,N,602.171,408.483,1.0,0.1,s15_t1.0_a0.1_085.gff
86,88,N,N,2.654,1.535,1.0,0.1,s15_t1.0_a0.1_086.gff
87,99,N,N,2.665,1.681,1.0,0.1,s15_t1.0_a0.1_087.gff
88,9810,N,N,11.994,8.345,1.0,0.1,s15_t1.0_a0.1_088.gff
89,NA,Y,N,601.799,551.776,1.0,0.1,s15_t1.0_a0.1_089.gff
90,2383,N,N,7.193,4.847,1.0,0.1,s15_t1.0_a0.1_090.gff
91,50942,N,N,65.288,46.383,1.0,0.1,s15_t1.0_a0.1_091.gff
92,11783,N,N,14.444,10.034,1.0,0.1,s15_t1.0_a0.1_092.gff
93,94797,N,N,258.097,210.215,1.0,0.1,s15_t1.0_a0.1_093.gff
94,NA,Y,N,602.123,264.924,1.0,0.1,s15_t1.0_a0.1_094.gff
95,NA,Y,N,601.606,563.804,1.0,0.1,s15_t1.0_a0.1_095.gff
96,10973,N,N,22.180,12.888,1.0,0.1,s15_t1.0_a0.1_096.gff
97,6,N,N,2.419,1.663,1.0,0.1,s15_t1.0_a0.1_097.gff
98,1250,N,N,5.156,2.737,1.0,0.1,s15_t1.0_a0.1_098.gff
99,806,N,N,5.114,5.419,1.0,0.1,s15_t1.0_a0.1_099.gff
100,143,N,N,2.889,1.902,1.0,0.1,s15_t1.0_a0.1_100.gff
101,677,N,N,4.476,4.495,1.0,0.2,s15_t1.0_a0.2_001.gff
102,4252,N,N,7.036,4.000,1.0,0.2,s15_t1.0_a0.2_002.gff
103,17,N,N,2.499,2.961,1.0,0.2,s15_t1.0_a0.2_003.gff
104,10413,N,N,17.648,11.538,1.0,0.2,s15_t1.0_a0.2_004.gff
105,1128,N,N,5.137,3.357,1.0,0.2,s15_t1.0_a0.2_005.gff
106,410,N,N,3.873,2.069,1.0,0.2,s15_t1.0_a0.2_006.gff
107,260,N,N,3.764,3.023,1.0,0.2,s15_t1.0_a0.2_007.gff
108,10854,N,N,18.208,12.932,1.0,0.2,s15_t1.0_a0.2_008.gff
109,3258,N,N,8.690,6.148,1.0,0.2,s15_t1.0_a0.2_009.gff
110,96,N,N,2.789,2.465,1.0,0.2,s15_t1.0_a0.2_010.gff
111,2672,N,N,7.211,4.424,1.0,0.2,s15_t1.0_a0.2_011.gff
112,15343,N,N,20.516,14.206,1.0,0.2,s15_t1.0_a0.2_012.gff
113,236,N,N,3.141,4.260,1.0,0.2,s15_t1.0_a0.2_013.gff
114,48,N,N,2.604,3.946,1.0,0.2,s15_t1.0_a0.2_014.gff
115,2812,N,N,8.087,5.048,1.0,0.2,s15_t1.0_a0.2_015.gff
116,522,N,N,4.178,2.367,1.0,0.2,s15_t1.0_a0.2_016.gff
117,3405,N,N,9.340,10.439,1.0,0.2,s15_t1.0_a0.2_017.gff
118,NA,Y,N,601.603,600.301,1.0,0.2,s15_t1.0_a0.2_018.gff
119,318,N,N,3.673,2.083,1.0,0.2,s15_t1.0_a0.2_019.gff
120,67,N,N,2.584,1.907,1.0,0.2,s15_t1.0_a0.2_020.gff
121,6620,N,N,10.484,6.496,1.0,0.2,s15_t1.0_a0.2_021.gff
122,86094,N,N,236.221,186.422,1.0,0.2,s15_t1.0_a0.2_022.gff
123,14399,N,N,22.969,15.112,1.0,0.2,s15_t1.0_a0.2_023.gff
124,26444,N,N,36.012,28.097,1.0,0.2,s15_t1.0_a0.2_024.gff
125,393,N,N,3.547,3.895,1.0,0.2,s15_t1.0_a0.2_025.gff
126,471,N,N,4.288,2.887,1.0,0.2,s15_t1.0_a0.2_026.gff
127,23542,N,N,23.910,15.424,1.0,0.2,s15_t1.0_a0.2_027.gff
128,20133,N,N,27.659,21.276,1.0,0.2,s15_t1.0_a0.2_028.gff
129,39,N,N,2.463,1.453,1.0,0.2,s15_t1.0_a0.2_029.gff
130,10,N,N,2.429,1.427,1.0,0.2,s15_t1.0_a0.2_030.gff
131,NA,Y,N,602.268,291.379,1.0,0.2,s15_t1.0_a0.2_031.gff
132,84051,N,N,199.970,172.233,1.0,0.2,s15_t1.0_a0.2_032.gff
133,1677,N,N,5.617,3.975,1.0,0.2,s15_t1.0_a0.2_033.gff
134,12630,N,N,18.153,12.008,1.0,0.2,s15_t1.0_a0.2_034.gff
135,NA,Y,N,601.898,519.413,1.0,0.2,s15_t1.0_a0.2_035.gff
136,4218,N,N,9.923,5.421,1.0,0.2,s15_t1.0_a0.2_036.gff
137,143,N,N,2.872,1.943,1.0,0.2,s15_t1.0_a0.2_037.gff
138,4831,N,N,8.805,7.374,1.0,0.2,s15_t1.0_a0.2_038.gff
139,10181,N,N,12.589,10.481,1.0,0.2,s15_t1.0_a0.2_039.gff
