# Starting date:             2015-05-16 16:32:29
# Cluster job name:          fribourg.goal
# Cluster job ID:            7369702
# Cluster node:              hnode17
# Cluster queue:             mpi.q
# GOAL command:              complement -m fribourg
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
id,states,timeout,memout,cpu_time,real_time,dt,da,file
1,1180,N,N,5.335,4.385,1.0,0.1,s15_t1.0_a0.1_001.gff
2,643,N,N,3.945,4.279,1.0,0.1,s15_t1.0_a0.1_002.gff
3,32,N,N,2.597,3.478,1.0,0.1,s15_t1.0_a0.1_003.gff
4,1401,N,N,5.514,10.833,1.0,0.1,s15_t1.0_a0.1_004.gff
5,3029,N,N,7.705,7.536,1.0,0.1,s15_t1.0_a0.1_005.gff
6,76,N,N,2.726,5.434,1.0,0.1,s15_t1.0_a0.1_006.gff
7,756,N,N,4.069,6.977,1.0,0.1,s15_t1.0_a0.1_007.gff
8,101,N,N,2.824,5.890,1.0,0.1,s15_t1.0_a0.1_008.gff
9,412,N,N,3.422,8.521,1.0,0.1,s15_t1.0_a0.1_009.gff
10,289,N,N,3.289,9.876,1.0,0.1,s15_t1.0_a0.1_010.gff
11,59,N,N,2.710,7.507,1.0,0.1,s15_t1.0_a0.1_011.gff
12,131,N,N,2.960,4.856,1.0,0.1,s15_t1.0_a0.1_012.gff
13,20,N,N,2.601,5.722,1.0,0.1,s15_t1.0_a0.1_013.gff
14,438,N,N,3.592,3.442,1.0,0.1,s15_t1.0_a0.1_014.gff
15,117,N,N,2.921,8.551,1.0,0.1,s15_t1.0_a0.1_015.gff
16,6305,N,N,12.118,11.098,1.0,0.1,s15_t1.0_a0.1_016.gff
17,241,N,N,3.178,5.468,1.0,0.1,s15_t1.0_a0.1_017.gff
18,32,N,N,2.633,7.122,1.0,0.1,s15_t1.0_a0.1_018.gff
19,35,N,N,2.692,9.394,1.0,0.1,s15_t1.0_a0.1_019.gff
20,313,N,N,3.401,13.307,1.0,0.1,s15_t1.0_a0.1_020.gff
21,2461,N,N,6.957,6.328,1.0,0.1,s15_t1.0_a0.1_021.gff
22,133,N,N,2.931,3.365,1.0,0.1,s15_t1.0_a0.1_022.gff
23,35,N,N,2.662,8.957,1.0,0.1,s15_t1.0_a0.1_023.gff
24,490,N,N,3.738,13.778,1.0,0.1,s15_t1.0_a0.1_024.gff
25,58,N,N,2.748,10.299,1.0,0.1,s15_t1.0_a0.1_025.gff
26,34,N,N,2.636,5.464,1.0,0.1,s15_t1.0_a0.1_026.gff
27,170,N,N,3.058,7.879,1.0,0.1,s15_t1.0_a0.1_027.gff
28,229,N,N,3.164,5.186,1.0,0.1,s15_t1.0_a0.1_028.gff
29,1008,N,N,4.281,7.487,1.0,0.1,s15_t1.0_a0.1_029.gff
30,6463,N,N,15.077,21.128,1.0,0.1,s15_t1.0_a0.1_030.gff
31,261,N,N,3.303,6.906,1.0,0.1,s15_t1.0_a0.1_031.gff
32,75,N,N,2.746,7.372,1.0,0.1,s15_t1.0_a0.1_032.gff
33,272,N,N,3.216,5.854,1.0,0.1,s15_t1.0_a0.1_033.gff
34,975,N,N,4.298,14.652,1.0,0.1,s15_t1.0_a0.1_034.gff
35,2045,N,N,6.868,8.714,1.0,0.1,s15_t1.0_a0.1_035.gff
36,3558,N,N,8.231,10.691,1.0,0.1,s15_t1.0_a0.1_036.gff
37,82,N,N,2.760,5.293,1.0,0.1,s15_t1.0_a0.1_037.gff
38,950,N,N,4.454,4.370,1.0,0.1,s15_t1.0_a0.1_038.gff
39,30,N,N,2.647,10.378,1.0,0.1,s15_t1.0_a0.1_039.gff
40,61,N,N,2.710,7.255,1.0,0.1,s15_t1.0_a0.1_040.gff
41,65,N,N,2.780,3.373,1.0,0.1,s15_t1.0_a0.1_041.gff
42,97,N,N,2.868,5.398,1.0,0.1,s15_t1.0_a0.1_042.gff
43,190,N,N,3.148,7.390,1.0,0.1,s15_t1.0_a0.1_043.gff
44,4155,N,N,8.670,8.481,1.0,0.1,s15_t1.0_a0.1_044.gff
45,2563,N,N,7.695,8.192,1.0,0.1,s15_t1.0_a0.1_045.gff
46,1170,N,N,4.391,8.360,1.0,0.1,s15_t1.0_a0.1_046.gff
