# Starting date:             2015-05-16 16:32:19
# Cluster job name:          fribourg.m1.goal
# Cluster job ID:            7369703
# Cluster node:              hnode25
# Cluster queue:             mpi.q
# GOAL command:              complement -m fribourg -m1
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
id,states,timeout,memout,cpu_time,real_time,dt,da,file
1,838,N,N,4.136,5.410,1.0,0.1,s15_t1.0_a0.1_001.gff
2,469,N,N,3.635,6.118,1.0,0.1,s15_t1.0_a0.1_002.gff
3,32,N,N,2.604,3.983,1.0,0.1,s15_t1.0_a0.1_003.gff
4,1072,N,N,4.476,5.390,1.0,0.1,s15_t1.0_a0.1_004.gff
5,1887,N,N,6.469,4.387,1.0,0.1,s15_t1.0_a0.1_005.gff
6,74,N,N,2.711,6.853,1.0,0.1,s15_t1.0_a0.1_006.gff
7,504,N,N,3.727,5.801,1.0,0.1,s15_t1.0_a0.1_007.gff
8,100,N,N,2.777,5.081,1.0,0.1,s15_t1.0_a0.1_008.gff
9,353,N,N,3.385,5.013,1.0,0.1,s15_t1.0_a0.1_009.gff
10,225,N,N,3.126,3.330,1.0,0.1,s15_t1.0_a0.1_010.gff
11,59,N,N,2.668,4.266,1.0,0.1,s15_t1.0_a0.1_011.gff
12,131,N,N,2.905,4.426,1.0,0.1,s15_t1.0_a0.1_012.gff
13,20,N,N,2.626,7.135,1.0,0.1,s15_t1.0_a0.1_013.gff
14,356,N,N,3.408,7.483,1.0,0.1,s15_t1.0_a0.1_014.gff
15,105,N,N,2.796,3.311,1.0,0.1,s15_t1.0_a0.1_015.gff
16,2775,N,N,7.285,8.638,1.0,0.1,s15_t1.0_a0.1_016.gff
17,213,N,N,3.125,8.042,1.0,0.1,s15_t1.0_a0.1_017.gff
18,32,N,N,2.649,11.187,1.0,0.1,s15_t1.0_a0.1_018.gff
19,35,N,N,2.613,12.569,1.0,0.1,s15_t1.0_a0.1_019.gff
20,280,N,N,3.233,6.021,1.0,0.1,s15_t1.0_a0.1_020.gff
21,1435,N,N,5.825,4.471,1.0,0.1,s15_t1.0_a0.1_021.gff
22,122,N,N,2.807,1.860,1.0,0.1,s15_t1.0_a0.1_022.gff
23,35,N,N,2.581,1.513,1.0,0.1,s15_t1.0_a0.1_023.gff
24,305,N,N,3.274,1.726,1.0,0.1,s15_t1.0_a0.1_024.gff
25,55,N,N,2.726,12.142,1.0,0.1,s15_t1.0_a0.1_025.gff
26,34,N,N,2.596,4.322,1.0,0.1,s15_t1.0_a0.1_026.gff
27,148,N,N,2.916,1.626,1.0,0.1,s15_t1.0_a0.1_027.gff
28,204,N,N,3.187,4.735,1.0,0.1,s15_t1.0_a0.1_028.gff
29,688,N,N,3.997,6.153,1.0,0.1,s15_t1.0_a0.1_029.gff
30,3879,N,N,9.261,8.507,1.0,0.1,s15_t1.0_a0.1_030.gff
31,261,N,N,3.243,14.696,1.0,0.1,s15_t1.0_a0.1_031.gff
32,70,N,N,2.690,3.652,1.0,0.1,s15_t1.0_a0.1_032.gff
33,244,N,N,3.207,9.975,1.0,0.1,s15_t1.0_a0.1_033.gff
34,772,N,N,4.127,6.271,1.0,0.1,s15_t1.0_a0.1_034.gff
35,1339,N,N,5.665,7.795,1.0,0.1,s15_t1.0_a0.1_035.gff
36,2308,N,N,7.046,5.655,1.0,0.1,s15_t1.0_a0.1_036.gff
37,65,N,N,2.715,5.837,1.0,0.1,s15_t1.0_a0.1_037.gff
38,668,N,N,3.999,15.233,1.0,0.1,s15_t1.0_a0.1_038.gff
39,30,N,N,2.608,4.427,1.0,0.1,s15_t1.0_a0.1_039.gff
40,60,N,N,2.710,11.792,1.0,0.1,s15_t1.0_a0.1_040.gff
41,65,N,N,2.662,3.210,1.0,0.1,s15_t1.0_a0.1_041.gff
42,89,N,N,2.779,8.535,1.0,0.1,s15_t1.0_a0.1_042.gff
43,190,N,N,3.119,12.533,1.0,0.1,s15_t1.0_a0.1_043.gff
44,2541,N,N,6.753,6.584,1.0,0.1,s15_t1.0_a0.1_044.gff
45,1366,N,N,5.550,8.386,1.0,0.1,s15_t1.0_a0.1_045.gff
46,682,N,N,4.025,7.510,1.0,0.1,s15_t1.0_a0.1_046.gff
47,266,N,N,3.278,6.365,1.0,0.1,s15_t1.0_a0.1_047.gff
48,83,N,N,2.768,7.420,1.0,0.1,s15_t1.0_a0.1_048.gff
49,465,N,N,3.484,7.867,1.0,0.1,s15_t1.0_a0.1_049.gff
50,266,N,N,3.207,3.855,1.0,0.1,s15_t1.0_a0.1_050.gff
51,16,N,N,2.550,9.024,1.0,0.1,s15_t1.0_a0.1_051.gff
52,73,N,N,2.746,3.677,1.0,0.1,s15_t1.0_a0.1_052.gff
53,196,N,N,3.127,6.687,1.0,0.1,s15_t1.0_a0.1_053.gff
54,26,N,N,2.593,6.382,1.0,0.1,s15_t1.0_a0.1_054.gff
55,225,N,N,3.138,10.321,1.0,0.1,s15_t1.0_a0.1_055.gff
56,348,N,N,3.406,9.847,1.0,0.1,s15_t1.0_a0.1_056.gff
57,526,N,N,3.765,4.953,1.0,0.1,s15_t1.0_a0.1_057.gff
58,3545,N,N,8.348,7.221,1.0,0.1,s15_t1.0_a0.1_058.gff
59,137,N,N,2.953,11.036,1.0,0.1,s15_t1.0_a0.1_059.gff
60,89,N,N,2.763,14.066,1.0,0.1,s15_t1.0_a0.1_060.gff
61,118,N,N,2.874,4.826,1.0,0.1,s15_t1.0_a0.1_061.gff
62,2352,N,N,7.714,7.646,1.0,0.1,s15_t1.0_a0.1_062.gff
63,223,N,N,3.088,4.824,1.0,0.1,s15_t1.0_a0.1_063.gff
64,445,N,N,3.449,3.781,1.0,0.1,s15_t1.0_a0.1_064.gff
65,1233,N,N,5.568,9.428,1.0,0.1,s15_t1.0_a0.1_065.gff
66,4,N,N,2.498,9.225,1.0,0.1,s15_t1.0_a0.1_066.gff
67,329,N,N,3.367,13.212,1.0,0.1,s15_t1.0_a0.1_067.gff
68,85,N,N,2.775,8.186,1.0,0.1,s15_t1.0_a0.1_068.gff
69,686,N,N,4.043,7.691,1.0,0.1,s15_t1.0_a0.1_069.gff
70,47,N,N,2.629,2.682,1.0,0.1,s15_t1.0_a0.1_070.gff
71,28,N,N,2.609,8.699,1.0,0.1,s15_t1.0_a0.1_071.gff
72,66,N,N,2.666,2.691,1.0,0.1,s15_t1.0_a0.1_072.gff
73,1969,N,N,6.468,7.566,1.0,0.1,s15_t1.0_a0.1_073.gff
74,144,N,N,2.903,5.749,1.0,0.1,s15_t1.0_a0.1_074.gff
75,82,N,N,2.757,6.121,1.0,0.1,s15_t1.0_a0.1_075.gff
76,4045,N,N,9.244,9.282,1.0,0.1,s15_t1.0_a0.1_076.gff
77,183,N,N,3.066,5.224,1.0,0.1,s15_t1.0_a0.1_077.gff
78,1885,N,N,6.119,3.078,1.0,0.1,s15_t1.0_a0.1_078.gff
79,44,N,N,2.696,7.839,1.0,0.1,s15_t1.0_a0.1_079.gff
80,495,N,N,3.706,12.158,1.0,0.1,s15_t1.0_a0.1_080.gff
81,247,N,N,3.145,7.738,1.0,0.1,s15_t1.0_a0.1_081.gff
82,1218,N,N,5.225,10.433,1.0,0.1,s15_t1.0_a0.1_082.gff
83,245,N,N,3.228,13.550,1.0,0.1,s15_t1.0_a0.1_083.gff
84,232,N,N,3.095,4.135,1.0,0.1,s15_t1.0_a0.1_084.gff
85,2589,N,N,7.721,11.879,1.0,0.1,s15_t1.0_a0.1_085.gff
86,58,N,N,2.593,2.945,1.0,0.1,s15_t1.0_a0.1_086.gff
87,57,N,N,2.675,5.904,1.0,0.1,s15_t1.0_a0.1_087.gff
88,192,N,N,3.028,2.377,1.0,0.1,s15_t1.0_a0.1_088.gff
89,1373,N,N,5.624,2.830,1.0,0.1,s15_t1.0_a0.1_089.gff
90,131,N,N,2.883,9.980,1.0,0.1,s15_t1.0_a0.1_090.gff
91,1242,N,N,5.473,8.271,1.0,0.1,s15_t1.0_a0.1_091.gff
92,261,N,N,3.087,5.744,1.0,0.1,s15_t1.0_a0.1_092.gff
93,521,N,N,3.832,6.032,1.0,0.1,s15_t1.0_a0.1_093.gff
94,3229,N,N,8.452,8.600,1.0,0.1,s15_t1.0_a0.1_094.gff
95,725,N,N,3.995,6.227,1.0,0.1,s15_t1.0_a0.1_095.gff
96,78,N,N,2.720,2.728,1.0,0.1,s15_t1.0_a0.1_096.gff
97,6,N,N,2.543,3.287,1.0,0.1,s15_t1.0_a0.1_097.gff
98,428,N,N,3.452,2.726,1.0,0.1,s15_t1.0_a0.1_098.gff
99,60,N,N,2.677,4.423,1.0,0.1,s15_t1.0_a0.1_099.gff
100,85,N,N,2.704,9.509,1.0,0.1,s15_t1.0_a0.1_100.gff
101,116,N,N,2.821,1.613,1.0,0.2,s15_t1.0_a0.2_001.gff
102,392,N,N,3.406,2.105,1.0,0.2,s15_t1.0_a0.2_002.gff
103,17,N,N,2.548,2.956,1.0,0.2,s15_t1.0_a0.2_003.gff
104,426,N,N,3.478,3.574,1.0,0.2,s15_t1.0_a0.2_004.gff
105,369,N,N,3.326,1.988,1.0,0.2,s15_t1.0_a0.2_005.gff
106,62,N,N,2.698,3.987,1.0,0.2,s15_t1.0_a0.2_006.gff
107,50,N,N,2.679,6.449,1.0,0.2,s15_t1.0_a0.2_007.gff
108,275,N,N,3.179,5.032,1.0,0.2,s15_t1.0_a0.2_008.gff
109,90,N,N,2.769,5.203,1.0,0.2,s15_t1.0_a0.2_009.gff
110,54,N,N,2.621,5.367,1.0,0.2,s15_t1.0_a0.2_010.gff
111,155,N,N,2.998,2.647,1.0,0.2,s15_t1.0_a0.2_011.gff
112,5026,N,N,10.955,8.936,1.0,0.2,s15_t1.0_a0.2_012.gff
113,21,N,N,2.572,3.105,1.0,0.2,s15_t1.0_a0.2_013.gff
114,38,N,N,2.596,1.659,1.0,0.2,s15_t1.0_a0.2_014.gff
115,442,N,N,3.479,3.907,1.0,0.2,s15_t1.0_a0.2_015.gff
116,199,N,N,3.024,1.795,1.0,0.2,s15_t1.0_a0.2_016.gff
117,204,N,N,3.078,3.368,1.0,0.2,s15_t1.0_a0.2_017.gff
118,2689,N,N,7.360,7.741,1.0,0.2,s15_t1.0_a0.2_018.gff
119,90,N,N,2.769,2.992,1.0,0.2,s15_t1.0_a0.2_019.gff
