# Starting date:             2015-05-16 16:32:19
# Cluster job name:          fribourg.m1.m2.goal
# Cluster job ID:            7369704
# Cluster node:              hnode03
# Cluster queue:             mpi.q
# GOAL command:              complement -m fribourg -m1 -m2
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
id,states,timeout,memout,cpu_time,real_time,dt,da,file
1,805,N,N,3.775,5.169,1.0,0.1,s15_t1.0_a0.1_001.gff
2,451,N,N,3.271,6.188,1.0,0.1,s15_t1.0_a0.1_002.gff
3,32,N,N,2.430,3.460,1.0,0.1,s15_t1.0_a0.1_003.gff
4,1010,N,N,3.987,6.711,1.0,0.1,s15_t1.0_a0.1_004.gff
5,1810,N,N,5.360,8.235,1.0,0.1,s15_t1.0_a0.1_005.gff
6,74,N,N,2.436,8.116,1.0,0.1,s15_t1.0_a0.1_006.gff
7,483,N,N,3.397,7.477,1.0,0.1,s15_t1.0_a0.1_007.gff
8,99,N,N,2.407,2.792,1.0,0.1,s15_t1.0_a0.1_008.gff
9,328,N,N,3.033,5.240,1.0,0.1,s15_t1.0_a0.1_009.gff
10,218,N,N,2.848,3.796,1.0,0.1,s15_t1.0_a0.1_010.gff
11,58,N,N,2.320,2.372,1.0,0.1,s15_t1.0_a0.1_011.gff
12,127,N,N,2.660,1.487,1.0,0.1,s15_t1.0_a0.1_012.gff
13,20,N,N,2.378,6.613,1.0,0.1,s15_t1.0_a0.1_013.gff
14,350,N,N,3.003,1.641,1.0,0.1,s15_t1.0_a0.1_014.gff
15,104,N,N,2.534,2.519,1.0,0.1,s15_t1.0_a0.1_015.gff
16,2672,N,N,7.064,9.223,1.0,0.1,s15_t1.0_a0.1_016.gff
17,205,N,N,2.754,10.077,1.0,0.1,s15_t1.0_a0.1_017.gff
18,32,N,N,2.271,3.059,1.0,0.1,s15_t1.0_a0.1_018.gff
19,35,N,N,2.401,18.898,1.0,0.1,s15_t1.0_a0.1_019.gff
20,260,N,N,2.929,10.092,1.0,0.1,s15_t1.0_a0.1_020.gff
21,1377,N,N,4.981,3.911,1.0,0.1,s15_t1.0_a0.1_021.gff
22,118,N,N,2.666,5.244,1.0,0.1,s15_t1.0_a0.1_022.gff
23,34,N,N,2.350,8.490,1.0,0.1,s15_t1.0_a0.1_023.gff
24,305,N,N,3.074,1.927,1.0,0.1,s15_t1.0_a0.1_024.gff
25,50,N,N,2.427,1.294,1.0,0.1,s15_t1.0_a0.1_025.gff
26,34,N,N,2.394,10.870,1.0,0.1,s15_t1.0_a0.1_026.gff
27,147,N,N,2.690,5.218,1.0,0.1,s15_t1.0_a0.1_027.gff
28,192,N,N,2.772,5.213,1.0,0.1,s15_t1.0_a0.1_028.gff
29,669,N,N,3.545,5.816,1.0,0.1,s15_t1.0_a0.1_029.gff
30,3507,N,N,8.654,15.398,1.0,0.1,s15_t1.0_a0.1_030.gff
31,261,N,N,2.951,11.440,1.0,0.1,s15_t1.0_a0.1_031.gff
32,69,N,N,2.441,4.193,1.0,0.1,s15_t1.0_a0.1_032.gff
33,236,N,N,2.712,3.691,1.0,0.1,s15_t1.0_a0.1_033.gff
34,705,N,N,3.669,12.017,1.0,0.1,s15_t1.0_a0.1_034.gff
35,1233,N,N,4.684,19.565,1.0,0.1,s15_t1.0_a0.1_035.gff
36,2281,N,N,5.840,7.755,1.0,0.1,s15_t1.0_a0.1_036.gff
37,63,N,N,2.479,7.848,1.0,0.1,s15_t1.0_a0.1_037.gff
38,636,N,N,3.643,6.611,1.0,0.1,s15_t1.0_a0.1_038.gff
39,30,N,N,2.321,4.715,1.0,0.1,s15_t1.0_a0.1_039.gff
40,59,N,N,2.505,14.350,1.0,0.1,s15_t1.0_a0.1_040.gff
41,65,N,N,2.448,6.227,1.0,0.1,s15_t1.0_a0.1_041.gff
42,89,N,N,2.547,10.783,1.0,0.1,s15_t1.0_a0.1_042.gff
43,190,N,N,2.789,1.509,1.0,0.1,s15_t1.0_a0.1_043.gff
44,2411,N,N,5.938,10.317,1.0,0.1,s15_t1.0_a0.1_044.gff
45,1354,N,N,4.807,7.078,1.0,0.1,s15_t1.0_a0.1_045.gff
46,672,N,N,3.613,5.076,1.0,0.1,s15_t1.0_a0.1_046.gff
47,266,N,N,3.051,10.747,1.0,0.1,s15_t1.0_a0.1_047.gff
48,83,N,N,2.518,1.360,1.0,0.1,s15_t1.0_a0.1_048.gff
49,456,N,N,3.159,8.125,1.0,0.1,s15_t1.0_a0.1_049.gff
50,252,N,N,2.862,2.099,1.0,0.1,s15_t1.0_a0.1_050.gff
51,16,N,N,2.333,1.757,1.0,0.1,s15_t1.0_a0.1_051.gff
52,72,N,N,2.406,5.438,1.0,0.1,s15_t1.0_a0.1_052.gff
53,182,N,N,2.813,5.849,1.0,0.1,s15_t1.0_a0.1_053.gff
54,26,N,N,2.327,5.277,1.0,0.1,s15_t1.0_a0.1_054.gff
55,215,N,N,2.926,12.992,1.0,0.1,s15_t1.0_a0.1_055.gff
56,327,N,N,2.845,2.143,1.0,0.1,s15_t1.0_a0.1_056.gff
57,468,N,N,3.229,9.518,1.0,0.1,s15_t1.0_a0.1_057.gff
58,3241,N,N,7.648,15.887,1.0,0.1,s15_t1.0_a0.1_058.gff
59,129,N,N,2.596,6.432,1.0,0.1,s15_t1.0_a0.1_059.gff
60,89,N,N,2.456,7.095,1.0,0.1,s15_t1.0_a0.1_060.gff
61,118,N,N,2.547,4.272,1.0,0.1,s15_t1.0_a0.1_061.gff
62,2183,N,N,5.863,7.526,1.0,0.1,s15_t1.0_a0.1_062.gff
63,210,N,N,2.851,4.498,1.0,0.1,s15_t1.0_a0.1_063.gff
64,432,N,N,3.086,1.675,1.0,0.1,s15_t1.0_a0.1_064.gff
65,1174,N,N,4.589,11.706,1.0,0.1,s15_t1.0_a0.1_065.gff
66,4,N,N,2.276,1.234,1.0,0.1,s15_t1.0_a0.1_066.gff
67,321,N,N,3.058,6.931,1.0,0.1,s15_t1.0_a0.1_067.gff
68,83,N,N,2.478,6.385,1.0,0.1,s15_t1.0_a0.1_068.gff
69,677,N,N,3.622,7.342,1.0,0.1,s15_t1.0_a0.1_069.gff
70,47,N,N,2.385,8.422,1.0,0.1,s15_t1.0_a0.1_070.gff
71,28,N,N,2.361,7.347,1.0,0.1,s15_t1.0_a0.1_071.gff
72,66,N,N,2.526,3.026,1.0,0.1,s15_t1.0_a0.1_072.gff
73,1943,N,N,5.532,5.448,1.0,0.1,s15_t1.0_a0.1_073.gff
74,141,N,N,2.573,5.638,1.0,0.1,s15_t1.0_a0.1_074.gff
75,82,N,N,2.486,1.350,1.0,0.1,s15_t1.0_a0.1_075.gff
76,3630,N,N,9.150,8.044,1.0,0.1,s15_t1.0_a0.1_076.gff
77,166,N,N,2.733,10.200,1.0,0.1,s15_t1.0_a0.1_077.gff
78,1698,N,N,5.234,6.930,1.0,0.1,s15_t1.0_a0.1_078.gff
79,42,N,N,2.404,9.567,1.0,0.1,s15_t1.0_a0.1_079.gff
80,481,N,N,3.237,7.727,1.0,0.1,s15_t1.0_a0.1_080.gff
81,233,N,N,2.886,1.977,1.0,0.1,s15_t1.0_a0.1_081.gff
82,1189,N,N,4.640,2.312,1.0,0.1,s15_t1.0_a0.1_082.gff
83,242,N,N,2.989,19.555,1.0,0.1,s15_t1.0_a0.1_083.gff
84,216,N,N,2.782,7.122,1.0,0.1,s15_t1.0_a0.1_084.gff
85,2545,N,N,6.442,17.762,1.0,0.1,s15_t1.0_a0.1_085.gff
86,53,N,N,2.372,13.366,1.0,0.1,s15_t1.0_a0.1_086.gff
87,57,N,N,2.454,10.611,1.0,0.1,s15_t1.0_a0.1_087.gff
88,171,N,N,2.727,1.885,1.0,0.1,s15_t1.0_a0.1_088.gff
89,1302,N,N,4.650,2.461,1.0,0.1,s15_t1.0_a0.1_089.gff
90,130,N,N,2.529,1.396,1.0,0.1,s15_t1.0_a0.1_090.gff
91,1244,N,N,4.755,9.682,1.0,0.1,s15_t1.0_a0.1_091.gff
92,250,N,N,2.912,5.061,1.0,0.1,s15_t1.0_a0.1_092.gff
93,520,N,N,3.525,4.400,1.0,0.1,s15_t1.0_a0.1_093.gff
94,3256,N,N,8.048,7.744,1.0,0.1,s15_t1.0_a0.1_094.gff
95,682,N,N,3.531,6.630,1.0,0.1,s15_t1.0_a0.1_095.gff
96,78,N,N,2.489,10.842,1.0,0.1,s15_t1.0_a0.1_096.gff
97,6,N,N,2.309,3.163,1.0,0.1,s15_t1.0_a0.1_097.gff
98,406,N,N,3.108,1.682,1.0,0.1,s15_t1.0_a0.1_098.gff
99,60,N,N,2.419,5.924,1.0,0.1,s15_t1.0_a0.1_099.gff
100,82,N,N,2.445,1.354,1.0,0.1,s15_t1.0_a0.1_100.gff
101,112,N,N,2.527,7.762,1.0,0.2,s15_t1.0_a0.2_001.gff
102,386,N,N,3.105,1.907,1.0,0.2,s15_t1.0_a0.2_002.gff
103,17,N,N,2.381,4.117,1.0,0.2,s15_t1.0_a0.2_003.gff
104,403,N,N,3.196,3.019,1.0,0.2,s15_t1.0_a0.2_004.gff
105,354,N,N,3.065,1.930,1.0,0.2,s15_t1.0_a0.2_005.gff
106,58,N,N,2.422,1.298,1.0,0.2,s15_t1.0_a0.2_006.gff
107,50,N,N,2.384,3.270,1.0,0.2,s15_t1.0_a0.2_007.gff
108,263,N,N,2.932,1.709,1.0,0.2,s15_t1.0_a0.2_008.gff
109,90,N,N,2.549,10.112,1.0,0.2,s15_t1.0_a0.2_009.gff
110,51,N,N,2.371,5.385,1.0,0.2,s15_t1.0_a0.2_010.gff
111,155,N,N,2.729,3.176,1.0,0.2,s15_t1.0_a0.2_011.gff
112,4857,N,N,11.195,6.651,1.0,0.2,s15_t1.0_a0.2_012.gff
113,21,N,N,2.308,2.514,1.0,0.2,s15_t1.0_a0.2_013.gff
