# Starting date:             2015-05-16 16:32:19
# Cluster job name:          fribourg.m1.r2c.goal
# Cluster job ID:            7369705
# Cluster node:              hnode03
# Cluster queue:             mpi.q
# GOAL command:              complement -m fribourg -m1 -r2c
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
id,states,timeout,memout,cpu_time,real_time,dt,da,file
1,838,N,N,3.841,5.541,1.0,0.1,s15_t1.0_a0.1_001.gff
2,469,N,N,3.383,5.984,1.0,0.1,s15_t1.0_a0.1_002.gff
3,32,N,N,2.396,4.119,1.0,0.1,s15_t1.0_a0.1_003.gff
4,1072,N,N,4.050,5.974,1.0,0.1,s15_t1.0_a0.1_004.gff
5,1887,N,N,5.589,4.462,1.0,0.1,s15_t1.0_a0.1_005.gff
6,74,N,N,2.426,10.567,1.0,0.1,s15_t1.0_a0.1_006.gff
7,504,N,N,3.330,4.068,1.0,0.1,s15_t1.0_a0.1_007.gff
8,100,N,N,2.466,6.208,1.0,0.1,s15_t1.0_a0.1_008.gff
9,353,N,N,3.095,4.084,1.0,0.1,s15_t1.0_a0.1_009.gff
10,225,N,N,2.857,4.198,1.0,0.1,s15_t1.0_a0.1_010.gff
11,59,N,N,2.411,3.119,1.0,0.1,s15_t1.0_a0.1_011.gff
12,131,N,N,2.702,1.489,1.0,0.1,s15_t1.0_a0.1_012.gff
13,20,N,N,2.358,6.692,1.0,0.1,s15_t1.0_a0.1_013.gff
14,356,N,N,3.013,2.741,1.0,0.1,s15_t1.0_a0.1_014.gff
15,105,N,N,2.477,7.127,1.0,0.1,s15_t1.0_a0.1_015.gff
16,2775,N,N,6.652,4.047,1.0,0.1,s15_t1.0_a0.1_016.gff
17,213,N,N,2.712,5.237,1.0,0.1,s15_t1.0_a0.1_017.gff
18,32,N,N,2.348,6.983,1.0,0.1,s15_t1.0_a0.1_018.gff
19,35,N,N,2.444,18.202,1.0,0.1,s15_t1.0_a0.1_019.gff
20,280,N,N,2.949,8.694,1.0,0.1,s15_t1.0_a0.1_020.gff
21,1435,N,N,5.253,6.422,1.0,0.1,s15_t1.0_a0.1_021.gff
22,122,N,N,2.657,5.062,1.0,0.1,s15_t1.0_a0.1_022.gff
23,35,N,N,2.410,10.127,1.0,0.1,s15_t1.0_a0.1_023.gff
24,305,N,N,3.017,1.623,1.0,0.1,s15_t1.0_a0.1_024.gff
25,55,N,N,2.421,10.969,1.0,0.1,s15_t1.0_a0.1_025.gff
26,34,N,N,2.346,4.429,1.0,0.1,s15_t1.0_a0.1_026.gff
27,148,N,N,2.577,4.426,1.0,0.1,s15_t1.0_a0.1_027.gff
28,204,N,N,2.725,3.868,1.0,0.1,s15_t1.0_a0.1_028.gff
29,688,N,N,3.561,16.378,1.0,0.1,s15_t1.0_a0.1_029.gff
30,3879,N,N,8.142,16.566,1.0,0.1,s15_t1.0_a0.1_030.gff
31,261,N,N,2.874,5.788,1.0,0.1,s15_t1.0_a0.1_031.gff
32,70,N,N,2.425,10.230,1.0,0.1,s15_t1.0_a0.1_032.gff
33,244,N,N,2.896,9.522,1.0,0.1,s15_t1.0_a0.1_033.gff
34,772,N,N,3.585,16.138,1.0,0.1,s15_t1.0_a0.1_034.gff
35,1339,N,N,5.128,3.737,1.0,0.1,s15_t1.0_a0.1_035.gff
36,2308,N,N,6.782,12.212,1.0,0.1,s15_t1.0_a0.1_036.gff
37,65,N,N,2.397,3.150,1.0,0.1,s15_t1.0_a0.1_037.gff
38,668,N,N,3.565,3.625,1.0,0.1,s15_t1.0_a0.1_038.gff
39,30,N,N,2.365,13.637,1.0,0.1,s15_t1.0_a0.1_039.gff
40,60,N,N,2.472,6.908,1.0,0.1,s15_t1.0_a0.1_040.gff
41,65,N,N,2.393,8.404,1.0,0.1,s15_t1.0_a0.1_041.gff
42,89,N,N,2.481,1.821,1.0,0.1,s15_t1.0_a0.1_042.gff
43,190,N,N,2.837,10.018,1.0,0.1,s15_t1.0_a0.1_043.gff
44,2541,N,N,5.845,6.775,1.0,0.1,s15_t1.0_a0.1_044.gff
45,1366,N,N,4.778,7.536,1.0,0.1,s15_t1.0_a0.1_045.gff
46,682,N,N,3.646,10.302,1.0,0.1,s15_t1.0_a0.1_046.gff
47,266,N,N,2.959,1.587,1.0,0.1,s15_t1.0_a0.1_047.gff
48,83,N,N,2.590,10.415,1.0,0.1,s15_t1.0_a0.1_048.gff
49,465,N,N,3.131,4.909,1.0,0.1,s15_t1.0_a0.1_049.gff
50,266,N,N,2.888,2.369,1.0,0.1,s15_t1.0_a0.1_050.gff
51,16,N,N,2.274,5.140,1.0,0.1,s15_t1.0_a0.1_051.gff
52,73,N,N,2.475,5.326,1.0,0.1,s15_t1.0_a0.1_052.gff
53,196,N,N,2.827,11.834,1.0,0.1,s15_t1.0_a0.1_053.gff
54,26,N,N,2.269,3.518,1.0,0.1,s15_t1.0_a0.1_054.gff
55,225,N,N,2.866,8.208,1.0,0.1,s15_t1.0_a0.1_055.gff
56,348,N,N,3.040,1.650,1.0,0.1,s15_t1.0_a0.1_056.gff
57,526,N,N,3.382,12.561,1.0,0.1,s15_t1.0_a0.1_057.gff
58,3545,N,N,8.008,12.131,1.0,0.1,s15_t1.0_a0.1_058.gff
59,137,N,N,2.633,8.607,1.0,0.1,s15_t1.0_a0.1_059.gff
60,89,N,N,2.489,5.244,1.0,0.1,s15_t1.0_a0.1_060.gff
61,118,N,N,2.623,5.366,1.0,0.1,s15_t1.0_a0.1_061.gff
62,2352,N,N,6.168,4.740,1.0,0.1,s15_t1.0_a0.1_062.gff
63,223,N,N,2.760,9.265,1.0,0.1,s15_t1.0_a0.1_063.gff
64,445,N,N,3.120,1.708,1.0,0.1,s15_t1.0_a0.1_064.gff
