# Starting date:             2015-05-16 16:32:19
# Cluster job name:          fribourg.m1.r2c.macc.r.goal
# Cluster job ID:            7369706
# Cluster node:              hnode03
# Cluster queue:             mpi.q
# GOAL command:              complement -m fribourg -m1 -r2c -macc -r
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
id,states,timeout,memout,cpu_time,real_time,dt,da,file
1,717,N,N,3.897,5.594,1.0,0.1,s15_t1.0_a0.1_001.gff
2,354,N,N,3.311,5.810,1.0,0.1,s15_t1.0_a0.1_002.gff
3,38,N,N,2.418,3.437,1.0,0.1,s15_t1.0_a0.1_003.gff
4,750,N,N,3.960,6.727,1.0,0.1,s15_t1.0_a0.1_004.gff
5,1552,N,N,5.905,8.367,1.0,0.1,s15_t1.0_a0.1_005.gff
6,41,N,N,2.426,7.950,1.0,0.1,s15_t1.0_a0.1_006.gff
7,120,N,N,3.039,6.878,1.0,0.1,s15_t1.0_a0.1_007.gff
8,56,N,N,2.479,3.642,1.0,0.1,s15_t1.0_a0.1_008.gff
9,349,N,N,3.255,5.095,1.0,0.1,s15_t1.0_a0.1_009.gff
10,153,N,N,2.787,3.695,1.0,0.1,s15_t1.0_a0.1_010.gff
11,60,N,N,2.447,2.418,1.0,0.1,s15_t1.0_a0.1_011.gff
12,172,N,N,2.721,1.535,1.0,0.1,s15_t1.0_a0.1_012.gff
13,18,N,N,2.374,6.549,1.0,0.1,s15_t1.0_a0.1_013.gff
14,315,N,N,3.102,1.691,1.0,0.1,s15_t1.0_a0.1_014.gff
15,76,N,N,2.563,2.592,1.0,0.1,s15_t1.0_a0.1_015.gff
16,1449,N,N,6.799,9.050,1.0,0.1,s15_t1.0_a0.1_016.gff
17,82,N,N,2.635,6.617,1.0,0.1,s15_t1.0_a0.1_017.gff
18,34,N,N,2.363,5.935,1.0,0.1,s15_t1.0_a0.1_018.gff
19,17,N,N,2.394,19.137,1.0,0.1,s15_t1.0_a0.1_019.gff
20,233,N,N,3.011,10.510,1.0,0.1,s15_t1.0_a0.1_020.gff
21,996,N,N,5.471,4.101,1.0,0.1,s15_t1.0_a0.1_021.gff
22,118,N,N,2.720,5.018,1.0,0.1,s15_t1.0_a0.1_022.gff
23,22,N,N,2.356,8.860,1.0,0.1,s15_t1.0_a0.1_023.gff
24,72,N,N,2.635,1.455,1.0,0.1,s15_t1.0_a0.1_024.gff
25,57,N,N,2.458,1.337,1.0,0.1,s15_t1.0_a0.1_025.gff
26,35,N,N,2.433,11.990,1.0,0.1,s15_t1.0_a0.1_026.gff
27,115,N,N,2.652,9.241,1.0,0.1,s15_t1.0_a0.1_027.gff
28,162,N,N,2.738,5.584,1.0,0.1,s15_t1.0_a0.1_028.gff
29,75,N,N,2.628,18.467,1.0,0.1,s15_t1.0_a0.1_029.gff
30,2928,N,N,8.895,11.849,1.0,0.1,s15_t1.0_a0.1_030.gff
31,233,N,N,2.985,6.751,1.0,0.1,s15_t1.0_a0.1_031.gff
32,56,N,N,2.408,9.498,1.0,0.1,s15_t1.0_a0.1_032.gff
33,196,N,N,2.865,8.099,1.0,0.1,s15_t1.0_a0.1_033.gff
34,454,N,N,3.411,15.643,1.0,0.1,s15_t1.0_a0.1_034.gff
35,1013,N,N,4.990,3.461,1.0,0.1,s15_t1.0_a0.1_035.gff
36,2027,N,N,7.330,10.115,1.0,0.1,s15_t1.0_a0.1_036.gff
37,25,N,N,2.356,5.337,1.0,0.1,s15_t1.0_a0.1_037.gff
38,532,N,N,3.556,4.947,1.0,0.1,s15_t1.0_a0.1_038.gff
39,26,N,N,2.400,13.700,1.0,0.1,s15_t1.0_a0.1_039.gff
40,17,N,N,2.425,6.241,1.0,0.1,s15_t1.0_a0.1_040.gff
41,64,N,N,2.493,8.994,1.0,0.1,s15_t1.0_a0.1_041.gff
42,69,N,N,2.493,1.921,1.0,0.1,s15_t1.0_a0.1_042.gff
43,201,N,N,2.828,8.592,1.0,0.1,s15_t1.0_a0.1_043.gff
44,1781,N,N,6.716,3.657,1.0,0.1,s15_t1.0_a0.1_044.gff
45,308,N,N,3.564,6.087,1.0,0.1,s15_t1.0_a0.1_045.gff
46,507,N,N,3.601,5.499,1.0,0.1,s15_t1.0_a0.1_046.gff
47,276,N,N,3.130,10.667,1.0,0.1,s15_t1.0_a0.1_047.gff
48,95,N,N,2.591,1.394,1.0,0.1,s15_t1.0_a0.1_048.gff
49,193,N,N,3.013,8.348,1.0,0.1,s15_t1.0_a0.1_049.gff
