# Starting date:             2015-05-16 16:32:19
# Cluster job name:          fribourg.r2c.c.goal
# Cluster job ID:            7369707
# Cluster node:              hnode03
# Cluster queue:             mpi.q
# GOAL command:              complement -m fribourg -r2c -c
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
id,states,timeout,memout,cpu_time,real_time,dt,da,file
1,2297,N,N,6.107,6.282,1.0,0.1,s15_t1.0_a0.1_001.gff
2,1101,N,N,4.702,5.598,1.0,0.1,s15_t1.0_a0.1_002.gff
3,49,N,N,2.358,2.976,1.0,0.1,s15_t1.0_a0.1_003.gff
4,2729,N,N,6.492,8.039,1.0,0.1,s15_t1.0_a0.1_004.gff
5,4160,N,N,7.984,12.911,1.0,0.1,s15_t1.0_a0.1_005.gff
6,114,N,N,2.553,2.514,1.0,0.1,s15_t1.0_a0.1_006.gff
7,1279,N,N,4.962,9.917,1.0,0.1,s15_t1.0_a0.1_007.gff
8,175,N,N,2.712,3.175,1.0,0.1,s15_t1.0_a0.1_008.gff
9,711,N,N,3.561,4.199,1.0,0.1,s15_t1.0_a0.1_009.gff
10,517,N,N,3.355,3.737,1.0,0.1,s15_t1.0_a0.1_010.gff
11,79,N,N,2.512,1.365,1.0,0.1,s15_t1.0_a0.1_011.gff
12,129,N,N,2.722,10.423,1.0,0.1,s15_t1.0_a0.1_012.gff
13,25,N,N,2.337,7.050,1.0,0.1,s15_t1.0_a0.1_013.gff
14,500,N,N,3.449,8.363,1.0,0.1,s15_t1.0_a0.1_014.gff
15,147,N,N,2.722,6.921,1.0,0.1,s15_t1.0_a0.1_015.gff
16,10667,N,N,21.311,31.821,1.0,0.1,s15_t1.0_a0.1_016.gff
17,426,N,N,3.216,6.358,1.0,0.1,s15_t1.0_a0.1_017.gff
18,43,N,N,2.424,8.651,1.0,0.1,s15_t1.0_a0.1_018.gff
19,42,N,N,2.399,1.558,1.0,0.1,s15_t1.0_a0.1_019.gff
20,402,N,N,3.205,1.733,1.0,0.1,s15_t1.0_a0.1_020.gff
21,4021,N,N,8.068,13.220,1.0,0.1,s15_t1.0_a0.1_021.gff
22,253,N,N,2.803,3.792,1.0,0.1,s15_t1.0_a0.1_022.gff
23,57,N,N,2.386,5.053,1.0,0.1,s15_t1.0_a0.1_023.gff
24,896,N,N,3.651,17.984,1.0,0.1,s15_t1.0_a0.1_024.gff
25,90,N,N,2.527,13.163,1.0,0.1,s15_t1.0_a0.1_025.gff
26,37,N,N,2.417,6.939,1.0,0.1,s15_t1.0_a0.1_026.gff
27,219,N,N,2.776,2.250,1.0,0.1,s15_t1.0_a0.1_027.gff
28,337,N,N,3.087,10.410,1.0,0.1,s15_t1.0_a0.1_028.gff
29,1937,N,N,5.381,16.385,1.0,0.1,s15_t1.0_a0.1_029.gff
30,9771,N,N,18.454,19.715,1.0,0.1,s15_t1.0_a0.1_030.gff
31,457,N,N,3.332,6.519,1.0,0.1,s15_t1.0_a0.1_031.gff
32,86,N,N,2.553,5.854,1.0,0.1,s15_t1.0_a0.1_032.gff
33,350,N,N,3.113,13.661,1.0,0.1,s15_t1.0_a0.1_033.gff
34,1763,N,N,5.542,15.873,1.0,0.1,s15_t1.0_a0.1_034.gff
35,3535,N,N,7.537,4.228,1.0,0.1,s15_t1.0_a0.1_035.gff
36,7779,N,N,13.638,14.662,1.0,0.1,s15_t1.0_a0.1_036.gff
37,166,N,N,2.719,5.464,1.0,0.1,s15_t1.0_a0.1_037.gff
38,1280,N,N,4.966,9.272,1.0,0.1,s15_t1.0_a0.1_038.gff
39,39,N,N,2.337,1.642,1.0,0.1,s15_t1.0_a0.1_039.gff
40,80,N,N,2.505,1.357,1.0,0.1,s15_t1.0_a0.1_040.gff
41,80,N,N,2.518,1.362,1.0,0.1,s15_t1.0_a0.1_041.gff
42,172,N,N,2.728,7.212,1.0,0.1,s15_t1.0_a0.1_042.gff
43,312,N,N,3.099,2.547,1.0,0.1,s15_t1.0_a0.1_043.gff
44,10329,N,N,18.878,18.667,1.0,0.1,s15_t1.0_a0.1_044.gff
45,5987,N,N,11.489,17.646,1.0,0.1,s15_t1.0_a0.1_045.gff
46,2118,N,N,5.898,7.728,1.0,0.1,s15_t1.0_a0.1_046.gff
47,420,N,N,3.156,12.029,1.0,0.1,s15_t1.0_a0.1_047.gff
48,83,N,N,2.530,12.146,1.0,0.1,s15_t1.0_a0.1_048.gff
49,1328,N,N,4.859,8.892,1.0,0.1,s15_t1.0_a0.1_049.gff
50,556,N,N,3.371,6.020,1.0,0.1,s15_t1.0_a0.1_050.gff
51,29,N,N,2.461,4.787,1.0,0.1,s15_t1.0_a0.1_051.gff
52,97,N,N,2.512,2.804,1.0,0.1,s15_t1.0_a0.1_052.gff
53,528,N,N,3.463,10.319,1.0,0.1,s15_t1.0_a0.1_053.gff
54,32,N,N,2.364,1.272,1.0,0.1,s15_t1.0_a0.1_054.gff
55,379,N,N,3.138,1.681,1.0,0.1,s15_t1.0_a0.1_055.gff
56,773,N,N,3.604,5.321,1.0,0.1,s15_t1.0_a0.1_056.gff
57,736,N,N,3.682,7.306,1.0,0.1,s15_t1.0_a0.1_057.gff
58,12151,N,N,22.983,23.209,1.0,0.1,s15_t1.0_a0.1_058.gff
59,259,N,N,2.925,2.991,1.0,0.1,s15_t1.0_a0.1_059.gff
60,111,N,N,2.594,3.278,1.0,0.1,s15_t1.0_a0.1_060.gff
61,133,N,N,2.690,7.230,1.0,0.1,s15_t1.0_a0.1_061.gff
62,11902,N,N,23.499,18.432,1.0,0.1,s15_t1.0_a0.1_062.gff
63,513,N,N,3.285,2.556,1.0,0.1,s15_t1.0_a0.1_063.gff
64,1456,N,N,4.802,5.467,1.0,0.1,s15_t1.0_a0.1_064.gff
65,4027,N,N,9.449,5.248,1.0,0.1,s15_t1.0_a0.1_065.gff
66,6,N,N,2.210,4.419,1.0,0.1,s15_t1.0_a0.1_066.gff
67,872,N,N,3.743,7.926,1.0,0.1,s15_t1.0_a0.1_067.gff
68,144,N,N,2.699,1.586,1.0,0.1,s15_t1.0_a0.1_068.gff
69,961,N,N,4.579,2.236,1.0,0.1,s15_t1.0_a0.1_069.gff
70,33,N,N,2.401,16.888,1.0,0.1,s15_t1.0_a0.1_070.gff
71,17,N,N,2.271,4.338,1.0,0.1,s15_t1.0_a0.1_071.gff
72,118,N,N,2.546,18.964,1.0,0.1,s15_t1.0_a0.1_072.gff
73,7714,N,N,14.113,11.643,1.0,0.1,s15_t1.0_a0.1_073.gff
74,232,N,N,2.778,6.392,1.0,0.1,s15_t1.0_a0.1_074.gff
