# Starting date:             2015-05-16 16:32:22
# Cluster job name:          fribourg.r2c.goal
# Cluster job ID:            7369708
# Cluster node:              hnode20
# Cluster queue:             mpi.q
# GOAL command:              complement -m fribourg -r2c
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
id,states,timeout,memout,cpu_time,real_time,dt,da,file
1,1180,N,N,4.565,5.634,1.0,0.1,s15_t1.0_a0.1_001.gff
2,643,N,N,3.418,3.768,1.0,0.1,s15_t1.0_a0.1_002.gff
3,32,N,N,2.272,4.312,1.0,0.1,s15_t1.0_a0.1_003.gff
4,1401,N,N,4.929,6.208,1.0,0.1,s15_t1.0_a0.1_004.gff
5,3029,N,N,7.794,11.943,1.0,0.1,s15_t1.0_a0.1_005.gff
6,76,N,N,2.428,4.263,1.0,0.1,s15_t1.0_a0.1_006.gff
7,756,N,N,3.657,6.771,1.0,0.1,s15_t1.0_a0.1_007.gff
8,101,N,N,2.546,8.177,1.0,0.1,s15_t1.0_a0.1_008.gff
9,412,N,N,3.089,6.378,1.0,0.1,s15_t1.0_a0.1_009.gff
10,289,N,N,2.881,7.051,1.0,0.1,s15_t1.0_a0.1_010.gff
11,59,N,N,2.464,8.863,1.0,0.1,s15_t1.0_a0.1_011.gff
12,131,N,N,2.632,3.067,1.0,0.1,s15_t1.0_a0.1_012.gff
13,20,N,N,2.335,8.140,1.0,0.1,s15_t1.0_a0.1_013.gff
14,438,N,N,3.045,6.998,1.0,0.1,s15_t1.0_a0.1_014.gff
15,117,N,N,2.520,11.937,1.0,0.1,s15_t1.0_a0.1_015.gff
16,6305,N,N,12.046,19.387,1.0,0.1,s15_t1.0_a0.1_016.gff
17,241,N,N,2.818,6.563,1.0,0.1,s15_t1.0_a0.1_017.gff
18,32,N,N,2.350,8.745,1.0,0.1,s15_t1.0_a0.1_018.gff
19,35,N,N,2.379,8.317,1.0,0.1,s15_t1.0_a0.1_019.gff
20,313,N,N,2.992,7.963,1.0,0.1,s15_t1.0_a0.1_020.gff
21,2461,N,N,7.210,6.388,1.0,0.1,s15_t1.0_a0.1_021.gff
22,133,N,N,2.591,10.811,1.0,0.1,s15_t1.0_a0.1_022.gff
23,35,N,N,2.352,9.556,1.0,0.1,s15_t1.0_a0.1_023.gff
24,490,N,N,3.275,13.757,1.0,0.1,s15_t1.0_a0.1_024.gff
25,58,N,N,2.397,8.055,1.0,0.1,s15_t1.0_a0.1_025.gff
26,34,N,N,2.381,8.183,1.0,0.1,s15_t1.0_a0.1_026.gff
27,170,N,N,2.659,8.029,1.0,0.1,s15_t1.0_a0.1_027.gff
28,229,N,N,2.773,14.495,1.0,0.1,s15_t1.0_a0.1_028.gff
29,1008,N,N,3.758,7.321,1.0,0.1,s15_t1.0_a0.1_029.gff
30,6463,N,N,12.162,8.641,1.0,0.1,s15_t1.0_a0.1_030.gff
31,261,N,N,2.910,6.710,1.0,0.1,s15_t1.0_a0.1_031.gff
32,75,N,N,2.522,1.696,1.0,0.1,s15_t1.0_a0.1_032.gff
33,272,N,N,2.873,4.503,1.0,0.1,s15_t1.0_a0.1_033.gff
34,975,N,N,3.807,12.083,1.0,0.1,s15_t1.0_a0.1_034.gff
35,2045,N,N,6.034,10.020,1.0,0.1,s15_t1.0_a0.1_035.gff
36,3558,N,N,8.340,10.628,1.0,0.1,s15_t1.0_a0.1_036.gff
37,82,N,N,2.404,1.310,1.0,0.1,s15_t1.0_a0.1_037.gff
38,950,N,N,3.955,2.043,1.0,0.1,s15_t1.0_a0.1_038.gff
39,30,N,N,2.300,3.098,1.0,0.1,s15_t1.0_a0.1_039.gff
40,61,N,N,2.434,8.656,1.0,0.1,s15_t1.0_a0.1_040.gff
41,65,N,N,2.434,6.156,1.0,0.1,s15_t1.0_a0.1_041.gff
42,97,N,N,2.516,10.371,1.0,0.1,s15_t1.0_a0.1_042.gff
43,190,N,N,2.852,5.322,1.0,0.1,s15_t1.0_a0.1_043.gff
44,4155,N,N,8.691,10.816,1.0,0.1,s15_t1.0_a0.1_044.gff
45,2563,N,N,6.179,5.591,1.0,0.1,s15_t1.0_a0.1_045.gff
46,1170,N,N,3.887,7.267,1.0,0.1,s15_t1.0_a0.1_046.gff
47,305,N,N,2.998,13.185,1.0,0.1,s15_t1.0_a0.1_047.gff
48,83,N,N,2.447,6.203,1.0,0.1,s15_t1.0_a0.1_048.gff
49,633,N,N,3.458,6.352,1.0,0.1,s15_t1.0_a0.1_049.gff
50,359,N,N,3.097,4.117,1.0,0.1,s15_t1.0_a0.1_050.gff
51,16,N,N,2.356,10.117,1.0,0.1,s15_t1.0_a0.1_051.gff
52,73,N,N,2.484,18.447,1.0,0.1,s15_t1.0_a0.1_052.gff
53,266,N,N,2.919,2.327,1.0,0.1,s15_t1.0_a0.1_053.gff
54,26,N,N,2.378,8.869,1.0,0.1,s15_t1.0_a0.1_054.gff
55,261,N,N,2.821,4.418,1.0,0.1,s15_t1.0_a0.1_055.gff
56,430,N,N,3.098,9.478,1.0,0.1,s15_t1.0_a0.1_056.gff
57,655,N,N,3.508,10.469,1.0,0.1,s15_t1.0_a0.1_057.gff
58,5825,N,N,10.220,18.238,1.0,0.1,s15_t1.0_a0.1_058.gff
59,165,N,N,2.625,3.866,1.0,0.1,s15_t1.0_a0.1_059.gff
60,90,N,N,2.513,7.061,1.0,0.1,s15_t1.0_a0.1_060.gff
61,118,N,N,2.597,3.270,1.0,0.1,s15_t1.0_a0.1_061.gff
62,4736,N,N,8.766,14.340,1.0,0.1,s15_t1.0_a0.1_062.gff
63,284,N,N,2.842,3.028,1.0,0.1,s15_t1.0_a0.1_063.gff
64,613,N,N,3.432,10.305,1.0,0.1,s15_t1.0_a0.1_064.gff
65,1832,N,N,5.622,5.936,1.0,0.1,s15_t1.0_a0.1_065.gff
66,4,N,N,2.188,2.551,1.0,0.1,s15_t1.0_a0.1_066.gff
67,482,N,N,3.117,1.977,1.0,0.1,s15_t1.0_a0.1_067.gff
68,87,N,N,2.434,9.400,1.0,0.1,s15_t1.0_a0.1_068.gff
69,951,N,N,4.190,8.728,1.0,0.1,s15_t1.0_a0.1_069.gff
70,47,N,N,2.339,14.248,1.0,0.1,s15_t1.0_a0.1_070.gff
71,28,N,N,2.313,10.070,1.0,0.1,s15_t1.0_a0.1_071.gff
72,66,N,N,2.386,1.296,1.0,0.1,s15_t1.0_a0.1_072.gff
73,3783,N,N,7.708,9.631,1.0,0.1,s15_t1.0_a0.1_073.gff
74,166,N,N,2.571,9.345,1.0,0.1,s15_t1.0_a0.1_074.gff
75,91,N,N,2.480,1.908,1.0,0.1,s15_t1.0_a0.1_075.gff
76,7147,N,N,14.221,17.633,1.0,0.1,s15_t1.0_a0.1_076.gff
77,255,N,N,2.929,3.506,1.0,0.1,s15_t1.0_a0.1_077.gff
78,4044,N,N,7.522,7.244,1.0,0.1,s15_t1.0_a0.1_078.gff
79,44,N,N,2.356,8.184,1.0,0.1,s15_t1.0_a0.1_079.gff
