# Starting date:             2015-05-16 18:11:04
# Cluster job name:          universality
# Cluster job ID:            7369734
# Cluster node:              hnode21
# Cluster queue:             mpi.q
# GOAL command:              universal -m piterman -eq -ro
# Input data:                goal.tar.gz
# Memory limit (Java heap):  2G
# Timeout (CPU time):        No timeout
id,universal,dt,da,file
1,N,1.0,0.1,s15_t1.0_a0.1_001.gff
2,N,1.0,0.1,s15_t1.0_a0.1_002.gff
3,N,1.0,0.1,s15_t1.0_a0.1_003.gff
4,N,1.0,0.1,s15_t1.0_a0.1_004.gff
5,N,1.0,0.1,s15_t1.0_a0.1_005.gff
6,N,1.0,0.1,s15_t1.0_a0.1_006.gff
7,Y,1.0,0.1,s15_t1.0_a0.1_007.gff
8,N,1.0,0.1,s15_t1.0_a0.1_008.gff
9,N,1.0,0.1,s15_t1.0_a0.1_009.gff
10,N,1.0,0.1,s15_t1.0_a0.1_010.gff
11,N,1.0,0.1,s15_t1.0_a0.1_011.gff
12,N,1.0,0.1,s15_t1.0_a0.1_012.gff
13,N,1.0,0.1,s15_t1.0_a0.1_013.gff
14,N,1.0,0.1,s15_t1.0_a0.1_014.gff
15,N,1.0,0.1,s15_t1.0_a0.1_015.gff
16,N,1.0,0.1,s15_t1.0_a0.1_016.gff
17,N,1.0,0.1,s15_t1.0_a0.1_017.gff
18,N,1.0,0.1,s15_t1.0_a0.1_018.gff
19,N,1.0,0.1,s15_t1.0_a0.1_019.gff
20,N,1.0,0.1,s15_t1.0_a0.1_020.gff
21,N,1.0,0.1,s15_t1.0_a0.1_021.gff
22,N,1.0,0.1,s15_t1.0_a0.1_022.gff
23,N,1.0,0.1,s15_t1.0_a0.1_023.gff
24,Y,1.0,0.1,s15_t1.0_a0.1_024.gff
25,N,1.0,0.1,s15_t1.0_a0.1_025.gff
26,N,1.0,0.1,s15_t1.0_a0.1_026.gff
27,N,1.0,0.1,s15_t1.0_a0.1_027.gff
28,N,1.0,0.1,s15_t1.0_a0.1_028.gff
29,N,1.0,0.1,s15_t1.0_a0.1_029.gff
30,N,1.0,0.1,s15_t1.0_a0.1_030.gff
31,N,1.0,0.1,s15_t1.0_a0.1_031.gff
32,N,1.0,0.1,s15_t1.0_a0.1_032.gff
