# Starting date:             2015-05-25 20:26:47
# Cluster job name:          piterman.eq.ro.goal
# Cluster job ID:            7911686
# Cluster node:              hnode38
# Cluster queue:             mpi.q
# GOAL command:              complement -m piterman -eq -ro
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
id,states,timeout,memout,cpu_time,real_time,dt,da,file
1,607,N,N,4.443,2.495,1.0,0.1,s15_t1.0_a0.1_001.gff
2,311,N,N,3.866,6.954,1.0,0.1,s15_t1.0_a0.1_002.gff
3,38,N,N,2.611,5.002,1.0,0.1,s15_t1.0_a0.1_003.gff
4,514,N,N,4.738,6.090,1.0,0.1,s15_t1.0_a0.1_004.gff
5,1087,N,N,6.750,5.372,1.0,0.1,s15_t1.0_a0.1_005.gff
6,47,N,N,2.791,1.873,1.0,0.1,s15_t1.0_a0.1_006.gff
7,115,N,N,3.218,1.787,1.0,0.1,s15_t1.0_a0.1_007.gff
8,71,N,N,2.909,1.909,1.0,0.1,s15_t1.0_a0.1_008.gff
9,182,N,N,3.283,1.759,1.0,0.1,s15_t1.0_a0.1_009.gff
10,129,N,N,3.126,2.317,1.0,0.1,s15_t1.0_a0.1_010.gff
11,70,N,N,2.864,1.699,1.0,0.1,s15_t1.0_a0.1_011.gff
12,165,N,N,3.122,2.507,1.0,0.1,s15_t1.0_a0.1_012.gff
13,20,N,N,2.523,2.091,1.0,0.1,s15_t1.0_a0.1_013.gff
14,221,N,N,3.355,1.880,1.0,0.1,s15_t1.0_a0.1_014.gff
15,79,N,N,3.044,1.876,1.0,0.1,s15_t1.0_a0.1_015.gff
16,710,N,N,5.540,2.890,1.0,0.1,s15_t1.0_a0.1_016.gff
17,96,N,N,3.096,2.530,1.0,0.1,s15_t1.0_a0.1_017.gff
18,31,N,N,2.569,1.655,1.0,0.1,s15_t1.0_a0.1_018.gff
19,26,N,N,2.582,1.501,1.0,0.1,s15_t1.0_a0.1_019.gff
20,171,N,N,3.298,1.956,1.0,0.1,s15_t1.0_a0.1_020.gff
21,379,N,N,4.522,4.149,1.0,0.1,s15_t1.0_a0.1_021.gff
22,73,N,N,2.917,1.739,1.0,0.1,s15_t1.0_a0.1_022.gff
23,31,N,N,2.571,5.123,1.0,0.1,s15_t1.0_a0.1_023.gff
24,70,N,N,3.027,4.496,1.0,0.1,s15_t1.0_a0.1_024.gff
25,45,N,N,2.786,2.311,1.0,0.1,s15_t1.0_a0.1_025.gff
26,27,N,N,2.576,3.723,1.0,0.1,s15_t1.0_a0.1_026.gff
27,120,N,N,3.067,1.698,1.0,0.1,s15_t1.0_a0.1_027.gff
28,162,N,N,3.193,3.033,1.0,0.1,s15_t1.0_a0.1_028.gff
29,261,N,N,3.717,3.187,1.0,0.1,s15_t1.0_a0.1_029.gff
30,2146,N,N,10.840,9.311,1.0,0.1,s15_t1.0_a0.1_030.gff
31,311,N,N,3.584,2.857,1.0,0.1,s15_t1.0_a0.1_031.gff
32,63,N,N,2.839,3.235,1.0,0.1,s15_t1.0_a0.1_032.gff
33,151,N,N,3.201,3.477,1.0,0.1,s15_t1.0_a0.1_033.gff
34,256,N,N,3.571,2.175,1.0,0.1,s15_t1.0_a0.1_034.gff
35,414,N,N,4.319,4.270,1.0,0.1,s15_t1.0_a0.1_035.gff
36,1128,N,N,6.071,8.450,1.0,0.1,s15_t1.0_a0.1_036.gff
