# Starting date:             2015-05-25 20:26:47
# Cluster job name:          piterman.eq.sim.ro.r.goal
# Cluster job ID:            7911687
# Cluster node:              hnode28
# Cluster queue:             mpi.q
# GOAL command:              complement -m piterman -eq -sim -ro -r
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
id,states,timeout,memout,cpu_time,real_time,dt,da,file
1,410,N,N,5.492,2.947,1.0,0.1,s15_t1.0_a0.1_001.gff
2,206,N,N,4.878,6.655,1.0,0.1,s15_t1.0_a0.1_002.gff
3,35,N,N,2.756,5.339,1.0,0.1,s15_t1.0_a0.1_003.gff
4,206,N,N,5.305,5.205,1.0,0.1,s15_t1.0_a0.1_004.gff
5,813,N,N,8.755,5.202,1.0,0.1,s15_t1.0_a0.1_005.gff
6,22,N,N,2.910,1.679,1.0,0.1,s15_t1.0_a0.1_006.gff
7,65,N,N,3.866,2.059,1.0,0.1,s15_t1.0_a0.1_007.gff
8,41,N,N,3.091,2.523,1.0,0.1,s15_t1.0_a0.1_008.gff
9,130,N,N,3.930,3.683,1.0,0.1,s15_t1.0_a0.1_009.gff
10,90,N,N,3.433,1.925,1.0,0.1,s15_t1.0_a0.1_010.gff
11,54,N,N,3.017,1.951,1.0,0.1,s15_t1.0_a0.1_011.gff
12,57,N,N,3.205,1.752,1.0,0.1,s15_t1.0_a0.1_012.gff
13,12,N,N,2.502,1.499,1.0,0.1,s15_t1.0_a0.1_013.gff
14,180,N,N,3.929,4.823,1.0,0.1,s15_t1.0_a0.1_014.gff
15,49,N,N,3.062,3.688,1.0,0.1,s15_t1.0_a0.1_015.gff
16,359,N,N,6.275,3.597,1.0,0.1,s15_t1.0_a0.1_016.gff
17,52,N,N,3.265,2.119,1.0,0.1,s15_t1.0_a0.1_017.gff
18,13,N,N,2.629,3.523,1.0,0.1,s15_t1.0_a0.1_018.gff
19,20,N,N,2.656,1.499,1.0,0.1,s15_t1.0_a0.1_019.gff
20,107,N,N,3.679,1.998,1.0,0.1,s15_t1.0_a0.1_020.gff
21,190,N,N,5.025,9.319,1.0,0.1,s15_t1.0_a0.1_021.gff
22,47,N,N,3.046,2.102,1.0,0.1,s15_t1.0_a0.1_022.gff
23,28,N,N,2.610,2.641,1.0,0.1,s15_t1.0_a0.1_023.gff
24,35,N,N,3.034,1.817,1.0,0.1,s15_t1.0_a0.1_024.gff
25,36,N,N,2.906,2.265,1.0,0.1,s15_t1.0_a0.1_025.gff
26,2,N,N,2.522,1.479,1.0,0.1,s15_t1.0_a0.1_026.gff
27,80,N,N,3.285,2.791,1.0,0.1,s15_t1.0_a0.1_027.gff
28,100,N,N,3.585,4.454,1.0,0.1,s15_t1.0_a0.1_028.gff
29,122,N,N,4.994,5.251,1.0,0.1,s15_t1.0_a0.1_029.gff
30,636,N,N,12.062,8.593,1.0,0.1,s15_t1.0_a0.1_030.gff
31,198,N,N,4.107,2.164,1.0,0.1,s15_t1.0_a0.1_031.gff
32,45,N,N,2.954,4.162,1.0,0.1,s15_t1.0_a0.1_032.gff
33,98,N,N,3.740,4.768,1.0,0.1,s15_t1.0_a0.1_033.gff
34,152,N,N,4.202,3.623,1.0,0.1,s15_t1.0_a0.1_034.gff
35,188,N,N,4.893,2.782,1.0,0.1,s15_t1.0_a0.1_035.gff
