# Starting date:             2015-05-25 12:30:00
# Cluster job name:          fribourg.m1.r2c.c.goal
# Cluster job ID:            7827436
# Cluster node:              hnode42
# Cluster queue:             mpi.q
# GOAL command:              complement -m fribourg -m1 -r2c -c
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
id,states,timeout,memout,cpu_time,real_time,dt,da,file
1,1296,N,N,5.894,2.864,1.0,0.1,s15_t1.0_a0.1_001.gff
2,651,N,N,4.295,2.340,1.0,0.1,s15_t1.0_a0.1_002.gff
3,49,N,N,2.874,1.686,1.0,0.1,s15_t1.0_a0.1_003.gff
4,1788,N,N,6.531,3.439,1.0,0.1,s15_t1.0_a0.1_004.gff
5,2179,N,N,6.996,4.644,1.0,0.1,s15_t1.0_a0.1_005.gff
6,112,N,N,3.029,1.754,1.0,0.1,s15_t1.0_a0.1_006.gff
7,673,N,N,4.246,2.252,1.0,0.1,s15_t1.0_a0.1_007.gff
8,174,N,N,3.155,2.463,1.0,0.1,s15_t1.0_a0.1_008.gff
9,550,N,N,4.073,2.720,1.0,0.1,s15_t1.0_a0.1_009.gff
10,353,N,N,3.510,1.954,1.0,0.1,s15_t1.0_a0.1_010.gff
11,79,N,N,2.914,3.229,1.0,0.1,s15_t1.0_a0.1_011.gff
12,129,N,N,3.182,2.445,1.0,0.1,s15_t1.0_a0.1_012.gff
13,25,N,N,2.754,1.699,1.0,0.1,s15_t1.0_a0.1_013.gff
14,418,N,N,3.773,2.102,1.0,0.1,s15_t1.0_a0.1_014.gff
15,135,N,N,3.022,1.656,1.0,0.1,s15_t1.0_a0.1_015.gff
16,3574,N,N,8.917,5.188,1.0,0.1,s15_t1.0_a0.1_016.gff
17,336,N,N,3.659,4.164,1.0,0.1,s15_t1.0_a0.1_017.gff
18,43,N,N,2.813,1.781,1.0,0.1,s15_t1.0_a0.1_018.gff
19,42,N,N,2.806,1.799,1.0,0.1,s15_t1.0_a0.1_019.gff
20,369,N,N,3.571,2.053,1.0,0.1,s15_t1.0_a0.1_020.gff
21,1951,N,N,6.937,3.529,1.0,0.1,s15_t1.0_a0.1_021.gff
22,208,N,N,3.342,2.895,1.0,0.1,s15_t1.0_a0.1_022.gff
23,57,N,N,2.873,1.944,1.0,0.1,s15_t1.0_a0.1_023.gff
24,460,N,N,3.917,2.090,1.0,0.1,s15_t1.0_a0.1_024.gff
25,87,N,N,2.896,2.128,1.0,0.1,s15_t1.0_a0.1_025.gff
26,37,N,N,2.791,1.635,1.0,0.1,s15_t1.0_a0.1_026.gff
27,197,N,N,3.251,2.620,1.0,0.1,s15_t1.0_a0.1_027.gff
28,312,N,N,3.649,3.263,1.0,0.1,s15_t1.0_a0.1_028.gff
29,1024,N,N,4.662,2.483,1.0,0.1,s15_t1.0_a0.1_029.gff
30,4839,N,N,11.864,6.915,1.0,0.1,s15_t1.0_a0.1_030.gff
31,457,N,N,3.935,2.172,1.0,0.1,s15_t1.0_a0.1_031.gff
32,81,N,N,2.973,4.804,1.0,0.1,s15_t1.0_a0.1_032.gff
33,322,N,N,3.571,2.026,1.0,0.1,s15_t1.0_a0.1_033.gff
34,1135,N,N,5.639,5.610,1.0,0.1,s15_t1.0_a0.1_034.gff
35,1889,N,N,6.752,3.354,1.0,0.1,s15_t1.0_a0.1_035.gff
36,4351,N,N,10.443,6.341,1.0,0.1,s15_t1.0_a0.1_036.gff
37,110,N,N,3.022,1.708,1.0,0.1,s15_t1.0_a0.1_037.gff
38,764,N,N,4.391,2.358,1.0,0.1,s15_t1.0_a0.1_038.gff
39,39,N,N,2.840,2.373,1.0,0.1,s15_t1.0_a0.1_039.gff
40,79,N,N,2.946,3.251,1.0,0.1,s15_t1.0_a0.1_040.gff
41,80,N,N,2.956,1.786,1.0,0.1,s15_t1.0_a0.1_041.gff
42,164,N,N,3.232,1.883,1.0,0.1,s15_t1.0_a0.1_042.gff
43,312,N,N,3.613,1.976,1.0,0.1,s15_t1.0_a0.1_043.gff
44,5433,N,N,11.966,7.851,1.0,0.1,s15_t1.0_a0.1_044.gff
45,2802,N,N,8.179,6.039,1.0,0.1,s15_t1.0_a0.1_045.gff
46,889,N,N,4.458,2.424,1.0,0.1,s15_t1.0_a0.1_046.gff
47,381,N,N,3.761,2.045,1.0,0.1,s15_t1.0_a0.1_047.gff
48,83,N,N,3.051,2.295,1.0,0.1,s15_t1.0_a0.1_048.gff
49,839,N,N,4.413,2.436,1.0,0.1,s15_t1.0_a0.1_049.gff
50,307,N,N,3.494,2.059,1.0,0.1,s15_t1.0_a0.1_050.gff
51,29,N,N,2.765,1.552,1.0,0.1,s15_t1.0_a0.1_051.gff
52,97,N,N,2.944,1.812,1.0,0.1,s15_t1.0_a0.1_052.gff
53,354,N,N,3.655,2.621,1.0,0.1,s15_t1.0_a0.1_053.gff
54,32,N,N,2.799,1.564,1.0,0.1,s15_t1.0_a0.1_054.gff
55,343,N,N,3.540,2.000,1.0,0.1,s15_t1.0_a0.1_055.gff
56,530,N,N,4.063,2.106,1.0,0.1,s15_t1.0_a0.1_056.gff
57,607,N,N,4.195,2.176,1.0,0.1,s15_t1.0_a0.1_057.gff
58,6198,N,N,14.691,9.074,1.0,0.1,s15_t1.0_a0.1_058.gff
59,185,N,N,3.224,1.797,1.0,0.1,s15_t1.0_a0.1_059.gff
