# Starting date:             2015-05-25 12:30:00
# Cluster job name:          fribourg.m1.r2c.c.r.goal
# Cluster job ID:            7827437
# Cluster node:              hnode13
# Cluster queue:             mpi.q
# GOAL command:              complement -m fribourg -m1 -r2c -c -r
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
id,states,timeout,memout,cpu_time,real_time,dt,da,file
1,1151,N,N,5.749,2.787,1.0,0.1,s15_t1.0_a0.1_001.gff
2,631,N,N,4.186,2.174,1.0,0.1,s15_t1.0_a0.1_002.gff
3,49,N,N,2.648,1.491,1.0,0.1,s15_t1.0_a0.1_003.gff
4,1554,N,N,6.158,3.193,1.0,0.1,s15_t1.0_a0.1_004.gff
5,1987,N,N,6.980,5.524,1.0,0.1,s15_t1.0_a0.1_005.gff
6,111,N,N,2.860,1.582,1.0,0.1,s15_t1.0_a0.1_006.gff
7,589,N,N,3.907,2.154,1.0,0.1,s15_t1.0_a0.1_007.gff
8,174,N,N,3.000,2.425,1.0,0.1,s15_t1.0_a0.1_008.gff
9,516,N,N,3.799,2.076,1.0,0.1,s15_t1.0_a0.1_009.gff
10,340,N,N,3.414,1.908,1.0,0.1,s15_t1.0_a0.1_010.gff
11,73,N,N,2.695,1.523,1.0,0.1,s15_t1.0_a0.1_011.gff
12,129,N,N,2.965,3.132,1.0,0.1,s15_t1.0_a0.1_012.gff
13,25,N,N,2.654,1.775,1.0,0.1,s15_t1.0_a0.1_013.gff
14,418,N,N,3.607,2.005,1.0,0.1,s15_t1.0_a0.1_014.gff
15,97,N,N,2.938,1.701,1.0,0.1,s15_t1.0_a0.1_015.gff
16,2980,N,N,9.962,5.289,1.0,0.1,s15_t1.0_a0.1_016.gff
17,319,N,N,3.513,6.133,1.0,0.1,s15_t1.0_a0.1_017.gff
18,43,N,N,2.777,1.595,1.0,0.1,s15_t1.0_a0.1_018.gff
19,42,N,N,2.708,1.515,1.0,0.1,s15_t1.0_a0.1_019.gff
20,363,N,N,3.615,1.939,1.0,0.1,s15_t1.0_a0.1_020.gff
21,1661,N,N,7.021,3.517,1.0,0.1,s15_t1.0_a0.1_021.gff
22,191,N,N,3.183,1.790,1.0,0.1,s15_t1.0_a0.1_022.gff
23,57,N,N,2.798,1.661,1.0,0.1,s15_t1.0_a0.1_023.gff
24,460,N,N,3.921,2.095,1.0,0.1,s15_t1.0_a0.1_024.gff
25,87,N,N,2.916,1.589,1.0,0.1,s15_t1.0_a0.1_025.gff
26,37,N,N,2.657,1.486,1.0,0.1,s15_t1.0_a0.1_026.gff
27,197,N,N,3.218,1.866,1.0,0.1,s15_t1.0_a0.1_027.gff
28,270,N,N,3.501,1.929,1.0,0.1,s15_t1.0_a0.1_028.gff
29,888,N,N,4.437,2.469,1.0,0.1,s15_t1.0_a0.1_029.gff
30,3276,N,N,11.720,6.916,1.0,0.1,s15_t1.0_a0.1_030.gff
31,416,N,N,3.678,2.032,1.0,0.1,s15_t1.0_a0.1_031.gff
32,81,N,N,2.739,1.543,1.0,0.1,s15_t1.0_a0.1_032.gff
33,322,N,N,3.286,1.767,1.0,0.1,s15_t1.0_a0.1_033.gff
34,994,N,N,5.088,2.611,1.0,0.1,s15_t1.0_a0.1_034.gff
35,1608,N,N,6.763,5.400,1.0,0.1,s15_t1.0_a0.1_035.gff
36,3440,N,N,10.162,8.412,1.0,0.1,s15_t1.0_a0.1_036.gff
37,80,N,N,2.905,1.671,1.0,0.1,s15_t1.0_a0.1_037.gff
38,746,N,N,4.205,2.391,1.0,0.1,s15_t1.0_a0.1_038.gff
39,39,N,N,2.638,1.402,1.0,0.1,s15_t1.0_a0.1_039.gff
40,79,N,N,2.880,1.611,1.0,0.1,s15_t1.0_a0.1_040.gff
41,79,N,N,2.865,1.600,1.0,0.1,s15_t1.0_a0.1_041.gff
42,153,N,N,3.120,2.103,1.0,0.1,s15_t1.0_a0.1_042.gff
43,312,N,N,3.558,2.432,1.0,0.1,s15_t1.0_a0.1_043.gff
44,4316,N,N,11.665,7.546,1.0,0.1,s15_t1.0_a0.1_044.gff
45,1989,N,N,8.177,4.212,1.0,0.1,s15_t1.0_a0.1_045.gff
46,831,N,N,4.392,3.632,1.0,0.1,s15_t1.0_a0.1_046.gff
47,373,N,N,3.643,1.972,1.0,0.1,s15_t1.0_a0.1_047.gff
48,80,N,N,2.913,2.686,1.0,0.1,s15_t1.0_a0.1_048.gff
49,737,N,N,4.357,2.375,1.0,0.1,s15_t1.0_a0.1_049.gff
50,303,N,N,3.460,1.991,1.0,0.1,s15_t1.0_a0.1_050.gff
51,29,N,N,2.730,1.597,1.0,0.1,s15_t1.0_a0.1_051.gff
52,97,N,N,2.928,1.656,1.0,0.1,s15_t1.0_a0.1_052.gff
53,281,N,N,3.525,2.191,1.0,0.1,s15_t1.0_a0.1_053.gff
54,32,N,N,2.626,1.578,1.0,0.1,s15_t1.0_a0.1_054.gff
55,339,N,N,3.512,1.845,1.0,0.1,s15_t1.0_a0.1_055.gff
56,441,N,N,3.804,2.050,1.0,0.1,s15_t1.0_a0.1_056.gff
57,605,N,N,4.168,4.880,1.0,0.1,s15_t1.0_a0.1_057.gff
58,4924,N,N,13.919,9.386,1.0,0.1,s15_t1.0_a0.1_058.gff
59,168,N,N,3.132,1.755,1.0,0.1,s15_t1.0_a0.1_059.gff
60,110,N,N,2.982,1.653,1.0,0.1,s15_t1.0_a0.1_060.gff
61,133,N,N,3.081,1.804,1.0,0.1,s15_t1.0_a0.1_061.gff
62,3785,N,N,10.807,6.605,1.0,0.1,s15_t1.0_a0.1_062.gff
63,328,N,N,3.466,2.733,1.0,0.1,s15_t1.0_a0.1_063.gff
64,785,N,N,4.349,2.382,1.0,0.1,s15_t1.0_a0.1_064.gff
65,1785,N,N,7.683,3.735,1.0,0.1,s15_t1.0_a0.1_065.gff
66,6,N,N,2.533,1.422,1.0,0.1,s15_t1.0_a0.1_066.gff
67,446,N,N,3.858,2.123,1.0,0.1,s15_t1.0_a0.1_067.gff
68,138,N,N,3.041,3.435,1.0,0.1,s15_t1.0_a0.1_068.gff
69,696,N,N,4.226,2.271,1.0,0.1,s15_t1.0_a0.1_069.gff
70,33,N,N,2.680,1.480,1.0,0.1,s15_t1.0_a0.1_070.gff
71,17,N,N,2.581,1.521,1.0,0.1,s15_t1.0_a0.1_071.gff
72,118,N,N,3.004,1.653,1.0,0.1,s15_t1.0_a0.1_072.gff
73,2965,N,N,9.063,5.194,1.0,0.1,s15_t1.0_a0.1_073.gff
74,184,N,N,3.189,1.763,1.0,0.1,s15_t1.0_a0.1_074.gff
75,111,N,N,3.032,1.689,1.0,0.1,s15_t1.0_a0.1_075.gff
76,4149,N,N,18.011,11.301,1.0,0.1,s15_t1.0_a0.1_076.gff
77,106,N,N,3.152,1.669,1.0,0.1,s15_t1.0_a0.1_077.gff
78,2155,N,N,7.690,4.065,1.0,0.1,s15_t1.0_a0.1_078.gff
79,39,N,N,2.704,1.687,1.0,0.1,s15_t1.0_a0.1_079.gff
80,672,N,N,4.184,2.357,1.0,0.1,s15_t1.0_a0.1_080.gff
81,390,N,N,3.816,3.363,1.0,0.1,s15_t1.0_a0.1_081.gff
82,1318,N,N,6.031,3.294,1.0,0.1,s15_t1.0_a0.1_082.gff
83,265,N,N,3.403,3.230,1.0,0.1,s15_t1.0_a0.1_083.gff
84,252,N,N,3.267,1.915,1.0,0.1,s15_t1.0_a0.1_084.gff
85,3391,N,N,10.934,6.613,1.0,0.1,s15_t1.0_a0.1_085.gff
86,83,N,N,2.834,1.528,1.0,0.1,s15_t1.0_a0.1_086.gff
87,126,N,N,3.000,1.679,1.0,0.1,s15_t1.0_a0.1_087.gff
88,210,N,N,3.270,1.842,1.0,0.1,s15_t1.0_a0.1_088.gff
89,1724,N,N,6.746,3.781,1.0,0.1,s15_t1.0_a0.1_089.gff
90,232,N,N,3.269,1.869,1.0,0.1,s15_t1.0_a0.1_090.gff
91,2002,N,N,7.583,4.398,1.0,0.1,s15_t1.0_a0.1_091.gff
92,401,N,N,3.754,2.050,1.0,0.1,s15_t1.0_a0.1_092.gff
93,821,N,N,4.946,2.511,1.0,0.1,s15_t1.0_a0.1_093.gff
94,5087,N,N,14.399,9.103,1.0,0.1,s15_t1.0_a0.1_094.gff
95,1093,N,N,5.678,3.391,1.0,0.1,s15_t1.0_a0.1_095.gff
96,75,N,N,2.866,1.903,1.0,0.1,s15_t1.0_a0.1_096.gff
97,7,N,N,2.577,1.418,1.0,0.1,s15_t1.0_a0.1_097.gff
98,622,N,N,4.153,2.108,1.0,0.1,s15_t1.0_a0.1_098.gff
99,89,N,N,2.912,2.001,1.0,0.1,s15_t1.0_a0.1_099.gff
100,160,N,N,3.083,1.655,1.0,0.1,s15_t1.0_a0.1_100.gff
101,163,N,N,3.134,1.846,1.0,0.2,s15_t1.0_a0.2_001.gff
102,644,N,N,4.162,2.224,1.0,0.2,s15_t1.0_a0.2_002.gff
103,13,N,N,2.605,1.662,1.0,0.2,s15_t1.0_a0.2_003.gff
104,532,N,N,4.156,3.021,1.0,0.2,s15_t1.0_a0.2_004.gff
105,553,N,N,4.104,2.521,1.0,0.2,s15_t1.0_a0.2_005.gff
106,70,N,N,2.862,1.756,1.0,0.2,s15_t1.0_a0.2_006.gff
107,54,N,N,2.758,1.521,1.0,0.2,s15_t1.0_a0.2_007.gff
108,354,N,N,3.638,2.094,1.0,0.2,s15_t1.0_a0.2_008.gff
109,71,N,N,2.875,1.590,1.0,0.2,s15_t1.0_a0.2_009.gff
110,46,N,N,2.726,1.642,1.0,0.2,s15_t1.0_a0.2_010.gff
111,163,N,N,3.106,1.838,1.0,0.2,s15_t1.0_a0.2_011.gff
112,6118,N,N,17.979,12.923,1.0,0.2,s15_t1.0_a0.2_012.gff
113,20,N,N,2.628,1.715,1.0,0.2,s15_t1.0_a0.2_013.gff
114,52,N,N,2.751,1.549,1.0,0.2,s15_t1.0_a0.2_014.gff
115,617,N,N,4.755,2.329,1.0,0.2,s15_t1.0_a0.2_015.gff
116,219,N,N,3.298,1.829,1.0,0.2,s15_t1.0_a0.2_016.gff
117,245,N,N,3.347,2.111,1.0,0.2,s15_t1.0_a0.2_017.gff
118,3203,N,N,10.057,5.897,1.0,0.2,s15_t1.0_a0.2_018.gff
119,97,N,N,2.925,1.627,1.0,0.2,s15_t1.0_a0.2_019.gff
120,24,N,N,2.655,1.525,1.0,0.2,s15_t1.0_a0.2_020.gff
121,408,N,N,3.772,2.116,1.0,0.2,s15_t1.0_a0.2_021.gff
122,734,N,N,5.594,2.697,1.0,0.2,s15_t1.0_a0.2_022.gff
123,792,N,N,4.760,2.412,1.0,0.2,s15_t1.0_a0.2_023.gff
124,1482,N,N,6.613,3.196,1.0,0.2,s15_t1.0_a0.2_024.gff
125,91,N,N,2.943,2.587,1.0,0.2,s15_t1.0_a0.2_025.gff
126,273,N,N,3.440,2.373,1.0,0.2,s15_t1.0_a0.2_026.gff
127,426,N,N,3.980,2.363,1.0,0.2,s15_t1.0_a0.2_027.gff
128,161,N,N,3.156,2.347,1.0,0.2,s15_t1.0_a0.2_028.gff
129,27,N,N,2.651,1.571,1.0,0.2,s15_t1.0_a0.2_029.gff
130,13,N,N,2.649,1.746,1.0,0.2,s15_t1.0_a0.2_030.gff
