# Starting date:             2015-05-25 12:29:59
# Cluster job name:          fribourg.m1.r2c.r.goal
# Cluster job ID:            7827438
# Cluster node:              hnode11
# Cluster queue:             mpi.q
# GOAL command:              complement -m fribourg -m1 -r2c -r
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
id,states,timeout,memout,cpu_time,real_time,dt,da,file
1,678,N,N,4.037,2.233,1.0,0.1,s15_t1.0_a0.1_001.gff
2,316,N,N,3.571,1.976,1.0,0.1,s15_t1.0_a0.1_002.gff
3,31,N,N,2.534,1.507,1.0,0.1,s15_t1.0_a0.1_003.gff
4,696,N,N,4.288,2.562,1.0,0.1,s15_t1.0_a0.1_004.gff
5,1507,N,N,6.340,5.027,1.0,0.1,s15_t1.0_a0.1_005.gff
6,42,N,N,2.640,1.527,1.0,0.1,s15_t1.0_a0.1_006.gff
7,109,N,N,3.269,1.745,1.0,0.1,s15_t1.0_a0.1_007.gff
8,54,N,N,2.687,1.519,1.0,0.1,s15_t1.0_a0.1_008.gff
9,282,N,N,3.296,1.850,1.0,0.1,s15_t1.0_a0.1_009.gff
10,138,N,N,2.998,2.467,1.0,0.1,s15_t1.0_a0.1_010.gff
11,55,N,N,2.683,2.083,1.0,0.1,s15_t1.0_a0.1_011.gff
12,131,N,N,2.937,1.653,1.0,0.1,s15_t1.0_a0.1_012.gff
13,16,N,N,2.532,1.418,1.0,0.1,s15_t1.0_a0.1_013.gff
14,289,N,N,3.366,3.135,1.0,0.1,s15_t1.0_a0.1_014.gff
15,67,N,N,2.769,1.848,1.0,0.1,s15_t1.0_a0.1_015.gff
16,1494,N,N,7.169,4.222,1.0,0.1,s15_t1.0_a0.1_016.gff
17,91,N,N,2.923,1.652,1.0,0.1,s15_t1.0_a0.1_017.gff
18,32,N,N,2.546,1.563,1.0,0.1,s15_t1.0_a0.1_018.gff
19,20,N,N,2.506,1.330,1.0,0.1,s15_t1.0_a0.1_019.gff
20,227,N,N,3.206,1.690,1.0,0.1,s15_t1.0_a0.1_020.gff
21,972,N,N,5.621,2.675,1.0,0.1,s15_t1.0_a0.1_021.gff
22,88,N,N,2.811,2.464,1.0,0.1,s15_t1.0_a0.1_022.gff
23,22,N,N,2.509,1.479,1.0,0.1,s15_t1.0_a0.1_023.gff
24,78,N,N,3.058,1.731,1.0,0.1,s15_t1.0_a0.1_024.gff
25,55,N,N,2.658,2.107,1.0,0.1,s15_t1.0_a0.1_025.gff
26,33,N,N,2.508,1.442,1.0,0.1,s15_t1.0_a0.1_026.gff
27,110,N,N,2.885,1.537,1.0,0.1,s15_t1.0_a0.1_027.gff
28,162,N,N,3.007,2.932,1.0,0.1,s15_t1.0_a0.1_028.gff
29,149,N,N,3.489,2.251,1.0,0.1,s15_t1.0_a0.1_029.gff
30,3039,N,N,9.377,5.536,1.0,0.1,s15_t1.0_a0.1_030.gff
31,220,N,N,3.227,1.898,1.0,0.1,s15_t1.0_a0.1_031.gff
32,58,N,N,2.707,3.732,1.0,0.1,s15_t1.0_a0.1_032.gff
33,160,N,N,2.985,1.754,1.0,0.1,s15_t1.0_a0.1_033.gff
34,502,N,N,3.900,2.186,1.0,0.1,s15_t1.0_a0.1_034.gff
35,1034,N,N,5.546,2.834,1.0,0.1,s15_t1.0_a0.1_035.gff
36,1935,N,N,7.778,3.779,1.0,0.1,s15_t1.0_a0.1_036.gff
37,29,N,N,2.701,1.526,1.0,0.1,s15_t1.0_a0.1_037.gff
38,482,N,N,3.888,5.660,1.0,0.1,s15_t1.0_a0.1_038.gff
39,25,N,N,2.575,1.492,1.0,0.1,s15_t1.0_a0.1_039.gff
40,18,N,N,2.643,4.072,1.0,0.1,s15_t1.0_a0.1_040.gff
41,62,N,N,2.636,1.411,1.0,0.1,s15_t1.0_a0.1_041.gff
42,68,N,N,2.683,1.613,1.0,0.1,s15_t1.0_a0.1_042.gff
43,185,N,N,3.019,1.612,1.0,0.1,s15_t1.0_a0.1_043.gff
44,1972,N,N,6.812,3.858,1.0,0.1,s15_t1.0_a0.1_044.gff
45,348,N,N,4.888,2.580,1.0,0.1,s15_t1.0_a0.1_045.gff
46,471,N,N,3.940,2.082,1.0,0.1,s15_t1.0_a0.1_046.gff
47,233,N,N,3.233,1.863,1.0,0.1,s15_t1.0_a0.1_047.gff
48,78,N,N,2.795,2.126,1.0,0.1,s15_t1.0_a0.1_048.gff
49,240,N,N,3.416,3.526,1.0,0.1,s15_t1.0_a0.1_049.gff
50,54,N,N,3.015,1.825,1.0,0.1,s15_t1.0_a0.1_050.gff
51,16,N,N,2.548,1.601,1.0,0.1,s15_t1.0_a0.1_051.gff
52,69,N,N,2.715,1.604,1.0,0.1,s15_t1.0_a0.1_052.gff
53,104,N,N,2.959,1.752,1.0,0.1,s15_t1.0_a0.1_053.gff
54,25,N,N,2.544,1.432,1.0,0.1,s15_t1.0_a0.1_054.gff
55,199,N,N,3.099,1.646,1.0,0.1,s15_t1.0_a0.1_055.gff
56,241,N,N,3.270,1.866,1.0,0.1,s15_t1.0_a0.1_056.gff
57,310,N,N,3.479,2.004,1.0,0.1,s15_t1.0_a0.1_057.gff
58,2807,N,N,8.430,4.837,1.0,0.1,s15_t1.0_a0.1_058.gff
59,88,N,N,2.862,1.631,1.0,0.1,s15_t1.0_a0.1_059.gff
60,62,N,N,2.707,1.485,1.0,0.1,s15_t1.0_a0.1_060.gff
61,110,N,N,2.855,1.663,1.0,0.1,s15_t1.0_a0.1_061.gff
62,1634,N,N,7.073,4.686,1.0,0.1,s15_t1.0_a0.1_062.gff
63,136,N,N,3.051,1.765,1.0,0.1,s15_t1.0_a0.1_063.gff
64,290,N,N,3.351,1.880,1.0,0.1,s15_t1.0_a0.1_064.gff
65,1006,N,N,5.446,5.020,1.0,0.1,s15_t1.0_a0.1_065.gff
66,4,N,N,2.485,1.364,1.0,0.1,s15_t1.0_a0.1_066.gff
67,220,N,N,3.232,1.825,1.0,0.1,s15_t1.0_a0.1_067.gff
68,35,N,N,2.674,1.418,1.0,0.1,s15_t1.0_a0.1_068.gff
69,542,N,N,3.965,3.795,1.0,0.1,s15_t1.0_a0.1_069.gff
70,30,N,N,2.570,1.782,1.0,0.1,s15_t1.0_a0.1_070.gff
71,14,N,N,2.533,1.472,1.0,0.1,s15_t1.0_a0.1_071.gff
72,65,N,N,2.720,1.735,1.0,0.1,s15_t1.0_a0.1_072.gff
73,1553,N,N,6.657,4.431,1.0,0.1,s15_t1.0_a0.1_073.gff
74,80,N,N,2.694,1.526,1.0,0.1,s15_t1.0_a0.1_074.gff
75,59,N,N,2.762,1.564,1.0,0.1,s15_t1.0_a0.1_075.gff
76,2666,N,N,9.807,5.958,1.0,0.1,s15_t1.0_a0.1_076.gff
77,89,N,N,2.963,1.835,1.0,0.1,s15_t1.0_a0.1_077.gff
78,1476,N,N,6.337,3.074,1.0,0.1,s15_t1.0_a0.1_078.gff
79,29,N,N,2.469,1.529,1.0,0.1,s15_t1.0_a0.1_079.gff
80,328,N,N,3.303,1.795,1.0,0.1,s15_t1.0_a0.1_080.gff
81,113,N,N,2.879,2.267,1.0,0.1,s15_t1.0_a0.1_081.gff
82,1040,N,N,4.998,2.519,1.0,0.1,s15_t1.0_a0.1_082.gff
83,182,N,N,3.034,1.728,1.0,0.1,s15_t1.0_a0.1_083.gff
84,150,N,N,2.873,1.702,1.0,0.1,s15_t1.0_a0.1_084.gff
85,1332,N,N,8.496,4.012,1.0,0.1,s15_t1.0_a0.1_085.gff
86,36,N,N,2.670,1.864,1.0,0.1,s15_t1.0_a0.1_086.gff
87,42,N,N,2.654,1.680,1.0,0.1,s15_t1.0_a0.1_087.gff
88,122,N,N,2.967,1.821,1.0,0.1,s15_t1.0_a0.1_088.gff
89,1002,N,N,5.213,2.694,1.0,0.1,s15_t1.0_a0.1_089.gff
90,91,N,N,2.800,1.615,1.0,0.1,s15_t1.0_a0.1_090.gff
91,531,N,N,5.217,2.536,1.0,0.1,s15_t1.0_a0.1_091.gff
92,163,N,N,3.100,2.602,1.0,0.1,s15_t1.0_a0.1_092.gff
93,112,N,N,3.438,1.957,1.0,0.1,s15_t1.0_a0.1_093.gff
