# Starting date:             2015-06-04 20:40:43
# Cluster job name:          fribourg.r.goal
# Cluster job ID:            9183489
# Cluster node:              hnode30
# Cluster queue:             mpi.q
# GOAL command:              complement -m fribourg -r
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
id,states,timeout,memout,cpu_time,real_time,dt,da,file
1,700,N,N,4.263,2.140,1.0,0.1,s15_t1.0_a0.1_001.gff
2,322,N,N,3.225,1.745,1.0,0.1,s15_t1.0_a0.1_002.gff
3,31,N,N,2.248,1.217,1.0,0.1,s15_t1.0_a0.1_003.gff
4,720,N,N,4.648,2.297,1.0,0.1,s15_t1.0_a0.1_004.gff
5,1594,N,N,7.977,3.776,1.0,0.1,s15_t1.0_a0.1_005.gff
6,42,N,N,2.324,1.256,1.0,0.1,s15_t1.0_a0.1_006.gff
7,109,N,N,3.108,1.690,1.0,0.1,s15_t1.0_a0.1_007.gff
8,54,N,N,2.402,1.313,1.0,0.1,s15_t1.0_a0.1_008.gff
9,286,N,N,2.965,1.609,1.0,0.1,s15_t1.0_a0.1_009.gff
10,138,N,N,2.694,1.454,1.0,0.1,s15_t1.0_a0.1_010.gff
11,55,N,N,2.334,1.273,1.0,0.1,s15_t1.0_a0.1_011.gff
12,131,N,N,2.548,1.385,1.0,0.1,s15_t1.0_a0.1_012.gff
13,16,N,N,2.224,1.194,1.0,0.1,s15_t1.0_a0.1_013.gff
14,310,N,N,3.030,1.631,1.0,0.1,s15_t1.0_a0.1_014.gff
15,67,N,N,2.430,1.344,1.0,0.1,s15_t1.0_a0.1_015.gff
16,1539,N,N,12.368,7.741,1.0,0.1,s15_t1.0_a0.1_016.gff
17,91,N,N,2.580,1.391,1.0,0.1,s15_t1.0_a0.1_017.gff
18,32,N,N,2.265,1.212,1.0,0.1,s15_t1.0_a0.1_018.gff
19,20,N,N,2.270,1.206,1.0,0.1,s15_t1.0_a0.1_019.gff
20,240,N,N,2.872,1.566,1.0,0.1,s15_t1.0_a0.1_020.gff
21,1046,N,N,5.783,3.122,1.0,0.1,s15_t1.0_a0.1_021.gff
22,88,N,N,2.480,1.347,1.0,0.1,s15_t1.0_a0.1_022.gff
23,22,N,N,2.232,1.225,1.0,0.1,s15_t1.0_a0.1_023.gff
24,78,N,N,2.853,1.552,1.0,0.1,s15_t1.0_a0.1_024.gff
25,58,N,N,2.346,1.342,1.0,0.1,s15_t1.0_a0.1_025.gff
26,33,N,N,2.254,1.223,1.0,0.1,s15_t1.0_a0.1_026.gff
27,110,N,N,2.573,1.412,1.0,0.1,s15_t1.0_a0.1_027.gff
28,162,N,N,2.720,1.465,1.0,0.1,s15_t1.0_a0.1_028.gff
29,149,N,N,3.253,1.805,1.0,0.1,s15_t1.0_a0.1_029.gff
30,3480,N,N,12.667,8.181,1.0,0.1,s15_t1.0_a0.1_030.gff
31,220,N,N,2.805,1.518,1.0,0.1,s15_t1.0_a0.1_031.gff
32,58,N,N,2.369,1.302,1.0,0.1,s15_t1.0_a0.1_032.gff
33,160,N,N,2.699,1.468,1.0,0.1,s15_t1.0_a0.1_033.gff
34,504,N,N,3.533,1.936,1.0,0.1,s15_t1.0_a0.1_034.gff
35,1104,N,N,5.744,2.874,1.0,0.1,s15_t1.0_a0.1_035.gff
36,2162,N,N,8.367,4.204,1.0,0.1,s15_t1.0_a0.1_036.gff
37,29,N,N,2.388,1.269,1.0,0.1,s15_t1.0_a0.1_037.gff
38,521,N,N,3.587,1.930,1.0,0.1,s15_t1.0_a0.1_038.gff
39,25,N,N,2.259,1.220,1.0,0.1,s15_t1.0_a0.1_039.gff
40,18,N,N,2.317,1.262,1.0,0.1,s15_t1.0_a0.1_040.gff
41,62,N,N,2.386,1.302,1.0,0.1,s15_t1.0_a0.1_041.gff
42,68,N,N,2.387,1.316,1.0,0.1,s15_t1.0_a0.1_042.gff
43,185,N,N,2.687,1.464,1.0,0.1,s15_t1.0_a0.1_043.gff
44,2190,N,N,8.628,4.738,1.0,0.1,s15_t1.0_a0.1_044.gff
45,349,N,N,5.495,3.021,1.0,0.1,s15_t1.0_a0.1_045.gff
46,511,N,N,3.683,2.042,1.0,0.1,s15_t1.0_a0.1_046.gff
47,233,N,N,2.897,1.558,1.0,0.1,s15_t1.0_a0.1_047.gff
48,78,N,N,2.442,1.327,1.0,0.1,s15_t1.0_a0.1_048.gff
49,244,N,N,3.143,1.716,1.0,0.1,s15_t1.0_a0.1_049.gff
50,54,N,N,2.789,1.504,1.0,0.1,s15_t1.0_a0.1_050.gff
51,16,N,N,2.212,1.210,1.0,0.1,s15_t1.0_a0.1_051.gff
52,69,N,N,2.428,1.318,1.0,0.1,s15_t1.0_a0.1_052.gff
53,113,N,N,2.616,1.447,1.0,0.1,s15_t1.0_a0.1_053.gff
54,25,N,N,2.258,1.213,1.0,0.1,s15_t1.0_a0.1_054.gff
55,202,N,N,2.771,1.508,1.0,0.1,s15_t1.0_a0.1_055.gff
56,241,N,N,2.958,1.595,1.0,0.1,s15_t1.0_a0.1_056.gff
57,310,N,N,3.183,1.727,1.0,0.1,s15_t1.0_a0.1_057.gff
58,3098,N,N,11.547,6.834,1.0,0.1,s15_t1.0_a0.1_058.gff
59,89,N,N,2.541,1.375,1.0,0.1,s15_t1.0_a0.1_059.gff
60,62,N,N,2.383,1.304,1.0,0.1,s15_t1.0_a0.1_060.gff
61,110,N,N,2.502,1.366,1.0,0.1,s15_t1.0_a0.1_061.gff
62,1784,N,N,9.473,5.377,1.0,0.1,s15_t1.0_a0.1_062.gff
63,137,N,N,2.663,1.475,1.0,0.1,s15_t1.0_a0.1_063.gff
64,318,N,N,3.097,1.709,1.0,0.1,s15_t1.0_a0.1_064.gff
