# Starting date:             2014-09-30 14:11:20
# Cluster job ID:            8841904
# Cluster node:              hnode08
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg -r2ifc -m
# Data:                      test_set_s15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
838	N	N	2.410	4.469	4.286	0.183	1.0	0.1	s15_t1.0_a0.1_001.gff
469	N	N	2.008	3.954	3.767	0.187	1.0	0.1	s15_t1.0_a0.1_002.gff
32	N	N	1.914	2.369	2.206	0.163	1.0	0.1	s15_t1.0_a0.1_003.gff
1072	N	N	2.484	4.967	4.764	0.203	1.0	0.1	s15_t1.0_a0.1_004.gff
1887	N	N	3.061	6.645	6.386	0.259	1.0	0.1	s15_t1.0_a0.1_005.gff
74	N	N	1.449	2.451	2.277	0.174	1.0	0.1	s15_t1.0_a0.1_006.gff
504	N	N	2.025	3.938	3.741	0.197	1.0	0.1	s15_t1.0_a0.1_007.gff
100	N	N	1.914	2.480	2.314	0.166	1.0	0.1	s15_t1.0_a0.1_008.gff
353	N	N	2.418	3.578	3.388	0.190	1.0	0.1	s15_t1.0_a0.1_009.gff
225	N	N	1.671	3.162	2.988	0.174	1.0	0.1	s15_t1.0_a0.1_010.gff
59	N	N	1.411	2.442	2.292	0.150	1.0	0.1	s15_t1.0_a0.1_011.gff
131	N	N	1.731	2.906	2.735	0.171	1.0	0.1	s15_t1.0_a0.1_012.gff
20	N	N	1.414	2.285	2.121	0.164	1.0	0.1	s15_t1.0_a0.1_013.gff
356	N	N	2.089	3.666	3.502	0.164	1.0	0.1	s15_t1.0_a0.1_014.gff
105	N	N	1.813	2.530	2.388	0.142	1.0	0.1	s15_t1.0_a0.1_015.gff
2775	N	N	3.999	7.333	7.075	0.258	1.0	0.1	s15_t1.0_a0.1_016.gff
213	N	N	3.094	3.089	2.917	0.172	1.0	0.1	s15_t1.0_a0.1_017.gff
32	N	N	1.272	2.335	2.185	0.150	1.0	0.1	s15_t1.0_a0.1_018.gff
35	N	N	1.287	2.319	2.156	0.163	1.0	0.1	s15_t1.0_a0.1_019.gff
280	N	N	2.232	3.255	3.081	0.174	1.0	0.1	s15_t1.0_a0.1_020.gff
1435	N	N	2.878	5.662	5.430	0.232	1.0	0.1	s15_t1.0_a0.1_021.gff
122	N	N	2.639	2.893	2.754	0.139	1.0	0.1	s15_t1.0_a0.1_022.gff
35	N	N	1.457	2.290	2.136	0.154	1.0	0.1	s15_t1.0_a0.1_023.gff
305	N	N	1.960	3.483	3.305	0.178	1.0	0.1	s15_t1.0_a0.1_024.gff
55	N	N	1.430	2.392	2.224	0.168	1.0	0.1	s15_t1.0_a0.1_025.gff
34	N	N	1.315	2.286	2.112	0.174	1.0	0.1	s15_t1.0_a0.1_026.gff
148	N	N	1.704	2.944	2.798	0.146	1.0	0.1	s15_t1.0_a0.1_027.gff
204	N	N	2.162	3.044	2.883	0.161	1.0	0.1	s15_t1.0_a0.1_028.gff
688	N	N	2.099	4.118	3.941	0.177	1.0	0.1	s15_t1.0_a0.1_029.gff
3879	N	N	4.951	8.406	8.142	0.264	1.0	0.1	s15_t1.0_a0.1_030.gff
261	N	N	1.623	3.192	3.034	0.158	1.0	0.1	s15_t1.0_a0.1_031.gff
70	N	N	1.374	2.390	2.233	0.157	1.0	0.1	s15_t1.0_a0.1_032.gff
244	N	N	1.672	3.099	2.949	0.150	1.0	0.1	s15_t1.0_a0.1_033.gff
772	N	N	2.219	4.271	4.103	0.168	1.0	0.1	s15_t1.0_a0.1_034.gff
1339	N	N	2.614	5.391	5.175	0.216	1.0	0.1	s15_t1.0_a0.1_035.gff
2308	N	N	3.400	7.087	6.810	0.277	1.0	0.1	s15_t1.0_a0.1_036.gff
65	N	N	1.851	2.379	2.232	0.147	1.0	0.1	s15_t1.0_a0.1_037.gff
668	N	N	2.011	4.182	3.982	0.200	1.0	0.1	s15_t1.0_a0.1_038.gff
30	N	N	3.059	2.283	2.133	0.150	1.0	0.1	s15_t1.0_a0.1_039.gff
60	N	N	1.401	2.387	2.236	0.151	1.0	0.1	s15_t1.0_a0.1_040.gff
65	N	N	3.765	2.373	2.218	0.155	1.0	0.1	s15_t1.0_a0.1_041.gff
89	N	N	1.612	2.445	2.308	0.137	1.0	0.1	s15_t1.0_a0.1_042.gff
190	N	N	2.746	3.032	2.876	0.156	1.0	0.1	s15_t1.0_a0.1_043.gff
2541	N	N	3.639	6.929	6.637	0.292	1.0	0.1	s15_t1.0_a0.1_044.gff
1366	N	N	2.644	5.341	5.118	0.223	1.0	0.1	s15_t1.0_a0.1_045.gff
682	N	N	2.368	4.228	4.047	0.181	1.0	0.1	s15_t1.0_a0.1_046.gff
266	N	N	1.731	3.173	3.021	0.152	1.0	0.1	s15_t1.0_a0.1_047.gff
83	N	N	2.798	2.447	2.308	0.139	1.0	0.1	s15_t1.0_a0.1_048.gff
465	N	N	1.931	3.623	3.458	0.165	1.0	0.1	s15_t1.0_a0.1_049.gff
266	N	N	1.723	3.151	3.000	0.151	1.0	0.1	s15_t1.0_a0.1_050.gff
16	N	N	1.320	2.257	2.102	0.155	1.0	0.1	s15_t1.0_a0.1_051.gff
73	N	N	1.816	2.400	2.247	0.153	1.0	0.1	s15_t1.0_a0.1_052.gff
196	N	N	1.872	3.067	2.908	0.159	1.0	0.1	s15_t1.0_a0.1_053.gff
26	N	N	1.302	2.252	2.106	0.146	1.0	0.1	s15_t1.0_a0.1_054.gff
225	N	N	1.719	3.116	2.955	0.161	1.0	0.1	s15_t1.0_a0.1_055.gff
348	N	N	1.927	3.503	3.338	0.165	1.0	0.1	s15_t1.0_a0.1_056.gff
526	N	N	1.998	3.854	3.680	0.174	1.0	0.1	s15_t1.0_a0.1_057.gff
3545	N	N	4.619	8.324	8.043	0.281	1.0	0.1	s15_t1.0_a0.1_058.gff
137	N	N	1.706	2.894	2.724	0.170	1.0	0.1	s15_t1.0_a0.1_059.gff
89	N	N	1.379	2.418	2.253	0.165	1.0	0.1	s15_t1.0_a0.1_060.gff
118	N	N	1.534	2.656	2.516	0.140	1.0	0.1	s15_t1.0_a0.1_061.gff
2352	N	N	3.668	7.196	6.945	0.251	1.0	0.1	s15_t1.0_a0.1_062.gff
223	N	N	1.641	3.112	2.940	0.172	1.0	0.1	s15_t1.0_a0.1_063.gff
445	N	N	2.448	3.498	3.327	0.171	1.0	0.1	s15_t1.0_a0.1_064.gff
1233	N	N	4.134	5.034	4.834	0.200	1.0	0.1	s15_t1.0_a0.1_065.gff
4	N	N	1.228	2.210	2.050	0.160	1.0	0.1	s15_t1.0_a0.1_066.gff
329	N	N	4.417	3.514	3.358	0.156	1.0	0.1	s15_t1.0_a0.1_067.gff
85	N	N	1.503	2.439	2.285	0.154	1.0	0.1	s15_t1.0_a0.1_068.gff
686	N	N	2.131	4.298	4.087	0.211	1.0	0.1	s15_t1.0_a0.1_069.gff
47	N	N	1.793	2.331	2.177	0.154	1.0	0.1	s15_t1.0_a0.1_070.gff
28	N	N	1.450	2.266	2.115	0.151	1.0	0.1	s15_t1.0_a0.1_071.gff
66	N	N	1.776	2.405	2.257	0.148	1.0	0.1	s15_t1.0_a0.1_072.gff
1969	N	N	3.352	6.833	6.576	0.257	1.0	0.1	s15_t1.0_a0.1_073.gff
144	N	N	1.664	2.811	2.652	0.159	1.0	0.1	s15_t1.0_a0.1_074.gff
82	N	N	1.507	2.437	2.290	0.147	1.0	0.1	s15_t1.0_a0.1_075.gff
4045	N	N	5.416	8.922	8.669	0.253	1.0	0.1	s15_t1.0_a0.1_076.gff
183	N	N	1.716	3.032	2.871	0.161	1.0	0.1	s15_t1.0_a0.1_077.gff
1885	N	N	4.358	6.405	6.116	0.289	1.0	0.1	s15_t1.0_a0.1_078.gff
44	N	N	1.288	2.350	2.207	0.143	1.0	0.1	s15_t1.0_a0.1_079.gff
495	N	N	2.079	3.897	3.731	0.166	1.0	0.1	s15_t1.0_a0.1_080.gff
247	N	N	1.929	3.126	2.968	0.158	1.0	0.1	s15_t1.0_a0.1_081.gff
1218	N	N	2.399	5.048	4.842	0.206	1.0	0.1	s15_t1.0_a0.1_082.gff
245	N	N	1.678	3.139	2.968	0.171	1.0	0.1	s15_t1.0_a0.1_083.gff
232	N	N	1.666	2.989	2.820	0.169	1.0	0.1	s15_t1.0_a0.1_084.gff
2589	N	N	3.923	7.723	7.477	0.246	1.0	0.1	s15_t1.0_a0.1_085.gff
58	N	N	1.644	2.357	2.215	0.142	1.0	0.1	s15_t1.0_a0.1_086.gff
57	N	N	1.728	2.340	2.177	0.163	1.0	0.1	s15_t1.0_a0.1_087.gff
192	N	N	1.903	2.991	2.812	0.179	1.0	0.1	s15_t1.0_a0.1_088.gff
1373	N	N	2.745	5.457	5.220	0.237	1.0	0.1	s15_t1.0_a0.1_089.gff
131	N	N	4.980	2.812	2.659	0.153	1.0	0.1	s15_t1.0_a0.1_090.gff
1242	N	N	2.438	5.199	4.995	0.204	1.0	0.1	s15_t1.0_a0.1_091.gff
261	N	N	1.722	3.136	2.980	0.156	1.0	0.1	s15_t1.0_a0.1_092.gff
521	N	N	2.063	4.031	3.858	0.173	1.0	0.1	s15_t1.0_a0.1_093.gff
3229	N	N	4.529	8.336	8.106	0.230	1.0	0.1	s15_t1.0_a0.1_094.gff
725	N	N	2.083	4.164	3.980	0.184	1.0	0.1	s15_t1.0_a0.1_095.gff
78	N	N	1.334	2.444	2.291	0.153	1.0	0.1	s15_t1.0_a0.1_096.gff
6	N	N	1.303	2.246	2.096	0.150	1.0	0.1	s15_t1.0_a0.1_097.gff
428	N	N	1.895	3.511	3.364	0.147	1.0	0.1	s15_t1.0_a0.1_098.gff
60	N	N	2.027	2.378	2.226	0.152	1.0	0.1	s15_t1.0_a0.1_099.gff
85	N	N	1.609	2.425	2.273	0.152	1.0	0.1	s15_t1.0_a0.1_100.gff
116	N	N	1.579	2.768	2.621	0.147	1.0	0.2	s15_t1.0_a0.2_001.gff
392	N	N	2.016	3.497	3.331	0.166	1.0	0.2	s15_t1.0_a0.2_002.gff
17	N	N	1.505	2.277	2.125	0.152	1.0	0.2	s15_t1.0_a0.2_003.gff
426	N	N	1.957	3.779	3.595	0.184	1.0	0.2	s15_t1.0_a0.2_004.gff
369	N	N	1.997	3.531	3.349	0.182	1.0	0.2	s15_t1.0_a0.2_005.gff
62	N	N	1.655	2.440	2.302	0.138	1.0	0.2	s15_t1.0_a0.2_006.gff
50	N	N	1.492	2.443	2.288	0.155	1.0	0.2	s15_t1.0_a0.2_007.gff
275	N	N	2.868	3.365	3.189	0.176	1.0	0.2	s15_t1.0_a0.2_008.gff
90	N	N	5.848	2.529	2.354	0.175	1.0	0.2	s15_t1.0_a0.2_009.gff
54	N	N	5.260	2.403	2.251	0.152	1.0	0.2	s15_t1.0_a0.2_010.gff
155	N	N	1.807	3.049	2.907	0.142	1.0	0.2	s15_t1.0_a0.2_011.gff
5026	N	N	6.919	10.690	10.415	0.275	1.0	0.2	s15_t1.0_a0.2_012.gff
21	N	N	3.183	2.413	2.271	0.142	1.0	0.2	s15_t1.0_a0.2_013.gff
38	N	N	1.878	2.423	2.258	0.165	1.0	0.2	s15_t1.0_a0.2_014.gff
442	N	N	2.478	3.903	3.708	0.195	1.0	0.2	s15_t1.0_a0.2_015.gff
199	N	N	1.783	3.156	2.968	0.188	1.0	0.2	s15_t1.0_a0.2_016.gff
204	N	N	1.906	3.235	3.066	0.169	1.0	0.2	s15_t1.0_a0.2_017.gff
2689	N	N	4.524	8.035	7.783	0.252	1.0	0.2	s15_t1.0_a0.2_018.gff
90	N	N	1.701	2.575	2.424	0.151	1.0	0.2	s15_t1.0_a0.2_019.gff
