# Starting date:             2014-09-24 23:18:54
# Cluster job ID:            8725392
# Cluster node:              hnode12
# Cluster queue:             mpi.q
# Complementation algorithm: fribourg -r2ifc -m
# Data:                      test_set_s15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
838	N	N	2.106	4.634	4.456	0.178	1.0	0.1	s15_t1.0_a0.1_001.gff
469	N	N	1.900	4.078	3.912	0.166	1.0	0.1	s15_t1.0_a0.1_002.gff
32	N	N	1.271	2.497	2.364	0.133	1.0	0.1	s15_t1.0_a0.1_003.gff
1072	N	N	2.442	5.240	5.048	0.192	1.0	0.1	s15_t1.0_a0.1_004.gff
1887	N	N	3.110	7.072	6.830	0.242	1.0	0.1	s15_t1.0_a0.1_005.gff
74	N	N	1.339	2.605	2.471	0.134	1.0	0.1	s15_t1.0_a0.1_006.gff
504	N	N	1.900	4.140	3.978	0.162	1.0	0.1	s15_t1.0_a0.1_007.gff
100	N	N	1.401	2.674	2.539	0.135	1.0	0.1	s15_t1.0_a0.1_008.gff
353	N	N	1.885	3.815	3.679	0.136	1.0	0.1	s15_t1.0_a0.1_009.gff
225	N	N	1.598	3.298	3.151	0.147	1.0	0.1	s15_t1.0_a0.1_010.gff
59	N	N	1.320	2.603	2.464	0.139	1.0	0.1	s15_t1.0_a0.1_011.gff
131	N	N	1.566	3.085	2.942	0.143	1.0	0.1	s15_t1.0_a0.1_012.gff
20	N	N	1.260	2.483	2.359	0.124	1.0	0.1	s15_t1.0_a0.1_013.gff
356	N	N	1.891	3.847	3.700	0.147	1.0	0.1	s15_t1.0_a0.1_014.gff
105	N	N	1.383	2.729	2.594	0.135	1.0	0.1	s15_t1.0_a0.1_015.gff
2775	N	N	4.020	7.718	7.472	0.246	1.0	0.1	s15_t1.0_a0.1_016.gff
213	N	N	1.642	3.266	3.117	0.149	1.0	0.1	s15_t1.0_a0.1_017.gff
32	N	N	1.272	2.497	2.363	0.134	1.0	0.1	s15_t1.0_a0.1_018.gff
35	N	N	1.266	2.494	2.369	0.125	1.0	0.1	s15_t1.0_a0.1_019.gff
280	N	N	1.641	3.475	3.320	0.155	1.0	0.1	s15_t1.0_a0.1_020.gff
1435	N	N	2.708	6.032	5.825	0.207	1.0	0.1	s15_t1.0_a0.1_021.gff
122	N	N	1.641	3.108	2.989	0.119	1.0	0.1	s15_t1.0_a0.1_022.gff
35	N	N	1.259	2.489	2.377	0.112	1.0	0.1	s15_t1.0_a0.1_023.gff
305	N	N	1.880	3.765	3.612	0.153	1.0	0.1	s15_t1.0_a0.1_024.gff
55	N	N	1.332	2.600	2.465	0.135	1.0	0.1	s15_t1.0_a0.1_025.gff
34	N	N	1.268	2.508	2.365	0.143	1.0	0.1	s15_t1.0_a0.1_026.gff
148	N	N	1.633	3.184	3.052	0.132	1.0	0.1	s15_t1.0_a0.1_027.gff
204	N	N	1.643	3.319	3.184	0.135	1.0	0.1	s15_t1.0_a0.1_028.gff
688	N	N	2.213	4.738	4.572	0.166	1.0	0.1	s15_t1.0_a0.1_029.gff
3879	N	N	5.051	9.026	8.772	0.254	1.0	0.1	s15_t1.0_a0.1_030.gff
261	N	N	1.630	3.454	3.305	0.149	1.0	0.1	s15_t1.0_a0.1_031.gff
70	N	N	1.358	2.634	2.483	0.151	1.0	0.1	s15_t1.0_a0.1_032.gff
244	N	N	1.639	3.361	3.218	0.143	1.0	0.1	s15_t1.0_a0.1_033.gff
772	N	N	2.127	4.626	4.449	0.177	1.0	0.1	s15_t1.0_a0.1_034.gff
1339	N	N	2.650	5.858	5.642	0.216	1.0	0.1	s15_t1.0_a0.1_035.gff
2308	N	N	3.505	7.661	7.376	0.285	1.0	0.1	s15_t1.0_a0.1_036.gff
65	N	N	1.316	2.589	2.471	0.118	1.0	0.1	s15_t1.0_a0.1_037.gff
668	N	N	2.074	4.552	4.370	0.182	1.0	0.1	s15_t1.0_a0.1_038.gff
30	N	N	1.270	2.493	2.359	0.134	1.0	0.1	s15_t1.0_a0.1_039.gff
60	N	N	1.336	2.616	2.440	0.176	1.0	0.1	s15_t1.0_a0.1_040.gff
65	N	N	1.320	2.591	2.460	0.131	1.0	0.1	s15_t1.0_a0.1_041.gff
89	N	N	1.363	2.669	2.530	0.139	1.0	0.1	s15_t1.0_a0.1_042.gff
190	N	N	1.636	3.313	3.164	0.149	1.0	0.1	s15_t1.0_a0.1_043.gff
2541	N	N	3.632	7.334	7.044	0.290	1.0	0.1	s15_t1.0_a0.1_044.gff
1366	N	N	2.561	5.777	5.567	0.210	1.0	0.1	s15_t1.0_a0.1_045.gff
682	N	N	2.142	4.599	4.428	0.171	1.0	0.1	s15_t1.0_a0.1_046.gff
266	N	N	1.635	3.455	3.320	0.135	1.0	0.1	s15_t1.0_a0.1_047.gff
83	N	N	1.386	2.700	2.556	0.144	1.0	0.1	s15_t1.0_a0.1_048.gff
465	N	N	1.884	3.955	3.812	0.143	1.0	0.1	s15_t1.0_a0.1_049.gff
266	N	N	1.656	3.427	3.269	0.158	1.0	0.1	s15_t1.0_a0.1_050.gff
16	N	N	1.240	2.455	2.336	0.119	1.0	0.1	s15_t1.0_a0.1_051.gff
