# Starting date:             2014-09-24 23:18:22
# Cluster job ID:            8725389
# Cluster node:              hnode36
# Cluster queue:             mpi.q
# Complementation algorithm: piterman -eq -macc -sim -ro -r
# Data:                      test_set_s15.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
407	N	N	2.632	5.137	4.912	0.225	1.0	0.1	s15_t1.0_a0.1_001.gff
218	N	N	2.146	4.579	4.353	0.226	1.0	0.1	s15_t1.0_a0.1_002.gff
40	N	N	1.425	2.800	2.648	0.152	1.0	0.1	s15_t1.0_a0.1_003.gff
212	N	N	2.465	5.217	4.988	0.229	1.0	0.1	s15_t1.0_a0.1_004.gff
762	N	N	4.374	7.792	7.545	0.247	1.0	0.1	s15_t1.0_a0.1_005.gff
29	N	N	1.451	2.781	2.656	0.125	1.0	0.1	s15_t1.0_a0.1_006.gff
58	N	N	1.777	3.658	3.484	0.174	1.0	0.1	s15_t1.0_a0.1_007.gff
56	N	N	1.516	2.940	2.807	0.133	1.0	0.1	s15_t1.0_a0.1_008.gff
124	N	N	1.908	3.799	3.595	0.204	1.0	0.1	s15_t1.0_a0.1_009.gff
106	N	N	1.682	3.320	3.168	0.152	1.0	0.1	s15_t1.0_a0.1_010.gff
56	N	N	1.497	2.916	2.782	0.134	1.0	0.1	s15_t1.0_a0.1_011.gff
109	N	N	1.703	3.333	3.177	0.156	1.0	0.1	s15_t1.0_a0.1_012.gff
15	N	N	1.311	2.513	2.355	0.158	1.0	0.1	s15_t1.0_a0.1_013.gff
186	N	N	1.898	3.881	3.693	0.188	1.0	0.1	s15_t1.0_a0.1_014.gff
45	N	N	2.314	2.885	2.741	0.144	1.0	0.1	s15_t1.0_a0.1_015.gff
385	N	N	3.149	6.157	5.936	0.221	1.0	0.1	s15_t1.0_a0.1_016.gff
41	N	N	1.604	3.161	3.021	0.140	1.0	0.1	s15_t1.0_a0.1_017.gff
28	N	N	1.386	2.695	2.549	0.146	1.0	0.1	s15_t1.0_a0.1_018.gff
22	N	N	1.359	2.636	2.502	0.134	1.0	0.1	s15_t1.0_a0.1_019.gff
130	N	N	1.873	3.733	3.548	0.185	1.0	0.1	s15_t1.0_a0.1_020.gff
287	N	N	3.117	6.157	5.932	0.225	1.0	0.1	s15_t1.0_a0.1_021.gff
55	N	N	1.569	3.055	2.907	0.148	1.0	0.1	s15_t1.0_a0.1_022.gff
29	N	N	1.337	2.581	2.457	0.124	1.0	0.1	s15_t1.0_a0.1_023.gff
17	N	N	1.453	2.819	2.680	0.139	1.0	0.1	s15_t1.0_a0.1_024.gff
41	N	N	1.470	2.873	2.733	0.140	1.0	0.1	s15_t1.0_a0.1_025.gff
39	N	N	1.418	2.755	2.616	0.139	1.0	0.1	s15_t1.0_a0.1_026.gff
81	N	N	1.648	3.266	3.103	0.163	1.0	0.1	s15_t1.0_a0.1_027.gff
102	N	N	1.759	3.527	3.379	0.148	1.0	0.1	s15_t1.0_a0.1_028.gff
65	N	N	1.651	3.369	3.225	0.144	1.0	0.1	s15_t1.0_a0.1_029.gff
708	N	N	7.981	12.127	11.829	0.298	1.0	0.1	s15_t1.0_a0.1_030.gff
248	N	N	2.100	4.250	4.019	0.231	1.0	0.1	s15_t1.0_a0.1_031.gff
48	N	N	1.467	2.866	2.714	0.152	1.0	0.1	s15_t1.0_a0.1_032.gff
137	N	N	1.847	3.706	3.541	0.165	1.0	0.1	s15_t1.0_a0.1_033.gff
163	N	N	2.112	4.635	4.440	0.195	1.0	0.1	s15_t1.0_a0.1_034.gff
270	N	N	2.503	4.970	4.754	0.216	1.0	0.1	s15_t1.0_a0.1_035.gff
897	N	N	4.537	8.107	7.848	0.259	1.0	0.1	s15_t1.0_a0.1_036.gff
11	N	N	1.328	2.561	2.431	0.130	1.0	0.1	s15_t1.0_a0.1_037.gff
155	N	N	2.121	4.536	4.327	0.209	1.0	0.1	s15_t1.0_a0.1_038.gff
18	N	N	1.354	2.611	2.488	0.123	1.0	0.1	s15_t1.0_a0.1_039.gff
19	N	N	1.381	2.701	2.572	0.129	1.0	0.1	s15_t1.0_a0.1_040.gff
25	N	N	1.442	2.757	2.605	0.152	1.0	0.1	s15_t1.0_a0.1_041.gff
63	N	N	1.525	2.961	2.817	0.144	1.0	0.1	s15_t1.0_a0.1_042.gff
199	N	N	1.958	4.002	3.800	0.202	1.0	0.1	s15_t1.0_a0.1_043.gff
984	N	N	6.001	9.799	9.567	0.232	1.0	0.1	s15_t1.0_a0.1_044.gff
81	N	N	1.799	3.593	3.442	0.151	1.0	0.1	s15_t1.0_a0.1_045.gff
206	N	N	2.046	4.194	3.995	0.199	1.0	0.1	s15_t1.0_a0.1_046.gff
